"Taxon"	"Group_Type"	"Combination"	"stat"	"p.value"	"BacDive_Data"	"aggregate_oxygen_tol"	"aggregate_gram_stain"	"oral_related"
"Flavonifractor_plautii"	"Single"	"Pan"	0.591743952013361	0.01	"TRUE"	"anaerobe"	"NA"	"NA"
"Fretibacterium_fastidiosum"	"Multiple"	"Gorilla:Homo:Pan"	0.938590635448906	0.002	"TRUE"	"anaerobe"	"negative"	"TRUE"
"Gordonibacter_pamelaeae"	"Multiple"	"Gorilla:Pan"	0.730522571807	0.004	"TRUE"	"anaerobe"	"positive"	"NA"
"Gordonibacter_urolithinfaciens"	"Multiple"	"Gorilla:Pan"	0.756119331925091	0.003	"TRUE"	"anaerobe"	"NA"	"NA"
"Haemophilus_parainfluenzae"	"Multiple"	"Alouatta:Gorilla:Homo"	0.740233210197605	0.019	"TRUE"	"microaerophile"	"NA"	"NA"
"Histophilus_somni"	"Single"	"Alouatta"	0.614862211545983	0.014	"TRUE"	"microaerophile"	"NA"	"NA"
"Intestinimonas_butyriciproducens"	"Single"	"Pan"	0.593699176708376	0.007	"TRUE"	"anaerobe"	"positive"	"NA"
"Kingella_kingae"	"Single"	"Alouatta"	0.697525165366058	0.009	"TRUE"	"microaerophile"	"NA"	"NA"
"Lawsonella_clevelandensis"	"Single"	"Pan"	0.998858776824947	0.001	"TRUE"	"anaerobe"	"positive"	"NA"
"Leptotrichia_buccalis"	"Multiple"	"Alouatta:Homo"	0.767584210025782	0.009	"TRUE"	"anaerobe/microaerophile"	"NA"	"TRUE"
"Mageeibacillus_indolicus"	"Single"	"Pan"	0.485412149701658	0.023	"TRUE"	"anaerobe"	"NA"	"NA"
"Megasphaera_elsdenii"	"Multiple"	"Alouatta:Pan"	0.595726895452619	0.014	"TRUE"	"anaerobe"	"NA"	"NA"
"Methanobrevibacter_millerae"	"Single"	"Homo"	0.657651622083544	0.03	"TRUE"	"anaerobe"	"NA"	"NA"
"Methanobrevibacter_smithii"	"Single"	"Homo"	0.661119340021426	0.033	"TRUE"	"anaerobe"	"NA"	"NA"
"Neisseria_elongata"	"Multiple"	"Alouatta:Gorilla:Homo"	0.875855745925796	0.004	"TRUE"	"microaerophile"	"NA"	"NA"
"Neisseria_gonorrhoeae"	"Multiple"	"Alouatta:Gorilla:Homo"	0.785135883885321	0.015	"TRUE"	"microaerophile"	"NA"	"NA"
"Neisseria_lactamica"	"Multiple"	"Alouatta:Gorilla:Homo"	0.72149008669938	0.033	"TRUE"	"microaerophile"	"NA"	"NA"
"Neisseria_meningitidis"	"Multiple"	"Alouatta:Gorilla:Homo"	0.883641283444939	0.004	"TRUE"	"microaerophile"	"NA"	"NA"
"Neisseria_sicca"	"Multiple"	"Alouatta:Gorilla:Homo"	0.899010110111222	0.004	"TRUE"	"microaerophile"	"NA"	"NA"
"Neisseria_weaveri"	"Multiple"	"Alouatta:Gorilla"	0.688247201611685	0.002	"TRUE"	"aerobe"	"NA"	"NA"
"Neisseria_zoodegmatis"	"Multiple"	"Alouatta:Gorilla"	0.835392792134431	0.001	"TRUE"	"anaerobe"	"negative"	"NA"
"Odoribacter_splanchnicus"	"Single"	"Pan"	0.559016994374947	0.014	"TRUE"	"anaerobe"	"NA"	"NA"
"Olsenella_uli"	"Multiple"	"Gorilla:Homo:Pan"	0.897514161409671	0.019	"TRUE"	"anaerobe"	"NA"	"TRUE"
"Olsenella_umbonata"	"Multiple"	"Alouatta:Gorilla:Pan"	0.811530147391348	0.002	"TRUE"	"anaerobe"	"NA"	"NA"
"Parvimonas_micra"	"Multiple"	"Alouatta:Homo:Pan"	0.883984696750219	0.002	"TRUE"	"anaerobe"	"NA"	"NA"
"Porphyromonas_gingivalis"	"Multiple"	"Alouatta:Homo:Pan"	0.890419685798652	0.017	"TRUE"	"anaerobe"	"NA"	"TRUE"
"Propionibacterium_freudenreichii"	"Multiple"	"Alouatta:Gorilla:Pan"	0.886443149034301	0.001	"TRUE"	"anaerobe/microaerophile"	"NA"	"NA"
"Pyramidobacter_piscolens"	"Single"	"Pan"	0.82915619758885	0.001	"TRUE"	"anaerobe"	"negative"	"TRUE"
"Rothia_aeria"	"Multiple"	"Alouatta:Gorilla:Homo"	0.810421288533392	0.009	"TRUE"	"microaerophile"	"positive"	"NA"
"Rothia_dentocariosa"	"Multiple"	"Alouatta:Gorilla:Homo"	0.76687045019984	0.032	"TRUE"	"anaerobe/microaerophile"	"NA"	"TRUE"
"Rothia_mucilaginosa"	"Multiple"	"Alouatta:Gorilla"	0.830716284257105	0.001	"TRUE"	"microaerophile"	"NA"	"NA"
"Salmonella_enterica"	"Single"	"Gorilla"	0.597614304667197	0.005	"TRUE"	"aerobe"	"NA"	"NA"
"Selenomonas_sputigena"	"Single"	"Homo"	0.796793441156071	0.007	"TRUE"	"anaerobe"	"NA"	"TRUE"
"Slackia_heliotrinireducens"	"Multiple"	"Gorilla:Pan"	0.796205918258959	0.001	"TRUE"	"anaerobe"	"NA"	"NA"
"Staphylococcus_xylosus"	"Single"	"Gorilla"	0.699575309490602	0.002	"TRUE"	"aerobe"	"NA"	"NA"
"Streptococcus_acidominimus"	"Single"	"Alouatta"	0.944412355785358	0.001	"TRUE"	"microaerophile"	"NA"	"NA"
"Streptococcus_agalactiae"	"Single"	"Alouatta"	0.874655086258	0.001	"TRUE"	"microaerophile"	"NA"	"NA"
"Streptococcus_constellatus"	"Multiple"	"Alouatta:Homo:Pan"	0.836478219049652	0.007	"TRUE"	"anaerobe/microaerophile"	"NA"	"NA"
"Streptococcus_cristatus"	"Multiple"	"Alouatta:Gorilla:Homo"	0.928280450254872	0.001	"TRUE"	"microaerophile"	"NA"	"TRUE"
"Streptococcus_dysgalactiae"	"Multiple"	"Alouatta:Gorilla"	0.772121732300608	0.003	"TRUE"	"microaerophile"	"NA"	"NA"
"Streptococcus_equi"	"Multiple"	"Alouatta:Gorilla:Pan"	0.805660534707533	0.002	"TRUE"	"microaerophile"	"NA"	"NA"
"Streptococcus_gallolyticus"	"Single"	"Alouatta"	0.906531016911322	0.001	"TRUE"	"microaerophile"	"NA"	"NA"
"Streptococcus_gordonii"	"Multiple"	"Alouatta:Homo"	0.940313402126479	0.001	"TRUE"	"microaerophile"	"NA"	"NA"
"Streptococcus_himalayensis"	"Single"	"Alouatta"	0.985463693857801	0.001	"TRUE"	"anaerobe"	"positive"	"NA"
"Streptococcus_marmotae"	"Single"	"Alouatta"	0.98672561868485	0.001	"TRUE"	"anaerobe"	"positive"	"NA"
"Streptococcus_merionis"	"Single"	"Alouatta"	0.960970758038634	0.001	"TRUE"	"microaerophile"	"positive"	"NA"
"Streptococcus_mitis"	"Multiple"	"Alouatta:Homo"	0.767832333326375	0.008	"TRUE"	"microaerophile"	"NA"	"TRUE"
"Streptococcus_mutans"	"Multiple"	"Alouatta:Gorilla"	0.877558379445447	0.001	"TRUE"	"microaerophile"	"NA"	"TRUE"
"Streptococcus_oralis"	"Multiple"	"Alouatta:Homo"	0.915193559094922	0.001	"TRUE"	"microaerophile"	"positive"	"TRUE"
"Streptococcus_pantholopis"	"Single"	"Alouatta"	0.934879059469855	0.001	"TRUE"	"anaerobe"	"positive"	"NA"
"Streptococcus_parasanguinis"	"Single"	"Alouatta"	0.84522721088894	0.001	"TRUE"	"microaerophile"	"NA"	"NA"
"Streptococcus_parauberis"	"Single"	"Alouatta"	0.545753961245977	0.021	"TRUE"	"microaerophile"	"NA"	"NA"
"Streptococcus_pneumoniae"	"Multiple"	"Alouatta:Gorilla:Homo"	0.875855745925796	0.001	"TRUE"	"microaerophile"	"NA"	"NA"
"Streptococcus_pseudopneumoniae"	"Single"	"Alouatta"	0.998489179343143	0.001	"TRUE"	"microaerophile"	"NA"	"NA"
"Streptococcus_pyogenes"	"Multiple"	"Alouatta:Gorilla"	0.785675180463676	0.002	"TRUE"	"microaerophile"	"NA"	"NA"
"Streptococcus_salivarius"	"Single"	"Alouatta"	0.8921233395581	0.001	"TRUE"	"microaerophile"	"NA"	"NA"
"Streptococcus_sanguinis"	"Multiple"	"Alouatta:Homo"	0.944120774330875	0.001	"TRUE"	"microaerophile"	"NA"	"NA"
"Streptococcus_suis"	"Single"	"Alouatta"	0.93816584584695	0.001	"TRUE"	"anaerobe/microaerophile/aerobe"	"NA"	"NA"
"Streptococcus_thermophilus"	"Single"	"Alouatta"	0.953515991717397	0.001	"TRUE"	"microaerophile"	"NA"	"NA"
"Streptococcus_troglodytae"	"Multiple"	"Alouatta:Gorilla"	0.768052889474213	0.004	"TRUE"	"microaerophile"	"positive"	"TRUE"
"Tannerella_forsythia"	"Multiple"	"Gorilla:Homo:Pan"	0.949872835044137	0.003	"TRUE"	"anaerobe"	"NA"	"TRUE"
"Tessaracoccus_flavescens"	"Single"	"Alouatta"	0.850036064106973	0.001	"TRUE"	"anaerobe"	"positive"	"NA"
"Tessaracoccus_flavus"	"Single"	"Alouatta"	0.843286654560162	0.001	"TRUE"	"anaerobe"	"positive"	"NA"
"Treponema_denticola"	"Multiple"	"Homo:Pan"	0.914860021549726	0.002	"TRUE"	"anaerobe"	"NA"	"TRUE"
"Treponema_pedis"	"Single"	"Pan"	0.654285851736265	0.014	"TRUE"	"anaerobe"	"negative"	"NA"
"Treponema_putidum"	"Multiple"	"Homo:Pan"	0.792923797933041	0.015	"TRUE"	"anaerobe"	"NA"	"TRUE"
"Trueperella_pyogenes"	"Multiple"	"Alouatta:Pan"	0.654653670707977	0.004	"TRUE"	"anaerobe"	"NA"	"NA"
"Veillonella_atypica"	"Single"	"Gorilla"	0.695189619774909	0.003	"TRUE"	"anaerobe"	"NA"	"TRUE"
"Veillonella_parvula"	"Multiple"	"Gorilla:Homo"	0.727606875108999	0.017	"TRUE"	"anaerobe"	"NA"	"TRUE"
"Veillonella_rodentium"	"Multiple"	"Alouatta:Gorilla"	0.72465649197363	0.007	"TRUE"	"anaerobe"	"NA"	"TRUE"
"Anaerolineaceae_bacterium_oral_taxon_439"	"Multiple"	"Homo:Pan"	0.968230785811122	0.001	"FALSE"	"NA"	"NA"	"NA"
"Candidatus_Methanomethylophilus_alvus"	"Single"	"Pan"	0.996511015815064	0.001	"FALSE"	"NA"	"NA"	"NA"
"Candidatus_Saccharibacteria_oral_taxon_TM7x"	"Multiple"	"Homo:Pan"	0.965145711045537	0.001	"FALSE"	"NA"	"NA"	"NA"
"Capnocytophaga_sp _ChDC_OS43"	"Multiple"	"Alouatta:Homo"	0.801493478369009	0.003	"FALSE"	"NA"	"NA"	"NA"
"Capnocytophaga_sp _oral_taxon_323"	"Single"	"Homo"	0.711467763759609	0.013	"FALSE"	"NA"	"NA"	"NA"
"Coriobacteriaceae_bacterium_68 1 3"	"Single"	"Pan"	0.744329553242561	0.005	"FALSE"	"NA"	"NA"	"NA"
"Gemella_sp _oral_taxon_928"	"Multiple"	"Alouatta:Homo:Pan"	0.811097428504546	0.011	"FALSE"	"NA"	"NA"	"NA"
"Glaesserella_parasuis"	"Multiple"	"Alouatta:Gorilla"	0.760885910252682	0.001	"FALSE"	"NA"	"NA"	"NA"
"Gordonibacter_massiliensis"	"Multiple"	"Gorilla:Pan"	0.76444842612121	0.005	"FALSE"	"NA"	"NA"	"NA"
"Lachnoclostridium_phocaeense"	"Single"	"Pan"	0.495424481148476	0.022	"FALSE"	"NA"	"NA"	"NA"
"Leptotrichia_sp _oral_taxon_212"	"Multiple"	"Alouatta:Homo"	0.917454498412892	0.001	"FALSE"	"NA"	"NA"	"NA"
"Libanicoccus_massiliensis"	"Multiple"	"Gorilla:Pan"	0.774596669241483	0.003	"FALSE"	"NA"	"NA"	"NA"
"Methanobrevibacter_sp _YE315"	"Single"	"Homo"	0.680614278522144	0.01	"FALSE"	"NA"	"NA"	"NA"
"methanogenic_archaeon_ISO4 H5"	"Single"	"Pan"	0.935414346693485	0.001	"FALSE"	"NA"	"NA"	"NA"
"methanogenic_archaeon_mixed_culture_ISO4 G1"	"Single"	"Pan"	0.866025403784439	0.001	"FALSE"	"NA"	"NA"	"NA"
"Mogibacterium_pumilum"	"Multiple"	"Homo:Pan"	0.891929678975236	0.001	"FALSE"	"NA"	"NA"	"NA"
"Neisseria_sp _10022"	"Multiple"	"Alouatta:Gorilla"	0.917662935482247	0.001	"FALSE"	"NA"	"NA"	"NA"
"Neisseria_sp _10023"	"Multiple"	"Alouatta:Gorilla"	0.877945120620062	0.001	"FALSE"	"NA"	"NA"	"NA"
"Neisseria_sp _KEM232"	"Multiple"	"Alouatta:Gorilla:Homo"	0.730921729970088	0.024	"FALSE"	"NA"	"NA"	"NA"
"Olsenella_sp _Marseille P2300"	"Multiple"	"Alouatta:Gorilla:Pan"	0.811884283670858	0.001	"FALSE"	"NA"	"NA"	"NA"
"Olsenella_sp _oral_taxon_807"	"Multiple"	"Gorilla:Homo:Pan"	0.944911182523068	0.001	"FALSE"	"NA"	"NA"	"NA"
"Pasteurellaceae_bacterium_NI1060"	"Multiple"	"Alouatta:Gorilla"	0.888523316638639	0.001	"FALSE"	"NA"	"NA"	"NA"
"Selenomonas_sp _oral_taxon_920"	"Multiple"	"Alouatta:Gorilla:Homo"	0.764421406127071	0.035	"FALSE"	"NA"	"NA"	"NA"
"Streptococcus_sp _A12"	"Single"	"Alouatta"	0.905509712771491	0.001	"FALSE"	"NA"	"NA"	"NA"
"Streptococcus_sp _I G2"	"Single"	"Alouatta"	0.979516823711588	0.001	"FALSE"	"NA"	"NA"	"NA"
"Streptococcus_sp _I P16"	"Single"	"Alouatta"	0.972340859039258	0.001	"FALSE"	"NA"	"NA"	"NA"
"Streptococcus_sp _NPS_308"	"Multiple"	"Alouatta:Homo"	0.780123260566433	0.006	"FALSE"	"NA"	"NA"	"NA"
"Streptococcus_sp _oral_taxon_064"	"Multiple"	"Alouatta:Homo"	0.624364083267589	0.031	"FALSE"	"NA"	"NA"	"NA"
"Streptococcus_sp _VT_162"	"Multiple"	"Alouatta:Homo"	0.746353843768356	0.011	"FALSE"	"NA"	"NA"	"NA"
"Tannerella_sp _oral_taxon_HOT 286"	"Multiple"	"Homo:Pan"	0.903195179770906	0.002	"FALSE"	"NA"	"NA"	"NA"
"Tessaracoccus_aquimaris"	"Single"	"Alouatta"	0.866134362941693	0.001	"FALSE"	"NA"	"NA"	"NA"
"Tessaracoccus_sp _T2 5 30"	"Single"	"Alouatta"	0.846950828470085	0.001	"FALSE"	"NA"	"NA"	"NA"
"Thermoplasmatales_archaeon_BRNA1"	"Single"	"Pan"	0.996326681507153	0.001	"FALSE"	"NA"	"NA"	"NA"
"Treponema_sp _OMZ_838"	"Multiple"	"Homo:Pan"	0.771953412974677	0.028	"FALSE"	"NA"	"NA"	"NA"
"Eikenella_corrodens"	"Multiple"	"Alouatta:Gorilla:Homo"	0.935094760038117	0.003	"TRUE"	"NA"	"NA"	"NA"
"Gallibacterium_anatis"	"Multiple"	"Alouatta:Gorilla"	0.512989176042577	0.029	"TRUE"	"NA"	"NA"	"NA"
"Mannheimia_haemolytica"	"Multiple"	"Alouatta:Gorilla"	0.760885910252682	0.001	"TRUE"	"NA"	"NA"	"NA"
"Mannheimia_varigena"	"Multiple"	"Alouatta:Gorilla"	0.64888568452305	0.005	"TRUE"	"NA"	"NA"	"NA"
"Pasteurella_dagmatis"	"Multiple"	"Alouatta:Gorilla"	0.512989176042577	0.033	"TRUE"	"NA"	"NA"	"NA"
"Pasteurella_multocida"	"Multiple"	"Alouatta:Gorilla"	0.845548440629218	0.001	"TRUE"	"NA"	"NA"	"NA"
"Staphylococcus_saprophyticus"	"Single"	"Gorilla"	0.678616185182698	0.001	"TRUE"	"NA"	"NA"	"NA"
