KOrtholog	Pathway_name	Pathway_number	Enzyme_name
K00175	Butanoate metabolism	ko00650	2-oxoglutarate/2-oxoacid ferredoxin oxidoreductase subunit beta [EC:1.2.7.11 1.2.7.3]
K00177	Citrate cycle (TCA cycle)	ko00020	2-oxoglutarate ferredoxin oxidoreductase subunit gamma [EC:1.2.7.3]
K00239	Citrate cycle (TCA cycle)	ko00020	succinate dehydrogenase / fumarate reductase, flavoprotein subunit [EC:1.3.5.4 1.3.5.1]
K00239	Butanoate metabolism	ko00650	succinate dehydrogenase / fumarate reductase, flavoprotein subunit [EC:1.3.5.4 1.3.5.1]
K00240	Citrate cycle (TCA cycle)	ko00020	succinate dehydrogenase / fumarate reductase, iron-sulfur subunit [EC:1.3.5.4 1.3.5.1]
K00240	Butanoate metabolism	ko00650	succinate dehydrogenase / fumarate reductase, iron-sulfur subunit [EC:1.3.5.4 1.3.5.1]
K00241	Citrate cycle (TCA cycle)	ko00020	succinate dehydrogenase / fumarate reductase, cytochrome b subunit
K00241	Butanoate metabolism	ko00650	succinate dehydrogenase / fumarate reductase, cytochrome b subunit
K00242	Citrate cycle (TCA cycle)	ko00020	succinate dehydrogenase / fumarate reductase, membrane anchor subunit
K00242	Butanoate metabolism	ko00650	succinate dehydrogenase / fumarate reductase, membrane anchor subunit
K00244	Citrate cycle (TCA cycle)	ko00020	fumarate reductase flavoprotein subunit [EC:1.3.5.4]
K00244	Pyruvate metabolism	ko00620	fumarate reductase flavoprotein subunit [EC:1.3.5.4]
K00244	Butanoate metabolism	ko00650	fumarate reductase flavoprotein subunit [EC:1.3.5.4]
K00245	Citrate cycle (TCA cycle)	ko00020	fumarate reductase iron-sulfur subunit [EC:1.3.5.4]
K00245	Pyruvate metabolism	ko00620	fumarate reductase iron-sulfur subunit [EC:1.3.5.4]
K00245	Butanoate metabolism	ko00650	fumarate reductase iron-sulfur subunit [EC:1.3.5.4]
K00247	Citrate cycle (TCA cycle)	ko00020	fumarate reductase subunit D
K00247	Pyruvate metabolism	ko00620	fumarate reductase subunit D
K00247	Butanoate metabolism	ko00650	fumarate reductase subunit D
K00248	Propanoate metabolism	ko00640	butyryl-CoA dehydrogenase [EC:1.3.8.1]
K00248	Butanoate metabolism	ko00650	butyryl-CoA dehydrogenase [EC:1.3.8.1]
K00281	Glyoxylate and dicarboxylate metabolism	ko00630	glycine dehydrogenase [EC:1.4.4.2]
K00282	Glyoxylate and dicarboxylate metabolism	ko00630	glycine dehydrogenase subunit 1 [EC:1.4.4.2]
K00283	Glyoxylate and dicarboxylate metabolism	ko00630	glycine dehydrogenase subunit 2 [EC:1.4.4.2]
K00382	Glycolysis / Gluconeogenesis	ko00010	dihydrolipoamide dehydrogenase [EC:1.8.1.4]
K00382	Citrate cycle (TCA cycle)	ko00020	dihydrolipoamide dehydrogenase [EC:1.8.1.4]
K00382	Pyruvate metabolism	ko00620	dihydrolipoamide dehydrogenase [EC:1.8.1.4]
K00382	Glyoxylate and dicarboxylate metabolism	ko00630	dihydrolipoamide dehydrogenase [EC:1.8.1.4]
K00382	Propanoate metabolism	ko00640	dihydrolipoamide dehydrogenase [EC:1.8.1.4]
K00600	Glyoxylate and dicarboxylate metabolism	ko00630	glycine hydroxymethyltransferase [EC:2.1.2.1]
K00605	Glyoxylate and dicarboxylate metabolism	ko00630	aminomethyltransferase [EC:2.1.2.10]
K00615	Pentose phosphate pathway	ko00030	transketolase [EC:2.2.1.1]
K00616	Pentose phosphate pathway	ko00030	transaldolase [EC:2.2.1.2]
K00625	Pyruvate metabolism	ko00620	phosphate acetyltransferase [EC:2.3.1.8]
K00625	Propanoate metabolism	ko00640	phosphate acetyltransferase [EC:2.3.1.8]
K00626	Pyruvate metabolism	ko00620	acetyl-CoA C-acetyltransferase [EC:2.3.1.9]
K00626	Glyoxylate and dicarboxylate metabolism	ko00630	acetyl-CoA C-acetyltransferase [EC:2.3.1.9]
K00626	Propanoate metabolism	ko00640	acetyl-CoA C-acetyltransferase [EC:2.3.1.9]
K00626	Butanoate metabolism	ko00650	acetyl-CoA C-acetyltransferase [EC:2.3.1.9]
K00627	Glycolysis / Gluconeogenesis	ko00010	pyruvate dehydrogenase E2 component (dihydrolipoamide acetyltransferase) [EC:2.3.1.12]
K00627	Citrate cycle (TCA cycle)	ko00020	pyruvate dehydrogenase E2 component (dihydrolipoamide acetyltransferase) [EC:2.3.1.12]
K00627	Pyruvate metabolism	ko00620	pyruvate dehydrogenase E2 component (dihydrolipoamide acetyltransferase) [EC:2.3.1.12]
K00656	Pyruvate metabolism	ko00620	formate C-acetyltransferase [EC:2.3.1.54]
K00656	Propanoate metabolism	ko00640	formate C-acetyltransferase [EC:2.3.1.54]
K00656	Butanoate metabolism	ko00650	formate C-acetyltransferase [EC:2.3.1.54]
K00658	Citrate cycle (TCA cycle)	ko00020	2-oxoglutarate dehydrogenase E2 component (dihydrolipoamide succinyltransferase) [EC:2.3.1.61]
K00688	Starch and sucrose metabolism	ko00500	glycogen phosphorylase [EC:2.4.1.1]
K00690	Starch and sucrose metabolism	ko00500	sucrose phosphorylase [EC:2.4.1.7]
K00700	Starch and sucrose metabolism	ko00500	1,4-alpha-glucan branching enzyme [EC:2.4.1.18]
K00703	Starch and sucrose metabolism	ko00500	starch synthase [EC:2.4.1.21]
K00705	Starch and sucrose metabolism	ko00500	4-alpha-glucanotransferase [EC:2.4.1.25]
K00790	Amino sugar and nucleotide sugar metabolism	ko00520	UDP-N-acetylglucosamine 1-carboxyvinyltransferase [EC:2.5.1.7]
K00820	Amino sugar and nucleotide sugar metabolism	ko00520	glutamine---fructose-6-phosphate transaminase (isomerizing) [EC:2.6.1.16]
K00845	Glycolysis / Gluconeogenesis	ko00010	glucokinase [EC:2.7.1.2]
K00845	Galactose metabolism	ko00052	glucokinase [EC:2.7.1.2]
K00845	Starch and sucrose metabolism	ko00500	glucokinase [EC:2.7.1.2]
K00845	Amino sugar and nucleotide sugar metabolism	ko00520	glucokinase [EC:2.7.1.2]
K00847	Fructose and mannose metabolism	ko00051	fructokinase [EC:2.7.1.4]
K00847	Starch and sucrose metabolism	ko00500	fructokinase [EC:2.7.1.4]
K00847	Amino sugar and nucleotide sugar metabolism	ko00520	fructokinase [EC:2.7.1.4]
K00848	Pentose and glucuronate interconversions	ko00040	rhamnulokinase [EC:2.7.1.5]
K00848	Fructose and mannose metabolism	ko00051	rhamnulokinase [EC:2.7.1.5]
K00849	Galactose metabolism	ko00052	galactokinase [EC:2.7.1.6]
K00849	Amino sugar and nucleotide sugar metabolism	ko00520	galactokinase [EC:2.7.1.6]
K00850	Glycolysis / Gluconeogenesis	ko00010	6-phosphofructokinase 1 [EC:2.7.1.11]
K00850	Pentose phosphate pathway	ko00030	6-phosphofructokinase 1 [EC:2.7.1.11]
K00850	Fructose and mannose metabolism	ko00051	6-phosphofructokinase 1 [EC:2.7.1.11]
K00850	Galactose metabolism	ko00052	6-phosphofructokinase 1 [EC:2.7.1.11]
K00851	Pentose phosphate pathway	ko00030	gluconokinase [EC:2.7.1.12]
K00852	Pentose phosphate pathway	ko00030	ribokinase [EC:2.7.1.15]
K00853	Pentose and glucuronate interconversions	ko00040	L-ribulokinase [EC:2.7.1.16]
K00854	Pentose and glucuronate interconversions	ko00040	xylulokinase [EC:2.7.1.17]
K00863	Fructose and mannose metabolism	ko00051	triose/dihydroxyacetone kinase / FAD-AMP lyase (cyclizing) [EC:4.6.1.15 2.7.1.29 2.7.1.28]
K00865	Glyoxylate and dicarboxylate metabolism	ko00630	glycerate 2-kinase [EC:2.7.1.165]
K00873	Glycolysis / Gluconeogenesis	ko00010	pyruvate kinase [EC:2.7.1.40]
K00873	Pyruvate metabolism	ko00620	pyruvate kinase [EC:2.7.1.40]
K00874	Pentose phosphate pathway	ko00030	2-dehydro-3-deoxygluconokinase [EC:2.7.1.45]
K00880	Pentose and glucuronate interconversions	ko00040	L-xylulokinase [EC:2.7.1.53]
K00880	Ascorbate and aldarate metabolism	ko00053	L-xylulokinase [EC:2.7.1.53]
K00882	Fructose and mannose metabolism	ko00051	1-phosphofructokinase [EC:2.7.1.56]
K00884	Amino sugar and nucleotide sugar metabolism	ko00520	N-acetylglucosamine kinase [EC:2.7.1.59]
K00885	Amino sugar and nucleotide sugar metabolism	ko00520	N-acylmannosamine kinase [EC:2.7.1.60]
K00886	Glycolysis / Gluconeogenesis	ko00010	polyphosphate glucokinase [EC:2.7.1.63]
K00886	Amino sugar and nucleotide sugar metabolism	ko00520	polyphosphate glucokinase [EC:2.7.1.63]
K00895	Glycolysis / Gluconeogenesis	ko00010	diphosphate-dependent phosphofructokinase [EC:2.7.1.90]
K00895	Pentose phosphate pathway	ko00030	diphosphate-dependent phosphofructokinase [EC:2.7.1.90]
K00895	Fructose and mannose metabolism	ko00051	diphosphate-dependent phosphofructokinase [EC:2.7.1.90]
K00917	Galactose metabolism	ko00052	tagatose 6-phosphate kinase [EC:2.7.1.144]
K00925	Pyruvate metabolism	ko00620	acetate kinase [EC:2.7.2.1]
K00925	Propanoate metabolism	ko00640	acetate kinase [EC:2.7.2.1]
K00927	Glycolysis / Gluconeogenesis	ko00010	phosphoglycerate kinase [EC:2.7.2.3]
K00948	Pentose phosphate pathway	ko00030	ribose-phosphate pyrophosphokinase [EC:2.7.6.1]
K00963	Pentose and glucuronate interconversions	ko00040	UTP--glucose-1-phosphate uridylyltransferase [EC:2.7.7.9]
K00963	Galactose metabolism	ko00052	UTP--glucose-1-phosphate uridylyltransferase [EC:2.7.7.9]
K00963	Starch and sucrose metabolism	ko00500	UTP--glucose-1-phosphate uridylyltransferase [EC:2.7.7.9]
K00963	Amino sugar and nucleotide sugar metabolism	ko00520	UTP--glucose-1-phosphate uridylyltransferase [EC:2.7.7.9]
K00965	Galactose metabolism	ko00052	UDPglucose--hexose-1-phosphate uridylyltransferase [EC:2.7.7.12]
K00965	Amino sugar and nucleotide sugar metabolism	ko00520	UDPglucose--hexose-1-phosphate uridylyltransferase [EC:2.7.7.12]
K00971	Fructose and mannose metabolism	ko00051	mannose-1-phosphate guanylyltransferase [EC:2.7.7.13]
K00971	Amino sugar and nucleotide sugar metabolism	ko00520	mannose-1-phosphate guanylyltransferase [EC:2.7.7.13]
K00975	Starch and sucrose metabolism	ko00500	glucose-1-phosphate adenylyltransferase [EC:2.7.7.27]
K00975	Amino sugar and nucleotide sugar metabolism	ko00520	glucose-1-phosphate adenylyltransferase [EC:2.7.7.27]
K00978	Starch and sucrose metabolism	ko00500	glucose-1-phosphate cytidylyltransferase [EC:2.7.7.33]
K00978	Amino sugar and nucleotide sugar metabolism	ko00520	glucose-1-phosphate cytidylyltransferase [EC:2.7.7.33]
K01006	Pyruvate metabolism	ko00620	pyruvate, orthophosphate dikinase [EC:2.7.9.1]
K01007	Pyruvate metabolism	ko00620	pyruvate, water dikinase [EC:2.7.9.2]
K01029	Butanoate metabolism	ko00650	3-oxoacid CoA-transferase subunit B [EC:2.8.3.5]
K01035	Propanoate metabolism	ko00640	acetate CoA/acetoacetate CoA-transferase beta subunit [EC:2.8.3.9 2.8.3.8]
K01035	Butanoate metabolism	ko00650	acetate CoA/acetoacetate CoA-transferase beta subunit [EC:2.8.3.9 2.8.3.8]
K01039	Butanoate metabolism	ko00650	glutaconate CoA-transferase, subunit A [EC:2.8.3.12]
K01040	Butanoate metabolism	ko00650	glutaconate CoA-transferase, subunit B [EC:2.8.3.12]
K01057	Pentose phosphate pathway	ko00030	6-phosphogluconolactonase [EC:3.1.1.31]
K01069	Pyruvate metabolism	ko00620	hydroxyacylglutathione hydrolase [EC:3.1.2.6]
K01085	Glycolysis / Gluconeogenesis	ko00010	glucose-1-phosphatase [EC:3.1.3.10]
K01091	Glyoxylate and dicarboxylate metabolism	ko00630	phosphoglycolate phosphatase [EC:3.1.3.18]
K01092	Inositol phosphate metabolism	ko00562	myo-inositol-1(or 4)-monophosphatase [EC:3.1.3.25]
K01176	Starch and sucrose metabolism	ko00500	alpha-amylase [EC:3.2.1.1]
K01182	Galactose metabolism	ko00052	oligo-1,6-glucosidase [EC:3.2.1.10]
K01182	Starch and sucrose metabolism	ko00500	oligo-1,6-glucosidase [EC:3.2.1.10]
K01187	Galactose metabolism	ko00052	alpha-glucosidase [EC:3.2.1.20]
K01187	Starch and sucrose metabolism	ko00500	alpha-glucosidase [EC:3.2.1.20]
K01190	Galactose metabolism	ko00052	beta-galactosidase [EC:3.2.1.23]
K01193	Galactose metabolism	ko00052	beta-fructofuranosidase [EC:3.2.1.26]
K01193	Starch and sucrose metabolism	ko00500	beta-fructofuranosidase [EC:3.2.1.26]
K01200	Starch and sucrose metabolism	ko00500	pullulanase [EC:3.2.1.41]
K01207	Amino sugar and nucleotide sugar metabolism	ko00520	beta-N-acetylhexosaminidase [EC:3.2.1.52]
K01218	Fructose and mannose metabolism	ko00051	mannan endo-1,4-beta-mannosidase [EC:3.2.1.78]
K01220	Galactose metabolism	ko00052	6-phospho-beta-galactosidase [EC:3.2.1.85]
K01222	Glycolysis / Gluconeogenesis	ko00010	6-phospho-beta-glucosidase [EC:3.2.1.86]
K01222	Starch and sucrose metabolism	ko00500	6-phospho-beta-glucosidase [EC:3.2.1.86]
K01223	Glycolysis / Gluconeogenesis	ko00010	6-phospho-beta-glucosidase [EC:3.2.1.86]
K01223	Starch and sucrose metabolism	ko00500	6-phospho-beta-glucosidase [EC:3.2.1.86]
K01226	Starch and sucrose metabolism	ko00500	trehalose-6-phosphate hydrolase [EC:3.2.1.93]
K01236	Starch and sucrose metabolism	ko00500	maltooligosyltrehalose trehalohydrolase [EC:3.2.1.141]
K01433	Glyoxylate and dicarboxylate metabolism	ko00630	formyltetrahydrofolate deformylase [EC:3.5.1.10]
K01443	Amino sugar and nucleotide sugar metabolism	ko00520	N-acetylglucosamine-6-phosphate deacetylase [EC:3.5.1.25]
K01512	Pyruvate metabolism	ko00620	acylphosphatase [EC:3.6.1.7]
K01575	Butanoate metabolism	ko00650	acetolactate decarboxylase [EC:4.1.1.5]
K01575	C5-Branched dibasic acid metabolism	ko00660	acetolactate decarboxylase [EC:4.1.1.5]
K01580	Butanoate metabolism	ko00650	glutamate decarboxylase [EC:4.1.1.15]
K01595	Pyruvate metabolism	ko00620	phosphoenolpyruvate carboxylase [EC:4.1.1.31]
K01596	Glycolysis / Gluconeogenesis	ko00010	phosphoenolpyruvate carboxykinase (GTP) [EC:4.1.1.32]
K01596	Citrate cycle (TCA cycle)	ko00020	phosphoenolpyruvate carboxykinase (GTP) [EC:4.1.1.32]
K01596	Pyruvate metabolism	ko00620	phosphoenolpyruvate carboxykinase (GTP) [EC:4.1.1.32]
K01610	Glycolysis / Gluconeogenesis	ko00010	phosphoenolpyruvate carboxykinase (ATP) [EC:4.1.1.49]
K01610	Citrate cycle (TCA cycle)	ko00020	phosphoenolpyruvate carboxykinase (ATP) [EC:4.1.1.49]
K01610	Pyruvate metabolism	ko00620	phosphoenolpyruvate carboxykinase (ATP) [EC:4.1.1.49]
K01615	Butanoate metabolism	ko00650	glutaconyl-CoA decarboxylase subunit alpha [EC:7.2.4.5]
K01619	Pentose phosphate pathway	ko00030	deoxyribose-phosphate aldolase [EC:4.1.2.4]
K01622	Glycolysis / Gluconeogenesis	ko00010	fructose 1,6-bisphosphate aldolase/phosphatase [EC:3.1.3.11 4.1.2.13]
K01622	Pentose phosphate pathway	ko00030	fructose 1,6-bisphosphate aldolase/phosphatase [EC:3.1.3.11 4.1.2.13]
K01622	Fructose and mannose metabolism	ko00051	fructose 1,6-bisphosphate aldolase/phosphatase [EC:3.1.3.11 4.1.2.13]
K01623	Glycolysis / Gluconeogenesis	ko00010	fructose-bisphosphate aldolase, class I [EC:4.1.2.13]
K01623	Pentose phosphate pathway	ko00030	fructose-bisphosphate aldolase, class I [EC:4.1.2.13]
K01623	Fructose and mannose metabolism	ko00051	fructose-bisphosphate aldolase, class I [EC:4.1.2.13]
K01624	Glycolysis / Gluconeogenesis	ko00010	fructose-bisphosphate aldolase, class II [EC:4.1.2.13]
K01624	Pentose phosphate pathway	ko00030	fructose-bisphosphate aldolase, class II [EC:4.1.2.13]
K01624	Fructose and mannose metabolism	ko00051	fructose-bisphosphate aldolase, class II [EC:4.1.2.13]
K01625	Pentose phosphate pathway	ko00030	2-dehydro-3-deoxyphosphogluconate aldolase / (4S)-4-hydroxy-2-oxoglutarate aldolase [EC:4.1.3.42 4.1.2.14]
K01625	Glyoxylate and dicarboxylate metabolism	ko00630	2-dehydro-3-deoxyphosphogluconate aldolase / (4S)-4-hydroxy-2-oxoglutarate aldolase [EC:4.1.3.42 4.1.2.14]
K01628	Fructose and mannose metabolism	ko00051	L-fuculose-phosphate aldolase [EC:4.1.2.17]
K01629	Pentose and glucuronate interconversions	ko00040	rhamnulose-1-phosphate aldolase [EC:4.1.2.19]
K01629	Fructose and mannose metabolism	ko00051	rhamnulose-1-phosphate aldolase [EC:4.1.2.19]
K01635	Galactose metabolism	ko00052	tagatose 1,6-diphosphate aldolase [EC:4.1.2.40]
K01637	Glyoxylate and dicarboxylate metabolism	ko00630	isocitrate lyase [EC:4.1.3.1]
K01639	Amino sugar and nucleotide sugar metabolism	ko00520	N-acetylneuraminate lyase [EC:4.1.3.3]
K01641	Butanoate metabolism	ko00650	hydroxymethylglutaryl-CoA synthase [EC:2.3.3.10]
K01647	Citrate cycle (TCA cycle)	ko00020	citrate synthase [EC:2.3.3.1]
K01647	Glyoxylate and dicarboxylate metabolism	ko00630	citrate synthase [EC:2.3.3.1]
K01649	Pyruvate metabolism	ko00620	2-isopropylmalate synthase [EC:2.3.3.13]
K01652	Butanoate metabolism	ko00650	acetolactate synthase I/II/III large subunit [EC:2.2.1.6]
K01652	C5-Branched dibasic acid metabolism	ko00660	acetolactate synthase I/II/III large subunit [EC:2.2.1.6]
K01653	Butanoate metabolism	ko00650	acetolactate synthase I/III small subunit [EC:2.2.1.6]
K01653	C5-Branched dibasic acid metabolism	ko00660	acetolactate synthase I/III small subunit [EC:2.2.1.6]
K01654	Amino sugar and nucleotide sugar metabolism	ko00520	N-acetylneuraminate synthase [EC:2.5.1.56]
K01659	Propanoate metabolism	ko00640	2-methylcitrate synthase [EC:2.3.3.5]
K01676	Citrate cycle (TCA cycle)	ko00020	fumarate hydratase, class I [EC:4.2.1.2]
