Genus	Sum	Percent	KOrtholog	Host_Genus
g__Fusobacterium	17.451	2.1674195275172	K00526	Gorilla
g__Haemophilus	0	0	K00526	Gorilla
g__Klebsiella	0.29	0.0360180885324616	K00526	Gorilla
g__Kocuria	0	0	K00526	Gorilla
g__Lachnospiraceae_noname	0	0	K00526	Gorilla
g__Lactobacillus	0.994	0.123455103452644	K00526	Gorilla
g__Lactococcus	0.222	0.0275724677731258	K00526	Gorilla
g__Leptotrichia	0	0	K00526	Gorilla
g__Lysinibacillus	0	0	K00526	Gorilla
g__Macrococcus	0.353	0.0438427077653757	K00526	Gorilla
g__Micrococcus	0	0	K00526	Gorilla
g__Micromonospora	0	0	K00526	Gorilla
g__Morganella	0.491	0.060982349894616	K00526	Gorilla
g__Neisseria	181.058	22.4874588741739	K00526	Gorilla
g__Nitrosomonas	0.333	0.0413587016596887	K00526	Gorilla
g__Nitrosospira	0.206	0.0255852628885762	K00526	Gorilla
g__Oligotropha	1.468	0.182326048157426	K00526	Gorilla
g__Pantoea	0	0	K00526	Gorilla
g__Paracoccus	0	0	K00526	Gorilla
g__Prevotella	0	0	K00526	Gorilla
g__Propionibacterium	0.2	0.0248400610568701	K00526	Gorilla
g__Pseudomonas	2.424	0.301061540009265	K00526	Gorilla
g__Rhodococcus	0.116	0.0144072354129846	K00526	Gorilla
g__Rhodopseudomonas	0.222	0.0275724677731258	K00526	Gorilla
g__Rothia	46.272	5.74699652611746	K00526	Gorilla
g__Staphylococcus	1.585	0.196857483875695	K00526	Gorilla
g__Stenotrophomonas	0	0	K00526	Gorilla
g__Streptococcus	5.194	0.645096385646916	K00526	Gorilla
g__Streptomyces	0	0	K00526	Gorilla
g__Streptosporangium	0	0	K00526	Gorilla
g__Tannerella	6.721	0.834750251816119	K00526	Gorilla
g__Variovorax	0	0	K00526	Gorilla
g__Veillonella	1.182	0.146804760846102	K00526	Gorilla
unclassified	305.492	37.9421996619268	K00526	Gorilla
Total	805.151	100	K00526	Gorilla
g__Acidovorax	0	0	K00526	Alouatta
g__Acinetobacter	0	0	K00526	Alouatta
g__Actinobacillus	0	0	K00526	Alouatta
g__Advenella	0	0	K00526	Alouatta
g__Aggregatibacter	141.127	48.9052991974273	K00526	Alouatta
g__Agrobacterium	0	0	K00526	Alouatta
g__Arcanobacterium	0	0	K00526	Alouatta
g__Bacteroides	0.139	0.0481682214490664	K00526	Alouatta
g__Campylobacter	4.733	1.64014526703908	K00526	Alouatta
g__Capnocytophaga	0.308	0.106732461915917	K00526	Alouatta
g__Clostridium	0	0	K00526	Alouatta
g__Corynebacterium	0.377	0.13064330565682	K00526	Alouatta
g__Enterobacter	0	0	K00526	Alouatta
g__Erysipelothrix	0	0	K00526	Alouatta
g__Escherichia	0	0	K00526	Alouatta
g__Exiguobacterium	0	0	K00526	Alouatta
g__Faecalibacterium	0	0	K00526	Alouatta
g__Filifactor	0	0	K00526	Alouatta
g__Fusobacterium	11.505	3.98687329332021	K00526	Alouatta
g__Haemophilus	0	0	K00526	Alouatta
g__Klebsiella	0	0	K00526	Alouatta
g__Kocuria	0	0	K00526	Alouatta
g__Lachnospiraceae_noname	0	0	K00526	Alouatta
g__Lactobacillus	0	0	K00526	Alouatta
g__Lactococcus	0	0	K00526	Alouatta
g__Leptotrichia	0	0	K00526	Alouatta
g__Lysinibacillus	0	0	K00526	Alouatta
g__Macrococcus	0	0	K00526	Alouatta
g__Micrococcus	0	0	K00526	Alouatta
g__Micromonospora	0	0	K00526	Alouatta
g__Morganella	0	0	K00526	Alouatta
g__Neisseria	2.375	0.823018172241243	K00526	Alouatta
g__Nitrosomonas	0.369	0.127871033918745	K00526	Alouatta
g__Nitrosospira	0	0	K00526	Alouatta
g__Oligotropha	0	0	K00526	Alouatta
g__Pantoea	0	0	K00526	Alouatta
g__Paracoccus	0	0	K00526	Alouatta
g__Prevotella	0	0	K00526	Alouatta
g__Propionibacterium	0.072	0.0249504456426819	K00526	Alouatta
g__Pseudomonas	0	0	K00526	Alouatta
g__Rhodococcus	0	0	K00526	Alouatta
g__Rhodopseudomonas	0.506	0.175346187433292	K00526	Alouatta
g__Rothia	0.959	0.332326074601832	K00526	Alouatta
g__Staphylococcus	0	0	K00526	Alouatta
g__Stenotrophomonas	0.829	0.287276658858101	K00526	Alouatta
g__Streptococcus	0	0	K00526	Alouatta
g__Streptomyces	0.334	0.115742345064663	K00526	Alouatta
g__Streptosporangium	0	0	K00526	Alouatta
g__Tannerella	0	0	K00526	Alouatta
g__Variovorax	0	0	K00526	Alouatta
g__Veillonella	0	0	K00526	Alouatta
unclassified	124.939	43.295607335431	K00526	Alouatta
Total	288.572	100	K00526	Alouatta
g__Acidovorax	0	0	K00658	Homo
g__Acinetobacter	12.275	2.32715097948884	K00658	Homo
g__Actinobacillus	0	0	K00658	Homo
g__Agrobacterium	1.477	0.280016455943382	K00658	Homo
g__Arcanobacterium	0	0	K00658	Homo
g__Arthrobacter	0	0	K00658	Homo
g__Bacillus	0	0	K00658	Homo
g__Bacteroides	0	0	K00658	Homo
g__Capnocytophaga	14.52	2.75276840913874	K00658	Homo
g__Chlorobium	1.026	0.194513800811043	K00658	Homo
g__Corynebacterium	0	0	K00658	Homo
g__Enterobacter	0.361	0.0684400410261077	K00658	Homo
g__Escherichia	0	0	K00658	Homo
g__Exiguobacterium	0.178	0.033746059010103	K00658	Homo
g__Flavobacterium	0	0	K00658	Homo
g__Haemophilus	3.796	0.719663146080623	K00658	Homo
g__Klebsiella	0	0	K00658	Homo
g__Kocuria	0.399	0.0756442558709611	K00658	Homo
g__Lysinibacillus	0	0	K00658	Homo
g__Macrococcus	0	0	K00658	Homo
g__Malassezia	0.348	0.0659754412107631	K00658	Homo
g__Micrococcus	0.948	0.179726201918975	K00658	Homo
g__Micromonospora	0	0	K00658	Homo
g__Morganella	0	0	K00658	Homo
g__Neisseria	70.804	13.4233481019738	K00658	Homo
g__Nitrosomonas	0	0	K00658	Homo
g__Oligotropha	0	0	K00658	Homo
g__Pantoea	0.141	0.0267314287664299	K00658	Homo
g__Paracoccus	0	0	K00658	Homo
g__Propionibacterium	272.516	51.6648371752653	K00658	Homo
g__Proteus	0	0	K00658	Homo
g__Pseudomonas	0.091	0.0172521987074122	K00658	Homo
g__Ralstonia	3.857	0.731227806752624	K00658	Homo
g__Rhodanobacter	0	0	K00658	Homo
g__Rhodococcus	0	0	K00658	Homo
g__Rhodopseudomonas	1.632	0.309402069126337	K00658	Homo
g__Rothia	22.517	4.26887646477802	K00658	Homo
g__Staphylococcus	4.92	0.93275623780734	K00658	Homo
g__Stenotrophomonas	0	0	K00658	Homo
g__Streptosporangium	1.704	0.323052160411323	K00658	Homo
g__Variovorax	0.527	0.0999110848220464	K00658	Homo
unclassified	113.432	21.5049604810899	K00658	Homo
Total	527.469	100	K00658	Homo
g__Acidovorax	0	0	K00658	Pan
g__Acinetobacter	0.81	1.75796510113725	K00658	Pan
g__Actinobacillus	0	0	K00658	Pan
g__Agrobacterium	0	0	K00658	Pan
g__Arcanobacterium	0	0	K00658	Pan
g__Arthrobacter	0	0	K00658	Pan
g__Bacillus	4.35	9.44092369129265	K00658	Pan
g__Bacteroides	0	0	K00658	Pan
g__Capnocytophaga	0.212	0.460109384495182	K00658	Pan
g__Chlorobium	0	0	K00658	Pan
g__Corynebacterium	0	0	K00658	Pan
g__Enterobacter	1.186	2.57400816043059	K00658	Pan
g__Escherichia	0	0	K00658	Pan
g__Exiguobacterium	0	0	K00658	Pan
g__Flavobacterium	0.193	0.418873166073444	K00658	Pan
g__Haemophilus	0	0	K00658	Pan
g__Klebsiella	0	0	K00658	Pan
g__Kocuria	0.328	0.711867349596319	K00658	Pan
g__Lysinibacillus	2.249	4.88106606476257	K00658	Pan
g__Macrococcus	0.219	0.475301675492664	K00658	Pan
g__Malassezia	0	0	K00658	Pan
g__Micrococcus	0	0	K00658	Pan
g__Micromonospora	1.29	2.79972219810747	K00658	Pan
g__Morganella	0.934	2.02708568452123	K00658	Pan
g__Neisseria	0	0	K00658	Pan
g__Nitrosomonas	0	0	K00658	Pan
g__Oligotropha	0	0	K00658	Pan
g__Pantoea	0	0	K00658	Pan
g__Paracoccus	6.465	14.0311658998177	K00658	Pan
g__Propionibacterium	22.067	47.8926122059207	K00658	Pan
g__Proteus	0	0	K00658	Pan
g__Pseudomonas	0.153	0.332060074659259	K00658	Pan
g__Ralstonia	0	0	K00658	Pan
g__Rhodanobacter	0	0	K00658	Pan
g__Rhodococcus	0.636	1.38032815348555	K00658	Pan
g__Rhodopseudomonas	1.17	2.53928292386492	K00658	Pan
g__Rothia	0.119	0.258268946957201	K00658	Pan
g__Staphylococcus	0.432	0.937581387273201	K00658	Pan
g__Stenotrophomonas	0.643	1.39552044448303	K00658	Pan
g__Streptosporangium	0	0	K00658	Pan
g__Variovorax	0	0	K00658	Pan
unclassified	2.62	5.68625748762913	K00658	Pan
Total	46.076	100	K00658	Pan
g__Acidovorax	0	0	K00658	Gorilla
g__Acinetobacter	0.758	0.141207153502235	K00658	Gorilla
g__Actinobacillus	4.187	0.779992548435172	K00658	Gorilla
g__Agrobacterium	0	0	K00658	Gorilla
g__Arcanobacterium	0.32	0.0596125186289121	K00658	Gorilla
g__Arthrobacter	0.197	0.036698956780924	K00658	Gorilla
g__Bacillus	0	0	K00658	Gorilla
g__Bacteroides	0.163	0.0303651266766021	K00658	Gorilla
g__Capnocytophaga	4.048	0.754098360655738	K00658	Gorilla
g__Chlorobium	0	0	K00658	Gorilla
g__Corynebacterium	0	0	K00658	Gorilla
g__Enterobacter	0.511	0.095193740685544	K00658	Gorilla
g__Escherichia	1.717	0.319858420268256	K00658	Gorilla
g__Exiguobacterium	5.234	0.975037257824143	K00658	Gorilla
g__Flavobacterium	0	0	K00658	Gorilla
g__Haemophilus	0	0	K00658	Gorilla
g__Klebsiella	0.538	0.100223546944858	K00658	Gorilla
g__Kocuria	0	0	K00658	Gorilla
g__Lysinibacillus	0.122	0.0227272727272727	K00658	Gorilla
g__Macrococcus	0.268	0.0499254843517139	K00658	Gorilla
g__Malassezia	0	0	K00658	Gorilla
g__Micrococcus	0	0	K00658	Gorilla
g__Micromonospora	0	0	K00658	Gorilla
g__Morganella	0.829	0.154433681073025	K00658	Gorilla
g__Neisseria	173.255	32.275521609538	K00658	Gorilla
g__Nitrosomonas	0.514	0.09575260804769	K00658	Gorilla
g__Oligotropha	0.102	0.0190014903129657	K00658	Gorilla
g__Pantoea	0	0	K00658	Gorilla
g__Paracoccus	0	0	K00658	Gorilla
g__Propionibacterium	27.207	5.06836810730253	K00658	Gorilla
g__Proteus	0.503	0.0937034277198212	K00658	Gorilla
g__Pseudomonas	0.781	0.145491803278689	K00658	Gorilla
g__Ralstonia	0	0	K00658	Gorilla
g__Rhodanobacter	1.262	0.235096870342772	K00658	Gorilla
g__Rhodococcus	0.142	0.0264530551415797	K00658	Gorilla
g__Rhodopseudomonas	1.482	0.276080476900149	K00658	Gorilla
g__Rothia	117.492	21.8874813710879	K00658	Gorilla
g__Staphylococcus	1.889	0.351900149031297	K00658	Gorilla
g__Stenotrophomonas	0	0	K00658	Gorilla
g__Streptosporangium	0	0	K00658	Gorilla
g__Variovorax	0	0	K00658	Gorilla
unclassified	193.279	36.0057749627422	K00658	Gorilla
Total	536.8	100	K00658	Gorilla
g__Acidovorax	0	0	K00658	Alouatta
g__Acinetobacter	0	0	K00658	Alouatta
g__Actinobacillus	0	0	K00658	Alouatta
g__Agrobacterium	0	0	K00658	Alouatta
g__Arcanobacterium	0	0	K00658	Alouatta
g__Arthrobacter	0	0	K00658	Alouatta
g__Bacillus	0	0	K00658	Alouatta
g__Bacteroides	0	0	K00658	Alouatta
g__Capnocytophaga	0	0	K00658	Alouatta
g__Chlorobium	0	0	K00658	Alouatta
g__Corynebacterium	0.191	0.154533244874513	K00658	Alouatta
g__Enterobacter	0	0	K00658	Alouatta
g__Escherichia	0	0	K00658	Alouatta
g__Exiguobacterium	0	0	K00658	Alouatta
g__Flavobacterium	0	0	K00658	Alouatta
g__Haemophilus	0	0	K00658	Alouatta
g__Klebsiella	0	0	K00658	Alouatta
g__Kocuria	0	0	K00658	Alouatta
g__Lysinibacillus	0	0	K00658	Alouatta
g__Macrococcus	0	0	K00658	Alouatta
g__Malassezia	0	0	K00658	Alouatta
g__Micrococcus	0	0	K00658	Alouatta
g__Micromonospora	0	0	K00658	Alouatta
g__Morganella	0	0	K00658	Alouatta
g__Neisseria	1.565	1.26620171847441	K00658	Alouatta
g__Nitrosomonas	0	0	K00658	Alouatta
g__Oligotropha	0	0	K00658	Alouatta
g__Pantoea	0	0	K00658	Alouatta
g__Paracoccus	0	0	K00658	Alouatta
g__Propionibacterium	15.398	12.4581303904594	K00658	Alouatta
g__Proteus	0	0	K00658	Alouatta
g__Pseudomonas	0	0	K00658	Alouatta
g__Ralstonia	0	0	K00658	Alouatta
g__Rhodanobacter	0	0	K00658	Alouatta
g__Rhodococcus	0	0	K00658	Alouatta
g__Rhodopseudomonas	0.787	0.636741694849431	K00658	Alouatta
g__Rothia	1.525	1.23383873525462	K00658	Alouatta
g__Staphylococcus	0	0	K00658	Alouatta
g__Stenotrophomonas	0.716	0.579297399634298	K00658	Alouatta
g__Streptosporangium	0	0	K00658	Alouatta
g__Variovorax	0	0	K00658	Alouatta
unclassified	103.416	83.6712568164533	K00658	Alouatta
Total	123.598	100	K00658	Alouatta
g__Acidovorax	0	0	K00674	Homo
g__Acinetobacter	0	0	K00674	Homo
g__Actinobacillus	0	0	K00674	Homo
g__Advenella	0	0	K00674	Homo
g__Aeromicrobium	0	0	K00674	Homo
g__Aeromonas	0	0	K00674	Homo
g__Aggregatibacter	34.803	3.24635469524207	K00674	Homo
g__Agrobacterium	0.689	0.0642685511312757	K00674	Homo
g__Arthrobacter	0	0	K00674	Homo
g__Atopobium	2.828	0.263790221479315	K00674	Homo
g__Bifidobacterium	0	0	K00674	Homo
g__Campylobacter	0	0	K00674	Homo
g__Capnocytophaga	17.93	1.67247477762522	K00674	Homo
g__Caulobacter	0.137	0.0127790878156528	K00674	Homo
g__Chlorobium	0.307	0.0286363500686526	K00674	Homo
g__Citrobacter	0	0	K00674	Homo
g__Clostridium	0	0	K00674	Homo
g__Corynebacterium	0	0	K00674	Homo
g__Enterobacter	0.133	0.012405975762641	K00674	Homo
g__Escherichia	0	0	K00674	Homo
g__Exiguobacterium	0.339	0.0316212464927467	K00674	Homo
g__Haemophilus	3.281	0.306045161482897	K00674	Homo
g__Klebsiella	0	0	K00674	Homo
g__Kocuria	0	0	K00674	Homo
g__Lactococcus	0.149	0.0138984239746881	K00674	Homo
g__Leptotrichia	3.783	0.352870724135872	K00674	Homo
g__Macrococcus	0	0	K00674	Homo
g__Micrococcus	0.814	0.0759283027878933	K00674	Homo
g__Micromonospora	0	0	K00674	Homo
g__Neisseria	32.102	2.99441078144588	K00674	Homo
g__Nitrosomonas	0	0	K00674	Homo
g__Nitrosospira	0	0	K00674	Homo
g__Oligotropha	0	0	K00674	Homo
g__Paracoccus	0	0	K00674	Homo
g__Propionibacterium	352.989	32.9261126201421	K00674	Homo
g__Pseudomonas	2.465	0.229930302668497	K00674	Homo
g__Rhodanobacter	0	0	K00674	Homo
g__Rhodopseudomonas	1.309	0.122100919348099	K00674	Homo
g__Rothia	2.53	0.235993373529938	K00674	Homo
g__Stenotrophomonas	0	0	K00674	Homo
g__Streptococcus	513.364	47.8855739955824	K00674	Homo
g__Streptomyces	0.955	0.0890805026565578	K00674	Homo
g__Streptosporangium	0.982	0.0915990090143872	K00674	Homo
g__Variovorax	0.681	0.0635223270252522	K00674	Homo
unclassified	99.494	9.28060265058802	K00674	Homo
Total	1072.064	100	K00674	Homo
g__Acidovorax	0	0	K00674	Pan
g__Acinetobacter	0	0	K00674	Pan
g__Actinobacillus	0	0	K00674	Pan
g__Advenella	0.276	0.719687092568449	K00674	Pan
g__Aeromicrobium	0	0	K00674	Pan
g__Aeromonas	0	0	K00674	Pan
g__Aggregatibacter	0	0	K00674	Pan
g__Agrobacterium	0	0	K00674	Pan
g__Arthrobacter	0	0	K00674	Pan
g__Atopobium	0	0	K00674	Pan
g__Bifidobacterium	0.28	0.730117340286832	K00674	Pan
g__Campylobacter	0	0	K00674	Pan
g__Capnocytophaga	0	0	K00674	Pan
g__Caulobacter	0	0	K00674	Pan
g__Chlorobium	0	0	K00674	Pan
g__Citrobacter	0	0	K00674	Pan
g__Clostridium	0.257	0.670143415906128	K00674	Pan
g__Corynebacterium	0	0	K00674	Pan
g__Enterobacter	1.436	3.74445893089961	K00674	Pan
g__Escherichia	0.22	0.573663624511082	K00674	Pan
g__Exiguobacterium	0	0	K00674	Pan
g__Haemophilus	0	0	K00674	Pan
g__Klebsiella	0	0	K00674	Pan
g__Kocuria	0.704	1.83572359843546	K00674	Pan
g__Lactococcus	0	0	K00674	Pan
g__Leptotrichia	0	0	K00674	Pan
g__Macrococcus	0.522	1.36114732724902	K00674	Pan
g__Micrococcus	0	0	K00674	Pan
g__Micromonospora	1.781	4.64406779661017	K00674	Pan
g__Neisseria	0	0	K00674	Pan
g__Nitrosomonas	0	0	K00674	Pan
g__Nitrosospira	0	0	K00674	Pan
g__Oligotropha	0	0	K00674	Pan
g__Paracoccus	4.09	10.6649282920469	K00674	Pan
g__Propionibacterium	20.416	53.2359843546284	K00674	Pan
g__Pseudomonas	1.081	2.81877444589309	K00674	Pan
g__Rhodanobacter	0	0	K00674	Pan
g__Rhodopseudomonas	0.324	0.844850065189048	K00674	Pan
g__Rothia	0	0	K00674	Pan
g__Stenotrophomonas	0.126	0.328552803129074	K00674	Pan
g__Streptococcus	1.966	5.1264667535854	K00674	Pan
g__Streptomyces	0	0	K00674	Pan
g__Streptosporangium	0	0	K00674	Pan
g__Variovorax	0	0	K00674	Pan
unclassified	4.871	12.7014341590613	K00674	Pan
Total	38.35	100	K00674	Pan
g__Acidovorax	0	0	K00674	Gorilla
g__Acinetobacter	1.605	0.281611060910455	K00674	Gorilla
g__Actinobacillus	0.248	0.0435137340223008	K00674	Gorilla
g__Advenella	0	0	K00674	Gorilla
g__Aeromicrobium	0	0	K00674	Gorilla
g__Aeromonas	0.777	0.136331336029547	K00674	Gorilla
g__Aggregatibacter	53.599	9.40440576556976	K00674	Gorilla
g__Agrobacterium	0	0	K00674	Gorilla
g__Arthrobacter	1.379	0.241957416196584	K00674	Gorilla
g__Atopobium	0	0	K00674	Gorilla
g__Bifidobacterium	7.146	1.25382719082001	K00674	Gorilla
g__Campylobacter	0	0	K00674	Gorilla
g__Capnocytophaga	2.085	0.365831191276198	K00674	Gorilla
g__Caulobacter	0	0	K00674	Gorilla
g__Chlorobium	0	0	K00674	Gorilla
g__Citrobacter	0.517	0.0907120987481028	K00674	Gorilla
g__Clostridium	0	0	K00674	Gorilla
g__Corynebacterium	0	0	K00674	Gorilla
g__Enterobacter	4.087	0.71709931834332	K00674	Gorilla
g__Escherichia	4.004	0.702536254134243	K00674	Gorilla
g__Exiguobacterium	5.209	0.913963873073245	K00674	Gorilla
g__Haemophilus	0	0	K00674	Gorilla
g__Klebsiella	0.268	0.0470229061208734	K00674	Gorilla
g__Kocuria	0	0	K00674	Gorilla
g__Lactococcus	0	0	K00674	Gorilla
g__Leptotrichia	0	0	K00674	Gorilla
g__Macrococcus	0.311	0.0545676261328046	K00674	Gorilla
g__Micrococcus	0	0	K00674	Gorilla
g__Micromonospora	0	0	K00674	Gorilla
g__Neisseria	182.191	31.9669786905524	K00674	Gorilla
g__Nitrosomonas	0.47	0.0824655443164571	K00674	Gorilla
g__Nitrosospira	0.154	0.0270206251590094	K00674	Gorilla
g__Oligotropha	0.149	0.0261433321343662	K00674	Gorilla
g__Paracoccus	0	0	K00674	Gorilla
g__Propionibacterium	28.352	4.97460236693658	K00674	Gorilla
g__Pseudomonas	2.367	0.415310517866072	K00674	Gorilla
g__Rhodanobacter	0.32	0.0561467535771623	K00674	Gorilla
g__Rhodopseudomonas	0.773	0.135629501609833	K00674	Gorilla
g__Rothia	1.681	0.294945914885031	K00674	Gorilla
g__Stenotrophomonas	0	0	K00674	Gorilla
g__Streptococcus	27.801	4.8779246756209	K00674	Gorilla
g__Streptomyces	0	0	K00674	Gorilla
g__Streptosporangium	0	0	K00674	Gorilla
g__Variovorax	0	0	K00674	Gorilla
unclassified	244.442	42.8894523059647	K00674	Gorilla
Total	569.935	100	K00674	Gorilla
g__Acidovorax	0	0	K00674	Alouatta
g__Acinetobacter	0	0	K00674	Alouatta
g__Actinobacillus	0	0	K00674	Alouatta
g__Advenella	0	0	K00674	Alouatta
g__Aeromicrobium	0.104	0.042140920860161	K00674	Alouatta
g__Aeromonas	0	0	K00674	Alouatta
g__Aggregatibacter	60.357	24.4567265418917	K00674	Alouatta
g__Agrobacterium	0	0	K00674	Alouatta
g__Arthrobacter	0	0	K00674	Alouatta
g__Atopobium	0	0	K00674	Alouatta
g__Bifidobacterium	0.143	0.0579437661827214	K00674	Alouatta
g__Campylobacter	2.417	0.979371208836627	K00674	Alouatta
g__Capnocytophaga	0.09	0.036468104590524	K00674	Alouatta
g__Caulobacter	0	0	K00674	Alouatta
g__Chlorobium	0	0	K00674	Alouatta
g__Citrobacter	0	0	K00674	Alouatta
g__Clostridium	0	0	K00674	Alouatta
