Sample number,Sample Name,# reads after C&M prior mapping,# mapped reads prior RMDup,# of Duplicates removed,Mapped Reads after RMDup,Endogenous DNA (%),Cluster Factor,Mean Coverage,std. dev. Coverage,Coverage >= 1X in %,Coverage >= 2X in %,Coverage >= 3X in %,Coverage >= 4X in %,Coverage >= 5X in %,DMG 1st Base 3',DMG 2nd Base 3',DMG 1st Base 5',DMG 2nd Base 5',average fragment length,median fragment length,GC content in %
Sample 16/29,LIB007.A0135.SG1.1,10,10,6,4,100.000,2.500,0.0001,0.0075,0.01,0,0,0,0,0.0,0.0,0.0,0.0,34.5,31.0,50.72
Sample 17/29,LIB025.A0301,35,35,2,33,100.000,1.061,0.0006,0.028,0.06,0.01,0,0,0,0.0,0.0,0.0,0.0,46.18,41.0,49.67
Sample 18/29,LIB025.A1001,11,11,2,9,100.000,1.222,0.0001,0.0115,0.01,0,0,0,0,0.0,0.0,0.0,0.0,35.44,35.0,57.37
Sample 19/29,LIB025.A1301,27,27,16,11,100.000,2.455,0.0002,0.0183,0.02,0,0,0,0,0.0,0.0,0.0,0.0,54.91,38.0,37.42
Sample 20/29,MTM009,142638,142638,25410,117228,100.000,1.217,2.269,13.6124,41.11,28.7,21.63,16.84,13.33,0.0338,0.0345,0.034,0.0313,47.04,42.0,36.23
Sample 21/29,OAK002,207013,207013,34986,172027,100.000,1.203,2.8114,7.6326,66.01,51.13,39.17,29.36,21.31,0.0554,0.0429,0.0551,0.0428,39.72,37.0,30.89
Sample 22/29,OAK005,70508,70508,6462,64046,100.000,1.101,1.1739,2.7483,45.48,26.56,15.91,9.48,5.62,0.0471,0.0448,0.0481,0.0408,44.55,41.0,31.05
Sample 23/29,OME002,60322,60322,6262,54060,100.000,1.116,1.172,7.7925,19.78,11.95,8.61,6.72,5.45,0.027,0.0311,0.0242,0.0294,52.69,47.0,37.89
Sample 24/29,OME003,97434,97434,10361,87073,100.000,1.119,1.9451,10.3019,26.04,16.6,12.3,9.83,8.16,0.027,0.0346,0.0231,0.0339,54.29,48.0,37.1
Sample 25/29,OME005,92541,92541,15291,77250,100.000,1.198,1.9332,12.9489,30.45,19.7,14.09,10.53,8.14,0.0254,0.0262,0.0219,0.0253,60.82,58.0,37.79
Sample 26/29,PES001,10607,10607,1451,9156,100.000,1.158,0.1762,3.2423,7.14,0.84,0.32,0.25,0.22,0.0407,0.0249,0.0503,0.0268,46.77,42.0,44.71
Sample 27/29,TAF008,8375,8375,1484,6891,100.000,1.215,0.1135,2.5415,2.2,0.44,0.34,0.3,0.27,0.0302,0.0263,0.0454,0.0304,40.03,37.0,49.02
Sample 28/29,VLC004,63410,63410,1606,61804,100.000,1.026,2.2394,5.8686,45.4,30.49,22.92,18,14.5,0.0554,0.0458,0.046,0.042,88.07,81.0,35.05
Sample 29/29,VLC009,62729,62729,1926,60803,100.000,1.032,2.5024,4.0453,60.27,44.91,33.98,25.66,19.27,0.0379,0.0354,0.0323,0.0352,100.03,93.0,32.74
