sample_name	total_number_raw_reads_before_clipmerge	total_number_reads_after_clipmerge_prior_mapping	total_number_merged_reads	mean_percent_merged_reads	total_number_reads_not_attempted_to_map	total_number_reads_mapped_prior_rmdup	total_number_duplicates_removed	total_number_reads_mapped_after_rmdup	mean_percent_endogenous_dna	mean_cluster_factor	mean_mean_fold_coverage	mean_std_dev_coverage	mean_percent_coverage_morethan_1x	mean_percent_coverage_morethan_2x	mean_percent_coverage_morethan_3x	mean_percent_coverage_morethan_4x	mean_percent_coverage_morethan_5x	total_number_reads_on_mitochondrium	mean_average_coverage_on_mitochondrium	mean_ratio_mitochondrion_to_nuclear	mean_frequency_damage_1st_base_3prime	mean_frequency_damage_2nd_base_3prime	mean_frequency_damage_1st_base_5prime	mean_frequency_damage_2nd_base_5prime	mean_average_fragment_length	mean_median_fragment_length	mean_percent_gc_content	total_unmapped_reads
LIB007.A0115	1985400	364172	104949	28.819	258418	103702	100088	3614	28.476	28.695	1.00E-04	0.2132	0	0	0	0	0	0	NaN	0	0.0293	0.0252	0.0175	0.0208	58.67	62	93.35	260470
LIB007.A0116	1227864	251819	26141	10.381	225230	99504	96659	2845	39.514	34.975	1.00E-04	0.1513	0	0	0	0	0	0	NaN	0	0.0175	0.0217	0.0171	0.0066	64.7	68	84.9	152315
LIB007.A0135.SG1.1	2830970	838216	101666	12.129	734694	355189	340464	14725	42.374	24.121	3.00E-04	0.2458	0.02	0	0	0	0	6	0.02667632325	81.21	0.0036	0.0061	0.0027	0.0036	69.09	74	53.34	483027
LIB025.A0301	1985302	737031	625246	84.833	111734	24280	4742	19538	3.294	1.243	4.00E-04	0.0228	0.03	0	0	0	0	3	0.01092401473	30.68	0.0055	0.0036	0.005	0.0024	56.42	53	42.8	712751
LIB025.A1001	2785008	1377612	560049	40.654	806232	368292	346338	21954	26.734	16.776	4.00E-04	0.3484	0.03	0	0	0	0	5	0.0267970306	65.55	0.0085	0.0127	0.0099	0.0069	57.66	53	57.2	1009320
LIB025.A1301	1256380	545916	125328	22.957	410694	181248	167531	13717	33.201	13.213	3.00E-04	0.3198	0.01	0	0	0	0	11	0.04623091315	174.22	0.0041	0.0148	0.0012	0.0045	59.94	57	63.2	364668
MTM009.A0102	23621308	9686956	9368911	96.717	310532	116977	46388	70589	1.208	1.657	0.0011	0.3028	0.09	0	0	0	0	22	0.07013096747	65.74	0.02	0.02	0.0228	0.0195	46.8	42	49.51	9569979
MTM009.A0102.SG1.1	356517772	149068856	144850886	97.167	4217570	980682	89936	890746	0.658	1.098333333	0.004666666667	0.129	0.43	0.006666666667	0	0	0	406	0.4774377854	100.01	0.0241	0.02166666667	0.02153333333	0.01776666667	48.40333333	43	45.83666667	148088174
OAK002.A0102.SG1.1	219760056	72308980	70497473	97.493	1811434	133118	16935	116183	0.1843333333	1.141333333	6.00E-04	0.03096666667	0.06	0	0	0	0	60	0.07843965639	129.2533333	0.02793333333	0.02136666667	0.027	0.0206	46.14	36	43.46666667	72175862
OAK005.A0102.SG1.1	65053436	26750722	24849348	92.913	1901312	17092	1707	15385	0.06433333333	1.104666667	6.67E-05	0.01216666667	0.006666666667	0	0	0	0	32	0.0408594363	536.3833333	0.02086666667	0.02746666667	0.023	0.0113	47.49	34.66666667	51.24333333	26733630
OME002.A0102.SG1.1	145490044	72618497	58353783	80.357	14264520	509940	42946	466994	0.702	1.092	0.0078	0.1495	0.72	0.03	0.01	0	0	40	0.1615064277	20.65	0.041	0.0405	0.026	0.026	51.86	46	42.67	72108557
OME003.A0102.SG1.1	166087194	91889828	63506553	69.112	28383070	292568	22579	269989	0.318	1.084	0.0045	0.1004	0.42	0.01	0	0	0	11	0.04345464422	9.69	0.0424	0.0468	0.0238	0.0319	51.43	46	42.46	91597260
OME005.A0102.SG1.1	296525468	167478549	112578247	67.22	54900044	442103	43155	398948	0.264	1.108	0.0068	0.1328	0.63	0.02	0.01	0	0	51	0.2013398515	29.66	0.0402	0.0352	0.0257	0.022	52.68	48	42.99	167036446
PES001.B0103.SG1.1	99729056	50328545	40188358	79.90166667	10140152	224031	30232	193799	0.4436666667	1.148	0.001566666667	0.0423	0.1533333333	0.003333333333	0	0	0	167	0.2673868872	180.57	0.005433333333	0.0051	0.003933333333	0.002666666667	75.95333333	76	45.52	50104514
TAF008.B0102.SG1.1	128930050	52474486	49414725	94.17433333	3059722	113693	18015	95678	0.217	1.171333333	6.67E-04	0.0287	0.06	0	0	0	0	37	0.05166274368	77.65666667	0.0132	0.0094	0.0106	0.007	63	66.33333333	44.97333333	52360793
		1979027160																										
