mapping_type	genus	species	sample_number	sample_name	number_reads_after_clipmerge_prior_mapping	number_reads_mapped_prior_rmdup	number_duplicates_removed	number_reads_mapped_after_rmdup	percent_endogenous_dna	cluster_factor	mean_fold_coverage	std_dev_coverage	percent_coverage_morethan_1x	percent_coverage_morethan_2x	percent_coverage_morethan_3x	percent_coverage_morethan_4x	percent_coverage_morethan_5x	frequency_damage_1st_base_3prime	frequency_damage_2nd_base_3prime	frequency_damage_1st_base_5prime	frequency_damage_2nd_base_5prime	average_fragment_length	median_fragment_length	percent_gc_content	Env	Description	Host_General	Host_Genus	Host_Common	Age	Location	total_number_raw_reads_before_clipmerge	total_number_reads_after_clipmerge_prior_mapping	total_number_merged_reads	mean_percent_merged_reads	total_number_reads_not_attempted_to_map	total_number_reads_mapped_prior_rmdup	total_number_duplicates_removed	total_number_reads_mapped_after_rmdup	mean_percent_endogenous_dna	mean_cluster_factor	mean_mean_fold_coverage	mean_std_dev_coverage	mean_percent_coverage_morethan_1x	mean_percent_coverage_morethan_2x	mean_percent_coverage_morethan_3x	mean_percent_coverage_morethan_4x	mean_percent_coverage_morethan_5x	total_number_reads_on_mitochondrium	mean_average_coverage_on_mitochondrium	mean_ratio_mitochondrion_to_nuclear	mean_frequency_damage_1st_base_3prime	mean_frequency_damage_2nd_base_3prime	mean_frequency_damage_1st_base_5prime	mean_frequency_damage_2nd_base_5prime	mean_average_fragment_length	mean_median_fragment_length	mean_percent_gc_content	total_unmapped_reads
initial_single_genome	Corynebacterium	Corynebacterium_matruchotii_ATCC_14266	Sample 24/29	OME003	28630	28630	8977	19653	100	1.457	0.3495	12.8708	2.21	1.15	0.78	0.58	0.47	0.028	0.0294	0.0225	0.0319	50.79	44	56.41	Howler_Monkey	Alouatta_palliata	Howler	Alouatta	Alouatta	Historical	Nicaragua	166087194	91889828	63506553	69.112	28383070	292568	22579	269989	0.318	1.084	0.0045	0.1004	0.42	0.01	0	0	0	11	0.043454644215101	9.69	0.0424	0.0468	0.0238	0.0319	51.43	46	42.46	91597260
initial_single_genome	Corynebacterium	Corynebacterium_matruchotii_ATCC_14266	Sample 25/29	OME005	37977	37977	17076	20901	100	1.817	0.3756	18.1228	0.97	0.56	0.41	0.34	0.29	0.028	0.0269	0.0269	0.0222	51.33	44	57.6	Howler_Monkey	Alouatta_palliata	Howler	Alouatta	Alouatta	Historical	Nicaragua	296525468	167478549	112578247	67.22	54900044	442103	43155	398948	0.264	1.108	0.0068	0.1328	0.63	0.02	0.01	0	0	51	0.201339851529966	29.66	0.0402	0.0352	0.0257	0.022	52.68	48	42.99	167036446
initial_single_genome	Fretibacterium	Fretibacterium_fastidiosum	Sample 23/29	OME002	1210	1210	155	1055	100	1.147	0.0135	0.4525	0.42	0.19	0.11	0.09	0.06	0.0227	0.0194	0.0237	0.0221	34.85	33	62.77	Howler_Monkey	Alouatta_palliata	Howler	Alouatta	Alouatta	Historical	Nicaragua	145490044	72618497	58353783	80.357	14264520	509940	42946	466994	0.702	1.092	0.0078	0.1495	0.72	0.03	0.01	0	0	40	0.161506427666123	20.65	0.041	0.0405	0.026	0.026	51.86	46	42.67	72108557
initial_single_genome	Fretibacterium	Fretibacterium_fastidiosum	Sample 24/29	OME003	871	871	99	772	100	1.128	0.0098	0.3497	0.35	0.15	0.08	0.06	0.05	0.0565	0.0242	0.0415	0.0272	34.79	33	61.32	Howler_Monkey	Alouatta_palliata	Howler	Alouatta	Alouatta	Historical	Nicaragua	166087194	91889828	63506553	69.112	28383070	292568	22579	269989	0.318	1.084	0.0045	0.1004	0.42	0.01	0	0	0	11	0.043454644215101	9.69	0.0424	0.0468	0.0238	0.0319	51.43	46	42.46	91597260
initial_single_genome	Fretibacterium	Fretibacterium_fastidiosum	Sample 25/29	OME005	1145	1145	211	934	100	1.226	0.0119	0.5747	0.37	0.16	0.1	0.07	0.06	0.0293	0.015	0.0258	0.0388	34.75	33	62.98	Howler_Monkey	Alouatta_palliata	Howler	Alouatta	Alouatta	Historical	Nicaragua	296525468	167478549	112578247	67.22	54900044	442103	43155	398948	0.264	1.108	0.0068	0.1328	0.63	0.02	0.01	0	0	51	0.201339851529966	29.66	0.0402	0.0352	0.0257	0.022	52.68	48	42.99	167036446
initial_single_genome	Fusobacterium	Fusobacterium_hwasookii_ChDC_F206	Sample 23/29	OME002	60322	60322	6262	54060	100	1.116	1.172	7.7925	19.78	11.95	8.61	6.72	5.45	0.027	0.0311	0.0242	0.0294	52.69	47	37.89	Howler_Monkey	Alouatta_palliata	Howler	Alouatta	Alouatta	Historical	Nicaragua	145490044	72618497	58353783	80.357	14264520	509940	42946	466994	0.702	1.092	0.0078	0.1495	0.72	0.03	0.01	0	0	40	0.161506427666123	20.65	0.041	0.0405	0.026	0.026	51.86	46	42.67	72108557
initial_single_genome	Fusobacterium	Fusobacterium_hwasookii_ChDC_F206	Sample 24/29	OME003	97434	97434	10361	87073	100	1.119	1.9451	10.3019	26.04	16.6	12.3	9.83	8.16	0.027	0.0346	0.0231	0.0339	54.29	48	37.1	Howler_Monkey	Alouatta_palliata	Howler	Alouatta	Alouatta	Historical	Nicaragua	166087194	91889828	63506553	69.112	28383070	292568	22579	269989	0.318	1.084	0.0045	0.1004	0.42	0.01	0	0	0	11	0.043454644215101	9.69	0.0424	0.0468	0.0238	0.0319	51.43	46	42.46	91597260
initial_single_genome	Fusobacterium	Fusobacterium_hwasookii_ChDC_F206	Sample 25/29	OME005	92541	92541	15291	77250	100	1.198	1.9332	12.9489	30.45	19.7	14.09	10.53	8.14	0.0254	0.0262	0.0219	0.0253	60.82	58	37.79	Howler_Monkey	Alouatta_palliata	Howler	Alouatta	Alouatta	Historical	Nicaragua	296525468	167478549	112578247	67.22	54900044	442103	43155	398948	0.264	1.108	0.0068	0.1328	0.63	0.02	0.01	0	0	51	0.201339851529966	29.66	0.0402	0.0352	0.0257	0.022	52.68	48	42.99	167036446
initial_single_genome	Olsenella	Olsenella_sp_oral_taxon_807	Sample 23/29	OME002	17154	17154	3983	13171	100	1.302	0.1843	6.6804	1.26	0.7	0.49	0.39	0.32	0.0382	0.0341	0.0275	0.0261	44.97	39	57.7	Howler_Monkey	Alouatta_palliata	Howler	Alouatta	Alouatta	Historical	Nicaragua	145490044	72618497	58353783	80.357	14264520	509940	42946	466994	0.702	1.092	0.0078	0.1495	0.72	0.03	0.01	0	0	40	0.161506427666123	20.65	0.041	0.0405	0.026	0.026	51.86	46	42.67	72108557
initial_single_genome	Olsenella	Olsenella_sp_oral_taxon_807	Sample 24/29	OME003	16703	16703	4461	12242	100	1.364	0.1759	6.635	1.12	0.61	0.42	0.33	0.27	0.0369	0.0386	0.0264	0.0306	46.19	41	57.23	Howler_Monkey	Alouatta_palliata	Howler	Alouatta	Alouatta	Historical	Nicaragua	166087194	91889828	63506553	69.112	28383070	292568	22579	269989	0.318	1.084	0.0045	0.1004	0.42	0.01	0	0	0	11	0.043454644215101	9.69	0.0424	0.0468	0.0238	0.0319	51.43	46	42.46	91597260
initial_single_genome	Olsenella	Olsenella_sp_oral_taxon_807	Sample 25/29	OME005	26603	26603	10975	15628	100	1.702	0.2278	10.3175	0.7	0.36	0.26	0.21	0.18	0.0327	0.0343	0.0302	0.0313	46.84	41	56.53	Howler_Monkey	Alouatta_palliata	Howler	Alouatta	Alouatta	Historical	Nicaragua	296525468	167478549	112578247	67.22	54900044	442103	43155	398948	0.264	1.108	0.0068	0.1328	0.63	0.02	0.01	0	0	51	0.201339851529966	29.66	0.0402	0.0352	0.0257	0.022	52.68	48	42.99	167036446
initial_single_genome	Ottowia	Ottowia_sp_oral_taxon_894	Sample 23/29	OME002	819689	819689	97547	722142	100	1.135	15.7785	11.4666	92.98	91.7	90.33	88.87	87.3	0.0121	0.01	0.012	0.0096	63.93	61	63.35	Howler_Monkey	Alouatta_palliata	Howler	Alouatta	Alouatta	Historical	Nicaragua	145490044	72618497	58353783	80.357	14264520	509940	42946	466994	0.702	1.092	0.0078	0.1495	0.72	0.03	0.01	0	0	40	0.161506427666123	20.65	0.041	0.0405	0.026	0.026	51.86	46	42.67	72108557
initial_single_genome	Ottowia	Ottowia_sp_oral_taxon_894	Sample 24/29	OME003	773323	773323	89723	683600	100	1.131	15.694	12.048	92.74	91.31	89.98	88.7	87.37	0.0117	0.012	0.009	0.0127	67.17	72	63.06	Howler_Monkey	Alouatta_palliata	Howler	Alouatta	Alouatta	Historical	Nicaragua	166087194	91889828	63506553	69.112	28383070	292568	22579	269989	0.318	1.084	0.0045	0.1004	0.42	0.01	0	0	0	11	0.043454644215101	9.69	0.0424	0.0468	0.0238	0.0319	51.43	46	42.46	91597260
initial_single_genome	Ottowia	Ottowia_sp_oral_taxon_894	Sample 25/29	OME005	1801397	1801397	281246	1520151	100	1.185	36.1567	25.1025	89.25	88.32	87.78	87.33	86.92	0.0124	0.0088	0.0123	0.0083	69.59	74	63.86	Howler_Monkey	Alouatta_palliata	Howler	Alouatta	Alouatta	Historical	Nicaragua	296525468	167478549	112578247	67.22	54900044	442103	43155	398948	0.264	1.108	0.0068	0.1328	0.63	0.02	0.01	0	0	51	0.201339851529966	29.66	0.0402	0.0352	0.0257	0.022	52.68	48	42.99	167036446
initial_single_genome	Porphyromonas	Porphyromonas_gingivalis_ATCC_33277	Sample 23/29	OME002	126398	126398	13981	112417	100	1.124	2.8658	7.9281	53.7	42.72	34.59	27.73	21.72	0.0232	0.0246	0.0206	0.0231	60.03	56	50.33	Howler_Monkey	Alouatta_palliata	Howler	Alouatta	Alouatta	Historical	Nicaragua	145490044	72618497	58353783	80.357	14264520	509940	42946	466994	0.702	1.092	0.0078	0.1495	0.72	0.03	0.01	0	0	40	0.161506427666123	20.65	0.041	0.0405	0.026	0.026	51.86	46	42.67	72108557
initial_single_genome	Porphyromonas	Porphyromonas_gingivalis_ATCC_33277	Sample 24/29	OME003	363147	363147	42616	320531	100	1.133	8.7339	13.9174	61.31	54.83	50.54	47.2	44.43	0.023	0.0264	0.0188	0.0287	64.17	65	49.96	Howler_Monkey	Alouatta_palliata	Howler	Alouatta	Alouatta	Historical	Nicaragua	166087194	91889828	63506553	69.112	28383070	292568	22579	269989	0.318	1.084	0.0045	0.1004	0.42	0.01	0	0	0	11	0.043454644215101	9.69	0.0424	0.0468	0.0238	0.0319	51.43	46	42.46	91597260
initial_single_genome	Porphyromonas	Porphyromonas_gingivalis_ATCC_33277	Sample 25/29	OME005	23859	23859	6438	17421	100	1.37	0.3917	10.4652	5.63	1.86	1.15	0.88	0.71	0.0222	0.02	0.0201	0.0185	52.94	47	53.93	Howler_Monkey	Alouatta_palliata	Howler	Alouatta	Alouatta	Historical	Nicaragua	296525468	167478549	112578247	67.22	54900044	442103	43155	398948	0.264	1.108	0.0068	0.1328	0.63	0.02	0.01	0	0	51	0.201339851529966	29.66	0.0402	0.0352	0.0257	0.022	52.68	48	42.99	167036446
initial_single_genome	Prevotella	Prevotella_loescheii_DSM_19665_JCM_12249_ATCC_15930	Sample 23/29	OME002	8787	8787	2698	6089	100	1.443	0.0844	5.7881	0.84	0.34	0.22	0.17	0.14	0.0258	0.0202	0.0275	0.0229	48.66	43	53.93	Howler_Monkey	Alouatta_palliata	Howler	Alouatta	Alouatta	Historical	Nicaragua	145490044	72618497	58353783	80.357	14264520	509940	42946	466994	0.702	1.092	0.0078	0.1495	0.72	0.03	0.01	0	0	40	0.161506427666123	20.65	0.041	0.0405	0.026	0.026	51.86	46	42.67	72108557
initial_single_genome	Prevotella	Prevotella_loescheii_DSM_19665_JCM_12249_ATCC_15930	Sample 24/29	OME003	9926	9926	3248	6678	100	1.486	0.0967	5.7809	1.48	0.59	0.31	0.22	0.17	0.0219	0.03	0.018	0.0178	50.8	44	52.41	Howler_Monkey	Alouatta_palliata	Howler	Alouatta	Alouatta	Historical	Nicaragua	166087194	91889828	63506553	69.112	28383070	292568	22579	269989	0.318	1.084	0.0045	0.1004	0.42	0.01	0	0	0	11	0.043454644215101	9.69	0.0424	0.0468	0.0238	0.0319	51.43	46	42.46	91597260
initial_single_genome	Prevotella	Prevotella_loescheii_DSM_19665_JCM_12249_ATCC_15930	Sample 25/29	OME005	13766	13766	7198	6568	100	2.096	0.0966	8.2126	0.53	0.2	0.12	0.09	0.07	0.0228	0.0207	0.0253	0.0119	51.63	47	55.41	Howler_Monkey	Alouatta_palliata	Howler	Alouatta	Alouatta	Historical	Nicaragua	296525468	167478549	112578247	67.22	54900044	442103	43155	398948	0.264	1.108	0.0068	0.1328	0.63	0.02	0.01	0	0	51	0.201339851529966	29.66	0.0402	0.0352	0.0257	0.022	52.68	48	42.99	167036446
initial_single_genome	Pseudopropionibacterium	Pseudopropionibacterium_propionicum_F0230a	Sample 23/29	OME002	191037	191037	24302	166735	100	1.146	2.3677	13.4634	29.52	16.5	12.06	10	8.74	0.0226	0.0205	0.0217	0.0207	48.98	41	63.58	Howler_Monkey	Alouatta_palliata	Howler	Alouatta	Alouatta	Historical	Nicaragua	145490044	72618497	58353783	80.357	14264520	509940	42946	466994	0.702	1.092	0.0078	0.1495	0.72	0.03	0.01	0	0	40	0.161506427666123	20.65	0.041	0.0405	0.026	0.026	51.86	46	42.67	72108557
initial_single_genome	Pseudopropionibacterium	Pseudopropionibacterium_propionicum_F0230a	Sample 24/29	OME003	178574	178574	23418	155156	100	1.151	2.2552	14.3447	16.16	12.63	10.56	9.09	8.03	0.0208	0.0269	0.0183	0.0266	50.14	43	62.96	Howler_Monkey	Alouatta_palliata	Howler	Alouatta	Alouatta	Historical	Nicaragua	166087194	91889828	63506553	69.112	28383070	292568	22579	269989	0.318	1.084	0.0045	0.1004	0.42	0.01	0	0	0	11	0.043454644215101	9.69	0.0424	0.0468	0.0238	0.0319	51.43	46	42.46	91597260
initial_single_genome	Pseudopropionibacterium	Pseudopropionibacterium_propionicum_F0230a	Sample 25/29	OME005	512841	512841	98944	413897	100	1.239	6.4958	36.859	18.79	15.84	14.08	12.78	11.76	0.0206	0.0197	0.0188	0.0179	54.13	47	63.94	Howler_Monkey	Alouatta_palliata	Howler	Alouatta	Alouatta	Historical	Nicaragua	296525468	167478549	112578247	67.22	54900044	442103	43155	398948	0.264	1.108	0.0068	0.1328	0.63	0.02	0.01	0	0	51	0.201339851529966	29.66	0.0402	0.0352	0.0257	0.022	52.68	48	42.99	167036446
initial_single_genome	Selenomonas	Selenomonas_sp_F0473	Sample 23/29	OME002	79404	79404	12218	67186	100	1.182	1.8104	12.7186	44.77	29.03	19.67	13.27	8.87	0.0253	0.0234	0.0226	0.0219	55.71	49	56.43	Howler_Monkey	Alouatta_palliata	Howler	Alouatta	Alouatta	Historical	Nicaragua	145490044	72618497	58353783	80.357	14264520	509940	42946	466994	0.702	1.092	0.0078	0.1495	0.72	0.03	0.01	0	0	40	0.161506427666123	20.65	0.041	0.0405	0.026	0.026	51.86	46	42.67	72108557
initial_single_genome	Selenomonas	Selenomonas_sp_F0473	Sample 24/29	OME003	69087	69087	12270	56817	100	1.216	1.558	13.5127	39.56	23.14	14.27	9.01	5.9	0.0235	0.0284	0.0172	0.0264	56.69	51	55.59	Howler_Monkey	Alouatta_palliata	Howler	Alouatta	Alouatta	Historical	Nicaragua	166087194	91889828	63506553	69.112	28383070	292568	22579	269989	0.318	1.084	0.0045	0.1004	0.42	0.01	0	0	0	11	0.043454644215101	9.69	0.0424	0.0468	0.0238	0.0319	51.43	46	42.46	91597260
initial_single_genome	Selenomonas	Selenomonas_sp_F0473	Sample 25/29	OME005	101235	101235	26092	75143	100	1.347	2.3305	17.8142	44.56	31.69	23.91	18.27	13.82	0.0249	0.0253	0.0225	0.0226	64.12	70	57.08	Howler_Monkey	Alouatta_palliata	Howler	Alouatta	Alouatta	Historical	Nicaragua	296525468	167478549	112578247	67.22	54900044	442103	43155	398948	0.264	1.108	0.0068	0.1328	0.63	0.02	0.01	0	0	51	0.201339851529966	29.66	0.0402	0.0352	0.0257	0.022	52.68	48	42.99	167036446
initial_single_genome	Streptococcus	Streptococcus_gordonii_str_Challis_substr_CH1	Sample 23/29	OME002	151118	151118	24272	126846	100	1.191	3.2988	29.4361	6.56	4.98	4.24	3.77	3.45	0.0188	0.0179	0.0186	0.0163	57.12	50	49.2	Howler_Monkey	Alouatta_palliata	Howler	Alouatta	Alouatta	Historical	Nicaragua	145490044	72618497	58353783	80.357	14264520	509940	42946	466994	0.702	1.092	0.0078	0.1495	0.72	0.03	0.01	0	0	40	0.161506427666123	20.65	0.041	0.0405	0.026	0.026	51.86	46	42.67	72108557
initial_single_genome	Streptococcus	Streptococcus_gordonii_str_Challis_substr_CH1	Sample 24/29	OME003	183437	183437	39592	143845	100	1.275	3.8279	34.1046	6.28	5.01	4.39	3.97	3.65	0.0176	0.0212	0.0152	0.0214	58.45	53	48.8	Howler_Monkey	Alouatta_palliata	Howler	Alouatta	Alouatta	Historical	Nicaragua	166087194	91889828	63506553	69.112	28383070	292568	22579	269989	0.318	1.084	0.0045	0.1004	0.42	0.01	0	0	0	11	0.043454644215101	9.69	0.0424	0.0468	0.0238	0.0319	51.43	46	42.46	91597260
initial_single_genome	Streptococcus	Streptococcus_gordonii_str_Challis_substr_CH1	Sample 25/29	OME005	551262	551262	195571	355691	100	1.55	10.1589	92.7952	7.09	5.8	5.21	4.77	4.46	0.017	0.0166	0.0149	0.0146	62.73	58	49.3	Howler_Monkey	Alouatta_palliata	Howler	Alouatta	Alouatta	Historical	Nicaragua	296525468	167478549	112578247	67.22	54900044	442103	43155	398948	0.264	1.108	0.0068	0.1328	0.63	0.02	0.01	0	0	51	0.201339851529966	29.66	0.0402	0.0352	0.0257	0.022	52.68	48	42.99	167036446
initial_single_genome	Streptococcus	Streptococcus_sanguinis_SK36	Sample 23/29	OME002	190470	190470	37326	153144	100	1.244	3.6362	33.1121	7.89	5.99	5.07	4.47	4.06	0.0207	0.0207	0.0194	0.0202	56.72	50	48.85	Howler_Monkey	Alouatta_palliata	Howler	Alouatta	Alouatta	Historical	Nicaragua	145490044	72618497	58353783	80.357	14264520	509940	42946	466994	0.702	1.092	0.0078	0.1495	0.72	0.03	0.01	0	0	40	0.161506427666123	20.65	0.041	0.0405	0.026	0.026	51.86	46	42.67	72108557
initial_single_genome	Streptococcus	Streptococcus_sanguinis_SK36	Sample 24/29	OME003	231181	231181	59043	172138	100	1.343	4.1824	38.0515	7.2	5.66	4.94	4.44	4.09	0.0197	0.0227	0.0172	0.0238	58.04	52	48.49	Howler_Monkey	Alouatta_palliata	Howler	Alouatta	Alouatta	Historical	Nicaragua	166087194	91889828	63506553	69.112	28383070	292568	22579	269989	0.318	1.084	0.0045	0.1004	0.42	0.01	0	0	0	11	0.043454644215101	9.69	0.0424	0.0468	0.0238	0.0319	51.43	46	42.46	91597260
initial_single_genome	Streptococcus	Streptococcus_sanguinis_SK36	Sample 25/29	OME005	693359	693359	275168	418191	100	1.658	10.88	100.0477	8.21	6.71	5.95	5.45	5.08	0.0187	0.0191	0.0178	0.0167	62.14	57	49.1	Howler_Monkey	Alouatta_palliata	Howler	Alouatta	Alouatta	Historical	Nicaragua	296525468	167478549	112578247	67.22	54900044	442103	43155	398948	0.264	1.108	0.0068	0.1328	0.63	0.02	0.01	0	0	51	0.201339851529966	29.66	0.0402	0.0352	0.0257	0.022	52.68	48	42.99	167036446
initial_single_genome	Tannerella	Tannerella_forsythia_92A2	Sample 23/29	OME002	19997	19997	3750	16247	100	1.231	0.2573	6.4321	2.52	1.83	1.55	1.36	1.18	0.0234	0.022	0.0252	0.0201	53.92	47	50.02	Howler_Monkey	Alouatta_palliata	Howler	Alouatta	Alouatta	Historical	Nicaragua	145490044	72618497	58353783	80.357	14264520	509940	42946	466994	0.702	1.092	0.0078	0.1495	0.72	0.03	0.01	0	0	40	0.161506427666123	20.65	0.041	0.0405	0.026	0.026	51.86	46	42.67	72108557
initial_single_genome	Tannerella	Tannerella_forsythia_92A2	Sample 24/29	OME003	33586	33586	6450	27136	100	1.238	0.4821	7.8373	2.21	1.67	1.5	1.4	1.33	0.0192	0.0213	0.0165	0.0254	60.5	57	47.94	Howler_Monkey	Alouatta_palliata	Howler	Alouatta	Alouatta	Historical	Nicaragua	166087194	91889828	63506553	69.112	28383070	292568	22579	269989	0.318	1.084	0.0045	0.1004	0.42	0.01	0	0	0	11	0.043454644215101	9.69	0.0424	0.0468	0.0238	0.0319	51.43	46	42.46	91597260
