Sample number,Sample Name,# reads after C&M prior mapping,# mapped reads prior RMDup,# of Duplicates removed,Mapped Reads after RMDup,Endogenous DNA (%),Cluster Factor,Mean Coverage,std. dev. Coverage,Coverage >= 1X in %,Coverage >= 2X in %,Coverage >= 3X in %,Coverage >= 4X in %,Coverage >= 5X in %,DMG 1st Base 3',DMG 2nd Base 3',DMG 1st Base 5',DMG 2nd Base 5',average fragment length,median fragment length,GC content in %
Sample 13/29,KNP009,132686,132686,11619,121067,100.000,1.096,2.5342,6.7691,56.07,41.52,31.75,24.5,18.89,0.0224,0.0279,0.0209,0.0271,57.4,53.0,50.63
Sample 14/29,LIB007.A0115,1,1,0,1,100.000,1.000,0,0.0035,0,0,0,0,0,0.0,0.0,0.0,0.0,34.0,34.0,58.82
Sample 15/29,LIB007.A0116,4,4,0,4,100.000,1.000,0.0001,0.0091,0,0,0,0,0,0.0,0.0,0.0,0.0,37.75,38.0,63.58
Sample 16/29,LIB007.A0135.SG1.1,2,2,0,2,100.000,1.000,0,0.0066,0,0,0,0,0,0.0,0.0,0.0,0.0,60.5,60.5,52.89
Sample 17/29,LIB025.A0301,38,38,7,31,100.000,1.226,0.0005,0.0277,0.04,0,0,0,0,0.25,0.0,0.1111,0.1111,45.32,41.0,55.91
Sample 18/29,LIB025.A1001,5,5,1,4,100.000,1.250,0,0.0068,0,0,0,0,0,0.0,0.0,0.0,0.0,31.75,31.0,54.76
Sample 19/29,LIB025.A1301,8,8,3,5,100.000,1.600,0.0001,0.0077,0.01,0,0,0,0,0.0,0.0,0.0,0.0,32.8,32.0,62.8
Sample 20/29,MTM009,77768,77768,25357,52411,100.000,1.484,0.8187,9.8694,28.51,14.14,7.56,4.14,2.35,0.03,0.0313,0.0284,0.0285,42.83,39.0,52.82
Sample 21/29,OAK002,35057,35057,10767,24290,100.000,1.443,0.3694,5.1433,21.83,3.81,0.66,0.21,0.15,0.0378,0.0302,0.0373,0.0283,41.69,37.0,51.65
Sample 22/29,OAK005,52422,52422,5081,47341,100.000,1.107,0.7702,2.2045,42.41,18.37,7.73,3.14,1.27,0.0258,0.0283,0.029,0.0274,44.61,40.0,51.49
Sample 23/29,OME002,83665,83665,10693,72972,100.000,1.147,1.7322,4.9493,67.41,46.5,27.48,13.99,6.18,0.0176,0.0145,0.0155,0.0169,65.09,63.0,49.67
Sample 24/29,OME003,126746,126746,15447,111299,100.000,1.139,2.8118,5.4414,74.62,63.09,49.47,35.49,22.81,0.0137,0.0179,0.0111,0.0186,69.28,75.0,49.56
Sample 25/29,OME005,13578,13578,5708,7870,100.000,1.725,0.1295,7.3934,0.28,0.16,0.13,0.12,0.1,0.0455,0.0418,0.0299,0.0311,45.12,40.0,55.34
Sample 26/29,PES001,18433,18433,2906,15527,100.000,1.187,0.2788,2.4545,19.46,3.54,0.62,0.16,0.09,0.0441,0.0289,0.0356,0.0304,49.23,43.0,51.9
Sample 27/29,TAF008,55413,55413,11687,43726,100.000,1.267,0.6516,2.7176,39.03,13.96,4.67,1.59,0.59,0.0487,0.0308,0.0533,0.0307,40.86,37.0,50.21
Sample 28/29,VLC004,117929,117929,3031,114898,100.000,1.026,3.9171,5.8057,62.99,48.11,39.71,33.95,29.4,0.0325,0.031,0.0289,0.0251,93.48,86.0,50.9
Sample 29/29,VLC009,12540,12540,398,12142,100.000,1.033,0.4168,1.1379,29.11,7.93,2.29,0.72,0.27,0.0417,0.0353,0.0296,0.0295,94.12,84.0,50.31
