Sample_Name	Raw_Reads	Post_Clip_and_Merge	Percent_Merged_Content_Post_Clip_and_Merge	Mapped_Reads	Percent_Endogenous_DNA	Post_Duplicate_Removal_Reads	Cluster_Factor	X_Mean_Coverage	mtDNA_Reads	Median_Fragment_Length	GC_Content_Percent	Non_Human_Reads
SRR514306	106367632	37922051	49.07608505	2516	0.006634662244	2071	1.214872042	0.0001	0	98	40.62	37919535
SRR514329	165512204	28154404	4.337939457	14310	0.05082686176	13326	1.073840612	0.0003	0	44	38.69	28140094
TAF008.B0101	26880590	11620086	96.77040256	95201	0.8192796508	19165	4.967440647	0.0003	3	49	55.09	11524885
TAF016.B0101	12036150	5938606	31.14118027	1169016	19.68502372	18676	62.59455986	0.0004	22	61	61.27	4769590
TAF017.A0101	17735630	7533420	30.28774448	1959041	26.00466986	15914	123.1017343	0.0003	15	60	67.54	5574379
TAF017.C0101	6739326	2739804	98.03318048	10501	0.383275592	3854	2.724701609	0.0001	0	50	69.75	2729303
TAF017.C0101.171215	6781684	2759173	98.02556781	10630	0.3852603661	3780	2.812169312	0.0001	1	52	69.38	2748543
TAF017.E0101	62506	35093	66.49759211	2058	5.864417405	1436	1.433147632	0	1	73	49.22	33035
TAF017.E0101.171215	64824	36203	67.32591222	2136	5.900063531	1447	1.476157567	0	0	73	49.99	34067
TAF018.A0101	15631906	8343725	69.55610354	342474	4.104569602	13143	26.05752111	0.0003	11	70	61.16	8001251
TAF018.B0101	15041368	6861077	92.06292248	180548	2.631481909	32339	5.582980302	0.0006	16	55	50.82	6680529
VLC001.A0101	82467326	41712519	96.5179015	7261817	17.40920274	6858262	1.058842167	0.2635	1948	112	44.24	34450702
VLC002.A0101	31782890	15783566	98.67287278	50339	0.3189329965	15212	3.309163818	0.0004	4	84	61.26	15733227
VLC003.A0101	52539098	26198342	98.25069083	103728	0.3959334526	24464	4.240026161	0.0007	10	87	58.73	26094614
VLC004.A0101	87382752	43563848	97.77574745	248734	0.5709642546	114028	2.181341425	0.0041	165	104	47.57	43315114
VLC005.A0101	89173288	44369413	97.81057279	238067	0.5365565688	104063	2.287719939	0.0035	67	96	46.91	44131346
VLC008.A0101	70978956	35900972	96.19398884	124852	0.3477677429	12098	10.3200529	0.0004	7	83	75.95	35776120
VLC009.A0101	66958370	33786897	96.50222392	122113	0.3614211746	16823	7.258693455	0.0005	248	90	64.26	33664784
VLC010.A0101	38772040	19368986	97.59468565	255900	1.321184289	192213	1.33133555	0.0077	344	120	46.1	19113086
VLD001.A0101	23582588	10434687	94.80094611	1393973	13.35903032	1063441	1.31081367	0.0205	2040	54	46.11	9040714
WAL001.A0101	9883232	4770409	92.06592139	32916	0.6900037292	24309	1.354066395	0.0004	20	49	51.62	4737493
WAL001.A0101.171215	21199810	10214626	92.30078517	70696	0.692105614	50161	1.409381791	0.0009	39	48	50.48	10143930
ZAF001.A0101	30028164	11864184	89.65471203	3114339	26.24992161	1761386	1.768118402	0.0401	2370	71	44.4	8749845
