Taxon Genus	Taxon	Block ID (nt)	Host Genus Grouping (nt)
Rothia	Rothia_dentocariosa	NA	
Neisseria	Neisseria_bacilliformis	NA	
Propionibacterium	Propionibacterium_sp._oral_taxon_192	NA	
Actinomyces	Actinomyces_sp._oral_taxon_877	7	Homo specific (Neanderthal specific; sporadic across remaining groups)
Actinomyces	Actinomyces_georgiae	7	Homo specific (Neanderthal specific; sporadic across remaining groups)
Actinomyces	Actinomyces_slackii	7	Homo specific (Neanderthal specific; sporadic across remaining groups)
Actinomyces	Actinomyces_radicidentis	7	Homo specific (Neanderthal specific; sporadic across remaining groups)
Actinomyces	Actinomyces_urogenitalis	7	Homo specific (Neanderthal specific; sporadic across remaining groups)
Actinomyces	Actinomyces_timonensis	7	Homo specific (Neanderthal specific; sporadic across remaining groups)
Actinomyces	Actinomyces_sp._oral_taxon_171	7	Homo specific (Neanderthal specific; sporadic across remaining groups)
Actinomyces	Actinomyces_sp._oral_taxon_849	7	Homo specific (Neanderthal specific; sporadic across remaining groups)
Actinomyces	Actinomyces_sp._HMSC075C01	7	Homo specific (Neanderthal specific; sporadic across remaining groups)
Actinomyces	Actinomyces_viscosus	7	Homo specific (Neanderthal specific; sporadic across remaining groups)
Actinomyces	Actinomyces_sp._HMSC08A09	7	Homo specific (Neanderthal specific; sporadic across remaining groups)
Actinobaculum	Actinobaculum_sp._oral_taxon_183	NA	
Fusobacterium	Fusobacterium_periodonticum	NA	
Fusobacterium	Fusobacterium_hwasookii	NA	
Selenomonas	Selenomonas_sputigena	8	Homo specific (modern day and non-pan ancient human specific)
Selenomonas	Selenomonas_noxia	8	Homo specific (modern day and non-pan ancient human specific)
Selenomonas	Selenomonas_sp._oral_taxon_892	8	Homo specific (modern day and non-pan ancient human specific)
Prevotella	Prevotella_saccharolytica	8	Homo specific (modern day and non-pan ancient human specific)
Prevotella	Prevotella_sp._oral_taxon_472	8	Homo specific (modern day and non-pan ancient human specific)
Prevotella	Prevotella_loescheii	8	Homo specific (modern day and non-pan ancient human specific)
Capnocytophaga	Capnocytophaga_ochracea	9	Homo specific (modern day human specific)
Selenomonas	Selenomonas_artemidis	9	Homo specific (modern day human specific)
Campylobacter	Campylobacter_concisus	9	Homo specific (modern day human specific)
Leptotrichia	Leptotrichia_buccalis	9	Homo specific (modern day human specific)
Selenomonas	Selenomonas_sp._oral_taxon_126	9	Homo specific (modern day human specific)
Selenomonas	Selenomonas_infelix	9	Homo specific (modern day human specific)
Selenomonas	Selenomonas_sp._oral_taxon_920	9	Homo specific (modern day human specific)
Selenomonas	Selenomonas_sp._oral_taxon_138	9	Homo specific (modern day human specific)
Leptotrichia	Leptotrichia_sp._oral_taxon_215	9	Homo specific (modern day human specific)
Eikenella	Eikenella_sp._HMSC061C02	9	Homo specific (modern day human specific)
Capnocytophaga	Capnocytophaga_sp._oral_taxon_338	9	Homo specific (modern day human specific)
Neisseria	Neisseria_sp._HMSC31F04	9	Homo specific (modern day human specific)
Kingella	Kingella_denitrificans	9	Homo specific (modern day human specific)
Capnocytophaga	Capnocytophaga_granulosa	9	Homo specific (modern day human specific)
Capnocytophaga	Capnocytophaga_sp._oral_taxon_878	9	Homo specific (modern day human specific)
Capnocytophaga	Capnocytophaga_sp._oral_taxon_332	9	Homo specific (modern day human specific)
Capnocytophaga	Capnocytophaga_sp._oral_taxon_863	9	Homo specific (modern day human specific)
Capnocytophaga	Capnocytophaga_sp._oral_taxon_329	9	Homo specific (modern day human specific)
Capnocytophaga	Capnocytophaga_sp._ChDC_OS43	9	Homo specific (modern day human specific)
Capnocytophaga	Capnocytophaga_leadbetteri	9	Homo specific (modern day human specific)
Porphyromonas	Porphyromonas_catoniae	9	Homo specific (modern day human specific)
Capnocytophaga	Capnocytophaga_sp._oral_taxon_326	9	Homo specific (modern day human specific)
Aggregatibacter	Aggregatibacter_sp._oral_taxon_458	10	Homo/Gorilla/Alouatta specific (modern day human specific; subset Gorillas)
Neisseria	Neisseria_meningitidis	10	Homo/Gorilla/Alouatta specific (modern day human specific; subset Gorillas)
Neisseria	Neisseria_gonorrhoeae	10	Homo/Gorilla/Alouatta specific (modern day human specific; subset Gorillas)
Neisseria	Neisseria_sp._HMSC03D10	10	Homo/Gorilla/Alouatta specific (modern day human specific; subset Gorillas)
Neisseria	Neisseria_mucosa	10	Homo/Gorilla/Alouatta specific (modern day human specific; subset Gorillas)
Neisseria	Neisseria_sp._GT4A_CT1	10	Homo/Gorilla/Alouatta specific (modern day human specific; subset Gorillas)
Neisseria	Neisseria_sp._HMSC074B07	10	Homo/Gorilla/Alouatta specific (modern day human specific; subset Gorillas)
Neisseria	Neisseria_sp._HMSC055H02	10	Homo/Gorilla/Alouatta specific (modern day human specific; subset Gorillas)
Neisseria	Neisseria_sp._HMSC15C08	10	Homo/Gorilla/Alouatta specific (modern day human specific; subset Gorillas)
Neisseria	Neisseria_sp._HMSC072F04	10	Homo/Gorilla/Alouatta specific (modern day human specific; subset Gorillas)
Morococcus	Morococcus_cerebrosus	10	Homo/Gorilla/Alouatta specific (modern day human specific; subset Gorillas)
Neisseria	Neisseria_sicca	10	Homo/Gorilla/Alouatta specific (modern day human specific; subset Gorillas)
Neisseria	Neisseria_sp._HMSC70E02	10	Homo/Gorilla/Alouatta specific (modern day human specific; subset Gorillas)
Neisseria	Neisseria_sp._HMSC065D04	10	Homo/Gorilla/Alouatta specific (modern day human specific; subset Gorillas)
Neisseria	Neisseria_macacae	10	Homo/Gorilla/Alouatta specific (modern day human specific; subset Gorillas)
Neisseria	Neisseria_sp._HMSC077D05	10	Homo/Gorilla/Alouatta specific (modern day human specific; subset Gorillas)
Neisseria	Neisseria_sp._HMSC064E01	10	Homo/Gorilla/Alouatta specific (modern day human specific; subset Gorillas)
Actinomyces	Actinomyces_sp._oral_taxon_848	NA	
Streptococcus	Streptococcus_mutans	11	Gorilla/Alouatta specific
Aggregatibacter	Aggregatibacter_actinomycetemcomitans	11	Gorilla/Alouatta specific
Eggerthia	Eggerthia_catenaformis	12	Pan/Homo specific (pan-associated ancient humans)
Peptoanaerobacter	Peptoanaerobacter_stomatis	12	Pan/Homo specific (pan-associated ancient humans)
Peptostreptococcaceae	Peptostreptococcaceae_bacterium_pGA-8	12	Pan/Homo specific (pan-associated ancient humans)
Peptoniphilus	Peptoniphilus_sp._oral_taxon_386	12	Pan/Homo specific (pan-associated ancient humans)
Kingella	Kingella_oralis	13	Gorilla/Alouatta specific
Campylobacter	Campylobacter_curvus	13	Gorilla/Alouatta specific
Leptotrichia	Leptotrichia_goodfellowii	13	Gorilla/Alouatta specific
Streptococcus	Streptococcus_pseudopneumoniae	13	Gorilla/Alouatta specific
Streptococcus	Streptococcus_mitis	13	Gorilla/Alouatta specific
Centipeda	Centipeda_periodontii	13	Gorilla/Alouatta specific
Streptococcus	Streptococcus_intermedius	13	Gorilla/Alouatta specific
Streptococcus	Streptococcus_equi	13	Gorilla/Alouatta specific
Streptococcus	Streptococcus_anginosus	13	Gorilla/Alouatta specific
Solobacterium	Solobacterium_moorei	14	Pan specific
Mogibacterium	Mogibacterium_diversum	14	Pan specific
Actinomyces	Actinomyces_culturomici	14	Pan specific
Treponema	Treponema_putidum	14	Pan specific
Lawsonella	Lawsonella_clevelandensis	14	Pan specific
methanogenic	methanogenic_archaeon_ISO4-H5	14	Pan specific
Thermoplasmatales	Thermoplasmatales_archaeon_BRNA1	14	Pan specific
Candidatus	Candidatus_Methanomethylophilus_alvus	14	Pan specific
Bacteroides	Bacteroides_zoogleoformans	14	Pan specific
Coriobacteriaceae	Coriobacteriaceae_bacterium_68-1-3	14	Pan specific
Atopobium	Atopobium_sp._oral_taxon_199	14	Pan specific
Eggerthella	Eggerthella_lenta	14	Pan specific
Cryptobacterium	Cryptobacterium_curtum	14	Pan specific
Paraeggerthella	Paraeggerthella_hongkongensis	14	Pan specific
Atopobium	Atopobium_sp._HMSC064B08	14	Pan specific
Atopobium	Atopobium_rimae	14	Pan specific
Veillonella	Veillonella_parvula	15	Homo specific (Neanderthal specific)
Methanobrevibacter	Methanobrevibacter_sp._YE315	15	Homo specific (Neanderthal specific)
Methanobrevibacter	Methanobrevibacter_smithii	15	Homo specific (Neanderthal specific)
Methanobrevibacter	Methanobrevibacter_olleyae	15	Homo specific (Neanderthal specific)
Methanobrevibacter	Methanobrevibacter_millerae	15	Homo specific (Neanderthal specific)
Actinomyces	Actinomyces_sp._HMSC062G12	15	Homo specific (Neanderthal specific)
Actinomyces	Actinomyces_meyeri	15	Homo specific (Neanderthal specific)
Actinomyces	Actinomyces_sp._oral_taxon_180	15	Homo specific (Neanderthal specific)
Actinomyces	Actinomyces_bouchesdurhonensis	15	Homo specific (Neanderthal specific)
Brachymonas	Brachymonas_denitrificans	15	Homo specific (Neanderthal specific)
Brachymonas	Brachymonas_chironomi	15	Homo specific (Neanderthal specific)
Actinomyces	Actinomyces_sp._oral_taxon_172	15	Homo specific (Neanderthal specific)
Kytococcus	Kytococcus_sedentarius	15	Homo specific (Neanderthal specific)
Xylanimonas	Xylanimonas_cellulosilytica	15	Homo specific (Neanderthal specific)
Actinomyces	Actinomyces_sp._HPA0247	15	Homo specific (Neanderthal specific)
Sanguibacter	Sanguibacter_keddieii	15	Homo specific (Neanderthal specific)
Actinomyces	Actinomyces_sp._HMSC035G02	15	Homo specific (Neanderthal specific)
Propionibacterium	Propionibacterium_australiense	16	Gorilla specific
Propionibacterium	Propionibacterium_acidifaciens	16	Gorilla specific
Rothia	Rothia_sp._HMSC067H10	16	Gorilla specific
Rothia	Rothia_sp._HMSC036D11	16	Gorilla specific
Rothia	Rothia_sp._HMSC071F11	16	Gorilla specific
Rothia	Rothia_sp._HMSC069C01	16	Gorilla specific
Rothia	Rothia_sp._HMSC064D08	16	Gorilla specific
Rothia	Rothia_sp._HMSC08A08	16	Gorilla specific
Rothia	Rothia_sp._HMSC065G12	16	Gorilla specific
Rothia	Rothia_sp._HMSC065D02	16	Gorilla specific
Rothia	Rothia_sp._HMSC058E10	16	Gorilla specific
Fusobacterium	Fusobacterium_sp._oral_taxon_203	17	Homo specific (Modern day human specific, but sporadic)
Treponema	Treponema_vincentii	17	Homo specific (Modern day human specific, but sporadic)
Treponema	Treponema_sp._OMZ_838	17	Homo specific (Modern day human specific, but sporadic)
Treponema	Treponema_medium	17	Homo specific (Modern day human specific, but sporadic)
Prevotella	Prevotella_sp._KH2C16	17	Homo specific (Modern day human specific, but sporadic)
Prevotella	Prevotella_baroniae	17	Homo specific (Modern day human specific, but sporadic)
Prevotella	Prevotella_enoeca	17	Homo specific (Modern day human specific, but sporadic)
Alloprevotella	Alloprevotella_tannerae	17	Homo specific (Modern day human specific, but sporadic)
Prevotella	Prevotella_sp._oral_taxon_317	17	Homo specific (Modern day human specific, but sporadic)
Prevotella	Prevotella_micans	17	Homo specific (Modern day human specific, but sporadic)
Prevotella	Prevotella_sp._HMSC073D09	17	Homo specific (Modern day human specific, but sporadic)
Prevotella	Prevotella_maculosa	17	Homo specific (Modern day human specific, but sporadic)
Streptococcus	Streptococcus_sp._HMSC062B01	17	Homo specific (Modern day human specific, but sporadic)
Streptococcus	Streptococcus_sp._2_1_36FAA	17	Homo specific (Modern day human specific, but sporadic)
Granulicatella	Granulicatella_adiacens	17	Homo specific (Modern day human specific, but sporadic)
Granulicatella	Granulicatella_sp._HMSC30F09	17	Homo specific (Modern day human specific, but sporadic)
Granulicatella	Granulicatella_sp._572.rep1_STHE	17	Homo specific (Modern day human specific, but sporadic)
Porphyromonas	Porphyromonas_sp._oral_taxon_278	17	Homo specific (Modern day human specific, but sporadic)
Porphyromonas	Porphyromonas_sp._KLE_1280	17	Homo specific (Modern day human specific, but sporadic)
Leptotrichia	Leptotrichia_sp._oral_taxon_225	17	Homo specific (Modern day human specific, but sporadic)
Leptotrichia	Leptotrichia_hofstadii	17	Homo specific (Modern day human specific, but sporadic)
Bacteroides	Bacteroides_heparinolyticus	17	Homo specific (Modern day human specific, but sporadic)
Streptococcus	Streptococcus_sp._NPS_308	17	Homo specific (Modern day human specific, but sporadic)
Neisseria	Neisseria_sp._HMSC064F04	17	Homo specific (Modern day human specific, but sporadic)
Neisseria	Neisseria_sp._HMSC059F02	17	Homo specific (Modern day human specific, but sporadic)
Neisseria	Neisseria_sp._HMSC055F11	17	Homo specific (Modern day human specific, but sporadic)
Selenomonas	Selenomonas_sp._F0473	17	Homo specific (Modern day human specific, but sporadic)
Bidobacterium	Bidobacterium_dentium	18	Pan specific (but sporadic)
Atopobium	Atopobium_sp._oral_taxon_810	18	Pan specific (but sporadic)
Propionibacterium	Propionibacterium_freudenreichii	18	Pan specific (but sporadic)
Oxalobacter	Oxalobacter_formigenes	18	Pan specific (but sporadic)
Gordonibacter	Gordonibacter_massiliensis	18	Pan specific (but sporadic)
Slackia	Slackia_heliotrinireducens	18	Pan specific (but sporadic)
Denitrobacterium	Denitrobacterium_detoxificans	18	Pan specific (but sporadic)
Olsenella	Olsenella_sp._HMSC062G07	18	Pan specific (but sporadic)
Olsenella	Olsenella_urininfantis	18	Pan specific (but sporadic)
Olsenella	Olsenella_umbonata	18	Pan specific (but sporadic)
Streptococcus	Streptococcus_constellatus	18	Pan specific (but sporadic)
Fusobacterium	Fusobacterium_necrophorum	18	Pan specific (but sporadic)
Atopobium	Atopobium_parvulum	18	Pan specific (but sporadic)
Parvimonas	Parvimonas_sp._KA00067	18	Pan specific (but sporadic)
Actinomyces	Actinomyces_turicensis	18	Pan specific (but sporadic)
Actinomyces	Actinomyces_provencensis	18	Pan specific (but sporadic)
Porphyromonas	Porphyromonas_gulae	18	Pan specific (but sporadic)
Bacteroides	Bacteroides_pyogenes	18	Pan specific (but sporadic)
Tissierella	Tissierella_praeacuta	18	Pan specific (but sporadic)
Lachnoanaerobaculum	Lachnoanaerobaculum_saburreum	18	Pan specific (but sporadic)
Shuttleworthia	Shuttleworthia_satelles	18	Pan specific (but sporadic)
Gemella	Gemella_bergeri	18	Pan specific (but sporadic)
Jonquetella	Jonquetella_anthropi	18	Pan specific (but sporadic)
Gemella	Gemella_cuniculi	18	Pan specific (but sporadic)
Rothia	Rothia_mucilaginosa	19	Gorilla/Alouatta specific
Paenarthrobacter	Paenarthrobacter_nicotinovorans	19	Gorilla/Alouatta specific
Streptococcus	Streptococcus_suis	19	Gorilla/Alouatta specific
Streptococcus	Streptococcus_sobrinus	19	Gorilla/Alouatta specific
Pasteurella	Pasteurella_testudinis	19	Gorilla/Alouatta specific
Haemophilus	Haemophilus_massiliensis	19	Gorilla/Alouatta specific
Pasteurella	Pasteurella_multocida	19	Gorilla/Alouatta specific
Necropsobacter	Necropsobacter_massiliensis	19	Gorilla/Alouatta specific
Streptococcus	Streptococcus_pyogenes	19	Gorilla/Alouatta specific
Streptococcus	Streptococcus_pneumoniae	19	Gorilla/Alouatta specific
Streptococcus	Streptococcus_parasanguinis	19	Gorilla/Alouatta specific
Neisseria	Neisseria_shayeganii	19	Gorilla/Alouatta specific
Streptococcus	Streptococcus_ferus	20	Gorilla specific
Streptococcus	Streptococcus_devriesei	20	Gorilla specific
Streptococcus	Streptococcus_macedonicus	20	Gorilla specific
Streptococcus	Streptococcus_merionis	20	Gorilla specific
Streptococcus	Streptococcus_gallolyticus	20	Gorilla specific
Streptomyces	Streptomyces_sp._JV178	20	Gorilla specific
Staphylococcus	Staphylococcus_saprophyticus	20	Gorilla specific
Veillonella	Veillonella_rodentium	20	Gorilla specific
Neisseria	Neisseria_sp._10023	20	Gorilla specific
Neisseria	Neisseria_lactamica	20	Gorilla specific
Actinomyces	Actinomyces_glycerinitolerans	20	Gorilla specific
Veillonella	Veillonella_tobetsuensis	20	Gorilla specific
Veillonella	Veillonella_dispar	20	Gorilla specific
Haemophilus	Haemophilus_influenzae	20	Gorilla specific
Pasteurellaceae	Pasteurellaceae_bacterium_NI1060	20	Gorilla specific
Basfia	Basfia_succiniciproducens	20	Gorilla specific
Staphylococcus	Staphylococcus_xylosus	20	Gorilla specific
Neisseria	Neisseria_sp._10022	20	Gorilla specific
Neisseria	Neisseria_polysaccharea	20	Gorilla specific
Neisseria	Neisseria_sp._HMSC069H12	20	Gorilla specific
Neisseria	Neisseria_zoodegmatis	20	Gorilla specific
Neisseria	Neisseria_iguanae	20	Gorilla specific
