Group	Specimen Sample Code (Arch.)	Individual (Arch)	Screening Lib. ID	Screening Lib.ENA Run Accession	Screening Stranding	Screening Treatment	Screening Instrument	Screening Seq Date	Screening Pairing	Screening Length	Screening Raw Reads	Screening Resequencing  Lib. ID	Screening Resequencing  Lib. ENA Run Accession	Screening Resequencing Instrument	Screening Resequencing  Date	Screening Resequencing Pairing	Screening Resequencing  Length	Screening Resequencing  Raw Reads	Production Lib. ID	Production Lib. ENA Run Accession	Production Stranding	Production Treatment	Production Instrument	Production Seq Date	Production Pairing	Production Length	Production Raw Reads	Production ENA Accession	Production Resequencing Lib. ID	Production Resequencing Lib. ENA run accession	Production Resequencing Instrument	Production Resequencing  Date	Production Resequencing Pairing	Production Resequencing  Length	Production Resequencing  Raw Reads	Production Resequencing Lib. ENA Accession
Gorilla_2	HTB-1417	HTB-1417	EBO001.A0101	ERR3579721	Double-Stranded	no-UDG	NextSeq 500	170823	Paired-end	76	43456664	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Gorilla_2	HTB-1709	HTB-1709	EBO003.A0101	ERR3579722	Double-Stranded	no-UDG	NextSeq 500	170823	Paired-end	76	52834648	NA	NA	NA	NA	NA	NA	NA	EBO003.A0102.SG1.1	ERR3579723	Double-Stranded	full-UDG	NextSeq 500	181018	Paired-end	76	163054200	NA	NA	NA	NA	NA	NA	NA	NA	NA
Chimp_3	HTB-1707	HTB-1707	EBO008.A0101	ERR3579725	Double-Stranded	no-UDG	NextSeq 500	171114	Paired-end	76	8216550	EBO008.A0101.171215	ERR3579724	NextSeq 500	171215	Paired-end	76	17665616	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Chimp_3	HTB-1713	HTB-1713	EBO009.A0101	ERR3579727	Double-Stranded	no-UDG	NextSeq 500	171114	Paired-end	76	4171968	EBO009.A0101.171215	ERR3579726	NextSeq 500	171215	Paired-end	76	4445818	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PreagriculturalHuman_2	NA	Individuo 4	ECO002.B0101	ERR3579728	Double-Stranded	no-UDG	NextSeq 500	170823	Paired-end	76	32797254	NA	NA	NA	NA	NA	NA	NA	ECO002.B0102.SG1.1	ERR3579729	Double-Stranded	full-UDG	NextSeq 500	181018	Paired-end	76	107186852	NA	NA	NA	NA	NA	NA	NA	NA	NA
PreagriculturalHuman_2	NA	Individuo 4	ECO002.C0101	ERR3579730	Double-Stranded	no-UDG	NextSeq 500	170823	Paired-end	76	28076736	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PreagriculturalHuman_2	NA	Individuo 6	ECO004.B0101	ERR3579731	Double-Stranded	no-UDG	NextSeq 500	170823	Paired-end	76	27250280	NA	NA	NA	NA	NA	NA	NA	ECO004.B0103.SG1.1	ERR3579732	Double-Stranded	full-UDG	NextSeq 500	181018	Paired-end	76	134246266	NA	NA	NA	NA	NA	NA	NA	NA	NA
PreagriculturalHuman_2	NA	Individuo 6	ECO004.C0101	ERR3579733	Double-Stranded	no-UDG	NextSeq 500	170823	Paired-end	76	24972780	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PreagriculturalHuman_2	NA	Individuo 8	ECO006.B0101	ERR3579734	Double-Stranded	no-UDG	NextSeq 500	170823	Paired-end	76	24374026	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PreagriculturalHuman_2	NA	Individuo 14	ECO010.B0101	ERR3579735	Double-Stranded	no-UDG	NextSeq 500	170823	Paired-end	76	30449940	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PreagriculturalHuman_2	Red Lady	Red Lady	EMN001.A0101	ERR3579736	Double-Stranded	no-UDG	NextSeq 500	170823	Paired-end	76	26673212	NA	NA	NA	NA	NA	NA	NA	EMN001.A0102.SG1.1	ERR3579737	Double-Stranded	full-UDG	NextSeq 500	181018	Paired-end	76	208944200	NA	NA	NA	NA	NA	NA	NA	NA	NA
PreantibioticHuman_2	v3482	v3482	ESA003.A0101	ERR3579738	Double-Stranded	no-UDG	NextSeq 500	171114	Paired-end	76	21282008	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PreantibioticHuman_2	v3483	v3483	ESA004.A0101	ERR3579739	Double-Stranded	no-UDG	NextSeq 500	171114	Paired-end	76	18509590	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PreantibioticHuman_2	v3486	v3486	ESA006.A0101	ERR3579740	Double-Stranded	no-UDG	NextSeq 500	171114	Paired-end	76	24509716	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PreantibioticHuman_2	v3487	v3487	ESA007.A0101	ERR3579741	Double-Stranded	no-UDG	NextSeq 500	171114	Paired-end	76	20998734	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PreantibioticHuman_2	v3488	v3488	ESA008.A0101	ERR3579742	Double-Stranded	no-UDG	NextSeq 500	171114	Paired-end	76	19624716	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Gorilla_3	1583E	1583E	FDM001.A0101	ERR3579744	Double-Stranded	no-UDG	NextSeq 500	171114	Paired-end	76	5894884	FDM001.A0101.171215	ERR3579743	NextSeq 500	171215	Paired-end	76	5964256	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Neanderthal	Fumane – 1	Fumane – 1	FUM001.A0101	ERR3579745	Double-Stranded	no-UDG	NextSeq 500	171215	Paired-end	76	34037968	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Neanderthal	Fumane – 4	Fumane – 4	FUM002.A0101	ERR3579746	Double-Stranded	no-UDG	NextSeq 500	171215	Paired-end	76	39367586	NA	NA	NA	NA	NA	NA	NA	FUM002.A0103.SG1.1	ERR3579747	Double-Stranded	full-UDG	NextSeq 500	181018	Paired-end	76	61703682	NA	NA	NA	NA	NA	NA	NA	NA	NA
Neanderthal	Fumane – 5	Fumane – 5	FUM003.A0101	ERR3579748	Double-Stranded	no-UDG	NextSeq 500	171215	Paired-end	76	34052390	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Gorilla_2	HTB-1398	HTB-1398	GDC002.A0101	ERR3579749	Double-Stranded	no-UDG	NextSeq 500	170823	Paired-end	76	28835174	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Gorilla_2	HTB-1405	HTB-1405	GDC004.A0101	ERR3579750	Double-Stranded	no-UDG	NextSeq 500	170823	Paired-end	76	27391430	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Gorilla_2	HTB-1431	HTB-1431	GDC005.A0101	ERR3579751	Double-Stranded	no-UDG	NextSeq 500	170823	Paired-end	76	29901178	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Neanderthal	Nadale 1	Nadale 1	GDN001.A0101	ERR3579752	Double-Stranded	no-UDG	NextSeq 500	170817	Paired-end	76	34496884	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Neanderthal	Nadale 1	Nadale 1	GDN001.B0101	ERR3579753	Double-Stranded	no-UDG	NextSeq 500	170817	Paired-end	76	36398636	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Neanderthal	2878-8	Tooth 2878-2D (35)	GOY005.A0101	ERR3579673	Double-Stranded	no-UDG	NextSeq 500	160316	Single-end	76	11004043	NA	NA	NA	NA	NA	NA	NA	GOY005.A0102	ERR3678727	Double-Stranded	full-UDG	NextSeq 500	160608	Single-end	76	443150763	NA	NA	NA	NA	NA	NA	NA	NA	NA
Neanderthal	2861-1	Teeth 2861-23D (26) and 2861-24D (27)	GOY006.A0101	ERR3579674	Double-Stranded	no-UDG	NextSeq 500	160316	Single-end	76	5539193	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Neanderthal	nº 19803	NA	GUE001.A0101	ERR3579754	Double-Stranded	no-UDG	NextSeq 500	170823	Paired-end	76	22722004	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Gorilla_3	15352-M-	15352-M-	IBA001.A0101	ERR3579756	Double-Stranded	no-UDG	NextSeq 500	171114	Paired-end	76	8628794	IBA001.A0101.171215	ERR3579755	NextSeq 500	171215	Paired-end	76	18565046	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Gorilla_3	15354-M-	15354-M-	IBA002.A0101	ERR3579758	Double-Stranded	no-UDG	NextSeq 500	171114	Paired-end	76	14354566	IBA002.A0101.171215	ERR3579757	NextSeq 500	171215	Paired-end	76	24962488	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ModernDayHuman_1	NA	J9	JAE006.A0101	ERR3307045	Double-Stranded	no-UDG	NextSeq 500	170911	Paired-end	150	141974546	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ModernDayHuman_1	NA	J10	JAE007.A0101	ERR3307046	Double-Stranded	no-UDG	NextSeq 500	170911	Paired-end	150	108434984	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ModernDayHuman_1	NA	J11	JAE008.A0101	ERR3307047	Double-Stranded	no-UDG	NextSeq 500	170911	Paired-end	150	105004392	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ModernDayHuman_1	NA	J12	JAE009.A0101	ERR3307048	Double-Stranded	no-UDG	NextSeq 500	170911	Paired-end	150	106555264	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ModernDayHuman_1	NA	J14	JAE010.A0101	ERR3307049	Double-Stranded	no-UDG	NextSeq 500	170911	Paired-end	150	100278048	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ModernDayHuman_1	NA	J18	JAE012.A0101	ERR3307050	Double-Stranded	no-UDG	NextSeq 500	170911	Paired-end	150	97018596	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ModernDayHuman_1	NA	J19	JAE013.A0101	ERR3307051	Double-Stranded	no-UDG	NextSeq 500	170911	Paired-end	150	62847184	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ModernDayHuman_1	NA	J20	JAE014.A0101	ERR3307052	Double-Stranded	no-UDG	NextSeq 500	170911	Paired-end	150	106965986	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ModernDayHuman_1	NA	J21	JAE015.A0101	ERR3307053	Double-Stranded	no-UDG	NextSeq 500	170911	Paired-end	150	91164542	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ModernDayHuman_1	NA	J22	JAE016.A0101	ERR3307054	Double-Stranded	no-UDG	NextSeq 500	170911	Paired-end	150	148237418	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Chimp_2	KCP1	Unknown	KNP001.A0102	ERR3579761	Double-Stranded	no-UDG	NextSeq 500	171114	Paired-end	76	30609376	NA	NA	NA	NA	NA	NA	NA	KNP001.A0101	ERR3579760	Double-Stranded	full-UDG	HiSeq 4000	160727	Paired-end	76	16260702	NA	KNP001.A0101.161208	ERR3579759	HiSeq 4000	161208	Paired-end	76	286236850	NA
Chimp_2	KCP3	Unknown	KNP003.A0102	ERR3579762	Double-Stranded	no-UDG	NextSeq 500	171114	Paired-end	76	19346626	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Chimp_2	KCP4	Unknown	KNP004.A0102	ERR3579765	Double-Stranded	no-UDG	NextSeq 500	171114	Paired-end	76	346426	NA	NA	NA	NA	NA	NA	NA	KNP004.A0101	ERR3579764	Double-Stranded	full-UDG	HiSeq 4000	160727	Paired-end	76	19393382	NA	KNP004.A0101.161208	ERR3579763	HiSeq 4000	161208	Paired-end	76	460435386	NA
Chimp_2	KFB106	Unknown	KNP005.A0102	ERR3579767	Double-Stranded	no-UDG	NextSeq 500	171114	Paired-end	76	19273758	NA	NA	NA	NA	NA	NA	NA	KNP005.A0101	ERR3579766	Double-Stranded	full-UDG	HiSeq 4000	160727	Paired-end	76	16828080	NA	KNP005.A0101.161011	ERR3579675	NextSeq 500	161011	Single-end	151	85352555	NA
Chimp_2	KFB107	Unknown	KNP006.A0102	ERR3579768	Double-Stranded	no-UDG	NextSeq 500	171114	Paired-end	76	21817058	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Chimp_2	KFB150	Ngonya	KNP007.A0102	ERR3579769	Double-Stranded	no-UDG	NextSeq 500	171114	Paired-end	76	16521186	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Chimp_2	KFB153	Josta(?)	KNP009.A0102	ERR3579772	Double-Stranded	no-UDG	NextSeq 500	171114	Paired-end	76	20075636	NA	NA	NA	NA	NA	NA	NA	KNP009.A0101	ERR3579771	Double-Stranded	full-UDG	HiSeq 4000	160727	Paired-end	76	16758892	NA	KNP009.A0101.161208	ERR3579770	HiSeq 4000	161208	Paired-end	76	208356046	NA
PreantibioticHuman_1	v1663	v1663	LIS001.A0101	ERR3579773	Double-Stranded	no-UDG	NextSeq 500	171114	Paired-end	76	23166834	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PreantibioticHuman_1	v1664	v1664	LIS002.A0102	ERR3579774	Double-Stranded	no-UDG	NextSeq 500	171114	Paired-end	76	26977086	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PreantibioticHuman_1	v2269	v2269	LIS003.A0101	ERR3579775	Double-Stranded	no-UDG	NextSeq 500	171114	Paired-end	76	22024658	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Gorilla_3	612018	NA	LOB001.A0101	ERR3579676	Double-Stranded	no-UDG	HiSeq 4000	161220	Single-end	76	3766065	LOB001.A0101.170817	ERR3678175	NextSeq 500	170817	Paired-end	76	10536860	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PreagriculturalHuman_1	Mota 1	Bayira	MOA001.A0101	ERR3579677	Double-Stranded	no-UDG	NextSeq 500	170208	Single-end	76	1240487	MOA001.A0101.170817	ERR3678176	NextSeq 500	170817	Paired-end	76	10408202	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PreagriculturalHuman_1	Mota 1	Bayira	MOA001.A0102	ERR3579678	Double-Stranded	no-UDG	NextSeq 500	170208	Single-end	76	1599129	MOA001.A0102.170817	ERR3678177	NextSeq 500	170817	Paired-end	76	13521376	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Gorilla_1	621445	NA	MTK001.A0101	ERR3579679	Double-Stranded	no-UDG	HiSeq 4000	161220	Single-end	76	3778311	MTK001.A0101.170817	ERR3678178	NextSeq 500	170817	Paired-end	76	9399470	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Gorilla_1	610941	NA	MTM001.A0101	ERR3579776	Double-Stranded	no-UDG	HiSeq 4000	160927	Paired-end	76	8242730	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Gorilla_1	611639	NA	MTM002.A0101	ERR3579777	Double-Stranded	no-UDG	HiSeq 4000	160927	Paired-end	76	6050620	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Gorilla_1	611930	NA	MTM003.A0101	ERR3579680	Double-Stranded	no-UDG	HiSeq 4000	161220	Single-end	76	15243084	MTM003.A0101.170817	ERR3678179	NextSeq 500	170817	Paired-end	76	42285192	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Gorilla_1	620537	NA	MTM004.A0101	ERR3579778	Double-Stranded	no-UDG	HiSeq 4000	160927	Paired-end	76	9246092	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Gorilla_1	621346	NA	MTM005.A0101	ERR3579779	Double-Stranded	no-UDG	HiSeq 4000	160927	Paired-end	76	7120314	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Gorilla_1	630739	NA	MTM006.A0101	ERR3579780	Double-Stranded	no-UDG	HiSeq 4000	160927	Paired-end	76	14671648	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Gorilla_1	631164	NA	MTM008.A0101	ERR3579781	Double-Stranded	no-UDG	HiSeq 4000	160927	Paired-end	76	10692468	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Gorilla_1	631168	NA	MTM009.A0101	ERR3579782	Double-Stranded	no-UDG	HiSeq 4000	160927	Paired-end	76	5193468	NA	NA	NA	NA	NA	NA	NA	MTM009.A0102.SG1.2	ERR3579783	Double-Stranded	full-UDG	NextSeq 500	170817	Paired-end	76	380139080	NA	NA	NA	NA	NA	NA	NA	NA	NA
Gorilla_2	631244	NA	MTM010.A0101	ERR3579681	Double-Stranded	no-UDG	HiSeq 4000	161220	Single-end	76	3999181	MTM010.A0101.170817	ERR3678180	NextSeq 500	170817	Paired-end	76	11727168	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Gorilla_1	640638	NA	MTM011.A0101	ERR3579682	Double-Stranded	no-UDG	HiSeq 4000	161220	Single-end	76	3602979	MTM011.A0101.170817	ERR3678181	NextSeq 500	170817	Paired-end	76	9264188	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
