#SampleID	BarcodeSequence	LinkerPrimerSequence	Study	Accession_ID	SourceSink	Env	Description	Host_General	Host_Genus	Host_Common	Code	Is_Oral	Age	Location	Site	ToothSource	Type	LabProtocol	ScreeningDeepData	NCBI Project ID	individual_id	SumSampleWeight_mg	SumExtractionConcentration_ng_ul	SumLibraryConcentration_copies_ul	Sample_or_Control	Individual_Seq_Depth	Individual_Seq_Depth_NonHuman	Percentage_Hits	Percentage_Hits_with_Taxonomy	Min_Support_Reads_Threshold_MALT	Min_Support_Reads_Threshold_MALT_refseq	Min_Support_Reads_Threshold_MP2	Proportion_EnvironmentalControl	Proportion_SD_EnvironmentalControl	Proportion_ruralGut	Proportion_SD_ruralGut	Proportion_sediment	Proportion_SD_sediment	Proportion_skin	Proportion_SD_skin	Proportion_subPlaque	Proportion_SD_subPlaque	Proportion_supPlaque	Proportion_SD_supPlaque	Proportion_urbanGut	Proportion_SD_urbanGut	Proportion_Unknown	Proportion_SD_Unknown	Proportion_This_Env	Proportion_SD_This_Env
KNP006.A0102	NA	NA	This_study	NA	sink	Chimp_2	Pan_troglodytes	Chimp	Pan	Pan	PA2	Calculus	Historical	Uganda	Kibale National Park	Multiple	Calculus	A.1	Screening	NA	KNP006	4.4	15	1482000000	Sample	11286072	11159677	21.66379009	21.6635571083	241	357	101	0.0027	0.00696100248208227	0.0899	0.0181686543255135	0.2037	0.0233858931837123	8e-04	0.00193218356615859	0.4555	0.0119837853414984	0	0	0	0	0.2474	0.0103515967635701	NA	NA
KNP007.A0102	NA	NA	This_study	NA	sink	Chimp_2	Pan_troglodytes	Chimp	Pan	Pan	PA2	Calculus	Historical	Uganda	Kibale National Park	Molar	Calculus	A.1	Screening	NA	KNP007	11.3	10.3539823009	4672000000	Sample	11288291	9160659	18.9067511409	18.9064673186	173	302	89	0	0	0.1569	0.0112393159143349	0.312	0.0122746350930147	0	0	0.3909	0.0126530628703093	0	0	0	0	0.1402	0.0100310628660288	NA	NA
KNP009.A0102	NA	NA	This_study	NA	sink	Chimp_2	Pan_troglodytes	Chimp	Pan	Pan	PA2	Calculus	Historical	Uganda	Kibale National Park	Molar	Calculus	A.1	Both	NA	KNP009	17	1.1364705882	12010000000	Sample	9238663	11345038	20.4013243499	20.4010246594	231	375	122	3e-04	0.000948683298050514	0.1031	0.00948038911531472	0.134	0.0219494368442058	0	0	0.6102	0.0169627041869312	0	0	0	0	0.1524	0.0100906997885292	NA	NA
ABM007.A0101	NA	NA	This_study	NA	sink	Chimp_3	Pan_troglodytes	Chimp	Pan	Pan	PA3	Calculus	Historical	Cameroon	Abong Mbong	Molar	Calculus	B.3	Screening	NA	ABM007	0	0.119	54580000	Sample	13036934	12981357	15.3795939824	15.3789237905	199	303	79	0	0	0.1491	0.0195757786846682	0.3304	0.0279968252168388	1e-04	0.000316227766016838	0.2841	0.0130081171239773	0	0	0	0	0.2363	0.0193738082070729	NA	NA
ABM008.A0101	NA	NA	This_study	NA	sink	Chimp_3	Pan_troglodytes	Chimp	Pan	Pan	PA3	Calculus	Historical	Cameroon	Abong Mbong	Molar	Calculus	B.3	Screening	NA	ABM008	0	0.0693	23970000	Sample	5056494	5032357	15.158701976	15.1584833906	76	129	28	0.0018	0.00423739962188552	0.0997	0.0151220956807507	0.2617	0.0203745483930865	0	0	0.3991	0.0106505085950547	6e-04	0.00189736659610103	0.0468	0.0109828148587792	0.1903	0.0156634748521662	NA	NA
DJA006.A0101	NA	NA	This_study	NA	sink	Chimp_3	Pan_troglodytes	Chimp	Pan	Pan	PA3	Calculus	Historical	Cameroon	Djaposten	Premolar	Calculus	B.3	Screening	NA	DJA006	0	0.262	96230000	Sample	13803162	13754707	17.3592865337	17.3589012111	238	348	64	0.0522	0.0226116980540801	0.1523	0.0179136819219277	0.377	0.0412903001792054	3e-04	0.000948683298050514	0.2072	0.00984095749632343	0	0	0	0	0.211	0.0147044966667419	NA	NA
DJA007.A0101	NA	NA	This_study	NA	sink	Chimp_3	Pan_troglodytes	Chimp	Pan	Pan	PA3	Calculus	Historical	Cameroon	Djaposten	Molar	Calculus	B.3	Screening	NA	DJA007	0	0.189	202400000	Sample	17462968	17395667	16.7349030077	16.7344258774	291	455	138	0	0	0.1203	0.030466921953708	0.2135	0.017702793251035	0.0109	0.00260128173535022	0.4384	0.0121947165244261	0	0	0.0475	0.0227608338062461	0.1694	0.0123306303344332	NA	NA
EBO008.A0101	NA	NA	This_study	NA	sink	Chimp_3	Pan_troglodytes	Chimp	Pan	Pan	PA3	Calculus	Historical	Cameroon	Ebolwa	Molar	Calculus	B.3	Screening	NA	EBO008	0	0.0673	44640000	Sample	11718029	11592824	21.4859899538	21.4857743031	249	370	82	0	0	0.143	0.0180185090023194	0.329	0.021338541031039	4e-04	0.00126491106406735	0.3614	0.0168206222635589	4e-04	0.00126491106406735	0.0143	0.0154491999073667	0.1515	0.00984603699182795	NA	NA
EBO009.A0101	NA	NA	This_study	NA	sink	Chimp_3	Pan_troglodytes	Chimp	Pan	Pan	PA3	Calculus	Historical	Cameroon	Ebolwa	Molar	Calculus	B.3	Screening	NA	EBO009	0	0	10240000	Sample	3686370	3668406	18.7127324511	18.7125688923	68	104	21	0	0	0.1139	0.0130847663758705	0.3675	0.0210937062756748	0.0693	0.00421768762343643	0.2889	0.0123148510163767	0	0	0.0017	0.00365300485141266	0.1587	0.00634297511687799	NA	NA
Chimp.150519	NA	NA	Weyrich2017	NA	sink	Chimp_4	Pan_troglodytes	Chimp	Pan	Pan	PA3	Calculus	Historical	Sierra_Leone	Gola Forest	Unknown	Calculus	NA	Screening	NA	Chimp.150519	NA	NA	NA	Sample	17575167	17319354	18.2327932093	18.2322677855	315	646	186	0	0	0.1382	0.0322448962369758	0.2016	0.020828399415755	0	0	0.391	0.0144990421139544	0	0	0.0471	0.0223430327196446	0.2221	0.0166963069768936	NA	NA
ARS001.A0101.SG1.2	NA	NA	Jeong2018	NA	source	EnvironmentalControl	Archaeological_femur	EnvironmentalControl	Control	EnvironmentalControl	EN0	Not_Oral	Bronze Age	Mongolia	Arbulag sum	NA	NA	B.4	NA	PRJNA429081	ARS001	80	NA	154800000	Control	25983808	24581512	12.3375150138774	12.3305015880894	303	409	22	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ARS004.A0101.SG1.2	NA	NA	Jeong2018	NA	source	EnvironmentalControl	Archaeological_femur	EnvironmentalControl	Control	EnvironmentalControl	EN0	Not_Oral	Bronze Age	Mongolia	Arbulag sum	NA	NA	B.4	NA	PRJNA429081	ARS004	90	NA	140550000	Control	18184154	17580795	8.64481700666586	8.62470412997105	151	214	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ARS005.A0101.SG1.2	NA	NA	Jeong2018	NA	source	EnvironmentalControl	Archaeological_femur	EnvironmentalControl	Control	EnvironmentalControl	EN0	Not_Oral	Bronze Age	Mongolia	Arbulag sum	NA	NA	B.4	NA	PRJNA429081	ARS005	55	NA	60450000	Control	20112244	18356410	9.28803142935216	9.27954934817086	170	231	19	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ARS010.A0101.SG1.2	NA	NA	Jeong2018	NA	source	EnvironmentalControl	Archaeological_femur	EnvironmentalControl	Control	EnvironmentalControl	EN0	Not_Oral	Bronze Age	Mongolia	Arbulag sum	NA	NA	B.4	NA	PRJNA429081	ARS010	57	NA	1331500000	Control	20257993	20255679	7.01953611110055	7.00902547331317	142	191	16	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ARS011.A0101.SG1.2	NA	NA	Jeong2018	NA	source	EnvironmentalControl	Archaeological_femur	EnvironmentalControl	Control	EnvironmentalControl	EN0	Not_Oral	Bronze Age	Mongolia	Arbulag sum	NA	NA	B.4	NA	PRJNA429081	ARS011	49.8	NA	551000000	Control	18265812	18240287	8.61087640482949	8.60141383701533	157	216	23	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ARS012.A0101.SG1.2	NA	NA	Jeong2018	NA	source	EnvironmentalControl	Archaeological_femur	EnvironmentalControl	Control	EnvironmentalControl	EN0	Not_Oral	Bronze Age	Mongolia	Arbulag sum	NA	NA	B.4	NA	PRJNA429081	ARS012	58	NA	283250000	Control	20726589	20433082	10.2057403068131	10.1999164198815	208	289	34	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ARS013.A0101.SG1.2	NA	NA	Jeong2018	NA	source	EnvironmentalControl	Archaeological_femur	EnvironmentalControl	Control	EnvironmentalControl	EN0	Not_Oral	Bronze Age	Mongolia	Arbulag sum	NA	NA	B.4	NA	PRJNA429081	ARS013	58	NA	635000000	Control	21082198	21043477	9.07923499345165	9.07092363050218	191	254	27	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ARS015.A0101.SG1.2	NA	NA	Jeong2018	NA	source	EnvironmentalControl	Archaeological_femur	EnvironmentalControl	Control	EnvironmentalControl	EN0	Not_Oral	Bronze Age	Mongolia	Arbulag sum	NA	NA	B.4	NA	PRJNA429081	ARS015	77	NA	121400000	Control	31214553	29902998	10.1700033508411	10.1568474537955	304	412	26	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ARS017.A0101.SG1.2	NA	NA	Jeong2018	NA	source	EnvironmentalControl	Archaeological_femur	EnvironmentalControl	Control	EnvironmentalControl	EN0	Not_Oral	Bronze Age	Mongolia	Arbulag sum	NA	NA	B.4	NA	PRJNA429081	ARS017	69	NA	224400000	Control	41127718	38493832	9.62238334485034	9.61530428276761	370	495	62	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ARS020.A0101.SG1.2	NA	NA	Jeong2018	NA	source	EnvironmentalControl	Archaeological_femur	EnvironmentalControl	Control	EnvironmentalControl	EN0	Not_Oral	Bronze Age	Mongolia	Arbulag sum	NA	NA	B.4	NA	PRJNA429081	ARS020	57	NA	254150000	Control	21133899	21129699	9.13238281340401	9.12386873092702	192	261	37	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
LOB001.A0101	NA	NA	This_study	NA	sink	Gorilla_1	Gorilla_beringei_beringei	Gorilla	Gorilla	Gorilla	GO1	Calculus	Historical	Congo	Lubero	Canine	Calculus	B.2	Screening	NA	LOB001	0	0	96297500	Sample	8831605	8770905	22.767080478	22.7634890584	199	296	48	0.0423	0.0180003086393292	0	0	0.345	0.0222710574513201	0.2822	0.0161850411045371	0	0	0.1905	0.00953647966727998	0	0	0.14	0.00454606056566194	NA	NA
MTK001.A0101	NA	NA	This_study	NA	sink	Gorilla_1	Gorilla_beringei_beringei	Gorilla	Gorilla	Gorilla	GO1	Calculus	Historical	Rwanda	Mount Karisimbi	Incisor	Calculus	B.2	Screening	NA	MTK001	0	0	344125000	Sample	8345706	8268804	25.937173018	25.9368343959	214	350	86	0	0	0	0	0.2125	0.0132602161872774	0.0398	0.0078852886933693	0	0	0.6698	0.0154545929886375	0	0	0.0779	0.00574359546703011	NA	NA
MTM001.A0101	NA	NA	This_study	NA	sink	Gorilla_1	Gorilla_beringei_beringei	Gorilla	Gorilla	Gorilla	GO1	Calculus	Historical	Congo	Mount Mikeno	Incisor	Calculus	B.2	Screening	NA	MTM001	0	0	2280000000	Sample	3875027	3486856	21.5153708671	21.514912001	75	125	22	7e-04	0.00221359436211787	0.0012	0.00379473319220206	0.1334	0.01719302184027	0.0591	0.00964307465951026	0.5294	0.0480675450682567	0.1794	0.0520815599698098	0	0	0.0968	0.0144898431860236	NA	NA
MTM002.A0101	NA	NA	This_study	NA	sink	Gorilla_1	Gorilla_beringei_beringei	Gorilla	Gorilla	Gorilla	GO1	Calculus	Historical	Congo	Mount Mikeno	Canine	Calculus	B.2	Screening	NA	MTM002	0	0	312000000	Sample	3170409	3065269	40.0276778319	40.0275799612	122	130	56	0	0	1e-04	0.000316227766016838	0.1926	0.00870759566253637	0.6686	0.0131250396824797	1e-04	0.000316227766016838	0.0612	0.00866410218468519	0	0	0.0774	0.0053582750126427	NA	NA
MTM003.A0101	NA	NA	This_study	NA	sink	Gorilla_1	Gorilla_beringei_beringei	Gorilla	Gorilla	Gorilla	GO1	Calculus	Historical	Congo	Mount Mikeno	Molar	Calculus	B.2	Screening	NA	MTM003	0	0	477875000	Sample	36597397	34546048	43.5458058763	43.5455164075	1504	2026	736	0	0	0	0	0.1912	0.013306639946533	0.4587	0.0141425284553757	0.1373	0.0218685466671504	0.1004	0.0274962623722652	0	0	0.1124	0.0113646625799254	NA	NA
MTM004.A0101	NA	NA	This_study	NA	sink	Gorilla_1	Gorilla_beringei_beringei	Gorilla	Gorilla	Gorilla	GO1	Calculus	Historical	Congo	Mount Mikeno	Unknown	Calculus	B.2	Screening	NA	MTM004	0	0	1270000000	Sample	4189539	4106490	23.6643215983	23.6639806745	97	156	40	2e-04	0.000632455532033676	0.0072	0.0103901662910444	0.2035	0.0151235651293676	0.083	0.00889444270941755	0.1721	0.0318623776751063	0.4339	0.023839509689216	7e-04	0.00221359436211787	0.0994	0.00986801792548928	NA	NA
MTM005.A0101	NA	NA	This_study	NA	sink	Gorilla_1	Gorilla_beringei_beringei	Gorilla	Gorilla	Gorilla	GO1	Calculus	Historical	Congo	Mount Mikeno	Incisor	Calculus	B.2	Screening	NA	MTM005	0	0	396000000	Sample	3459869	3434086	25.9944567492	25.9935249146	89	154	35	0	0	0	0	0.0867	0.00740945342113708	0.1041	0.0109488710732101	0.1089	0.0363759688683492	0.5937	0.035175907158799	0	0	0.1066	0.0083159819357401	NA	NA
MTM006.A0101	NA	NA	This_study	NA	sink	Gorilla_1	Gorilla_beringei_beringei	Gorilla	Gorilla	Gorilla	GO1	Calculus	Historical	Congo	Mount Mikeno	Incisor	Calculus	B.2	Screening	NA	MTM006	0	0	493000000	Sample	7111633	7069851	32.7610864783	32.7607611532	231	371	100	0.0015	0.00356682242650545	0	0	0.2681	0.0076077445920442	0.2307	0.00794494947889678	0	0	0.4274	0.00747142705393169	0	0	0.0723	0.00805605362444913	NA	NA
MTM008.A0101	NA	NA	This_study	NA	sink	Gorilla_1	Gorilla_beringei_beringei	Gorilla	Gorilla	Gorilla	GO1	Calculus	Historical	Congo	Mount Mikeno	Molar	Calculus	B.2	Screening	NA	MTM008	0	0	402000000	Sample	5259403	5164298	25.3697404759	25.3692370192	131	222	38	0	0	0.0021	0.0066407830863536	0.084	0.018306040290328	0.0616	0.0139618527901326	0.0468	0.04334307582789	0.7025	0.0397638864633057	0.003	0.00639444203108363	0.1	0.00694422221866655	NA	NA
MTM009.A0101	NA	NA	This_study	NA	sink	Gorilla_1	Gorilla_beringei_beringei	Gorilla	Gorilla	Gorilla	GO1	Calculus	Historical	Congo	Mount Mikeno	Incisor	Calculus	B.2	Both	NA	MTM009	0	0	164000000	Sample	2400568	2385491	23.6506446681	23.6503093074	56	89	21	0.0039	0.00877433125023719	0	0	0.1071	0.0144564480038801	0.4427	0.0120558883722621	0.3101	0.0114741254810794	0.0029	0.00786624292644066	1e-04	0.000316227766016838	0.1332	0.00975021367287233	NA	NA
MTM010.A0101	NA	NA	This_study	NA	sink	Gorilla_1	Gorilla_beringei_beringei	Gorilla	Gorilla	Gorilla	GO1	Calculus	Historical	Congo	Mount Mikeno	Canine	Calculus	B.2	Screening	NA	MTM010	0	0	468175000	Sample	9581535	9123626	25.8167969621	25.8163585399	235	311	100	0.0011	0.00233095116493961	6e-04	0.00157762127549323	0.2188	0.0126209702039458	0.4583	0.0213335937484106	0	0	0.264	0.0167199149386459	0.0013	0.00411096095821889	0.0559	0.00550656174234179	NA	NA
MTM011.A0101	NA	NA	This_study	NA	sink	Gorilla_1	Gorilla_beringei_beringei	Gorilla	Gorilla	Gorilla	GO1	Calculus	Historical	Congo	Mount Mikeno	Incisor	Calculus	B.2	Screening	NA	MTM011	0	0	550900000	Sample	8467093	4775010	33.5348826495	33.5344638022	160	152	24	0	0	0	0	0.3745	0.0132350544640612	0.105	0.0103279555898864	0.2173	0.0297061534964653	0.2187	0.0219952014968922	0	0	0.0845	0.00916818169298338	NA	NA
MTM012.A0101	NA	NA	This_study	NA	sink	Gorilla_1	Gorilla_beringei_beringei	Gorilla	Gorilla	Gorilla	GO1	Calculus	Historical	Congo	Mount Mikeno	Incisor	Calculus	B.2	Screening	NA	MTM012	0	0	747050000	Sample	11834945	10623025	50.4640156641	50.4636767776	536	636	357	0	0	0	0	0.2446	0.0197776529334387	0.4798	0.0272266209598049	0	0	0.1673	0.0255475591354199	0	0	0.1083	0.0111260455189114	NA	NA
MTM013.A0101	NA	NA	This_study	NA	sink	Gorilla_1	Gorilla_beringei_beringei	Gorilla	Gorilla	Gorilla	GO1	Calculus	Historical	Congo	Mount Mikeno	Molar	Calculus	B.2	Screening	NA	MTM013	0	0	238144550	Sample	7854954	7105486	42.4591083566	42.4586861476	301	347	128	0	0	2e-04	0.000632455532033676	0.2398	0.0112625238931797	0.4464	0.0198673377962703	0	0	0.228	0.0197596671137052	0	0	0.0856	0.00581568759668384	NA	NA
MTS001.A0101	NA	NA	This_study	NA	sink	Gorilla_1	Gorilla_beringei_beringei	Gorilla	Gorilla	Gorilla	GO1	Calculus	Historical	Congo	Mount Sabyinyo	Unknown	Calculus	B.2	Screening	NA	MTS001	0	0	636400000	Sample	7110585	6540914	30.6402591442	30.639892223	200	287	80	0	0	0	0	0.0898	0.0149725675078718	0.1486	0.0130656462186572	0.2182	0.0654790891133277	0.412	0.0597141338192038	0	0	0.1314	0.0116828459242125	NA	NA
MTS002.A0101	NA	NA	This_study	NA	sink	Gorilla_1	Gorilla_beringei_beringei	Gorilla	Gorilla	Gorilla	GO1	Calculus	Historical	Congo	Mount Sabyinyo	Incisor	Calculus	B.2	Screening	NA	MTS002	0	0	1069750000	Sample	10230398	6562562	37.6066542305	37.605237101	246	262	65	0	0	0	0	0.2223	0.00871843512971858	0.1985	0.0148492424049175	6e-04	0.00189736659610103	0.4738	0.0168839173969392	0	0	0.1048	0.0109117673484485	NA	NA
MTS003.A0101	NA	NA	This_study	NA	sink	Gorilla_1	Gorilla_beringei_beringei	Gorilla	Gorilla	Gorilla	GO1	Calculus	Historical	Congo	Mount Sabyinyo	Unknown	Calculus	B.2	Screening	NA	MTS003	0	0	790800000	Sample	7713993	7532301	39.0534313485	39.0530197877	294	430	171	0	0	0	0	0.2636	0.01500518428929	0.4363	0.0172178847584584	0.1575	0.0299193359997622	0.0553	0.0315526015831764	0	0	0.0873	0.00961538119658059	NA	NA
ABM006.A0101	NA	NA	This_study	NA	sink	Gorilla_2	Gorilla_gorilla	Gorilla	Gorilla	Gorilla	GO2	Calculus	Historical	Cameroon	Abong Mbong	Molar	Calculus	B.3	Screening	NA	ABM006	0	0.444	15730000	Sample	8124616	8057367	23.9753011126	23.9686115824	193	309	56	0.0361	0.0196041378852074	1e-04	0.000316227766016838	0.3735	0.0184225103850938	0.0132	0.00662989860824097	0.5042	0.00664663657632775	0	0	0	0	0.0729	0.00891253798495879	NA	NA
DJA002.A0101	NA	NA	This_study	NA	sink	Gorilla_2	Gorilla_gorilla	Gorilla	Gorilla	Gorilla	GO2	Calculus	Historical	Cameroon	Djaposten	Molar	Calculus	B.3	Both	NA	DJA002	0	0.064	13750000	Sample	12060645	11978137	17.5081316903	17.507989765	209	364	124	0	0	0.038	0.0123468394516348	0.3016	0.0127732359077704	0.013	0.00664997911442	0.5325	0.0115397862487425	0	0	0	0	0.1149	0.00991575626073081	NA	NA
EBO001.A0101	NA	NA	This_study	NA	sink	Gorilla_2	Gorilla_gorilla	Gorilla	Gorilla	Gorilla	GO2	Calculus	Historical	Cameroon	Ebolwa	Premolar	Calculus	B.3	Screening	NA	EBO001	0	0.038	9444000	Sample	15940347	15767290	21.4133183318	21.4129377972	337	553	185	0	0	0.0295	0.0191093345427481	0.2697	0.0167998015861299	0.0299	0.00560654379572062	0.3611	0.0496710288912069	0.1833	0.0372590033862063	0.0045	0.0104907366545708	0.122	0.00635959467611297	NA	NA
EBO003.A0101	NA	NA	This_study	NA	sink	Gorilla_2	Gorilla_gorilla	Gorilla	Gorilla	Gorilla	GO2	Calculus	Historical	Cameroon	Ebolwa	Molar	Calculus	B.3	Both	NA	EBO003	0	0.312	2996000	Sample	20663024	20549945	17.7561691771	17.7559307336	364	567	139	0	0	0.1594	0.0223567041896211	0.3126	0.0123845782236529	0.0236	0.00250333111406915	0.3526	0.0157705773867386	0	0	4e-04	0.00126491106406735	0.1514	0.0102111050658911	NA	NA
GDC002.A0101	NA	NA	This_study	NA	sink	Gorilla_2	Gorilla_gorilla	Gorilla	Gorilla	Gorilla	GO2	Calculus	Historical	Cameroon	Unknown	Molar	Calculus	B.3	Screening	NA	GDC002	0	0.064	23290000	Sample	12455663	11300654	25.2152397552	25.2147442086	284	364	130	0	0	0.0393	0.00893246264413621	0.4144	0.0161877868914946	0.3595	0.0104695325163596	0.0896	0.00708989891794423	0	0	0	0	0.0972	0.0099643810088178	NA	NA
GDC004.A0101	NA	NA	This_study	NA	sink	Gorilla_2	Gorilla_gorilla	Gorilla	Gorilla	Gorilla	GO2	Calculus	Historical	Cameroon	Unknown	Molar	Calculus	B.3	Screening	NA	GDC004	0	0.08	29780000	Sample	12460462	12302652	56.8666902063	56.8664300998	699	433	464	0	0	0	0	0.215	0.0179443584449264	0.4586	0.0120388260778754	0	0	0	0	0	0	0.3264	0.0131419599417709	NA	NA
