Mapping Strategy	Genus	Reference	Sample	SNP Calls (all)	SNP Calls (het)	Percentage Polymorphic over All
superreference_mapping	Olsenella	Olsenella	DJA002	54910	1209	2.20
superreference_mapping	Ottowia	Ottowia	DJA002	230	31	13.48
superreference_mapping	Porphyromonas	Porphyromonas	DJA002	336	8	2.38
superreference_mapping	Prevotella	Prevotella	DJA002	78	3	3.85
superreference_mapping	Pseudopropionibacterium	Pseudopropionibacterium	DJA002	44704	2101	4.70
superreference_mapping	Selenomonas	Selenomonas	DJA002	206	33	16.02
superreference_mapping	Streptococcus	Streptococcus	DJA002	10	0	0.00
superreference_mapping	Tannerella	Tannerella	DJA002	71423	1398	1.96
superreference_mapping	Treponema	Treponema	DJA002	4166	107	2.57
initial_single_genome	Actinomyces	Actinomyces_dentalis_DSM_19115	DJA002	86046	33429	38.85
initial_single_genome	Campylobacter	Campylobacter_gracilis	DJA002	39598	10551	26.65
initial_single_genome	Capnocytophaga	Capnocytophaga_gingivalis_ATCC_33624	DJA002	351	83	23.65
initial_single_genome	Corynebacterium	Corynebacterium_matruchotii_ATCC_14266	DJA002	2187	275	12.57
initial_single_genome	Fretibacterium	Fretibacterium_fastidiosum	DJA002	45239	12903	28.52
initial_single_genome	Fusobacterium	Fusobacterium_hwasookii_ChDC_F206	DJA002	27835	5759	20.69
initial_single_genome	Olsenella	Olsenella_sp_oral_taxon_807	DJA002	58779	1878	3.20
initial_single_genome	Ottowia	Ottowia_sp_oral_taxon_894	DJA002	1601	251	15.68
initial_single_genome	Porphyromonas	Porphyromonas_gingivalis_ATCC_33277	DJA002	1142	106	9.28
initial_single_genome	Prevotella	Prevotella_loescheii_DSM_19665_JCM_12249_ATCC_15930	DJA002	800	130	16.25
initial_single_genome	Pseudopropionibacterium	Pseudopropionibacterium_propionicum_F0230a	DJA002	47287	4031	8.52
initial_single_genome	Selenomonas	Selenomonas_sp_F0473	DJA002	847	318	37.54
initial_single_genome	Streptococcus	Streptococcus_gordonii_str_Challis_substr_CH1	DJA002	56	1	1.79
initial_single_genome	Streptococcus	Streptococcus_sanguinis_SK36	DJA002	64	4	6.25
initial_single_genome	Tannerella	Tannerella_forsythia_92A2	DJA002	71682	1519	2.12
initial_single_genome	Treponema	Treponema_socranskii_subsp_paredis_ATCC_35535	DJA002	4520	142	3.14
superreference_mapping	Actinomyces	Actinomyces	EBO003	50687	2677	5.28
superreference_mapping	Campylobacter	Campylobacter	EBO003	18091	3587	19.83
superreference_mapping	Capnocytophaga	Capnocytophaga	EBO003	37	21	56.76
superreference_mapping	Corynebacterium	Corynebacterium	EBO003	56	6	10.71
superreference_mapping	Fretibacterium	Fretibacterium	EBO003	48261	16791	34.79
superreference_mapping	Fusobacterium	Fusobacterium	EBO003	74	0	0.00
superreference_mapping	Olsenella	Olsenella	EBO003	78132	16539	21.17
superreference_mapping	Ottowia	Ottowia	EBO003	115	24	20.87
superreference_mapping	Porphyromonas	Porphyromonas	EBO003	1483	20	1.35
superreference_mapping	Prevotella	Prevotella	EBO003	16	0	0.00
superreference_mapping	Pseudopropionibacterium	Pseudopropionibacterium	EBO003	72776	32555	44.73
superreference_mapping	Selenomonas	Selenomonas	EBO003	336	52	15.48
superreference_mapping	Streptococcus	Streptococcus	EBO003	7	1	14.29
superreference_mapping	Tannerella	Tannerella	EBO003	32896	488	1.48
superreference_mapping	Treponema	Treponema	EBO003	15626	1877	12.01
initial_single_genome	Actinomyces	Actinomyces_dentalis_DSM_19115	EBO003	76625	8064	10.52
initial_single_genome	Campylobacter	Campylobacter_gracilis	EBO003	19018	3806	20.01
initial_single_genome	Capnocytophaga	Capnocytophaga_gingivalis_ATCC_33624	EBO003	120	63	52.50
initial_single_genome	Corynebacterium	Corynebacterium_matruchotii_ATCC_14266	EBO003	1105	229	20.72
initial_single_genome	Fretibacterium	Fretibacterium_fastidiosum	EBO003	48262	16793	34.80
initial_single_genome	Fusobacterium	Fusobacterium_hwasookii_ChDC_F206	EBO003	2604	85	3.26
initial_single_genome	Olsenella	Olsenella_sp_oral_taxon_807	EBO003	81575	17955	22.01
initial_single_genome	Ottowia	Ottowia_sp_oral_taxon_894	EBO003	783	206	26.31
initial_single_genome	Porphyromonas	Porphyromonas_gingivalis_ATCC_33277	EBO003	2746	124	4.52
initial_single_genome	Prevotella	Prevotella_loescheii_DSM_19665_JCM_12249_ATCC_15930	EBO003	331	76	22.96
initial_single_genome	Pseudopropionibacterium	Pseudopropionibacterium_propionicum_F0230a	EBO003	74644	34277	45.92
initial_single_genome	Selenomonas	Selenomonas_sp_F0473	EBO003	1413	412	29.16
initial_single_genome	Streptococcus	Streptococcus_gordonii_str_Challis_substr_CH1	EBO003	58	4	6.90
initial_single_genome	Streptococcus	Streptococcus_sanguinis_SK36	EBO003	76	13	17.11
initial_single_genome	Tannerella	Tannerella_forsythia_92A2	EBO003	33130	555	1.68
initial_single_genome	Treponema	Treponema_socranskii_subsp_paredis_ATCC_35535	EBO003	16237	2015	12.41
superreference_mapping	Actinomyces	Actinomyces	MTM009	44874	3557	7.93
superreference_mapping	Campylobacter	Campylobacter	MTM009	35758	11028	30.84
superreference_mapping	Capnocytophaga	Capnocytophaga	MTM009	96	69	71.88
superreference_mapping	Corynebacterium	Corynebacterium	MTM009	158	18	11.39
superreference_mapping	Fretibacterium	Fretibacterium	MTM009	81949	30788	37.57
superreference_mapping	Fusobacterium	Fusobacterium	MTM009	2148	169	7.87
superreference_mapping	Olsenella	Olsenella	MTM009	1083	110	10.16
superreference_mapping	Ottowia	Ottowia	MTM009	814	168	20.64
superreference_mapping	Porphyromonas	Porphyromonas	MTM009	4179	75	1.79
superreference_mapping	Prevotella	Prevotella	MTM009	93	2	2.15
superreference_mapping	Pseudopropionibacterium	Pseudopropionibacterium	MTM009	69412	3602	5.19
superreference_mapping	Selenomonas	Selenomonas	MTM009	331	59	17.82
superreference_mapping	Streptococcus	Streptococcus	MTM009	557	10	1.80
superreference_mapping	Tannerella	Tannerella	MTM009	78794	2568	3.26
superreference_mapping	Treponema	Treponema	MTM009	8875	462	5.21
initial_single_genome	Actinomyces	Actinomyces_dentalis_DSM_19115	MTM009	91957	32870	35.74
initial_single_genome	Campylobacter	Campylobacter_gracilis	MTM009	37347	11697	31.32
initial_single_genome	Capnocytophaga	Capnocytophaga_gingivalis_ATCC_33624	MTM009	311	140	45.02
initial_single_genome	Corynebacterium	Corynebacterium_matruchotii_ATCC_14266	MTM009	1831	565	30.86
initial_single_genome	Fretibacterium	Fretibacterium_fastidiosum	MTM009	81944	30782	37.56
initial_single_genome	Fusobacterium	Fusobacterium_hwasookii_ChDC_F206	MTM009	21099	3935	18.65
initial_single_genome	Olsenella	Olsenella_sp_oral_taxon_807	MTM009	3427	712	20.78
initial_single_genome	Ottowia	Ottowia_sp_oral_taxon_894	MTM009	5651	1175	20.79
initial_single_genome	Porphyromonas	Porphyromonas_gingivalis_ATCC_33277	MTM009	6473	312	4.82
initial_single_genome	Prevotella	Prevotella_loescheii_DSM_19665_JCM_12249_ATCC_15930	MTM009	1350	198	14.67
initial_single_genome	Pseudopropionibacterium	Pseudopropionibacterium_propionicum_F0230a	MTM009	72301	6723	9.30
initial_single_genome	Selenomonas	Selenomonas_sp_F0473	MTM009	1565	548	35.02
initial_single_genome	Streptococcus	Streptococcus_gordonii_str_Challis_substr_CH1	MTM009	3137	764	24.35
initial_single_genome	Streptococcus	Streptococcus_sanguinis_SK36	MTM009	4931	942	19.10
initial_single_genome	Tannerella	Tannerella_forsythia_92A2	MTM009	78994	2648	3.35
initial_single_genome	Treponema	Treponema_socranskii_subsp_paredis_ATCC_35535	MTM009	9564	601	6.28
superreference_mapping	Actinomyces	Actinomyces	KNP001	60640	3335	5.50
superreference_mapping	Campylobacter	Campylobacter	KNP001	24055	5977	24.85
superreference_mapping	Capnocytophaga	Capnocytophaga	KNP001	63	21	33.33
superreference_mapping	Corynebacterium	Corynebacterium	KNP001	92	5	5.43
superreference_mapping	Fretibacterium	Fretibacterium	KNP001	69979	13952	19.94
superreference_mapping	Fusobacterium	Fusobacterium	KNP001	4237	569	13.43
superreference_mapping	Olsenella	Olsenella	KNP001	46237	7102	15.36
superreference_mapping	Ottowia	Ottowia	KNP001	18181	4064	22.35
superreference_mapping	Porphyromonas	Porphyromonas	KNP001	12039	1338	11.11
superreference_mapping	Prevotella	Prevotella	KNP001	98	9	9.18
superreference_mapping	Pseudopropionibacterium	Pseudopropionibacterium	KNP001	84861	1480	1.74
superreference_mapping	Selenomonas	Selenomonas	KNP001	359	49	13.65
superreference_mapping	Streptococcus	Streptococcus	KNP001	11	0	0.00
superreference_mapping	Tannerella	Tannerella	KNP001	51597	1750	3.39
superreference_mapping	Treponema	Treponema	KNP001	21277	2815	13.23
initial_single_genome	Actinomyces	Actinomyces_dentalis_DSM_19115	KNP001	79236	8640	10.90
initial_single_genome	Campylobacter	Campylobacter_gracilis	KNP001	24783	6169	24.89
initial_single_genome	Capnocytophaga	Capnocytophaga_gingivalis_ATCC_33624	KNP001	319	94	29.47
initial_single_genome	Corynebacterium	Corynebacterium_matruchotii_ATCC_14266	KNP001	1215	308	25.35
initial_single_genome	Fretibacterium	Fretibacterium_fastidiosum	KNP001	69977	13951	19.94
initial_single_genome	Fusobacterium	Fusobacterium_hwasookii_ChDC_F206	KNP001	24050	4268	17.75
initial_single_genome	Olsenella	Olsenella_sp_oral_taxon_807	KNP001	48637	8071	16.59
initial_single_genome	Ottowia	Ottowia_sp_oral_taxon_894	KNP001	60453	15935	26.36
initial_single_genome	Porphyromonas	Porphyromonas_gingivalis_ATCC_33277	KNP001	15710	2057	13.09
initial_single_genome	Prevotella	Prevotella_loescheii_DSM_19665_JCM_12249_ATCC_15930	KNP001	1460	198	13.56
initial_single_genome	Pseudopropionibacterium	Pseudopropionibacterium_propionicum_F0230a	KNP001	85476	2094	2.45
initial_single_genome	Selenomonas	Selenomonas_sp_F0473	KNP001	2562	474	18.50
initial_single_genome	Streptococcus	Streptococcus_gordonii_str_Challis_substr_CH1	KNP001	162	18	11.11
initial_single_genome	Streptococcus	Streptococcus_sanguinis_SK36	KNP001	224	32	14.29
initial_single_genome	Tannerella	Tannerella_forsythia_92A2	KNP001	51974	1981	3.81
initial_single_genome	Treponema	Treponema_socranskii_subsp_paredis_ATCC_35535	KNP001	21914	2992	13.65
superreference_mapping	Actinomyces	Actinomyces	KNP004	69393	4933	7.11
superreference_mapping	Campylobacter	Campylobacter	KNP004	29547	6671	22.58
superreference_mapping	Capnocytophaga	Capnocytophaga	KNP004	51	20	39.22
superreference_mapping	Corynebacterium	Corynebacterium	KNP004	87	9	10.34
superreference_mapping	Fretibacterium	Fretibacterium	KNP004	72138	15281	21.18
superreference_mapping	Fusobacterium	Fusobacterium	KNP004	5791	817	14.11
superreference_mapping	Olsenella	Olsenella	KNP004	75279	8198	10.89
superreference_mapping	Ottowia	Ottowia	KNP004	9239	1084	11.73
superreference_mapping	Porphyromonas	Porphyromonas	KNP004	16392	969	5.91
superreference_mapping	Prevotella	Prevotella	KNP004	71	11	15.49
superreference_mapping	Pseudopropionibacterium	Pseudopropionibacterium	KNP004	62528	2054	3.28
superreference_mapping	Selenomonas	Selenomonas	KNP004	305	51	16.72
superreference_mapping	Streptococcus	Streptococcus	KNP004	45	1	2.22
superreference_mapping	Tannerella	Tannerella	KNP004	62440	1905	3.05
superreference_mapping	Treponema	Treponema	KNP004	35887	6518	18.16
initial_single_genome	Actinomyces	Actinomyces_dentalis_DSM_19115	KNP004	85091	7258	8.53
initial_single_genome	Campylobacter	Campylobacter_gracilis	KNP004	30468	6935	22.76
initial_single_genome	Capnocytophaga	Capnocytophaga_gingivalis_ATCC_33624	KNP004	172	76	44.19
initial_single_genome	Corynebacterium	Corynebacterium_matruchotii_ATCC_14266	KNP004	1363	291	21.35
initial_single_genome	Fretibacterium	Fretibacterium_fastidiosum	KNP004	72140	15283	21.19
initial_single_genome	Fusobacterium	Fusobacterium_hwasookii_ChDC_F206	KNP004	27613	5409	19.59
initial_single_genome	Olsenella	Olsenella_sp_oral_taxon_807	KNP004	77558	8823	11.38
initial_single_genome	Ottowia	Ottowia_sp_oral_taxon_894	KNP004	38272	5521	14.43
initial_single_genome	Porphyromonas	Porphyromonas_gingivalis_ATCC_33277	KNP004	19003	1459	7.68
initial_single_genome	Prevotella	Prevotella_loescheii_DSM_19665_JCM_12249_ATCC_15930	KNP004	953	190	19.94
initial_single_genome	Pseudopropionibacterium	Pseudopropionibacterium_propionicum_F0230a	KNP004	63609	3101	4.88
initial_single_genome	Selenomonas	Selenomonas_sp_F0473	KNP004	1294	428	33.08
initial_single_genome	Streptococcus	Streptococcus_gordonii_str_Challis_substr_CH1	KNP004	592	64	10.81
initial_single_genome	Streptococcus	Streptococcus_sanguinis_SK36	KNP004	634	73	11.51
initial_single_genome	Tannerella	Tannerella_forsythia_92A2	KNP004	62673	2026	3.23
initial_single_genome	Treponema	Treponema_socranskii_subsp_paredis_ATCC_35535	KNP004	36583	6726	18.39
superreference_mapping	Actinomyces	Actinomyces	KNP005	59582	9959	16.71
superreference_mapping	Campylobacter	Campylobacter	KNP005	7815	805	10.30
superreference_mapping	Capnocytophaga	Capnocytophaga	KNP005	28	10	35.71
superreference_mapping	Corynebacterium	Corynebacterium	KNP005	11	0	0.00
superreference_mapping	Fretibacterium	Fretibacterium	KNP005	71340	15328	21.49
superreference_mapping	Fusobacterium	Fusobacterium	KNP005	716	26	3.63
superreference_mapping	Olsenella	Olsenella	KNP005	43884	6412	14.61
superreference_mapping	Ottowia	Ottowia	KNP005	12387	241	1.95
superreference_mapping	Porphyromonas	Porphyromonas	KNP005	6696	387	5.78
superreference_mapping	Prevotella	Prevotella	KNP005	43	11	25.58
superreference_mapping	Pseudopropionibacterium	Pseudopropionibacterium	KNP005	4122	157	3.81
superreference_mapping	Selenomonas	Selenomonas	KNP005	130	15	11.54
superreference_mapping	Streptococcus	Streptococcus	KNP005	1	0	0.00
superreference_mapping	Tannerella	Tannerella	KNP005	65575	18618	28.39
superreference_mapping	Treponema	Treponema	KNP005	24553	2837	11.55
initial_single_genome	Actinomyces	Actinomyces_dentalis_DSM_19115	KNP005	76242	13767	18.06
initial_single_genome	Campylobacter	Campylobacter_gracilis	KNP005	8318	904	10.87
initial_single_genome	Capnocytophaga	Capnocytophaga_gingivalis_ATCC_33624	KNP005	163	71	43.56
initial_single_genome	Corynebacterium	Corynebacterium_matruchotii_ATCC_14266	KNP005	509	133	26.13
initial_single_genome	Fretibacterium	Fretibacterium_fastidiosum	KNP005	71342	15330	21.49
initial_single_genome	Fusobacterium	Fusobacterium_hwasookii_ChDC_F206	KNP005	6835	549	8.03
initial_single_genome	Olsenella	Olsenella_sp_oral_taxon_807	KNP005	45783	6902	15.08
initial_single_genome	Ottowia	Ottowia_sp_oral_taxon_894	KNP005	45545	656	1.44
initial_single_genome	Porphyromonas	Porphyromonas_gingivalis_ATCC_33277	KNP005	9003	752	8.35
initial_single_genome	Prevotella	Prevotella_loescheii_DSM_19665_JCM_12249_ATCC_15930	KNP005	672	174	25.89
initial_single_genome	Pseudopropionibacterium	Pseudopropionibacterium_propionicum_F0230a	KNP005	4826	382	7.92
initial_single_genome	Selenomonas	Selenomonas_sp_F0473	KNP005	668	228	34.13
initial_single_genome	Streptococcus	Streptococcus_gordonii_str_Challis_substr_CH1	KNP005	85	8	9.41
initial_single_genome	Streptococcus	Streptococcus_sanguinis_SK36	KNP005	100	5	5.00
initial_single_genome	Tannerella	Tannerella_forsythia_92A2	KNP005	65796	18729	28.47
initial_single_genome	Treponema	Treponema_socranskii_subsp_paredis_ATCC_35535	KNP005	25155	2996	11.91
superreference_mapping	Actinomyces	Actinomyces	KNP009	69162	18803	27.19
superreference_mapping	Campylobacter	Campylobacter	KNP009	18660	4020	21.54
superreference_mapping	Capnocytophaga	Capnocytophaga	KNP009	42	14	33.33
superreference_mapping	Corynebacterium	Corynebacterium	KNP009	37	2	5.41
superreference_mapping	Fretibacterium	Fretibacterium	KNP009	66881	14124	21.12
superreference_mapping	Fusobacterium	Fusobacterium	KNP009	6300	854	13.56
superreference_mapping	Olsenella	Olsenella	KNP009	56989	9621	16.88
superreference_mapping	Ottowia	Ottowia	KNP009	5427	171	3.15
superreference_mapping	Porphyromonas	Porphyromonas	KNP009	16815	946	5.63
superreference_mapping	Prevotella	Prevotella	KNP009	756	16	2.12
superreference_mapping	Pseudopropionibacterium	Pseudopropionibacterium	KNP009	90126	4999	5.55
superreference_mapping	Selenomonas	Selenomonas	KNP009	126	15	11.90
superreference_mapping	Streptococcus	Streptococcus	KNP009	11	0	0.00
superreference_mapping	Tannerella	Tannerella	KNP009	73244	16690	22.79
superreference_mapping	Treponema	Treponema	KNP009	31722	7801	24.59
initial_single_genome	Actinomyces	Actinomyces_dentalis_DSM_19115	KNP009	88026	26005	29.54
initial_single_genome	Campylobacter	Campylobacter_gracilis	KNP009	19247	4157	21.60
initial_single_genome	Capnocytophaga	Capnocytophaga_gingivalis_ATCC_33624	KNP009	221	68	30.77
initial_single_genome	Corynebacterium	Corynebacterium_matruchotii_ATCC_14266	KNP009	704	186	26.42
initial_single_genome	Fretibacterium	Fretibacterium_fastidiosum	KNP009	66881	14124	21.12
initial_single_genome	Fusobacterium	Fusobacterium_hwasookii_ChDC_F206	KNP009	28845	5710	19.80
initial_single_genome	Olsenella	Olsenella_sp_oral_taxon_807	KNP009	58988	10185	17.27
initial_single_genome	Ottowia	Ottowia_sp_oral_taxon_894	KNP009	27734	729	2.63
initial_single_genome	Porphyromonas	Porphyromonas_gingivalis_ATCC_33277	KNP009	19254	1383	7.18
initial_single_genome	Prevotella	Prevotella_loescheii_DSM_19665_JCM_12249_ATCC_15930	KNP009	9215	676	7.34
initial_single_genome	Pseudopropionibacterium	Pseudopropionibacterium_propionicum_F0230a	KNP009	90518	5359	5.92
initial_single_genome	Selenomonas	Selenomonas_sp_F0473	KNP009	1003	282	28.12
initial_single_genome	Streptococcus	Streptococcus_gordonii_str_Challis_substr_CH1	KNP009	323	53	16.41
initial_single_genome	Streptococcus	Streptococcus_sanguinis_SK36	KNP009	294	45	15.31
initial_single_genome	Tannerella	Tannerella_forsythia_92A2	KNP009	73529	16855	22.92
initial_single_genome	Treponema	Treponema_socranskii_subsp_paredis_ATCC_35535	KNP009	32502	8074	24.84
superreference_mapping	Actinomyces	Actinomyces	FUM002	7197	1021	14.19
superreference_mapping	Campylobacter	Campylobacter	FUM002	33	1	3.03
superreference_mapping	Capnocytophaga	Capnocytophaga	FUM002	23	15	65.22
superreference_mapping	Corynebacterium	Corynebacterium	FUM002	103	32	31.07
superreference_mapping	Fretibacterium	Fretibacterium	FUM002	401	52	12.97
superreference_mapping	Fusobacterium	Fusobacterium	FUM002	6	0	0.00
superreference_mapping	Olsenella	Olsenella	FUM002	20336	438	2.15
superreference_mapping	Ottowia	Ottowia	FUM002	137	13	9.49
superreference_mapping	Porphyromonas	Porphyromonas	FUM002	162	10	6.17
superreference_mapping	Prevotella	Prevotella	FUM002	5	0	0.00
superreference_mapping	Pseudopropionibacterium	Pseudopropionibacterium	FUM002	37456	7744	20.67
superreference_mapping	Selenomonas	Selenomonas	FUM002	46	1	2.17
superreference_mapping	Streptococcus	Streptococcus	FUM002	2134	96	4.50
superreference_mapping	Tannerella	Tannerella	FUM002	93	0	0.00
superreference_mapping	Treponema	Treponema	FUM002	23	0	0.00
