#SampleID	BarcodeSequence	LinkerPrimerSequence	Study	Accession_ID	SourceSink	Env	Description	Host_General	Host_Genus	Host_Common	Code	Is_Oral	Age	Location	Site	ToothSource	Type	LabProtocol	ScreeningDeepData	NCBI Project ID	individual_id	SumSampleWeight_mg	SumExtractionConcentration_ng_ul	SumLibraryConcentration_copies_ul	Sample_or_Control	Individual_Seq_Depth	Individual_Seq_Depth_NonHuman	Percentage_Hits	Percentage_Hits_with_Taxonomy	Min_Support_Reads_Threshold_MALT	Min_Support_Reads_Threshold_MALT_refseq	Min_Support_Reads_Threshold_MP2
EXB015.A2201	NA	NA	This_study	NA	sink	ExtractionControl	extraction_control	ExtractionControl	Control	ExtractionControl	EX0	Blank	ModernDay	Germany	Jena	None	Blank	X.1	Screening	NA	EXB015.A2201	NA	NA	1144440	Control	788087	505402	66.6526844	66.65031005	33	36	0
EXB015.A2301	NA	NA	This_study	NA	sink	ExtractionControl	extraction_control	ExtractionControl	Control	ExtractionControl	EX0	Blank	ModernDay	Germany	Jena	None	Blank	X.1	Screening	NA	EXB015.A2301	NA	NA	33560	Control	253027	172075	63.74604097	63.74545983	10	11	0
EXB015.A2401	NA	NA	This_study	NA	sink	ExtractionControl	extraction_control	ExtractionControl	Control	ExtractionControl	EX0	Blank	ModernDay	Germany	Jena	None	Blank	X.1	Screening	NA	EXB015.A2401	NA	NA	29790	Control	580408	490275	51.19881699	51.19534955	25	26	3
EXB015.A2501	NA	NA	This_study	NA	sink	ExtractionControl	extraction_control	ExtractionControl	Control	ExtractionControl	EX0	Blank	ModernDay	Germany	Jena	None	Blank	X.1	Screening	NA	EXB015.A2501	NA	NA	20860	Control	1769022	1622112	38.03072784	38.02844686	61	65	0
EXB015.A2601	NA	NA	This_study	NA	sink	ExtractionControl	extraction_control	ExtractionControl	Control	ExtractionControl	EX0	Blank	ModernDay	Germany	Jena	None	Blank	X.1	Screening	NA	EXB015.A2601	NA	NA	18310	Control	1697372	1535271	35.66438759	35.66041435	54	57	1
EXB015.A2801	NA	NA	This_study	NA	sink	ExtractionControl	extraction_control	ExtractionControl	Control	ExtractionControl	EX0	Blank	ModernDay	Germany	Jena	None	Blank	X.1	Screening	NA	EXB015.A2801	NA	NA	41240	Control	2302672	2086131	36.95285675	36.94921364	77	97	4
EXB015.A2901	NA	NA	This_study	NA	sink	ExtractionControl	extraction_control	ExtractionControl	Control	ExtractionControl	EX0	Blank	ModernDay	Germany	Jena	None	Blank	X.1	Screening	NA	EXB015.A2901	NA	NA	2880	Control	781866	490977	45.34998584	45.34794909	22	25	0
EXB020.A0101	NA	NA	This_study	NA	sink	ExtractionControl	extraction_control	ExtractionControl	Control	ExtractionControl	EX0	Blank	ModernDay	Germany	Jena	None	Blank	X.1	Screening	NA	EXB020.A0101	NA	NA	74045	Control	112204	326164	53.28178462	53.27381317	17	4	NA
EXB021.A0101	NA	NA	This_study	NA	sink	ExtractionControl	extraction_control	ExtractionControl	Control	ExtractionControl	EX0	Blank	ModernDay	Germany	Jena	None	Blank	X.1	Screening	NA	EXB021.A0101	NA	NA	79120	Control	108735	405936	53.10861811	53.10319853	21	4	0
EXB022.A0101	NA	NA	This_study	NA	sink	ExtractionControl	extraction_control	ExtractionControl	Control	ExtractionControl	EX0	Blank	ModernDay	Germany	Jena	None	Blank	X.1	Screening	NA	EXB022.A0101	NA	NA	810050	Control	2445235	1767632	55.11220661	55.11135802	97	111	7
EXB023.A0101	NA	NA	This_study	NA	sink	ExtractionControl	extraction_control	ExtractionControl	Control	ExtractionControl	EX0	Blank	ModernDay	Germany	Jena	None	Blank	X.1	Screening	NA	EXB023.A0101	NA	NA	399150	Control	2409113	1731519	53.38110642	53.37960484	92	95	5
EXB033.A0401	NA	NA	This_study	NA	sink	ExtractionControl	extraction_control	ExtractionControl	Control	ExtractionControl	EX0	Blank	ModernDay	USA	Oklahoma	None	Blank	X.1	Screening	NA	EXB033.A0401	NA	NA	NA	Control	921045	891364	21.69775759	21.69551384	19	25	3
EXB033.A0801	NA	NA	This_study	NA	sink	ExtractionControl	extraction_control	ExtractionControl	Control	ExtractionControl	EX0	Blank	ModernDay	Germany	Jena	None	Blank	X.1	Screening	NA	EXB033.A0801	NA	NA	14735	Control	1009071	940295	51.92710798	51.92296035	48	53	9
EXB033.A1401	NA	NA	This_study	NA	sink	ExtractionControl	extraction_control	ExtractionControl	Control	ExtractionControl	EX0	Blank	ModernDay	USA	Oklahoma	None	Blank	B.4	Screening	NA	EXB033.A1401	NA	NA	471700	Control	227118	223573	14.14124246	14.13855877	3	4	0
MTK001.A0101	NA	NA	This_study	NA	sink	Gorilla_1	Gorilla_beringei_beringei	Gorilla	Gorilla	Gorilla	GO1	Calculus	Historical	Rwanda	Mount Karisimbi	Incisor	Calculus	B.2	Screening	NA	MTK001	0	0	344125000	Sample	8345706	8268804	25.93717302	25.9368344	214	350	86
MTM001.A0101	NA	NA	This_study	NA	sink	Gorilla_1	Gorilla_beringei_beringei	Gorilla	Gorilla	Gorilla	GO1	Calculus	Historical	Congo	Mount Mikeno	Incisor	Calculus	B.2	Screening	NA	MTM001	0	0	2280000000	Sample	3875027	3486856	21.51537087	21.514912	75	125	22
MTM002.A0101	NA	NA	This_study	NA	sink	Gorilla_1	Gorilla_beringei_beringei	Gorilla	Gorilla	Gorilla	GO1	Calculus	Historical	Congo	Mount Mikeno	Canine	Calculus	B.2	Screening	NA	MTM002	0	0	312000000	Sample	3170409	3065269	40.02767783	40.02757996	122	130	56
MTM003.A0101	NA	NA	This_study	NA	sink	Gorilla_1	Gorilla_beringei_beringei	Gorilla	Gorilla	Gorilla	GO1	Calculus	Historical	Congo	Mount Mikeno	Molar	Calculus	B.2	Screening	NA	MTM003	0	0	477875000	Sample	36597397	34546048	43.54580588	43.54551641	1504	2026	736
MTM004.A0101	NA	NA	This_study	NA	sink	Gorilla_1	Gorilla_beringei_beringei	Gorilla	Gorilla	Gorilla	GO1	Calculus	Historical	Congo	Mount Mikeno	Unknown	Calculus	B.2	Screening	NA	MTM004	0	0	1270000000	Sample	4189539	4106490	23.6643216	23.66398067	97	156	40
MTM005.A0101	NA	NA	This_study	NA	sink	Gorilla_1	Gorilla_beringei_beringei	Gorilla	Gorilla	Gorilla	GO1	Calculus	Historical	Congo	Mount Mikeno	Incisor	Calculus	B.2	Screening	NA	MTM005	0	0	396000000	Sample	3459869	3434086	25.99445675	25.99352491	89	154	35
MTM006.A0101	NA	NA	This_study	NA	sink	Gorilla_1	Gorilla_beringei_beringei	Gorilla	Gorilla	Gorilla	GO1	Calculus	Historical	Congo	Mount Mikeno	Incisor	Calculus	B.2	Screening	NA	MTM006	0	0	493000000	Sample	7111633	7069851	32.76108648	32.76076115	231	371	100
MTM008.A0101	NA	NA	This_study	NA	sink	Gorilla_1	Gorilla_beringei_beringei	Gorilla	Gorilla	Gorilla	GO1	Calculus	Historical	Congo	Mount Mikeno	Molar	Calculus	B.2	Screening	NA	MTM008	0	0	402000000	Sample	5259403	5164298	25.36974048	25.36923702	131	222	38
MTM009.A0101	NA	NA	This_study	NA	sink	Gorilla_1	Gorilla_beringei_beringei	Gorilla	Gorilla	Gorilla	GO1	Calculus	Historical	Congo	Mount Mikeno	Incisor	Calculus	B.2	Both	NA	MTM009	0	0	164000000	Sample	2400568	2385491	23.65064467	23.65030931	56	89	21
MTM011.A0101	NA	NA	This_study	NA	sink	Gorilla_1	Gorilla_beringei_beringei	Gorilla	Gorilla	Gorilla	GO1	Calculus	Historical	Congo	Mount Mikeno	Incisor	Calculus	B.2	Screening	NA	MTM011	0	0	550900000	Sample	8467093	4775010	33.53488265	33.5344638	160	152	24
MTM012.A0101	NA	NA	This_study	NA	sink	Gorilla_1	Gorilla_beringei_beringei	Gorilla	Gorilla	Gorilla	GO1	Calculus	Historical	Congo	Mount Mikeno	Incisor	Calculus	B.2	Screening	NA	MTM012	0	0	747050000	Sample	11834945	10623025	50.46401566	50.46367678	536	636	357
MTM013.A0101	NA	NA	This_study	NA	sink	Gorilla_1	Gorilla_beringei_beringei	Gorilla	Gorilla	Gorilla	GO1	Calculus	Historical	Congo	Mount Mikeno	Molar	Calculus	B.2	Screening	NA	MTM013	0	0	238144550	Sample	7854954	7105486	42.45910836	42.45868615	301	347	128
MTS001.A0101	NA	NA	This_study	NA	sink	Gorilla_1	Gorilla_beringei_beringei	Gorilla	Gorilla	Gorilla	GO1	Calculus	Historical	Congo	Mount Sabyinyo	Unknown	Calculus	B.2	Screening	NA	MTS001	0	0	636400000	Sample	7110585	6540914	30.64025914	30.63989222	200	287	80
MTS002.A0101	NA	NA	This_study	NA	sink	Gorilla_1	Gorilla_beringei_beringei	Gorilla	Gorilla	Gorilla	GO1	Calculus	Historical	Congo	Mount Sabyinyo	Incisor	Calculus	B.2	Screening	NA	MTS002	0	0	1069750000	Sample	10230398	6562562	37.60665423	37.6052371	246	262	65
MTS003.A0101	NA	NA	This_study	NA	sink	Gorilla_1	Gorilla_beringei_beringei	Gorilla	Gorilla	Gorilla	GO1	Calculus	Historical	Congo	Mount Sabyinyo	Unknown	Calculus	B.2	Screening	NA	MTS003	0	0	790800000	Sample	7713993	7532301	39.05343135	39.05301979	294	430	171
ABM006.A0101	NA	NA	This_study	NA	sink	Gorilla_2	Gorilla_gorilla_gorilla	Gorilla	Gorilla	Gorilla	GO2	Calculus	Historical	Cameroon	Abong Mbong	Molar	Calculus	B.3	Screening	NA	ABM006	0	0.444	15730000	Sample	8124616	8057367	23.97530111	23.96861158	193	309	56
DJA002.A0101	NA	NA	This_study	NA	sink	Gorilla_2	Gorilla_gorilla_gorilla	Gorilla	Gorilla	Gorilla	GO2	Calculus	Historical	Cameroon	Djaposten	Molar	Calculus	B.3	Both	NA	DJA002	0	0.064	13750000	Sample	12060645	11978137	17.50813169	17.50798977	209	364	124
EBO001.A0101	NA	NA	This_study	NA	sink	Gorilla_2	Gorilla_gorilla_gorilla	Gorilla	Gorilla	Gorilla	GO2	Calculus	Historical	Cameroon	Ebolwa	Premolar	Calculus	B.3	Screening	NA	EBO001	0	0.038	9444000	Sample	15940347	15767290	21.41331833	21.4129378	337	553	185
EBO003.A0101	NA	NA	This_study	NA	sink	Gorilla_2	Gorilla_gorilla_gorilla	Gorilla	Gorilla	Gorilla	GO2	Calculus	Historical	Cameroon	Ebolwa	Molar	Calculus	B.3	Both	NA	EBO003	0	0.312	2996000	Sample	20663024	20549945	17.75616918	17.75593073	364	567	139
GDC002.A0101	NA	NA	This_study	NA	sink	Gorilla_2	Gorilla_gorilla_gorilla	Gorilla	Gorilla	Gorilla	GO2	Calculus	Historical	Cameroon	Unknown	Molar	Calculus	B.3	Screening	NA	GDC002	0	0.064	23290000	Sample	12455663	11300654	25.21523976	25.21474421	284	364	130
GDC004.A0101	NA	NA	This_study	NA	sink	Gorilla_2	Gorilla_gorilla_gorilla	Gorilla	Gorilla	Gorilla	GO2	Calculus	Historical	Cameroon	Unknown	Molar	Calculus	B.3	Screening	NA	GDC004	0	0.08	29780000	Sample	12460462	12302652	56.86669021	56.8664301	699	433	464
GDC005.A0101	NA	NA	This_study	NA	sink	Gorilla_2	Gorilla_gorilla_gorilla	Gorilla	Gorilla	Gorilla	GO2	Calculus	Historical	Cameroon	Unknown	Molar	Calculus	B.3	Screening	NA	GDC005	0	0.052	7032000	Sample	16338526	9931068	40.77334885	40.77273461	404	375	158
MTM010.A0101	NA	NA	This_study	NA	sink	Gorilla_2	Gorilla_gorilla_gorilla	Gorilla	Gorilla	Gorilla	GO1	Calculus	Historical	Congo	Mount Mikeno	Canine	Calculus	B.2	Screening	NA	MTM010	0	0	468175000	Sample	9581535	9123626	25.81679696	25.81635854	235	311	100
BIT001.A0101	NA	NA	This_study	NA	sink	Gorilla_3	Gorilla_beringei_graueri	Gorilla	Gorilla	Gorilla	GO3	Calculus	Historical	Congo	Bitule	Multiple	Calculus	B.3	Screening	NA	BIT001	0	1.65	640900000	Sample	24433589	23239961	14.87638469	14.86663855	345	461	64
FDM001.A0101	NA	NA	This_study	NA	sink	Gorilla_3	Gorilla_beringei_graueri	Gorilla	Gorilla	Gorilla	GO3	Calculus	Historical	Congo	Foret de Maniema	Multiple	Calculus	B.3	Screening	NA	FDM001	0	0.0433	28760000	Sample	16663862	4889751	32.06402535	32.06257333	156	204	56
IBA001.A0101	NA	NA	This_study	NA	sink	Gorilla_3	Gorilla_beringei_graueri	Gorilla	Gorilla	Gorilla	GO3	Calculus	Historical	Congo	Ibatsero	Multiple	Calculus	B.3	Screening	NA	IBA001	0	0.231	105300000	Sample	12055695	12987664	18.59338215	18.59199622	241	407	122
IBA002.A0101	NA	NA	This_study	NA	sink	Gorilla_3	Gorilla_beringei_graueri	Gorilla	Gorilla	Gorilla	GO3	Calculus	Historical	Congo	Ibatsero	Multiple	Calculus	B.3	Screening	NA	IBA002	0	0.433	302800000	Sample	13127864	19022015	51.28981341	51.28945067	975	1297	867
LOB001.A0101	NA	NA	This_study	NA	sink	Gorilla_3	Gorilla_beringei_graueri	Gorilla	Gorilla	Gorilla	GO1	Calculus	Historical	Congo	Lubero	Canine	Calculus	B.2	Screening	NA	LOB001	0	0	96297500	Sample	8831605	8770905	22.76708048	22.76348906	199	296	48
WAL001.A0101	NA	NA	This_study	NA	sink	Gorilla_3	Gorilla_beringei_graueri	Gorilla	Gorilla	Gorilla	GO3	Calculus	Historical	Congo	Walikale	Multiple	Calculus	B.3	Screening	NA	WAL001	0	0.144	94630000	Sample	14985035	14881423	19.34111409	19.3406437	287	257	102
OME002.A0101	NA	NA	This_study	NA	sink	Howler_Monkey	Alouatta_palliata	Howler	Alouatta	Alouatta	AL0	Calculus	Historical	Nicaragua	Ometepe Biological Field Station	Multiple	Calculus	B.4	Both	NA	OME002	0	0.479	279400000	Sample	14159411	13994463	18.00700034	18.00407061	251	499	151
OME003.A0101	NA	NA	This_study	NA	sink	Howler_Monkey	Alouatta_palliata	Howler	Alouatta	Alouatta	AL0	Calculus	Historical	Nicaragua	Ometepe Biological Field Station	Multiple	Calculus	B.4	Both	NA	OME003	0	3.91	1300000000	Sample	14096803	13956736	16.71465305	16.71402253	233	402	70
OME005.A0101	NA	NA	This_study	NA	sink	Howler_Monkey	Alouatta_palliata	Howler	Alouatta	Alouatta	AL0	Calculus	Historical	Nicaragua	Ometepe Biological Field Station	Multiple	Calculus	B.4	Both	NA	OME005	0	0.197	75460000	Sample	9532562	9470819	17.95781336	17.95357931	170	274	26
OME007.A0101	NA	NA	This_study	NA	sink	Howler_Monkey	Alouatta_palliata	Howler	Alouatta	Alouatta	AL0	Calculus	Historical	Nicaragua	Ometepe Biological Field Station	Multiple	Calculus	B.4	Screening	NA	OME007	0	0.351	76000000	Sample	11587294	11490181	21.49725057	21.49152394	247	371	62
OME009.A0101	NA	NA	This_study	NA	sink	Howler_Monkey	Alouatta_palliata	Howler	Alouatta	Alouatta	AL0	Calculus	Historical	Nicaragua	Ometepe Biological Field Station	Multiple	Calculus	B.4	Screening	NA	OME009	0	0.233	41700000	Sample	7487708	7422246	19.42581801	19.42308299	144	204	31
LIB007.A0117	NA	NA	This_study	NA	sink	LibraryControl	library_control	LibraryControl	Control	LibraryControl	LI0	Blank	ModernDay	Germany	Jena	None	Blank	X.1	Screening	NA	LIB007.A0117	NA	NA	34460	Control	251819	45330	82.39797044	82.39576439	3	3	NA
LIB007.A0118	NA	NA	This_study	NA	sink	LibraryControl	library_control	LibraryControl	Control	LibraryControl	LI0	Blank	ModernDay	Germany	Jena	None	Blank	X.1	Screening	NA	LIB007.A0118	NA	NA	1099080	Control	77128	413954	75.61782227	75.61685598	31	33	NA
LIB007.A0119	NA	NA	This_study	NA	sink	LibraryControl	library_control	LibraryControl	Control	LibraryControl	LI0	Blank	ModernDay	Germany	Jena	None	Blank	X.1	Screening	NA	LIB007.A0119	NA	NA	28890	Control	707817	295765	65.03947391	65.0391358	19	23	NA
LIB007.A0120	NA	NA	This_study	NA	sink	LibraryControl	library_control	LibraryControl	Control	LibraryControl	LI0	Blank	ModernDay	Germany	Jena	None	Blank	X.1	Screening	NA	LIB007.A0120	NA	NA	27580	Control	478362	1296344	49.96744691	49.96397561	64	68	0
