Taxon	aggregate_oxygen_tol_aggregate	aggregate_gram_stain	oral_related
Porphyromonas_gingivalis	anaerobe	NA	TRUE
Prevotella_dentalis	anaerobe	NA	TRUE
Prevotella_denticola	anaerobe	NA	TRUE
Prevotella_intermedia	anaerobe	NA	FALSE
Prevotella_melaninogenica	anaerobe	NA	FALSE
Propionibacterium_freudenreichii	anaerobe/microaerophile	NA	FALSE
Pseudomonas_koreensis	aerobe	NA	FALSE
Pseudopropionibacterium_propionicum	anaerobe/microaerophile	NA	FALSE
Pyramidobacter_piscolens	anaerobe	negative	TRUE
Rothia_aeria	aerobe/microaerophile	positive	FALSE
Rothia_dentocariosa	anaerobe/microaerophile	NA	TRUE
Rothia_mucilaginosa	microaerophile	NA	FALSE
Salmonella_enterica	aerobe	"NA"	FALSE
Selenomonas_sputigena	anaerobe	NA	TRUE
Slackia_heliotrinireducens	anaerobe	NA	FALSE
Staphylococcus_nepalensis	aerobe	NA	FALSE
Staphylococcus_xylosus	aerobe	NA	FALSE
Streptococcus_acidominimus	microaerophile/aerobe	NA	FALSE
Streptococcus_agalactiae	microaerophile/aerobe	NA	FALSE
Streptococcus_anginosus	microaerophile/anaerobe	NA	FALSE
Streptococcus_constellatus	microaerophile/anaerobe	NA	FALSE
Streptococcus_cristatus	microaerophile	NA	TRUE
Streptococcus_dysgalactiae	microaerophile	NA	FALSE
Streptococcus_equi	microaerophile	NA	FALSE
Streptococcus_gallolyticus	microaerophile/aerobe	NA	FALSE
Streptococcus_gordonii	microaerophile	NA	FALSE
Streptococcus_himalayensis	facultative anaerobe	positive	FALSE
Streptococcus_intermedius	microaerophile/anaerobe	NA	FALSE
Streptococcus_marmotae	facultative anaerobe	positive	FALSE
Streptococcus_merionis	microaerophile/facultative anaerobe	positive	FALSE
Streptococcus_mitis	microaerophile	NA	TRUE
Streptococcus_mutans	microaerophile	NA	TRUE
Streptococcus_oralis	microaerophile/facultative anaerobe	positive	TRUE
Streptococcus_pantholopis	facultative anaerobe	positive	FALSE
Streptococcus_parasanguinis	microaerophile	NA	FALSE
Streptococcus_parauberis	microaerophile	NA	FALSE
Streptococcus_pneumoniae	microaerophile	NA	NA
Streptococcus_pseudopneumoniae	microaerophile	NA	FALSE
Streptococcus_pyogenes	microaerophile	NA	FALSE
Streptococcus_salivarius	microaerophile/aerobe	NA	FALSE
Streptococcus_sanguinis	microaerophile	NA	FALSE
Streptococcus_suis	anaerobe/microaerophile/aerobe	NA	FALSE
Streptococcus_thermophilus	microaerophile/aerobe	NA	FALSE
Streptococcus_troglodytae	microaerophile/facultative anaerobe	positive	TRUE
Tannerella_forsythia	anaerobe	NA	TRUE
Tessaracoccus_flavescens	facultative anaerobe	positive	FALSE
Tessaracoccus_flavus	facultative anaerobe	positive	FALSE
Treponema_denticola	anaerobe	NA	TRUE
Treponema_pedis	anaerobe	negative	FALSE
Treponema_putidum	anaerobe	"NA"	TRUE
Trueperella_pyogenes	anaerobe	"NA"	FALSE
Veillonella_atypica	anaerobe	NA	TRUE
Veillonella_parvula	anaerobe	NA	TRUE
Veillonella_rodentium	anaerobe	NA	TRUE
