"Database"	"Taxon Genus"	"Taxon"	"Block ID"	"Host Genus Grouping"
"nt"	"Actinomyces"	"Actinomyces_naeslundii"	2	"Anthropoid Core (Reduced in Gorilla/Alouatta)"
"nt"	"Actinomyces"	"Actinomyces_oris"	2	"Anthropoid Core (Reduced in Gorilla/Alouatta)"
"nt"	"Actinomyces"	"Actinomyces_radicidentis"	2	"Anthropoid Core (Reduced in Gorilla/Alouatta)"
"nt"	"Actinomyces"	"Actinomyces_sp._Chiba101"	2	"Anthropoid Core (Reduced in Gorilla/Alouatta)"
"nt"	"Actinomyces"	"Actinomyces_sp._oral_taxon_414"	2	"Anthropoid Core (Reduced in Gorilla/Alouatta)"
"nt"	"Actinomyces"	"Actinomyces_succiniciruminis"	2	"Anthropoid Core (Reduced in Gorilla/Alouatta)"
"nt"	"Campylobacter"	"Campylobacter_gracilis"	2	"Anthropoid Core (Reduced in Gorilla/Alouatta)"
"nt"	"Fusobacterium"	"Fusobacterium_nucleatum"	2	"Anthropoid Core (Reduced in Gorilla/Alouatta)"
"nt"	"Pseudopropionibacterium"	"Pseudopropionibacterium_propionicum"	2	"Anthropoid Core (Reduced in Gorilla/Alouatta)"
"nt"	"Streptococcus"	"Streptococcus_anginosus"	2	"Anthropoid Core (Reduced in Gorilla/Alouatta)"
"nt"	"Streptococcus"	"Streptococcus_intermedius"	2	"Anthropoid Core (Reduced in Gorilla/Alouatta)"
"nt"	"uncultured"	"uncultured_bacterium"	2	"Anthropoid Core (Reduced in Gorilla/Alouatta)"
"nt"	"Campylobacter"	"Campylobacter_concisus"	3	"Homo Specific (Modern Day Dominant; Ancient Sporadic)"
"nt"	"Campylobacter"	"Campylobacter_curvus"	3	"Homo Specific (Modern Day Dominant; Ancient Sporadic)"
"nt"	"Capnocytophaga"	"Capnocytophaga_ochracea"	3	"Homo Specific (Modern Day Dominant; Ancient Sporadic)"
"nt"	"Capnocytophaga"	"Capnocytophaga_sp._oral_taxon_323"	3	"Homo Specific (Modern Day Dominant; Ancient Sporadic)"
"nt"	"Fusobacterium"	"Fusobacterium_hwasookii"	3	"Homo Specific (Modern Day Dominant; Ancient Sporadic)"
"nt"	"Leptotrichia"	"Leptotrichia_buccalis"	3	"Homo Specific (Modern Day Dominant; Ancient Sporadic)"
"nt"	"Selenomonas"	"Selenomonas_sp._oral_taxon_126"	3	"Homo Specific (Modern Day Dominant; Ancient Sporadic)"
"nt"	"Selenomonas"	"Selenomonas_sp._oral_taxon_920"	3	"Homo Specific (Modern Day Dominant; Ancient Sporadic)"
"nt"	"Selenomonas"	"Selenomonas_sputigena"	3	"Homo Specific (Modern Day Dominant; Ancient Sporadic)"
"nt"	"Veillonella"	"Veillonella_parvula"	3	"Homo Specific (Modern Day Dominant; Ancient Sporadic)"
"nt"	"Aggregatibacter"	"Aggregatibacter_aphrophilus"	4	"Homo/Gorilla/Alouatta (Modern Day Human Dominant; missing in one clade of ancient)"
"nt"	"Eikenella"	"Eikenella_corrodens"	4	"Homo/Gorilla/Alouatta (Modern Day Human Dominant; missing in one clade of ancient)"
"nt"	"Neisseria"	"Neisseria_elongata"	4	"Homo/Gorilla/Alouatta (Modern Day Human Dominant; missing in one clade of ancient)"
"nt"	"Neisseria"	"Neisseria_meningitidis"	4	"Homo/Gorilla/Alouatta (Modern Day Human Dominant; missing in one clade of ancient)"
"nt"	"Neisseria"	"Neisseria_sicca"	4	"Homo/Gorilla/Alouatta (Modern Day Human Dominant; missing in one clade of ancient)"
"nt"	"Streptococcus"	"Streptococcus_cristatus"	4	"Homo/Gorilla/Alouatta (Modern Day Human Dominant; missing in one clade of ancient)"
"nt"	"Streptococcus"	"Streptococcus_gordonii"	4	"Homo/Gorilla/Alouatta (Modern Day Human Dominant; missing in one clade of ancient)"
"nt"	"Streptococcus"	"Streptococcus_oralis"	4	"Homo/Gorilla/Alouatta (Modern Day Human Dominant; missing in one clade of ancient)"
"nt"	"Streptococcus"	"Streptococcus_pneumoniae"	4	"Homo/Gorilla/Alouatta (Modern Day Human Dominant; missing in one clade of ancient)"
"nt"	"Streptococcus"	"Streptococcus_sanguinis"	4	"Homo/Gorilla/Alouatta (Modern Day Human Dominant; missing in one clade of ancient)"
"nt"	"Capnocytophaga"	"Capnocytophaga_gingivalis"	5	"Homo/Gorilla/Alouatta (Modern Day Human Dominant; Gorilla/Alouattas/Ancient humans sporadic)"
"nt"	"Capnocytophaga"	"Capnocytophaga_leadbetteri"	5	"Homo/Gorilla/Alouatta (Modern Day Human Dominant; Gorilla/Alouattas/Ancient humans sporadic)"
"nt"	"Capnocytophaga"	"Capnocytophaga_sp._ChDC_OS43"	5	"Homo/Gorilla/Alouatta (Modern Day Human Dominant; Gorilla/Alouattas/Ancient humans sporadic)"
"nt"	"Capnocytophaga"	"Capnocytophaga_sputigena"	5	"Homo/Gorilla/Alouatta (Modern Day Human Dominant; Gorilla/Alouattas/Ancient humans sporadic)"
"nt"	"Haemophilus"	"Haemophilus_influenzae"	5	"Homo/Gorilla/Alouatta (Modern Day Human Dominant; Gorilla/Alouattas/Ancient humans sporadic)"
"nt"	"Haemophilus"	"Haemophilus_parainfluenzae"	5	"Homo/Gorilla/Alouatta (Modern Day Human Dominant; Gorilla/Alouattas/Ancient humans sporadic)"
"nt"	"Haemophilus"	"Haemophilus_pittmaniae"	5	"Homo/Gorilla/Alouatta (Modern Day Human Dominant; Gorilla/Alouattas/Ancient humans sporadic)"
"nt"	"Leptotrichia"	"Leptotrichia_sp._oral_taxon_212"	5	"Homo/Gorilla/Alouatta (Modern Day Human Dominant; Gorilla/Alouattas/Ancient humans sporadic)"
"nt"	"Neisseria"	"Neisseria_gonorrhoeae"	5	"Homo/Gorilla/Alouatta (Modern Day Human Dominant; Gorilla/Alouattas/Ancient humans sporadic)"
"nt"	"Neisseria"	"Neisseria_lactamica"	5	"Homo/Gorilla/Alouatta (Modern Day Human Dominant; Gorilla/Alouattas/Ancient humans sporadic)"
"nt"	"Neisseria"	"Neisseria_sp._KEM232"	5	"Homo/Gorilla/Alouatta (Modern Day Human Dominant; Gorilla/Alouattas/Ancient humans sporadic)"
"nt"	"Rothia"	"Rothia_aeria"	5	"Homo/Gorilla/Alouatta (Modern Day Human Dominant; Gorilla/Alouattas/Ancient humans sporadic)"
"nt"	"Rothia"	"Rothia_dentocariosa"	5	"Homo/Gorilla/Alouatta (Modern Day Human Dominant; Gorilla/Alouattas/Ancient humans sporadic)"
"nt"	"Streptococcus"	"Streptococcus_mitis"	5	"Homo/Gorilla/Alouatta (Modern Day Human Dominant; Gorilla/Alouattas/Ancient humans sporadic)"
"nt"	"Streptococcus"	"Streptococcus_sp._NPS_308"	5	"Homo/Gorilla/Alouatta (Modern Day Human Dominant; Gorilla/Alouattas/Ancient humans sporadic)"
"nt"	"Streptococcus"	"Streptococcus_sp._oral_taxon_064"	5	"Homo/Gorilla/Alouatta (Modern Day Human Dominant; Gorilla/Alouattas/Ancient humans sporadic)"
"nt"	"Streptococcus"	"Streptococcus_sp._VT_162"	5	"Homo/Gorilla/Alouatta (Modern Day Human Dominant; Gorilla/Alouattas/Ancient humans sporadic)"
"nt"	"Aggregatibacter"	"Aggregatibacter_actinomycetemcomitans"	6	"Gorilla/Alouatta specific"
"nt"	"Rothia"	"Rothia_mucilaginosa"	6	"Gorilla/Alouatta specific"
"nt"	"Methanobrevibacter"	"Methanobrevibacter_millerae"	7	"Homo specific (Ancient humans only; missing in modern day)"
"nt"	"Methanobrevibacter"	"Methanobrevibacter_smithii"	7	"Homo specific (Ancient humans only; missing in modern day)"
"nt"	"Methanobrevibacter"	"Methanobrevibacter_sp._YE315"	7	"Homo specific (Ancient humans only; missing in modern day)"
"nt"	"Acidipropionibacterium"	"Acidipropionibacterium_acidipropionici"	8	"Pan/Homo dominant (Ancient humans only; missing in modern day)"
"nt"	"Desulfobulbus"	"Desulfobulbus_propionicus"	8	"Pan/Homo dominant (Ancient humans only; missing in modern day)"
"nt"	"Fusobacterium"	"Fusobacterium_sp._oral_taxon_203"	8	"Pan/Homo dominant (Ancient humans only; missing in modern day)"
"nt"	"Murdochiella"	"Murdochiella_vaginalis"	8	"Pan/Homo dominant (Ancient humans only; missing in modern day)"
"nt"	"Propionibacterium"	"Propionibacterium_freudenreichii"	8	"Pan/Homo dominant (Ancient humans only; missing in modern day)"
"nt"	"Treponema"	"Treponema_pedis"	8	"Pan/Homo dominant (Ancient humans only; missing in modern day)"
"nt"	"Actinomyces"	"Actinomyces_pacaensis"	9	"Pan specific"
"nt"	"Adlercreutzia"	"Adlercreutzia_equolifaciens"	9	"Pan specific"
"nt"	"Atopobium"	"Atopobium_parvulum"	9	"Pan specific"
"nt"	"Candidatus"	"Candidatus_Methanomethylophilus_alvus"	9	"Pan specific"
"nt"	"Clostridioides"	"Clostridioides_difficile"	9	"Pan specific"
"nt"	"Coriobacteriaceae"	"Coriobacteriaceae_bacterium_68-1-3"	9	"Pan specific"
"nt"	"Cryptobacterium"	"Cryptobacterium_curtum"	9	"Pan specific"
"nt"	"Denitrobacterium"	"Denitrobacterium_detoxificans"	9	"Pan specific"
"nt"	"Eggerthella"	"Eggerthella_lenta"	9	"Pan specific"
"nt"	"Faecalibacterium"	"Faecalibacterium_prausnitzii"	9	"Pan specific"
"nt"	"Gordonibacter"	"Gordonibacter_massiliensis"	9	"Pan specific"
"nt"	"Gordonibacter"	"Gordonibacter_pamelaeae"	9	"Pan specific"
"nt"	"Gordonibacter"	"Gordonibacter_urolithinfaciens"	9	"Pan specific"
"nt"	"Lawsonella"	"Lawsonella_clevelandensis"	9	"Pan specific"
"nt"	"Libanicoccus"	"Libanicoccus_massiliensis"	9	"Pan specific"
"nt"	"methanogenic"	"methanogenic_archaeon_ISO4-H5"	9	"Pan specific"
"nt"	"methanogenic"	"methanogenic_archaeon_mixed_culture_ISO4-G1"	9	"Pan specific"
"nt"	"Olsenella"	"Olsenella_sp._Marseille-P2300"	9	"Pan specific"
"nt"	"Olsenella"	"Olsenella_umbonata"	9	"Pan specific"
"nt"	"Prevotella"	"Prevotella_dentalis"	9	"Pan specific"
"nt"	"Prevotella"	"Prevotella_enoeca"	9	"Pan specific"
"nt"	"Slackia"	"Slackia_heliotrinireducens"	9	"Pan specific"
"nt"	"Thermoplasmatales"	"Thermoplasmatales_archaeon_BRNA1"	9	"Pan specific"
"nt"	"Kingella"	"Kingella_kingae"	10	"Gorilla/Alouatta specific"
"nt"	"Neisseria"	"Neisseria_sp._10023"	10	"Gorilla/Alouatta specific"
"nt"	"Neisseria"	"Neisseria_zoodegmatis"	10	"Gorilla/Alouatta specific"
"nt"	"Selenomonas"	"Selenomonas_sp._oral_taxon_136"	10	"Gorilla/Alouatta specific"
"nt"	"Selenomonas"	"Selenomonas_sp._oral_taxon_478"	10	"Gorilla/Alouatta specific"
"nt"	"Streptococcus"	"Streptococcus_agalactiae"	10	"Gorilla/Alouatta specific"
"nt"	"Streptococcus"	"Streptococcus_dysgalactiae"	10	"Gorilla/Alouatta specific"
"nt"	"Streptococcus"	"Streptococcus_equi"	10	"Gorilla/Alouatta specific"
"nt"	"Streptococcus"	"Streptococcus_mutans"	10	"Gorilla/Alouatta specific"
"nt"	"Streptococcus"	"Streptococcus_parasanguinis"	10	"Gorilla/Alouatta specific"
"nt"	"Streptococcus"	"Streptococcus_pyogenes"	10	"Gorilla/Alouatta specific"
"nt"	"Streptococcus"	"Streptococcus_sp._oral_taxon_431"	10	"Gorilla/Alouatta specific"
"nt"	"Streptococcus"	"Streptococcus_suis"	10	"Gorilla/Alouatta specific"
"nt"	"Streptococcus"	"Streptococcus_troglodytae"	10	"Gorilla/Alouatta specific"
"nt"	"Veillonella"	"Veillonella_rodentium"	10	"Gorilla/Alouatta specific"
"nt"	"Bacteroides"	"Bacteroides_fragilis"	11	"Pan Specific"
"nt"	"Bacteroides"	"Bacteroides_salanitronis"	11	"Pan Specific"
"nt"	"Cloacibacillus"	"Cloacibacillus_porcorum"	11	"Pan Specific"
"nt"	"Dialister"	"Dialister_pneumosintes"	11	"Pan Specific"
"nt"	"Eggerthella"	"Eggerthella_sp._YY7918"	11	"Pan Specific"
"nt"	"Eubacterium"	"Eubacterium_limosum"	11	"Pan Specific"
"nt"	"Fermentimonas"	"Fermentimonas_caenicola"	11	"Pan Specific"
"nt"	"Finegoldia"	"Finegoldia_magna"	11	"Pan Specific"
"nt"	"Flavonifractor"	"Flavonifractor_plautii"	11	"Pan Specific"
"nt"	"Intestinimonas"	"Intestinimonas_butyriciproducens"	11	"Pan Specific"
"nt"	"Lachnoclostridium"	"Lachnoclostridium_phocaeense"	11	"Pan Specific"
"nt"	"Mageeibacillus"	"Mageeibacillus_indolicus"	11	"Pan Specific"
"nt"	"Megasphaera"	"Megasphaera_elsdenii"	11	"Pan Specific"
"nt"	"Ndongobacter"	"Ndongobacter_massiliensis"	11	"Pan Specific"
"nt"	"Odoribacter"	"Odoribacter_splanchnicus"	11	"Pan Specific"
"nt"	"Prevotella"	"Prevotella_denticola"	11	"Pan Specific"
"nt"	"Prevotella"	"Prevotella_melaninogenica"	11	"Pan Specific"
"nt"	"Pyramidobacter"	"Pyramidobacter_piscolens"	11	"Pan Specific"
"nt"	"Trueperella"	"Trueperella_pyogenes"	11	"Pan Specific"
"nt"	"Actinobacillus"	"Actinobacillus_pleuropneumoniae"	12	"Gorilla/Alouatta Specific"
"nt"	"Actinobacillus"	"Actinobacillus_succinogenes"	12	"Gorilla/Alouatta Specific"
"nt"	"Actinomyces"	"Actinomyces_radingae"	12	"Gorilla/Alouatta Specific"
"nt"	"Bibersteinia"	"Bibersteinia_trehalosi"	12	"Gorilla/Alouatta Specific"
"nt"	"Cutibacterium"	"Cutibacterium_avidum"	12	"Gorilla/Alouatta Specific"
"nt"	"Enterobacter"	"Enterobacter_cloacae"	12	"Gorilla/Alouatta Specific"
"nt"	"Enterococcus"	"Enterococcus_faecalis"	12	"Gorilla/Alouatta Specific"
"nt"	"Gallibacterium"	"Gallibacterium_anatis"	12	"Gorilla/Alouatta Specific"
"nt"	"Glaesserella"	"Glaesserella_parasuis"	12	"Gorilla/Alouatta Specific"
"nt"	"Histophilus"	"Histophilus_somni"	12	"Gorilla/Alouatta Specific"
"nt"	"Mannheimia"	"Mannheimia_haemolytica"	12	"Gorilla/Alouatta Specific"
"nt"	"Mannheimia"	"Mannheimia_varigena"	12	"Gorilla/Alouatta Specific"
"nt"	"Neisseria"	"Neisseria_sp._10022"	12	"Gorilla/Alouatta Specific"
"nt"	"Neisseria"	"Neisseria_weaveri"	12	"Gorilla/Alouatta Specific"
"nt"	"Pasteurella"	"Pasteurella_dagmatis"	12	"Gorilla/Alouatta Specific"
"nt"	"Pasteurella"	"Pasteurella_multocida"	12	"Gorilla/Alouatta Specific"
"nt"	"Pasteurellaceae"	"Pasteurellaceae_bacterium_NI1060"	12	"Gorilla/Alouatta Specific"
"nt"	"Pseudomonas"	"Pseudomonas_koreensis"	12	"Gorilla/Alouatta Specific"
"nt"	"Salmonella"	"Salmonella_enterica"	12	"Gorilla/Alouatta Specific"
"nt"	"Staphylococcus"	"Staphylococcus_nepalensis"	12	"Gorilla/Alouatta Specific"
"nt"	"Staphylococcus"	"Staphylococcus_saprophyticus"	12	"Gorilla/Alouatta Specific"
"nt"	"Staphylococcus"	"Staphylococcus_xylosus"	12	"Gorilla/Alouatta Specific"
"nt"	"Streptococcus"	"Streptococcus_acidominimus"	12	"Gorilla/Alouatta Specific"
"nt"	"Streptococcus"	"Streptococcus_gallolyticus"	12	"Gorilla/Alouatta Specific"
"nt"	"Streptococcus"	"Streptococcus_himalayensis"	12	"Gorilla/Alouatta Specific"
"nt"	"Streptococcus"	"Streptococcus_marmotae"	12	"Gorilla/Alouatta Specific"
"nt"	"Streptococcus"	"Streptococcus_merionis"	12	"Gorilla/Alouatta Specific"
"nt"	"Streptococcus"	"Streptococcus_pantholopis"	12	"Gorilla/Alouatta Specific"
"nt"	"Streptococcus"	"Streptococcus_parauberis"	12	"Gorilla/Alouatta Specific"
"nt"	"Streptococcus"	"Streptococcus_pseudopneumoniae"	12	"Gorilla/Alouatta Specific"
"nt"	"Streptococcus"	"Streptococcus_salivarius"	12	"Gorilla/Alouatta Specific"
"nt"	"Streptococcus"	"Streptococcus_sp._A12"	12	"Gorilla/Alouatta Specific"
"nt"	"Streptococcus"	"Streptococcus_sp._I-G2"	12	"Gorilla/Alouatta Specific"
"nt"	"Streptococcus"	"Streptococcus_sp._I-P16"	12	"Gorilla/Alouatta Specific"
"nt"	"Streptococcus"	"Streptococcus_thermophilus"	12	"Gorilla/Alouatta Specific"
"nt"	"Tessaracoccus"	"Tessaracoccus_aquimaris"	12	"Gorilla/Alouatta Specific"
"nt"	"Tessaracoccus"	"Tessaracoccus_flavescens"	12	"Gorilla/Alouatta Specific"
"nt"	"Tessaracoccus"	"Tessaracoccus_flavus"	12	"Gorilla/Alouatta Specific"
"nt"	"Tessaracoccus"	"Tessaracoccus_sp._T2.5-30"	12	"Gorilla/Alouatta Specific"
"nt"	"Veillonella"	"Veillonella_atypica"	12	"Gorilla/Alouatta Specific"
"nt"	"Bifidobacterium"	"Bifidobacterium_dentium"	"NA"	
"nt"	"Candidatus"	"Candidatus_Saccharimonas_aalborgensis"	"NA"	
"nt"	"Desulfovibrio"	"Desulfovibrio_fairfieldensis"	"NA"	
"nt"	"Methanobrevibacter"	"Methanobrevibacter_olleyae"	"NA"	
"nt"	"Methanobrevibacter"	"Methanobrevibacter_ruminantium"	"NA"	
"nt"	"Methanobrevibacter"	"Methanobrevibacter_sp._AbM4"	"NA"	
