individual	sample	raw_reads	post_clip_and_merge	percent_merged_content_post_clip_and_merge	mapped_reads	percent_endogenous_dna	post_duplicate_removal_reads	cluster_factor	x_mean_coverage	mt_dna_reads	median_fragment_length	gc_content_percent	non_human_reads	study	accession_id	source_sink	env	description	host_general	host_genus	host_common	code	is_oral	age	location	site	tooth_source	type	screening_deep_data	ncbi_project_id	sample_or_control	sample_number	polygtrimmed_number_reads_after_c_m_prior_mapping	polygtrimmed_number_of_merged_reads	polygtrimmed_percent_merged_reads	polygtrimmed_number_reads_not_attempted_to_map	polygtrimmed_number_mapped_reads_prior_rm_dup	polygtrimmed_number_of_duplicates_removed	polygtrimmed_mapped_reads_after_rm_dup	polygtrimmed_endogenous_dna_percent	polygtrimmed_cluster_factor	polygtrimmed_mean_coverage	polygtrimmed_std_dev_coverage	polygtrimmed_coverage_1x_in_percent	polygtrimmed_coverage_2x_in_percent	polygtrimmed_coverage_3x_in_percent	polygtrimmed_coverage_4x_in_percent	polygtrimmed_coverage_5x_in_percent	polygtrimmed_number_of_reads_on_mitochondrium	polygtrimmed_avg_coverage_on_mitochondrium	polygtrimmed_mt_nuc_ratio	polygtrimmed_dmg_1st_base_3	polygtrimmed_dmg_2nd_base_3	polygtrimmed_dmg_1st_base_5	polygtrimmed_dmg_2nd_base_5	polygtrimmed_average_fragment_length	polygtrimmed_median_fragment_length	polygtrimmed_gc_content_in_percent
Chimp.150519	Chimp.150519	NA	NA	NA	255813	NA	28669	8.92298301301057	3e-4	0	31	46.12	17319354	Weyrich2017	NA	sink	Chimp_4	Pan_troglodytes	Chimp	Pan	Pan	PA3	Calculus	Historical	Sierra_Leone	Gola Forest	Unknown	Calculus	Screening	NA	Sample	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ElSidron1	ElSidron1	NA	NA	NA	23461	NA	17456	1.34400779101742	2e-4	9	27	45.24	50263252	Weyrich2017	NA	sink	Neanderthal	Homo_sapiens_neanderthalensis	Neanderthal	Homo	Homo (Neanderthal)	HN0	Calculus	Palaeolithic	Spain	El Sidron	Unknown	Calculus	Screening	NA	Sample	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ElSidron2	ElSidron2	NA	NA	NA	31979	NA	9797	3.2641624987241	1e-4	0	26	48.87	48199813	Weyrich2017	NA	sink	Neanderthal	Homo_sapiens_neanderthalensis	Neanderthal	Homo	Homo (Neanderthal)	HN0	Calculus	Palaeolithic	Spain	El Sidron	Unknown	Calculus	Screening	NA	Sample	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ERR1883418	ERR1883418	NA	NA	NA	597820	NA	593091	1.00797348130388	0.005	114	24	47.39	15313919	Slon2017	ERR1883418	source	sediment	Sediment-chagyrskayaL5603	sediment	Sediment	Sediment	SE1	Not_Oral	ModernDay	Russia	Chagyrskaya Cave	NA	NA	Screening	PRJEB18629	Sample	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ERR1883419	ERR1883419	NA	NA	NA	731615	NA	725666	1.00819798640146	0.006	153	24	46.02	14971987	Slon2017	ERR1883419	source	sediment	Sediment-chagyrskayaL5604	sediment	Sediment	Sediment	SE1	Not_Oral	ModernDay	Russia	Chagyrskaya Cave	NA	NA	Screening	PRJEB18629	Sample	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ERR1883420	ERR1883420	NA	NA	NA	651214	NA	646260	1.00766564540587	0.0052	102	24	48.38	17128621	Slon2017	ERR1883420	source	sediment	Sediment-chagyrskayaL5605	sediment	Sediment	Sediment	SE1	Not_Oral	ModernDay	Russia	Chagyrskaya Cave	NA	NA	Screening	PRJEB18629	Sample	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ERR1883421	ERR1883421	NA	NA	NA	706843	NA	701402	1.00775732033841	0.0055	83	23	50.25	15512230	Slon2017	ERR1883421	source	sediment	Sediment-chagyrskayaL5606	sediment	Sediment	Sediment	SE1	Not_Oral	ModernDay	Russia	Chagyrskaya Cave	NA	NA	Screening	PRJEB18629	Sample	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ERR1883422	ERR1883422	NA	NA	NA	2934849	NA	2893458	1.01430502879254	0.02	62	22	61.7	16579390	Slon2017	ERR1883422	source	sediment	Sediment-chagyrskayaL5607	sediment	Sediment	Sediment	SE1	Not_Oral	ModernDay	Russia	Chagyrskaya Cave	NA	NA	Screening	PRJEB18629	Sample	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ERR1883423	ERR1883423	NA	NA	NA	1103636	NA	1093142	1.00959985070558	0.0074	20	22	62.18	14450910	Slon2017	ERR1883423	source	sediment	Sediment-chagyrskayaL5608	sediment	Sediment	Sediment	SE1	Not_Oral	ModernDay	Russia	Chagyrskaya Cave	NA	NA	Screening	PRJEB18629	Sample	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ERR1883424	ERR1883424	NA	NA	NA	715846	NA	711735	1.00577602618952	0.0049	13	22	60.99	17758233	Slon2017	ERR1883424	source	sediment	Sediment-chagyrskayaL5609	sediment	Sediment	Sediment	SE1	Not_Oral	ModernDay	Russia	Chagyrskaya Cave	NA	NA	Screening	PRJEB18629	Sample	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ERR1883430	ERR1883430	NA	NA	NA	827183	NA	824029	1.00382753519597	0.0055	32	21	56.23	14823024	Slon2017	ERR1883430	source	sediment	denisovaEast-A2423	sediment	Sediment	Sediment	SE2	Not_Oral	ModernDay	Russia	Denisova Cave	NA	NA	Screening	PRJEB18629	Sample	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ERR1883436	ERR1883436	NA	NA	NA	651919	NA	648174	1.00577776954953	0.0044	30	21	55	20645139	Slon2017	ERR1883436	source	sediment	denisovaEast-A2424	sediment	Sediment	Sediment	SE2	Not_Oral	ModernDay	Russia	Denisova Cave	NA	NA	Screening	PRJEB18629	Sample	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ERR1883438	ERR1883438	NA	NA	NA	472010	NA	470592	1.00301322589419	0.003	15	21	57.93	17270876	Slon2017	ERR1883438	source	sediment	denisovaEast-A2425	sediment	Sediment	Sediment	SE2	Not_Oral	ModernDay	Russia	Denisova Cave	NA	NA	Screening	PRJEB18629	Sample	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
JAE006	JAE006.A0101	141974546	88613670	59.1481957580586	729728	0.82349371152329	514499	1.41832734368774	0.0134	123	76	45.64	87883942	Velsko2019	ERR3307045	sink	ModernDayHuman_1	Homo_sapiens_sapiens	ModernDayHuman	Homo	Homo (Modern Human)	HM1	Calculus	ModernDay	Spain	Jaen	Unknown	Calculus	Screening	NA	Sample	Sample 80/188	132293746	8837172	6.68	123456574	802898	10531	792367	0.607	1.013	0.0178	0.2883	0.89	0.8	0.03	0.01	0	165	0.7055344317701732	39.7	0.0044	0.004	0.0059	0.0041	69.45	76	45.21
JAE007	JAE007.A0101	108434984	66728743	61.5052661789238	309192	0.463356547867236	150355	2.05641315553191	0.0039	117	76	46.23	66419551	Velsko2019	ERR3307046	sink	ModernDayHuman_1	Homo_sapiens_sapiens	ModernDayHuman	Homo	Homo (Modern Human)	HM1	Calculus	ModernDay	Spain	Jaen	Unknown	Calculus	Screening	NA	Sample	Sample 81/188	101345945	6495135	6.409	94850810	224321	2859	221462	0.221	1.013	0.005	0.155	0.25	0.23	0.01	0	0	172	0.7248476069768846	146.37	0.0031	0.0034	0.0031	0.0027	69.28	76	44.75
JAE008	JAE008.A0101	105004392	66717630	56.5947081753354	1421591	2.13075764232033	1210858	1.17403609671819	0.0323	523	76	42.92	65296039	Velsko2019	ERR3307047	sink	ModernDayHuman_1	Homo_sapiens_sapiens	ModernDayHuman	Homo	Homo (Modern Human)	HM1	Calculus	ModernDay	Spain	Jaen	Unknown	Calculus	Screening	NA	Sample	Sample 82/188	97377432	7165274	7.358	90212158	1775038	25518	1749520	1.823	1.015	0.0401	0.4594	1.97	1.81	0.07	0.04	0.01	741	3.198201460558875	79.79	0.0032	0.0031	0.0028	0.0021	70.96	76	42.76
JAE009	JAE009.A0101	106555264	66584109	58.8404569624864	521699	0.783518782236765	370638	1.40757018978086	0.0096	213	76	45.56	66062410	Velsko2019	ERR3307048	sink	ModernDayHuman_1	Homo_sapiens_sapiens	ModernDayHuman	Homo	Homo (Modern Human)	HM1	Calculus	ModernDay	Spain	Jaen	Unknown	Calculus	Screening	NA	Sample	Sample 83/188	98664056	7192264	7.29	91471792	548309	6515	541794	0.556	1.012	0.0122	0.2145	0.61	0.55	0.02	0.01	0	315	1.3204176474138452	108.39	0.0061	0.0057	0.0081	0.0063	69.65	76	44.93
JAE010	JAE010.A0101	100278048	60316527	64.9129980577297	289191	0.479455655661341	148743	1.9442326697727	0.0037	238	76	47.48	60027336	Velsko2019	ERR3307049	sink	ModernDayHuman_1	Homo_sapiens_sapiens	ModernDayHuman	Homo	Homo (Modern Human)	HM1	Calculus	ModernDay	Spain	Jaen	Unknown	Calculus	Screening	NA	Sample	Sample 84/188	92977107	6583173	7.08	86393934	228459	2757	225702	0.246	1.012	0.005	0.1477	0.25	0.22	0.01	0	0	371	1.5237491701370027	307.62	0.0292	0.0235	0.0515	0.0363	68.05	76	45.85
JAE012	JAE012.A0101	97018596	63543283	51.7641982709644	791006	1.24483023642326	612795	1.29081666789057	0.0162	1290	76	45.65	62752277	Velsko2019	ERR3307050	sink	ModernDayHuman_1	Homo_sapiens_sapiens	ModernDayHuman	Homo	Homo (Modern Human)	HM1	Calculus	ModernDay	Spain	Jaen	Unknown	Calculus	Screening	NA	Sample	Sample 85/188	90298499	6204953	6.872	84093546	890196	12250	877946	0.986	1.014	0.0201	0.2944	1	0.91	0.04	0.02	0.01	1776	7.666123483613978	382.08	0.003	0.0025	0.0017	0.0016	70.89	76	45.21
JAE013	JAE013.A0101	62847184	39086563	59.7906549112543	132234	0.338310636317652	33537	3.94292870560873	8e-4	39	76	52.68	38954329	Velsko2019	ERR3307051	sink	ModernDayHuman_1	Homo_sapiens_sapiens	ModernDayHuman	Homo	Homo (Modern Human)	HM1	Calculus	ModernDay	Spain	Jaen	Unknown	Calculus	Screening	NA	Sample	Sample 86/188	58706244	3792570	6.46	54913674	42752	626	42126	0.073	1.015	9e-4	0.0748	0.05	0.04	0	0	0	59	0.25807230369968015	276.16	0.0072	0.0074	0.009	0.0101	68.78	76	46.42
JAE014	JAE014.A0101	106965986	68875543	54.5178583927825	255061	0.370321581348549	73545	3.46809436399483	0.0019	101	76	48.85	68620482	Velsko2019	ERR3307052	sink	ModernDayHuman_1	Homo_sapiens_sapiens	ModernDayHuman	Homo	Homo (Modern Human)	HM1	Calculus	ModernDay	Spain	Jaen	Unknown	Calculus	Screening	NA	Sample	Sample 87/188	98991131	7504183	7.581	91486948	101074	1448	99626	0.102	1.015	0.0022	0.1092	0.11	0.1	0	0	0	142	0.5997344438409077	267.49	0.0097	0.0082	0.0164	0.0125	69.77	76	45.63
JAE015	JAE015.A0101	91164542	57698550	57.1513010292286	186269	0.322831336316077	25765	7.22953619250922	6e-4	252	74	58	57512281	Velsko2019	ERR3307053	sink	ModernDayHuman_1	Homo_sapiens_sapiens	ModernDayHuman	Homo	Homo (Modern Human)	HM1	Calculus	ModernDay	Spain	Jaen	Unknown	Calculus	Screening	NA	Sample	Sample 88/188	84353743	6384057	7.568	77969686	29215	896	28319	0.035	1.032	6e-4	0.0927	0.03	0.03	0	0	0	357	1.518860522662804	2464.72	0.0065	0.0096	0.0084	0.0067	68.25	76	48.4
JAE016	JAE016.A0101	148237418	94897020	55.2460614674729	332467	0.350345037178196	119891	2.77307721180072	0.003	480	76	47.99	94564553	Velsko2019	ERR3307054	sink	ModernDayHuman_1	Homo_sapiens_sapiens	ModernDayHuman	Homo	Homo (Modern Human)	HM1	Calculus	ModernDay	Spain	Jaen	Unknown	Calculus	Screening	NA	Sample	Sample 89/188	137056982	10382062	7.575	126674920	177392	2735	174657	0.129	1.016	0.0038	0.1532	0.19	0.17	0.01	0	0	725	3.1440642163075627	829.06	0.0069	0.0055	0.0095	0.0071	67.52	76	45.93
SpyNew	SpyNew	NA	NA	NA	17569	NA	1139	15.4249341527656	0	0	25	49.68	4024112	Weyrich2017	NA	sink	Neanderthal	Homo_sapiens_neanderthalensis	Neanderthal	Homo	Homo (Neanderthal)	HN0	Calculus	Palaeolithic	Belgium	Spy	Unknown	Calculus	Screening	NA	Sample	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SpyOld	SpyOld	NA	NA	NA	428813	NA	156585	2.73853178784686	0.0039	168	74	45.23	17175527	Weyrich2017	NA	sink	Neanderthal	Homo_sapiens_neanderthalensis	Neanderthal	Homo	Homo (Neanderthal)	HN0	Calculus	Palaeolithic	Belgium	Spy	Unknown	Calculus	Screening	NA	Sample	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SRR059389	SRR059389	58409094	45099726	17.6856196421238	838	0.001858104415091	828	1.01207729468599	0	3	30	37.1	45098888	HMP2012	SRR059389	source	urbanGut	HMP_gut	gut	Gut	Gut	GU1	Not_Oral	ModernDay	USA	Unknown	NA	NA	NA	PRJNA48479	Sample	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SRR059425	SRR059425	58738550	36488859	50.4211244314326	283	7.75579198023e-4	280	1.01071428571429	0	0	30	45.4	36488576	HMP2012	SRR059425	source	urbanGut	HMP_gut	gut	Gut	Gut	GU1	Not_Oral	ModernDay	USA	Unknown	NA	NA	NA	PRJNA48479	Sample	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SRR059455	SRR059455	59165542	36349730	54.6390000696016	203	5.58463570431e-4	203	1	0	0	30	52.31	36349527	HMP2012	SRR059455	source	urbanGut	HMP_gut	gut	Gut	Gut	GU1	Not_Oral	ModernDay	USA	Unknown	NA	NA	NA	PRJNA48479	Sample	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SRR059917	SRR059917	57219606	41461174	25.838460338822	458	0.001104647929169	453	1.01103752759382	0	0	30	37.13	41460716	HMP2012	SRR059917	source	urbanGut	HMP_gut	gut	Gut	Gut	GU1	Not_Oral	ModernDay	USA	Unknown	NA	NA	NA	PRJNA48479	Sample	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SRR060358	SRR060358	55225692	37402845	34.8105765751242	306	8.18119584219e-4	305	1.00327868852459	0	0	30	29.4	37402539	HMP2012	SRR060358	source	urbanGut	HMP_gut	gut	Gut	Gut	GU1	Not_Oral	ModernDay	USA	Unknown	NA	NA	NA	PRJNA48479	Sample	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SRR061192	SRR061192	47880614	21920659	45.9482171589823	3320	0.015145530068234	3311	1.00271821202054	1e-4	1	35	38.3	21917339	HMP2012	SRR061192	source	supPlaque	HMP_supPlaque	plaque	Plaque	Plaque	PP1	Plaque	ModernDay	USA	Unknown	NA	NA	NA	PRJNA48479	Sample	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SRR061294	SRR061294	56674010	10381260	40.1660299424155	5773	0.055609820002582	5759	1.00243097760028	1e-4	1	44	38.65	10375487	HMP2012	SRR061294	source	subPlaque	HMP_subPlaque	plaque	Plaque	Plaque	PB0	Plaque	ModernDay	USA	Unknown	NA	NA	NA	PRJNA48479	Sample	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SRR061320	SRR061320	49161352	23530045	21.5764015750926	2651	0.011266446791751	2640	1.00416666666667	0	1	43	41.86	23527394	HMP2012	SRR061320	source	supPlaque	HMP_supPlaque	plaque	Plaque	Plaque	PP1	Plaque	ModernDay	USA	Unknown	NA	NA	NA	PRJNA48479	Sample	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SRR061365	SRR061365	55606754	26909112	44.4723668324692	1880	0.006986481010596	1789	1.0508664058133	0	0	40	49.37	26907232	HMP2012	SRR061365	source	supPlaque	HMP_supPlaque	plaque	Plaque	Plaque	PP1	Plaque	ModernDay	USA	Unknown	NA	NA	NA	PRJNA48479	Sample	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SRR061562	SRR061562	55054786	32961137	35.6864145796912	2250	0.006826220830914	2236	1.00626118067979	0	0	36	43.51	32958887	HMP2012	SRR061562	source	supPlaque	HMP_supPlaque	plaque	Plaque	Plaque	PP1	Plaque	ModernDay	USA	Unknown	NA	NA	NA	PRJNA48479	Sample	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SRR062083	SRR062083	51988214	33718000	17.6001838780473	3239	0.009606145085711	3231	1.00247601361807	0	1	37	51.25	33714761	HMP2012	SRR062083	source	supPlaque	HMP_supPlaque	plaque	Plaque	Plaque	PP1	Plaque	ModernDay	USA	Unknown	NA	NA	NA	PRJNA48479	Sample	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SRR062298	SRR062298	60673430	13970849	19.4763467846514	5755	0.041192915333921	5725	1.00524017467249	1e-4	2	42	38.26	13965094	HMP2012	SRR062298	source	subPlaque	HMP_subPlaque	plaque	Plaque	Plaque	PB0	Plaque	ModernDay	USA	Unknown	NA	NA	NA	PRJNA48479	Sample	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SRR062299	SRR062299	59124280	6701027	15.064168522228	11093	0.165541789340649	11043	1.004527755139	2e-4	0	37	36.92	6689934	HMP2012	SRR062299	source	subPlaque	HMP_subPlaque	plaque	Plaque	Plaque	PB0	Plaque	ModernDay	USA	Unknown	NA	NA	NA	PRJNA48479	Sample	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SRR063517	SRR063517	53358908	25967036	22.5743130636858	2669	0.010278416065661	2544	1.04913522012579	0	0	44	46.54	25964367	HMP2012	SRR063517	source	supPlaque	HMP_supPlaque	plaque	Plaque	Plaque	PP1	Plaque	ModernDay	USA	Unknown	NA	NA	NA	PRJNA48479	Sample	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
