genus	organism_name	Organism Name (Genus, Species)	# assembly_accession	refseq_category	taxid	version_status	assembly_level	release_type	genome_rep	seq_rel_date	ftp_path	Oral Taxon ID	HOMD Sequence ID	Culture Collection Entry Number	Sequencing Status	NCBI Genome Survey Sequence Accession ID	species_taxid	infraspecific_name	Assembly_Level_Score	Refseq_Category_Score	Sequencing_Status_Score	Organism
Porphyromonas	Porphyromonas gulae	NA	GCA_000769385.1	na	111105	latest	Scaffold	Major	Full	2014/10/27	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/769/385/GCA_000769385.1_ASM76938v1	NA	NA	NA	NA	NA	111105	strain=COT-052 OH1355	2	0	0	Porphyromonas gulae
Porphyromonas	Porphyromonas levii DSM 23370	NA	GCA_000379925.1	representative genome	1122973	latest	Scaffold	Major	Full	2013/04/23	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/379/925/GCA_000379925.1_ASM37992v1	NA	NA	NA	NA	NA	28114	strain=DSM 23370	2	1	0	Porphyromonas levii DSM 23370
Porphyromonas	Porphyromonas loveana	NA	GCA_003096695.1	na	1884669	latest	Scaffold	Major	Full	2018/05/07	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/096/695/GCA_003096695.1_ASM309669v1	NA	NA	NA	NA	NA	1884669	strain=DSM 28520	2	0	0	Porphyromonas loveana
Porphyromonas	Porphyromonas macacae DSM 20710 = JCM 13914	NA	GCA_000379945.1	representative genome	1122974	latest	Scaffold	Major	Full	2013/04/23	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/379/945/GCA_000379945.1_ASM37994v1	NA	NA	NA	NA	NA	28115	strain=DSM 20710	2	1	0	Porphyromonas macacae DSM 20710 = JCM 13914
Porphyromonas	Porphyromonas sp. oral taxon 279 str. F0450	Porphyromonas pasteri	GCA_000292995.1	na	1125723	latest	Contig	Major	Full	2012/08/27	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/292/995/GCA_000292995.1_Psp279F0450v1.0	279	SEQF1907	F0450	High Coverage	ALKJ00000000	712438	strain=F0450	1	0	2	Porphyromonas pasteri
Porphyromonas	Porphyromonas somerae	NA	GCA_001553215.1	representative genome	322095	latest	Scaffold	Major	Full	2016/02/08	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/553/215/GCA_001553215.1_ASM155321v1	NA	NA	NA	NA	NA	322095	strain=KA00683	2	1	0	Porphyromonas somerae
Porphyromonas	Porphyromonas sp.	NA	GCA_003640335.1	na	1924944	latest	Contig	Major	Full	2018/10/12	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/640/335/GCA_003640335.1_ASM364033v1	NA	NA	NA	NA	NA	1924944		1	0	0	Porphyromonas sp.
Porphyromonas	Porphyromonas sp. 31_2	NA	GCA_000712235.1	na	658663	latest	Scaffold	Major	Full	2014/06/25	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/712/235/GCA_000712235.1_Porphyromonas_sp_31_2_V2	NA	NA	NA	NA	NA	658663	strain=31_2	2	0	0	Porphyromonas sp. 31_2
Porphyromonas	Porphyromonas sp. COT-052 OH4946	NA	GCA_000765965.1	na	1515618	latest	Contig	Major	Full	2014/10/10	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/765/965/GCA_000765965.1_ASM76596v1	NA	NA	NA	NA	NA	1515618	strain=COT-052 OH4946	1	0	0	Porphyromonas sp. COT-052 OH4946
Porphyromonas	Porphyromonas sp. COT-108 OH1349	NA	GCA_000768755.1	na	1537504	latest	Contig	Major	Full	2014/10/27	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/768/755/GCA_000768755.1_ASM76875v1	NA	NA	NA	NA	NA	1537504	strain=COT-108 OH1349	1	0	0	Porphyromonas sp. COT-108 OH1349
Porphyromonas	Porphyromonas sp. COT-108 OH2963	NA	GCA_000768895.1	na	1515614	latest	Contig	Major	Full	2014/10/27	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/768/895/GCA_000768895.1_ASM76889v1	NA	NA	NA	NA	NA	1515614	strain=COT-108 OH2963	1	0	0	Porphyromonas sp. COT-108 OH2963
Porphyromonas	Porphyromonas sp. COT-239 OH1446	NA	GCA_000768875.1	na	1515613	latest	Contig	Major	Full	2014/10/27	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/768/875/GCA_000768875.1_ASM76887v1	NA	NA	NA	NA	NA	1515613	strain=COT-239 OH1446	1	0	0	Porphyromonas sp. COT-239 OH1446
Porphyromonas	Porphyromonas sp. COT-290 OH3588	NA	GCA_000769075.1	na	1515617	latest	Contig	Major	Full	2014/10/27	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/769/075/GCA_000769075.1_ASM76907v1	NA	NA	NA	NA	NA	1515617	strain=COT-290 OH3588	1	0	0	Porphyromonas sp. COT-290 OH3588
Porphyromonas	Porphyromonas sp. COT-290 OH860	NA	GCA_000768935.1	na	1515615	latest	Contig	Major	Full	2014/10/27	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/768/935/GCA_000768935.1_ASM76893v1	NA	NA	NA	NA	NA	1515615	strain=COT-290 OH860	1	0	0	Porphyromonas sp. COT-290 OH860
Porphyromonas	Porphyromonas sp. oral taxon 278 str. W7784	Porphyromonas sp. HMT 278	GCA_000467855.2	na	1227272	latest	Scaffold	Minor	Full	2013/09/16	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/467/855/GCA_000467855.2_ASM46785v2	278	SEQF2357	W7784	High Coverage	AWUX00000000	712437	strain=W7784	2	0	2	Porphyromonas sp. HMT 278
Porphyromonas	Porphyromonas sp. KLE 1280	NA	GCA_000700805.1	na	997829	latest	Scaffold	Major	Full	2014/06/11	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/700/805/GCA_000700805.1_ASM70080v1	NA	NA	NA	NA	NA	997829	strain=KLE 1280	2	0	0	Porphyromonas sp. KLE 1280
Porphyromonas	Porphyromonas uenonis DSM 23387 = JCM 13868	NA	GCA_000482365.1	na	1122976	latest	Scaffold	Major	Full	2013/10/30	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/482/365/GCA_000482365.1_ASM48236v1	NA	NA	NA	NA	NA	281920	strain=DSM 23387	2	0	0	Porphyromonas uenonis DSM 23387 = JCM 13868
