study_accession	sample_accession	secondary_sample_accession	experiment_accession	run_accession	tax_id	scientific_name	instrument_model	library_name	library_layout	fastq_ftp	fastq_galaxy	submitted_ftp	submitted_galaxy	sra_ftp	sample_title
PRJEB8420	SAMEA4521334	ERS1420513	ERX1770972	ERR1700684	410658	soil metagenome	Illumina HiSeq 2500	unspecified	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR170/004/ERR1700684/ERR1700684_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR170/004/ERR1700684/ERR1700684_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR170/004/ERR1700684/ERR1700684_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR170/004/ERR1700684/ERR1700684_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA739/ERA739734/fastq/A8_OM1C0_O2-1.fq.gz;ftp.sra.ebi.ac.uk/vol1/ERA739/ERA739734/fastq/A8_OM1C0_O2-2.fq.gz	ftp.sra.ebi.ac.uk/vol1/ERA739/ERA739734/fastq/A8_OM1C0_O2-1.fq.gz;ftp.sra.ebi.ac.uk/vol1/ERA739/ERA739734/fastq/A8_OM1C0_O2-2.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR170/004/ERR1700684	Fensom sample, organic layer, OM1C0 treatment, replicate 2
PRJEB8420	SAMEA4521335	ERS1420514	ERX1770973	ERR1700685	410658	soil metagenome	Illumina HiSeq 2500	unspecified	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR170/005/ERR1700685/ERR1700685_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR170/005/ERR1700685/ERR1700685_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR170/005/ERR1700685/ERR1700685_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR170/005/ERR1700685/ERR1700685_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA739/ERA739734/fastq/A8_OM1C0_O3-1.fq.gz;ftp.sra.ebi.ac.uk/vol1/ERA739/ERA739734/fastq/A8_OM1C0_O3-2.fq.gz	ftp.sra.ebi.ac.uk/vol1/ERA739/ERA739734/fastq/A8_OM1C0_O3-1.fq.gz;ftp.sra.ebi.ac.uk/vol1/ERA739/ERA739734/fastq/A8_OM1C0_O3-2.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR170/005/ERR1700685	Fensom sample, organic layer, OM1C0 treatment, replicate 3
PRJEB8420	SAMEA4521336	ERS1420515	ERX1770974	ERR1700686	410658	soil metagenome	Illumina HiSeq 2500	unspecified	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR170/006/ERR1700686/ERR1700686_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR170/006/ERR1700686/ERR1700686_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR170/006/ERR1700686/ERR1700686_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR170/006/ERR1700686/ERR1700686_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA739/ERA739734/fastq/A8_OM2C0_M1-1.fq.gz;ftp.sra.ebi.ac.uk/vol1/ERA739/ERA739734/fastq/A8_OM2C0_M1-2.fq.gz	ftp.sra.ebi.ac.uk/vol1/ERA739/ERA739734/fastq/A8_OM2C0_M1-1.fq.gz;ftp.sra.ebi.ac.uk/vol1/ERA739/ERA739734/fastq/A8_OM2C0_M1-2.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR170/006/ERR1700686	Fensom sample, mineral layer, OM2C0 treatment, replicate 1
PRJEB8420	SAMEA4521337	ERS1420516	ERX1770975	ERR1700687	410658	soil metagenome	Illumina HiSeq 2500	unspecified	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR170/007/ERR1700687/ERR1700687_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR170/007/ERR1700687/ERR1700687_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR170/007/ERR1700687/ERR1700687_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR170/007/ERR1700687/ERR1700687_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA739/ERA739734/fastq/A8_OM2C0_M2-1.fq.gz;ftp.sra.ebi.ac.uk/vol1/ERA739/ERA739734/fastq/A8_OM2C0_M2-2.fq.gz	ftp.sra.ebi.ac.uk/vol1/ERA739/ERA739734/fastq/A8_OM2C0_M2-1.fq.gz;ftp.sra.ebi.ac.uk/vol1/ERA739/ERA739734/fastq/A8_OM2C0_M2-2.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR170/007/ERR1700687	Fensom sample, mineral layer, OM2C0 treatment, replicate 2
PRJEB8420	SAMEA4521338	ERS1420517	ERX1770976	ERR1700688	410658	soil metagenome	Illumina HiSeq 2500	unspecified	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR170/008/ERR1700688/ERR1700688_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR170/008/ERR1700688/ERR1700688_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR170/008/ERR1700688/ERR1700688_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR170/008/ERR1700688/ERR1700688_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA739/ERA739734/fastq/A8_OM2C0_M3-1.fq.gz;ftp.sra.ebi.ac.uk/vol1/ERA739/ERA739734/fastq/A8_OM2C0_M3-2.fq.gz	ftp.sra.ebi.ac.uk/vol1/ERA739/ERA739734/fastq/A8_OM2C0_M3-1.fq.gz;ftp.sra.ebi.ac.uk/vol1/ERA739/ERA739734/fastq/A8_OM2C0_M3-2.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR170/008/ERR1700688	Fensom sample, mineral layer, OM2C0 treatment, replicate 3
PRJEB8420	SAMEA4521339	ERS1420518	ERX1770977	ERR1700689	410658	soil metagenome	Illumina HiSeq 2500	unspecified	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR170/009/ERR1700689/ERR1700689_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR170/009/ERR1700689/ERR1700689_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR170/009/ERR1700689/ERR1700689_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR170/009/ERR1700689/ERR1700689_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA739/ERA739734/fastq/A8_OM2C0_O1-1.fq.gz;ftp.sra.ebi.ac.uk/vol1/ERA739/ERA739734/fastq/A8_OM2C0_O1-2.fq.gz	ftp.sra.ebi.ac.uk/vol1/ERA739/ERA739734/fastq/A8_OM2C0_O1-1.fq.gz;ftp.sra.ebi.ac.uk/vol1/ERA739/ERA739734/fastq/A8_OM2C0_O1-2.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR170/009/ERR1700689	Fensom sample, organic layer, OM2C0 treatment, replicate 1
PRJEB8420	SAMEA4521340	ERS1420519	ERX1770978	ERR1700690	410658	soil metagenome	Illumina HiSeq 2500	unspecified	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR170/000/ERR1700690/ERR1700690_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR170/000/ERR1700690/ERR1700690_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR170/000/ERR1700690/ERR1700690_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR170/000/ERR1700690/ERR1700690_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA739/ERA739734/fastq/A8_OM2C0_O2-1.fq.gz;ftp.sra.ebi.ac.uk/vol1/ERA739/ERA739734/fastq/A8_OM2C0_O2-2.fq.gz	ftp.sra.ebi.ac.uk/vol1/ERA739/ERA739734/fastq/A8_OM2C0_O2-1.fq.gz;ftp.sra.ebi.ac.uk/vol1/ERA739/ERA739734/fastq/A8_OM2C0_O2-2.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR170/000/ERR1700690	Fensom sample, organic layer, OM2C0 treatment, replicate 2
PRJEB8420	SAMEA4521341	ERS1420520	ERX1770979	ERR1700691	410658	soil metagenome	Illumina HiSeq 2500	unspecified	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR170/001/ERR1700691/ERR1700691_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR170/001/ERR1700691/ERR1700691_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR170/001/ERR1700691/ERR1700691_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR170/001/ERR1700691/ERR1700691_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA739/ERA739734/fastq/A8_OM2C0_O3-1.fq.gz;ftp.sra.ebi.ac.uk/vol1/ERA739/ERA739734/fastq/A8_OM2C0_O3-2.fq.gz	ftp.sra.ebi.ac.uk/vol1/ERA739/ERA739734/fastq/A8_OM2C0_O3-1.fq.gz;ftp.sra.ebi.ac.uk/vol1/ERA739/ERA739734/fastq/A8_OM2C0_O3-2.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR170/001/ERR1700691	Fensom sample, organic layer, OM2C0 treatment, replicate 3
PRJEB8420	SAMEA4521342	ERS1420521	ERX1770980	ERR1700692	410658	soil metagenome	Illumina HiSeq 2500	unspecified	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR170/002/ERR1700692/ERR1700692_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR170/002/ERR1700692/ERR1700692_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR170/002/ERR1700692/ERR1700692_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR170/002/ERR1700692/ERR1700692_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA739/ERA739734/fastq/A8_OM3C0_M1-1.fq.gz;ftp.sra.ebi.ac.uk/vol1/ERA739/ERA739734/fastq/A8_OM3C0_M1-2.fq.gz	ftp.sra.ebi.ac.uk/vol1/ERA739/ERA739734/fastq/A8_OM3C0_M1-1.fq.gz;ftp.sra.ebi.ac.uk/vol1/ERA739/ERA739734/fastq/A8_OM3C0_M1-2.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR170/002/ERR1700692	Fensom sample, mineral layer, OM3C0 treatment, replicate 1
PRJEB8420	SAMEA4521343	ERS1420522	ERX1770981	ERR1700693	410658	soil metagenome	Illumina HiSeq 2500	unspecified	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR170/003/ERR1700693/ERR1700693_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR170/003/ERR1700693/ERR1700693_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR170/003/ERR1700693/ERR1700693_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR170/003/ERR1700693/ERR1700693_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA739/ERA739734/fastq/A8_OM3C0_M2-1.fq.gz;ftp.sra.ebi.ac.uk/vol1/ERA739/ERA739734/fastq/A8_OM3C0_M2-2.fq.gz	ftp.sra.ebi.ac.uk/vol1/ERA739/ERA739734/fastq/A8_OM3C0_M2-1.fq.gz;ftp.sra.ebi.ac.uk/vol1/ERA739/ERA739734/fastq/A8_OM3C0_M2-2.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR170/003/ERR1700693	Fensom sample, mineral layer, OM3C0 treatment, replicate 2
PRJEB8420	SAMEA4521344	ERS1420523	ERX1770982	ERR1700694	410658	soil metagenome	Illumina HiSeq 2500	unspecified	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR170/004/ERR1700694/ERR1700694_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR170/004/ERR1700694/ERR1700694_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR170/004/ERR1700694/ERR1700694_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR170/004/ERR1700694/ERR1700694_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA739/ERA739734/fastq/A8_OM3C0_M3-1.fq.gz;ftp.sra.ebi.ac.uk/vol1/ERA739/ERA739734/fastq/A8_OM3C0_M3-2.fq.gz	ftp.sra.ebi.ac.uk/vol1/ERA739/ERA739734/fastq/A8_OM3C0_M3-1.fq.gz;ftp.sra.ebi.ac.uk/vol1/ERA739/ERA739734/fastq/A8_OM3C0_M3-2.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR170/004/ERR1700694	Fensom sample, mineral layer, OM3C0 treatment, replicate 3
PRJEB8420	SAMEA4521345	ERS1420524	ERX1770983	ERR1700695	410658	soil metagenome	Illumina HiSeq 2500	unspecified	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR170/005/ERR1700695/ERR1700695_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR170/005/ERR1700695/ERR1700695_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR170/005/ERR1700695/ERR1700695_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR170/005/ERR1700695/ERR1700695_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA739/ERA739734/fastq/BL_OM0C0_M1-1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA739/ERA739734/fastq/BL_OM0C0_M1-2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA739/ERA739734/fastq/BL_OM0C0_M1-1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA739/ERA739734/fastq/BL_OM0C0_M1-2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR170/005/ERR1700695	Blodgett sample, mineral layer, OM0C0 treatment, replicate 1
PRJEB8420	SAMEA4521346	ERS1420525	ERX1770984	ERR1700696	410658	soil metagenome	Illumina HiSeq 2500	unspecified	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR170/006/ERR1700696/ERR1700696_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR170/006/ERR1700696/ERR1700696_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR170/006/ERR1700696/ERR1700696_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR170/006/ERR1700696/ERR1700696_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA739/ERA739734/fastq/BL_OM0C0_M2-1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA739/ERA739734/fastq/BL_OM0C0_M2-2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA739/ERA739734/fastq/BL_OM0C0_M2-1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA739/ERA739734/fastq/BL_OM0C0_M2-2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR170/006/ERR1700696	Blodgett sample, mineral layer, OM0C0 treatment, replicate 2
