Software	Database	Tax_Level	Threshold	Host_Genus	Taxon	Populations_Taxa_Present_In	Populations_in_Study	Proportion_Taxa_Present_In
MALT	nt	species	0.01	Homo	Actinomyces sp. oral taxon 414	6	6	100
MALT	nt	species	0.01	Alouatta	Actinomyces succiniciruminis	1	1	100
MALT	nt	species	0.01	Gorilla	Actinomyces succiniciruminis	3	3	100
MALT	nt	species	0.01	Pan	Actinomyces succiniciruminis	3	3	100
MALT	nt	species	0.01	Homo	Actinomyces succiniciruminis	6	6	100
MetaPhlAn2	mp2	species	0.01	Alouatta	Actinomyces_massiliensis	1	1	100
MetaPhlAn2	mp2	species	0.01	Gorilla	Actinomyces_massiliensis	2	3	66.7
MetaPhlAn2	mp2	species	0.01	Homo	Actinomyces_massiliensis	4	6	66.7
MetaPhlAn2	mp2	species	0.01	Gorilla	Actinomyces_naeslundii	2	3	66.7
MetaPhlAn2	mp2	species	0.01	Homo	Actinomyces_naeslundii	5	6	83.3
MetaPhlAn2	mp2	species	0.01	Homo	Actinomyces_oris	6	6	100
MetaPhlAn2	mp2	species	0.01	Gorilla	Actinomyces_viscosus	2	3	66.7
MetaPhlAn2	mp2	species	0.01	Homo	Actinomyces_viscosus	6	6	100
MALT	nt	genus	0.01	Alouatta	Actinoplanes	1	1	100
MALT	nt	genus	0.01	Gorilla	Actinoplanes	2	3	66.7
MALT	nt	genus	0.01	Pan	Actinoplanes	3	3	100
MALT	nt	genus	0.01	Alouatta	Actinopolyspora	1	1	100
MALT	nt	species	0.01	Alouatta	Actinopolyspora erythraea	1	1	100
MALT	nt	genus	0.01	Alouatta	Actinosynnema	1	1	100
MALT	nt	genus	0.01	Pan	Adlercreutzia	3	3	100
MALT	nt	species	0.01	Pan	Adlercreutzia equolifaciens	3	3	100
MALT	nt	genus	0.01	Alouatta	Aerococcus	1	1	100
MALT	nt	genus	0.01	Alouatta	Aeromicrobium	1	1	100
MALT	nt	genus	0.01	Gorilla	Aeromicrobium	2	3	66.7
MALT	nt	species	0.01	Alouatta	Aeromicrobium choanae	1	1	100
MALT	nt	species	0.01	Alouatta	Aeromicrobium erythreum	1	1	100
MALT	nt	genus	0.01	Alouatta	Aeromonas	1	1	100
MALT	nt	genus	0.01	Gorilla	Aeromonas	3	3	100
MALT	nt	genus	0.01	Pan	Aeromonas	2	3	66.7
MALT	nt	genus	0.01	Alouatta	Aggregatibacter	1	1	100
MALT	nt	genus	0.01	Gorilla	Aggregatibacter	3	3	100
MALT	nt	genus	0.01	Homo	Aggregatibacter	5	6	83.3
MetaPhlAn2	mp2	genus	0.01	Alouatta	Aggregatibacter	1	1	100
MetaPhlAn2	mp2	genus	0.01	Gorilla	Aggregatibacter	2	3	66.7
MetaPhlAn2	mp2	genus	0.01	Homo	Aggregatibacter	4	6	66.7
MALT	nt	species	0.01	Alouatta	Aggregatibacter actinomycetemcomitans	1	1	100
MALT	nt	species	0.01	Gorilla	Aggregatibacter actinomycetemcomitans	2	3	66.7
MALT	nt	species	0.01	Homo	Aggregatibacter actinomycetemcomitans	4	6	66.7
MALT	nt	species	0.01	Alouatta	Aggregatibacter aphrophilus	1	1	100
MALT	nt	species	0.01	Gorilla	Aggregatibacter aphrophilus	2	3	66.7
MALT	nt	species	0.01	Homo	Aggregatibacter aphrophilus	5	6	83.3
MetaPhlAn2	mp2	species	0.01	Alouatta	Aggregatibacter_actinomycetemcomitans	1	1	100
MetaPhlAn2	mp2	species	0.01	Gorilla	Aggregatibacter_actinomycetemcomitans	2	3	66.7
MetaPhlAn2	mp2	species	0.01	Alouatta	Aggregatibacter_aphrophilus	1	1	100
MetaPhlAn2	mp2	species	0.01	Gorilla	Aggregatibacter_aphrophilus	2	3	66.7
MetaPhlAn2	mp2	species	0.01	Gorilla	Aggregatibacter_segnis	2	3	66.7
MetaPhlAn2	mp2	species	0.01	Gorilla	Aggregatibacter_unclassified	2	3	66.7
MALT	nt	genus	0.01	Alouatta	Agrococcus	1	1	100
MALT	nt	genus	0.01	Pan	Agrococcus	2	3	66.7
MALT	nt	species	0.01	Alouatta	Agrococcus carbonis	1	1	100
MALT	nt	species	0.01	Alouatta	Agrococcus jejuensis	1	1	100
MALT	nt	genus	0.01	Alouatta	Agromyces	1	1	100
MALT	nt	genus	0.01	Gorilla	Agromyces	2	3	66.7
MALT	nt	genus	0.01	Pan	Agromyces	2	3	66.7
MALT	nt	genus	0.01	Alouatta	Alicycliphilus	1	1	100
MALT	nt	species	0.01	Alouatta	Alicycliphilus denitrificans	1	1	100
MALT	nt	genus	0.01	Pan	Alistipes	3	3	100
MALT	nt	species	0.01	Pan	Alistipes finegoldii	2	3	66.7
MALT	nt	species	0.01	Pan	Alistipes shahii	3	3	100
MALT	nt	genus	0.01	Alouatta	Amycolatopsis	1	1	100
MALT	nt	genus	0.01	Gorilla	Amycolatopsis	3	3	100
MALT	nt	genus	0.01	Pan	Amycolatopsis	2	3	66.7
MALT	nt	species	0.01	Alouatta	Amycolatopsis mediterranei	1	1	100
MetaPhlAn2	mp2	genus	0.01	Gorilla	Anaeroglobus	2	3	66.7
MetaPhlAn2	mp2	genus	0.01	Pan	Anaeroglobus	3	3	100
MetaPhlAn2	mp2	species	0.01	Gorilla	Anaeroglobus_geminatus	2	3	66.7
MetaPhlAn2	mp2	species	0.01	Pan	Anaeroglobus_geminatus	3	3	100
MALT	nt	species	0.01	Pan	Anaerolineaceae bacterium oral taxon 439	3	3	100
MALT	nt	species	0.01	Homo	Anaerolineaceae bacterium oral taxon 439	5	6	83.3
MALT	nt	genus	0.01	Alouatta	Arsenicicoccus	1	1	100
MALT	nt	genus	0.01	Gorilla	Arsenicicoccus	2	3	66.7
MALT	nt	genus	0.01	Pan	Arsenicicoccus	2	3	66.7
MALT	nt	species	0.01	Alouatta	Arsenicicoccus sp. oral taxon 190	1	1	100
MALT	nt	species	0.01	Gorilla	Arsenicicoccus sp. oral taxon 190	2	3	66.7
MALT	nt	species	0.01	Pan	Arsenicicoccus sp. oral taxon 190	2	3	66.7
MALT	nt	genus	0.01	Alouatta	Arthrobacter	1	1	100
MALT	nt	genus	0.01	Gorilla	Arthrobacter	3	3	100
MALT	nt	genus	0.01	Pan	Arthrobacter	3	3	100
MALT	nt	genus	0.01	Homo	Arthrobacter	4	6	66.7
MALT	nt	species	0.01	Alouatta	Arthrobacter saudimassiliensis	1	1	100
MALT	nt	species	0.01	Gorilla	Arthrobacter saudimassiliensis	2	3	66.7
MALT	nt	species	0.01	Alouatta	Arthrobacter sp. LS16	1	1	100
MALT	nt	species	0.01	Alouatta	Arthrobacter sp. YC-RL1	1	1	100
MALT	nt	genus	0.01	Pan	Atopobium	3	3	100
MetaPhlAn2	mp2	genus	0.01	Pan	Atopobium	2	3	66.7
MALT	nt	species	0.01	Pan	Atopobium parvulum	3	3	100
MetaPhlAn2	mp2	species	0.01	Pan	Atopobium_rimae	2	3	66.7
MALT	nt	genus	0.01	Alouatta	Auraticoccus	1	1	100
MALT	nt	genus	0.01	Gorilla	Auraticoccus	2	3	66.7
MALT	nt	genus	0.01	Pan	Auraticoccus	2	3	66.7
MALT	nt	species	0.01	Alouatta	Auraticoccus monumenti	1	1	100
MALT	nt	species	0.01	Gorilla	Auraticoccus monumenti	2	3	66.7
MALT	nt	species	0.01	Pan	Auraticoccus monumenti	2	3	66.7
MALT	nt	genus	0.01	Alouatta	Azoarcus	1	1	100
MALT	nt	genus	0.01	Alouatta	Azospirillum	1	1	100
MALT	nt	genus	0.01	Gorilla	Azospirillum	2	3	66.7
MALT	nt	genus	0.01	Pan	Azospirillum	2	3	66.7
MALT	nt	genus	0.01	Alouatta	Bacillus	1	1	100
MALT	nt	genus	0.01	Gorilla	Bacillus	3	3	100
MALT	nt	genus	0.01	Pan	Bacillus	3	3	100
MALT	nt	genus	0.01	Homo	Bacillus	4	6	66.7
MALT	nt	genus	0.01	Alouatta	Bacteroides	1	1	100
MALT	nt	genus	0.01	Pan	Bacteroides	3	3	100
MALT	nt	genus	0.01	Homo	Bacteroides	5	6	83.3
MALT	nt	species	0.01	Pan	Bacteroides cellulosilyticus	2	3	66.7
MALT	nt	species	0.01	Pan	Bacteroides dorei	2	3	66.7
MALT	nt	species	0.01	Pan	Bacteroides fragilis	3	3	100
MALT	nt	species	0.01	Pan	Bacteroides helcogenes	3	3	100
MALT	nt	species	0.01	Pan	Bacteroides salanitronis	3	3	100
MALT	nt	species	0.01	Pan	Bacteroides thetaiotaomicron	3	3	100
MALT	nt	species	0.01	Pan	Bacteroides vulgatus	2	3	66.7
MetaPhlAn2	mp2	species	0.01	Pan	Bacteroidetes_bacterium_oral_taxon_272	3	3	100
MetaPhlAn2	mp2	species	0.01	Homo	Bacteroidetes_bacterium_oral_taxon_272	4	6	66.7
MetaPhlAn2	mp2	genus	0.01	Pan	Bacteroidetes_noname	3	3	100
MetaPhlAn2	mp2	genus	0.01	Homo	Bacteroidetes_noname	6	6	100
MetaPhlAn2	mp2	species	0.01	Pan	Bacteroidetes_oral_taxon_274	3	3	100
MetaPhlAn2	mp2	species	0.01	Homo	Bacteroidetes_oral_taxon_274	6	6	100
MALT	nt	genus	0.01	Pan	Barnesiella	3	3	100
MALT	nt	species	0.01	Pan	Barnesiella viscericola	3	3	100
MALT	nt	genus	0.01	Alouatta	Basfia	1	1	100
MALT	nt	genus	0.01	Gorilla	Basfia	2	3	66.7
MALT	nt	genus	0.01	Gorilla	Beutenbergia	2	3	66.7
MALT	nt	genus	0.01	Alouatta	Bibersteinia	1	1	100
MALT	nt	genus	0.01	Gorilla	Bibersteinia	2	3	66.7
MALT	nt	species	0.01	Alouatta	Bibersteinia trehalosi	1	1	100
MALT	nt	species	0.01	Gorilla	Bibersteinia trehalosi	2	3	66.7
MALT	nt	genus	0.01	Alouatta	Bifidobacterium	1	1	100
MALT	nt	genus	0.01	Gorilla	Bifidobacterium	3	3	100
MALT	nt	genus	0.01	Pan	Bifidobacterium	3	3	100
MALT	nt	genus	0.01	Homo	Bifidobacterium	4	6	66.7
MALT	nt	species	0.01	Pan	Bifidobacterium animalis	2	3	66.7
MALT	nt	species	0.01	Pan	Bifidobacterium bifidum	2	3	66.7
MALT	nt	species	0.01	Pan	Bifidobacterium dentium	2	3	66.7
MALT	nt	species	0.01	Pan	Bifidobacterium longum	2	3	66.7
MALT	nt	genus	0.01	Pan	Blautia	3	3	100
MALT	nt	genus	0.01	Alouatta	Bordetella	1	1	100
MALT	nt	genus	0.01	Gorilla	Bordetella	3	3	100
MALT	nt	genus	0.01	Pan	Bordetella	3	3	100
MALT	nt	genus	0.01	Homo	Bordetella	6	6	100
MALT	nt	species	0.01	Alouatta	Bordetella pertussis	1	1	100
MALT	nt	species	0.01	Gorilla	Bordetella pertussis	2	3	66.7
MALT	nt	species	0.01	Alouatta	Bosea sp. RAC05	1	1	100
MALT	nt	species	0.01	Alouatta	Bosea vaviloviae	1	1	100
MALT	nt	genus	0.01	Alouatta	Brachybacterium	1	1	100
MALT	nt	genus	0.01	Gorilla	Brachybacterium	3	3	100
MALT	nt	genus	0.01	Pan	Brachybacterium	3	3	100
MALT	nt	genus	0.01	Homo	Brachybacterium	4	6	66.7
MALT	nt	species	0.01	Gorilla	Brachybacterium faecium	2	3	66.7
MALT	nt	species	0.01	Alouatta	Brachybacterium ginsengisoli	1	1	100
MALT	nt	species	0.01	Gorilla	Brachybacterium ginsengisoli	2	3	66.7
MALT	nt	species	0.01	Alouatta	Brachybacterium sp. P6-10-X1	1	1	100
MALT	nt	species	0.01	Gorilla	Brachybacterium sp. P6-10-X1	2	3	66.7
MALT	nt	genus	0.01	Alouatta	Brevibacterium	1	1	100
MALT	nt	genus	0.01	Gorilla	Brevibacterium	3	3	100
MALT	nt	genus	0.01	Pan	Brevibacterium	2	3	66.7
MetaPhlAn2	mp2	genus	0.01	Alouatta	Brevibacterium	1	1	100
MetaPhlAn2	mp2	genus	0.01	Gorilla	Brevibacterium	2	3	66.7
MALT	nt	species	0.01	Alouatta	Brevibacterium linens	1	1	100
MALT	nt	species	0.01	Gorilla	Brevibacterium linens	2	3	66.7
MALT	nt	species	0.01	Pan	Brevibacterium linens	2	3	66.7
MALT	nt	species	0.01	Alouatta	Brevibacterium siliguriense	1	1	100
MetaPhlAn2	mp2	species	0.01	Alouatta	Brevibacterium_unclassified	1	1	100
MetaPhlAn2	mp2	species	0.01	Gorilla	Brevibacterium_unclassified	2	3	66.7
MALT	nt	genus	0.01	Alouatta	Burkholderia	1	1	100
MALT	nt	genus	0.01	Gorilla	Burkholderia	3	3	100
MALT	nt	genus	0.01	Pan	Burkholderia	3	3	100
MALT	nt	genus	0.01	Homo	Burkholderia	6	6	100
MALT	nt	genus	0.01	Control	Burkholderia	2	2	100
MALT	nt	genus	0.01	Pan	Butyrivibrio	2	3	66.7
MALT	nt	genus	0.01	Alouatta	Campylobacter	1	1	100
MALT	nt	genus	0.01	Gorilla	Campylobacter	3	3	100
MALT	nt	genus	0.01	Pan	Campylobacter	3	3	100
MALT	nt	genus	0.01	Homo	Campylobacter	6	6	100
MetaPhlAn2	mp2	genus	0.01	Alouatta	Campylobacter	1	1	100
MetaPhlAn2	mp2	genus	0.01	Pan	Campylobacter	2	3	66.7
MetaPhlAn2	mp2	genus	0.01	Homo	Campylobacter	6	6	100
MALT	nt	species	0.01	Pan	Campylobacter concisus	3	3	100
MALT	nt	species	0.01	Homo	Campylobacter concisus	5	6	83.3
MALT	nt	species	0.01	Alouatta	Campylobacter curvus	1	1	100
MALT	nt	species	0.01	Pan	Campylobacter curvus	3	3	100
MALT	nt	species	0.01	Homo	Campylobacter curvus	4	6	66.7
MALT	nt	species	0.01	Gorilla	Campylobacter gracilis	3	3	100
MALT	nt	species	0.01	Pan	Campylobacter gracilis	3	3	100
MALT	nt	species	0.01	Homo	Campylobacter gracilis	6	6	100
MetaPhlAn2	mp2	species	0.01	Alouatta	Campylobacter_curvus	1	1	100
MetaPhlAn2	mp2	species	0.01	Homo	Campylobacter_gracilis	4	6	66.7
MetaPhlAn2	mp2	species	0.01	Homo	Campylobacter_showae	6	6	100
MALT	nt	genus	0.01	Pan	Candidatus Methanomethylophilus	3	3	100
MALT	nt	species	0.01	Pan	Candidatus Methanomethylophilus alvus	3	3	100
MALT	nt	species	0.01	Gorilla	Candidatus Saccharibacteria oral taxon TM7x	2	3	66.7
MALT	nt	species	0.01	Pan	Candidatus Saccharibacteria oral taxon TM7x	3	3	100
MALT	nt	species	0.01	Homo	Candidatus Saccharibacteria oral taxon TM7x	6	6	100
MALT	nt	genus	0.01	Alouatta	Capnocytophaga	1	1	100
MALT	nt	genus	0.01	Gorilla	Capnocytophaga	3	3	100
MALT	nt	genus	0.01	Pan	Capnocytophaga	3	3	100
MALT	nt	genus	0.01	Homo	Capnocytophaga	6	6	100
MetaPhlAn2	mp2	genus	0.01	Alouatta	Capnocytophaga	1	1	100
MetaPhlAn2	mp2	genus	0.01	Gorilla	Capnocytophaga	2	3	66.7
MetaPhlAn2	mp2	genus	0.01	Homo	Capnocytophaga	6	6	100
MALT	nt	species	0.01	Alouatta	Capnocytophaga gingivalis	1	1	100
MALT	nt	species	0.01	Pan	Capnocytophaga gingivalis	2	3	66.7
MALT	nt	species	0.01	Homo	Capnocytophaga gingivalis	6	6	100
MALT	nt	species	0.01	Alouatta	Capnocytophaga haemolytica	1	1	100
MALT	nt	species	0.01	Alouatta	Capnocytophaga leadbetteri	1	1	100
MALT	nt	species	0.01	Alouatta	Capnocytophaga ochracea	1	1	100
MALT	nt	species	0.01	Pan	Capnocytophaga ochracea	2	3	66.7
MALT	nt	species	0.01	Homo	Capnocytophaga ochracea	5	6	83.3
MALT	nt	species	0.01	Alouatta	Capnocytophaga sp. ChDC OS43	1	1	100
MALT	nt	species	0.01	Pan	Capnocytophaga sp. ChDC OS43	2	3	66.7
MALT	nt	species	0.01	Homo	Capnocytophaga sp. ChDC OS43	4	6	66.7
MALT	nt	species	0.01	Alouatta	Capnocytophaga sp. oral taxon 323	1	1	100
MALT	nt	species	0.01	Pan	Capnocytophaga sp. oral taxon 323	2	3	66.7
MALT	nt	species	0.01	Homo	Capnocytophaga sp. oral taxon 323	4	6	66.7
MALT	nt	species	0.01	Alouatta	Capnocytophaga sputigena	1	1	100
MALT	nt	species	0.01	Pan	Capnocytophaga sputigena	2	3	66.7
MALT	nt	species	0.01	Homo	Capnocytophaga sputigena	6	6	100
MetaPhlAn2	mp2	species	0.01	Alouatta	Capnocytophaga_gingivalis	1	1	100
MetaPhlAn2	mp2	species	0.01	Homo	Capnocytophaga_unclassified	6	6	100
MetaPhlAn2	mp2	genus	0.01	Alouatta	Cardiobacteriaceae_unclassified	1	1	100
MetaPhlAn2	mp2	genus	0.01	Homo	Cardiobacteriaceae_unclassified	4	6	66.7
MetaPhlAn2	mp2	genus	0.01	Alouatta	Cardiobacterium	1	1	100
MetaPhlAn2	mp2	genus	0.01	Homo	Cardiobacterium	6	6	100
MetaPhlAn2	mp2	species	0.01	Alouatta	Cardiobacterium_hominis	1	1	100
MetaPhlAn2	mp2	species	0.01	Homo	Cardiobacterium_valvarum	6	6	100
MetaPhlAn2	mp2	genus	0.01	Homo	Catonella	4	6	66.7
MetaPhlAn2	mp2	species	0.01	Homo	Catonella_morbi	4	6	66.7
MALT	nt	genus	0.01	Alouatta	Cellulomonas	1	1	100
MALT	nt	genus	0.01	Gorilla	Cellulomonas	3	3	100
MALT	nt	genus	0.01	Pan	Cellulomonas	3	3	100
MALT	nt	genus	0.01	Homo	Cellulomonas	4	6	66.7
MALT	nt	species	0.01	Alouatta	Cellulomonas flavigena	1	1	100
MALT	nt	species	0.01	Pan	Cellulomonas flavigena	2	3	66.7
MALT	nt	genus	0.01	Alouatta	Cellulosimicrobium	1	1	100
MALT	nt	genus	0.01	Gorilla	Cellulosimicrobium	3	3	100
MALT	nt	genus	0.01	Pan	Cellulosimicrobium	2	3	66.7
MALT	nt	species	0.01	Alouatta	Cellulosimicrobium cellulans	1	1	100
MALT	nt	species	0.01	Alouatta	Cellulosimicrobium sp. TH-20	1	1	100
MALT	nt	genus	0.01	Alouatta	Chromobacterium	1	1	100
MALT	nt	genus	0.01	Alouatta	Chryseobacterium	1	1	100
MALT	nt	genus	0.01	Pan	Chryseobacterium	2	3	66.7
MALT	nt	species	0.01	Pan	Chryseobacterium gallinarum	2	3	66.7
MALT	nt	genus	0.01	Alouatta	Clavibacter	1	1	100
MALT	nt	genus	0.01	Gorilla	Clavibacter	2	3	66.7
MALT	nt	species	0.01	Alouatta	Clavibacter michiganensis	1	1	100
MALT	nt	species	0.01	Gorilla	Clavibacter michiganensis	2	3	66.7
MALT	nt	genus	0.01	Pan	Cloacibacillus	3	3	100
MALT	nt	species	0.01	Pan	Cloacibacillus porcorum	3	3	100
MetaPhlAn2	mp2	genus	0.01	Pan	Clostridiales_Family_XIII_Incertae_Sedis_noname	2	3	66.7
MetaPhlAn2	mp2	genus	0.01	Pan	Clostridiales_Family_XIII_Incertae_Sedis_unclassified	3	3	100
MALT	nt	genus	0.01	Pan	Clostridioides	3	3	100
MALT	nt	genus	0.01	Homo	Clostridioides	4	6	66.7
MALT	nt	species	0.01	Pan	Clostridioides difficile	3	3	100
MALT	nt	species	0.01	Homo	Clostridioides difficile	4	6	66.7
MALT	nt	genus	0.01	Alouatta	Clostridium	1	1	100
MALT	nt	genus	0.01	Gorilla	Clostridium	3	3	100
MALT	nt	genus	0.01	Pan	Clostridium	3	3	100
MALT	nt	genus	0.01	Homo	Clostridium	4	6	66.7
MALT	nt	species	0.01	Pan	Clostridium sp. SY8519	3	3	100
MALT	nt	genus	0.01	Alouatta	Comamonas	1	1	100
MALT	nt	genus	0.01	Gorilla	Comamonas	3	3	100
MALT	nt	genus	0.01	Homo	Comamonas	5	6	83.3
MALT	nt	species	0.01	Alouatta	Comamonas serinivorans	1	1	100
MALT	nt	genus	0.01	Alouatta	Conexibacter	1	1	100
MALT	nt	species	0.01	Alouatta	Conexibacter woesei	1	1	100
MALT	nt	species	0.01	Pan	Coriobacteriaceae bacterium 68-1-3	3	3	100
MALT	nt	genus	0.01	Pan	Coriobacterium	2	3	66.7
MALT	nt	species	0.01	Pan	Coriobacterium glomerans	2	3	66.7
MALT	nt	genus	0.01	Alouatta	Corynebacterium	1	1	100
MALT	nt	genus	0.01	Gorilla	Corynebacterium	3	3	100
MALT	nt	genus	0.01	Pan	Corynebacterium	3	3	100
MALT	nt	genus	0.01	Homo	Corynebacterium	6	6	100
MetaPhlAn2	mp2	genus	0.01	Homo	Corynebacterium	6	6	100
MALT	nt	species	0.01	Pan	Corynebacterium sphenisci	2	3	66.7
MALT	nt	species	0.01	Alouatta	Corynebacterium variabile	1	1	100
MALT	nt	species	0.01	Gorilla	Corynebacterium variabile	2	3	66.7
MetaPhlAn2	mp2	species	0.01	Homo	Corynebacterium_matruchotii	6	6	100
MALT	nt	genus	0.01	Alouatta	Cronobacter	1	1	100
MALT	nt	genus	0.01	Gorilla	Cronobacter	2	3	66.7
MALT	nt	genus	0.01	Alouatta	Cryobacterium	1	1	100
MALT	nt	genus	0.01	Gorilla	Cryobacterium	2	3	66.7
MALT	nt	genus	0.01	Pan	Cryptobacterium	3	3	100
MALT	nt	species	0.01	Pan	Cryptobacterium curtum	3	3	100
MALT	nt	genus	0.01	Alouatta	Curtobacterium	1	1	100
MALT	nt	genus	0.01	Gorilla	Curtobacterium	3	3	100
MALT	nt	genus	0.01	Pan	Curtobacterium	2	3	66.7
MALT	nt	species	0.01	Alouatta	Cutibacterium avidum	1	1	100
MALT	nt	species	0.01	Pan	Cutibacterium avidum	2	3	66.7
MALT	nt	genus	0.01	Pan	Dehalococcoides	2	3	66.7
MALT	nt	species	0.01	Pan	Dehalococcoides mccartyi	2	3	66.7
MALT	nt	genus	0.01	Alouatta	Deinococcus	1	1	100
MALT	nt	genus	0.01	Gorilla	Deinococcus	2	3	66.7
MALT	nt	genus	0.01	Pan	Denitrobacterium	3	3	100
MALT	nt	species	0.01	Pan	Denitrobacterium detoxificans	3	3	100
MALT	nt	genus	0.01	Pan	Desulfobulbus	3	3	100
