Taxon ID	Genus	Species	Strain/Culture collection	Seq ID	No. of contigs & singlets	Combined length (bp) *
531	Aggregatibacter	actinomycetemcomitans	serotype b str. SCC1398	2034	103	2042250
531	Aggregatibacter	actinomycetemcomitans	serotype e str. SC936	2826	90	2164700
531	Aggregatibacter	actinomycetemcomitans	RhAA1	2823	11	2233070
531	Aggregatibacter	actinomycetemcomitans	D17P-2	1954	55	2162657
531	Aggregatibacter	actinomycetemcomitans	serotype b str. S23A	2437	547	1987476
531	Aggregatibacter	actinomycetemcomitans	IDH781	2837	1	2291252
531	Aggregatibacter	actinomycetemcomitans	serotype d str. SA3733	2834	787	1860132
531	Aggregatibacter	actinomycetemcomitans	serotype d str. SA2200	2831	436	2064962
531	Aggregatibacter	actinomycetemcomitans	serotype e str. SC1083	2295	54	2137435
531	Aggregatibacter	actinomycetemcomitans	serotype d str. SA508	2828	549	1943012
531	Aggregatibacter	actinomycetemcomitans	serotype b str. I23C	2033	457	2039898
531	Aggregatibacter	actinomycetemcomitans	serotype e str. SA2149	2825	114	1999823
531	Aggregatibacter	actinomycetemcomitans	ANH9381	1953	1	2136808
531	Aggregatibacter	actinomycetemcomitans	serotype c str. AAS4A	2439	61	2033242
531	Aggregatibacter	actinomycetemcomitans	serotype a str. A160	2436	919	1988376
531	Aggregatibacter	actinomycetemcomitans	HK1651	1074	1	2105332
531	Aggregatibacter	actinomycetemcomitans	624	2839	1	2367908
531	Aggregatibacter	actinomycetemcomitans	serotype e str. SA3096	2836	127	2093980
531	Aggregatibacter	actinomycetemcomitans	serotype d str. SA3033	2833	127	2198607
531	Aggregatibacter	actinomycetemcomitans	serotype d str. I63B	2250	187	2180415
531	Aggregatibacter	actinomycetemcomitans	serotype c str. SCC2302	2297	93	2056215
531	Aggregatibacter	actinomycetemcomitans	serotype e str. ANH9776	2830	590	1905614
531	Aggregatibacter	actinomycetemcomitans	Y4, ATCC 43718	1894	121	2185821
531	Aggregatibacter	actinomycetemcomitans	serotype f str. D18P1	2294	100	2241292
531	Aggregatibacter	actinomycetemcomitans	serotype e str. SA2876	2827	158	2254258
531	Aggregatibacter	actinomycetemcomitans	serotype a str. H5P1	2032	344	2162467
531	Aggregatibacter	actinomycetemcomitans	NUM4039	2824	1	2382853
531	Aggregatibacter	actinomycetemcomitans	D7S-1	1845	1	2309073
531	Aggregatibacter	actinomycetemcomitans	D17P-3	1955	338	2402744
531	Aggregatibacter	actinomycetemcomitans	serotype b str. SCC4092	2438	343	2001915
531	Aggregatibacter	actinomycetemcomitans	VT1169	2838	1	2129092
531	Aggregatibacter	actinomycetemcomitans	SC383s	2835	72	2029659
531	Aggregatibacter	actinomycetemcomitans	D11S-1	1707	4	2204665
531	Aggregatibacter	actinomycetemcomitans	serotype d str. SA269	2832	511	2100821
531	Aggregatibacter	actinomycetemcomitans	serotype e str. SCC393	2296	234	2234300
531	Aggregatibacter	actinomycetemcomitans	serotype f str. SC29R	2829	227	2211394
545	Aggregatibacter	aphrophilus	ATCC 33389	1956	48	2267033
545	Aggregatibacter	aphrophilus	NJ8700	1221	1	2313035
545	Aggregatibacter	aphrophilus	F0387	1675	24	2253935
720	Aggregatibacter	paraphrophilus	W10433	2750	1	2414427
762	Aggregatibacter	segnis	ATCC 33393	1957	19	1992124
458	Aggregatibacter	sp. HMT 458	W10330	2445	103	2008253
485	Agrobacterium	tumefaciens	str. C58, ATCC 33970	1167	4	5674258
485	Agrobacterium	tumefaciens	CCNWGS0286	2322	49	5214870
485	Agrobacterium	tumefaciens	str. Cherry 2E-2-2	2482	112	5425293
485	Agrobacterium	tumefaciens	5A	2321	50	5743108
485	Agrobacterium	tumefaciens	biovar II K84	1087	5	7273300
485	Agrobacterium	tumefaciens	F2	2035	8	5465705
831	Alloiococcus	otitis	ATCC 51267	2412	35	1784056
302	Alloprevotella	rava	F0323	1671	57	2588570
302	Alloprevotella	rava	F0020	1020	404	361550
473	Alloprevotella	sp. HMT 473	F0040	1899	85	2551017
466	Alloprevotella	tannerae	ATCC 51259	1597	34	2582919
198	Alloscardovia	omnicolens	DSM 21503	2547	43	1847146
198	Alloscardovia	omnicolens	F0580	2451	44	1789070
859	Anaerococcus	lactolyticus	ATCC 51172	1982	105	2137699
738	Anaerococcus	prevotii	DSM 20548, PC1, ATCC 9321	1083	2	1998633
738	Anaerococcus	prevotii	ACS-065-V-Col13	2036	35	1697099
788	Anaerococcus	tetradius	ATCC 35098	1728	122	2098658
121	Anaeroglobus	geminatus	F0357	1880	98	1792939
439	Anaerolineae [G-1]	bacterium HMT 439	w11661	2921	1	2945494
439	Anaerolineae [G-1]	bacterium HMT 439	isolate Chl2	2641	109	1159053
182	Anoxybacillus	flavithermus	dsm_2641t	2850	1	2812123
811	Arcanobacterium	haemolyticum	DSM 20595, CCM, ATCC 9345	1187	1	1986154
190	Arsenicicoccus	bolidensis	F0371	2746	1	3525271
229	Arthrospira	platensis	paraca	2856	268	6501886
674	Atopobium	minutum	10063974	2483	3	1706361
723	Atopobium	parvulum	DNF00906	2726	43	1527867
723	Atopobium	parvulum	DSM 20469, IPP 1246, ATCC 33793	1084	1	1543805
750	Atopobium	rimae	ATCC 49626, VPI D140H-11A	1003	9	1626291
750	Atopobium	rimae	DSM 7090	2780	9	1629936
199	Atopobium	sp. HMT 199	F0494	1949	5	1660282
810	Atopobium	sp. HMT 810	F0209	2455	67	1945408
814	Atopobium	vaginae	DSM 15829	1729	6	1430526
814	Atopobium	vaginae	PB189-T1-4	2037	34	1449613
824	Bacillus	anthracis	Tsiankovskii-I	1139	62	5512169
824	Bacillus	anthracis	Ames Ancestor	1038	3	5503926
824	Bacillus	anthracis	CDC 684	1709	3	5506763
824	Bacillus	anthracis	str. A0465	1151	57	5407149
824	Bacillus	anthracis	str. A0193	1141	60	5392880
824	Bacillus	anthracis	Sterne	1041	1	5228663
824	Bacillus	anthracis	A0248	1708	3	5503926
824	Bacillus	anthracis	str. A0442	1150	46	5374836
824	Bacillus	anthracis	str. A0174	1140	60	5291908
824	Bacillus	anthracis	str. H9401	2323	3	5495471
824	Bacillus	anthracis	Ames	1037	1	5227293
824	Bacillus	anthracis	str. A0488	1153	63	5392168
824	Bacillus	anthracis	str. A0389	1143	68	5420403
45	Bacillus	clausii	KSM-K16	1170	1	4303871
468	Bacillus	subtilis	subsp. spizizenii ATCC 6633	2293	37	3978576
468	Bacillus	subtilis	subsp. spizizenii str. W23	2289	1	4027676
468	Bacillus	subtilis	subsp. subtilis RO-NN-1	2291	1	4011949
468	Bacillus	subtilis	BSn5	1173	1	4093599
468	Bacillus	subtilis	subsp. subtilis str. SC-8	2324	17	4138818
468	Bacillus	subtilis	subsp. natto BEST195	2039	2	4097429
468	Bacillus	subtilis	subsp. spizizenii TU-B-10	2290	1	4207222
272	Bacteroidaceae [G-1]	bacterium HMT 272	F0290	1646	30	2502741
274	Bacteroidales [G-2]	bacterium HMT 274	F0058	1451	28	2106000
787	Bacteroides	pyogenes	JCM 6294	2668	107	3404843
787	Bacteroides	pyogenes	DSM 20611	2665	79	3422915
787	Bacteroides	pyogenes	JCM 6292	2667	112	3405221
787	Bacteroides	pyogenes	F0041	2453	186	3561574
787	Bacteroides	pyogenes	JCM 10003	2666	95	3379354
1	Bartonella	schoenbuchensis	m07a	2664	11	1679871
895	Bifidobacterium	animalis	BS 01	2474	7	1932387
895	Bifidobacterium	animalis	DSM 10140	2471	1	1938483
895	Bifidobacterium	animalis	Bi-07	2468	1	1938822
895	Bifidobacterium	animalis	AD011	2465	1	1933695
895	Bifidobacterium	animalis	BLC1	2470	1	1938583
895	Bifidobacterium	animalis	BB-12	2467	1	1942198
895	Bifidobacterium	animalis	ATCC 25527	2463	1	1932693
895	Bifidobacterium	animalis	CNCM I-2494	2464	1	1943113
895	Bifidobacterium	animalis	HN019	2475	18	1913512
895	Bifidobacterium	animalis	V9	2472	1	1944050
895	Bifidobacterium	animalis	Bl-04	2469	1	1938709
895	Bifidobacterium	animalis	B420	2466	1	1938595
889	Bifidobacterium	breve	JCP7499	2576	96	2366917
889	Bifidobacterium	breve	DSM 20213 = JCM 1192	2415	117	2329986
889	Bifidobacterium	breve	UCC2003	2426	1	2422684
889	Bifidobacterium	breve	CECT 7263	2413	34	2314396
889	Bifidobacterium	breve	HPH0326	2535	6	2502557
889	Bifidobacterium	breve	ACS-071-V-Sch8b	2425	1	2327492
588	Bifidobacterium	dentium	Bd1	1385	1	2636367
588	Bifidobacterium	dentium	ATCC 27678	1497	2	2642081
588	Bifidobacterium	dentium	JCVIHMP022	1911	35	2636584
588	Bifidobacterium	dentium	ATCC 27679	2053	24	2633776
862	Bifidobacterium	longum	subsp. longum 2-2B	2368	141	2625697
862	Bifidobacterium	longum	subsp. longum KACC 91563	2046	3	2395764
862	Bifidobacterium	longum	subsp. longum F8	2043	1	2384987
862	Bifidobacterium	longum	NCC2705	2040	2	2260266
862	Bifidobacterium	longum	DJO10A	2248	3	2389526
862	Bifidobacterium	longum	subsp. longum 44B	2370	62	2559217
862	Bifidobacterium	longum	subsp. longum 1-6B	2367	171	2686768
862	Bifidobacterium	longum	subsp. longum JDM301	2045	1	2477838
862	Bifidobacterium	longum	subsp. longum BBMN68	2042	1	2265943
862	Bifidobacterium	longum	subsp. longum 35B	2369	131	2514431
862	Bifidobacterium	longum	subsp. longum ATCC 55813	1952	51	2351941
862	Bifidobacterium	longum	subsp. longum JCM 1217	2044	1	2385164
862	Bifidobacterium	longum	subsp. infantis 157F	2041	3	2408831
862	Bifidobacterium	longum	subsp. infantis ATCC 15697	2249	1	2832748
891	Bifidobacterium	scardovii	LMG 21589	2707	34	3141793
890	Bifidobacterium	subtile	LMG 11597	2708	27	2790088
890	Bifidobacterium	subtile	DSM 20096	2577	32	2765266
828	Bordetella	pertussis	Tohama I, ATCC BAA-589, NCTC-13251	1086	1	4086189
828	Bordetella	pertussis	CS	2266	1	4124236
597	Bradyrhizobium	elkanii	587	2325	2235	8629291
597	Bradyrhizobium	elkanii	USDA 76	2487	25	9482467
590	Brevundimonas	diminuta	470-4, ATCC 13184	1892	165	3335164
590	Brevundimonas	diminuta	ATCC 11568	2056	302	3240481
241	Brochothrix	thermosphacta	bth_7810	2904	22	2471990
603	Bulleidia	extructa	ATCC BAA-170, DSM 13220	1088	350	385332
603	Bulleidia	extructa	W1219, ATCC BAA-170, DSM 13220	1730	16	1419583
571	Burkholderia	cepacia	JBK9	2716	3816	5922575
571	Burkholderia	cepacia	GG4	2408	2	6467321
575	Campylobacter	concisus	strain 13826	1177	3	2099413
575	Campylobacter	concisus	ATCC 51562	2579	21	1841750
575	Campylobacter	concisus	ATCC 51561	2578	69	1995701
575	Campylobacter	concisus	UNSWCD	2326	86	1778912
575	Campylobacter	concisus	UNSW1	2580	72	1937132
580	Campylobacter	curvus	525.92	1178	1	1971264
580	Campylobacter	curvus	DSM 6644	2488	8	1954904
623	Campylobacter	gracilis	ATCC 33236	1005	384	402378
623	Campylobacter	gracilis	RM3268	2434	33	2255573
748	Campylobacter	rectus	RM3267	1575	89	2513107
748	Campylobacter	rectus	ATCC 33238	1089	356	353298
763	Campylobacter	showae	RM3277	1731	33	2072007
763	Campylobacter	showae	CSUNSWCD	2416	21	2124667
763	Campylobacter	showae	ATCC 51146	1091	352	339586
763	Campylobacter	showae	CC57C	2476	274	2192767
842	Campylobacter	ureolyticus	ACS-301-V-Sch3b	2613	19	1691524
842	Campylobacter	ureolyticus	DSM 20703	2614	37	1740135
337	Capnocytophaga	gingivalis	ATCC 33624	1602	36	2666884
325	Capnocytophaga	granulosa	ATCC 51502	1653	28	2740113
627	Capnocytophaga	haemolytica	CCUG 32990	2788	1	2688484
329	Capnocytophaga	leadbetteri	F0087	1684	155	6748162
700	Capnocytophaga	ochracea	DSM 7271, ATCC 27872, JCM 12966	1008	1	2612925
700	Capnocytophaga	ochracea	str. Holt 25	2387	42	2653757
700	Capnocytophaga	ochracea	F0287	1006	61	2635317
323	Capnocytophaga	sp. HMT 323	F0383	2747	1	2614527
324	Capnocytophaga	sp. HMT 324	F0483	1938	157	2739785
326	Capnocytophaga	sp. HMT 326	F0382	1900	236	3214373
332	Capnocytophaga	sp. HMT 332	F0381	1937	241	2653799
335	Capnocytophaga	sp. HMT 335	F0486	1906	37	2545696
336	Capnocytophaga	sp. HMT 336	F0502	1970	29	2782789
338	Capnocytophaga	sp. HMT 338	F0234	1687	74	2478610
380	Capnocytophaga	sp. HMT 380	F0488	1950	197	2635773
412	Capnocytophaga	sp. HMT 412	F0487	1909	62	2590781
863	Capnocytophaga	sp. HMT 863	F0517	2319	181	2712975
775	Capnocytophaga	sputigena	ATCC 33612	1576	65	2997845
633	Cardiobacterium	hominis	ATCC 15826	1604	142	2578897
540	Cardiobacterium	valvarum	F0432	1860	184	2544363
165	Catonella	morbi	ATCC 51271	1596	20	2041839
726	Centipeda	periodontii	DSM 2778	1958	72	2716458
733	Chlamydophila	pneumoniae	TW-183	1182	1	1225935
733	Chlamydophila	pneumoniae	AR39	1179	2	1234385
733	Chlamydophila	pneumoniae	LPCoLN	1399	2	1248550
733	Chlamydophila	pneumoniae	J138	1181	1	1226565
733	Chlamydophila	pneumoniae	CWL029	1180	1	1230230
876	Clostridiales [F-3][G-1]	bacterium HMT 876	F0540	2456	87	4764532
858	Comamonas	testosteroni	ATCC 11996	2057	63	5410155
858	Comamonas	testosteroni	KF-1	1981	1	6026527
858	Comamonas	testosteroni	S44	2058	112	5534155
858	Comamonas	testosteroni	CNB-2	2047	2	5464824
19	Corynebacterium	accolens	kpl1824	2954	2	2638979
19	Corynebacterium	accolens	kpl1855	2935	8	2512083
19	Corynebacterium	accolens	kpl1996	3027	3	2576022
19	Corynebacterium	accolens	kpl1818	2986	6	2588539
19	Corynebacterium	accolens	kpl2004	2953	6	2575948
19	Corynebacterium	accolens	kpl1859	2940	3	2547767
19	Corynebacterium	accolens	kpl1986	2937	1	2568149
19	Corynebacterium	accolens	kpl1998	3026	4	2568130
19	Corynebacterium	accolens	kpl1814	2988	7	2501004
19	Corynebacterium	accolens	kpl1818	2865	6	2588539
30	Corynebacterium	afermentans	lcdc880199	2886	24	2345615
31	Corynebacterium	amycolatum	hmsc14h10	3037	48	2490969
31	Corynebacterium	amycolatum	hmsc064e07	2967	40	2450517
31	Corynebacterium	amycolatum	hmsc077g01	3034	59	2461778
31	Corynebacterium	amycolatum	hmsc063g05	2964	37	2409263
31	Corynebacterium	amycolatum	hmsc061h03	3028	47	2482958
31	Corynebacterium	amycolatum	hmsc077g07	3031	37	2430573
31	Corynebacterium	amycolatum	hmsc077c02	2951	52	2436086
31	Corynebacterium	amycolatum	hmsc055g02	3015	45	2410671
31	Corynebacterium	amycolatum	hfh0082	3012	1	2493224
31	Corynebacterium	amycolatum	hmsc063a05	2975	24	2444943
31	Corynebacterium	amycolatum	hmsc11h10	3006	20	2433278
31	Corynebacterium	amycolatum	hmsc074c04	2996	15	2442160
31	Corynebacterium	amycolatum	hmsc073h12	3033	19	2473368
31	Corynebacterium	amycolatum	hmsc064h12	3024	44	2458128
31	Corynebacterium	amycolatum	hmsc14b06	2956	55	2562236
31	Corynebacterium	amycolatum	hmsc065h09	3020	36	2493204
31	Corynebacterium	amycolatum	hmsc074c11	3017	23	2456959
31	Corynebacterium	amycolatum	hmsc072b09	3014	64	2484283
31	Corynebacterium	amycolatum	hmsc074c05	2995	25	2409687
31	Corynebacterium	amycolatum	hmsc063f04	2992	35	2425142
31	Corynebacterium	amycolatum	atcc_6931	2910	1	2471920
31	Corynebacterium	amycolatum	hmsc070b05	2949	46	2417058
31	Corynebacterium	amycolatum	hmsc064e10	2979	10	2460166
31	Corynebacterium	amycolatum	hmsc072b08	3013	43	2489149
31	Corynebacterium	amycolatum	hmsc064e08	2942	16	2436100
33	Corynebacterium	appendicis	CIP_107643,DSM_44531	2915	32	2248056
34	Corynebacterium	aurimucosum	hmsc078a10	2939	53	2761821
34	Corynebacterium	aurimucosum	hmsc066c02	2936	54	2631066
34	Corynebacterium	aurimucosum	hmsc074c01	3001	75	2693142
34	Corynebacterium	aurimucosum	hmsc056e09	2991	59	2672238
34	Corynebacterium	aurimucosum	hmsc062a03	2981	66	2606195
34	Corynebacterium	aurimucosum	hmsc05d03	2903	43	2642799
34	Corynebacterium	aurimucosum	hmsc065d07	2948	58	2658959
34	Corynebacterium	aurimucosum	hmsc072d12	2944	45	2566381
34	Corynebacterium	aurimucosum	hmsc05d03	3009	43	2642799
34	Corynebacterium	aurimucosum	hmsc072a04	3046	97	2804419
34	Corynebacterium	aurimucosum	hmsc036d02	2938	61	2639433
34	Corynebacterium	aurimucosum	hmsc069e04	3043	90	2642255
34	Corynebacterium	aurimucosum	hmsc074h12	2989	76	2810041
34	Corynebacterium	aurimucosum	hmsc074e01	2950	54	2654499
34	Corynebacterium	aurimucosum	hmsc056f09	3048	99	2758830
34	Corynebacterium	aurimucosum	hmsc035e02	3045	91	2767129
34	Corynebacterium	aurimucosum	hmsc072a02	3042	92	2753344
34	Corynebacterium	aurimucosum	hmsc070e08	2971	79	2725857
34	Corynebacterium	aurimucosum	hmsc068g04	3032	67	2793519
34	Corynebacterium	aurimucosum	hmsc055a01	3019	82	2818382
34	Corynebacterium	aurimucosum	hmsc078c09	3010	72	2669014
341	Corynebacterium	coyleae	hmsc036e10	3007	77	2468155
341	Corynebacterium	coyleae	hmsc070h05	3004	79	2411300
341	Corynebacterium	coyleae	hmsc08f01	2957	74	2413488
341	Corynebacterium	coyleae	hmsc075d04	3038	93	2461261
341	Corynebacterium	coyleae	hmsc055d05	3003	62	2396802
341	Corynebacterium	coyleae	hmsc067d03	3008	72	2390972
341	Corynebacterium	coyleae	hmsc034b08	2968	101	2519128
341	Corynebacterium	coyleae	hmsc05c01	2962	52	2390226
341	Corynebacterium	coyleae	hmsc11d10	2907	75	2443105
341	Corynebacterium	coyleae	hmsc034e11	2945	63	2423872
591	Corynebacterium	diphtheriae	INCA 402	2275	1	2449071
591	Corynebacterium	diphtheriae	HC02	2272	1	2468612
591	Corynebacterium	diphtheriae	C7 (beta)	2269	1	2499189
591	Corynebacterium	diphtheriae	str. Aberdeen	2704	38	2367453
591	Corynebacterium	diphtheriae	VA01	2277	1	2395441
591	Corynebacterium	diphtheriae	HC04	2274	1	2484332
591	Corynebacterium	diphtheriae	HC01	2271	1	2427149
591	Corynebacterium	diphtheriae	241	2048	1	2426551
591	Corynebacterium	diphtheriae	BH8	2268	1	2485519
591	Corynebacterium	diphtheriae	DSM 43988	2703	140	2141743
591	Corynebacterium	diphtheriae	PW8	2276	1	2530683
591	Corynebacterium	diphtheriae	HC03	2273	1	2478364
591	Corynebacterium	diphtheriae	CDCE 8392	2270	1	2433326
591	Corynebacterium	diphtheriae	31A	2267	1	2535346
591	Corynebacterium	diphtheriae	bv. intermedius str. NCTC 5011	2388	34	2380361
591	Corynebacterium	diphtheriae	NCTC 13129	1184	1	2488635
595	Corynebacterium	durum	F0235	1897	38	2807603
47	Corynebacterium	jeikeium	hmsc08a12	2978	31	2215784
47	Corynebacterium	jeikeium	hmsc058e07	3023	67	2223736
49	Corynebacterium	kroppenstedtii	dsm_44385	2862	1	2446804
666	Corynebacterium	matruchotii	ATCC 14266	1013	8	2855988
666	Corynebacterium	matruchotii	ATCC 33806	1648	58	2967145
53	Corynebacterium	minutissimum	atcc_23348	2878	38	2663401
53	Corynebacterium	minutissimum	hmsc05e07	3047	85	2797062
54	Corynebacterium	pilbarense	hmsc05h05	2969	55	2411621
54	Corynebacterium	pilbarense	hmsc034a01	2998	66	2393833
54	Corynebacterium	pilbarense	hmsc034a01	2873	66	2393833
60	Corynebacterium	pseudodiphtheriticum	EPI_003_04_2554_SCH2473622	3041	85	2366960
60	Corynebacterium	pseudodiphtheriticum	kpl1995	2984	1	2313371
60	Corynebacterium	pseudodiphtheriticum	kpl1989	2972	3	2317860
60	Corynebacterium	pseudodiphtheriticum	kpl1995	2911	1	2313371
62	Corynebacterium	simulans	hmsc036d03	2961	62	2652130
62	Corynebacterium	simulans	hmsc076d02	3036	78	2638185
62	Corynebacterium	simulans	pes1	2866	1	2737971
62	Corynebacterium	simulans	hmsc071f07	3005	61	2574878
62	Corynebacterium	simulans	hmsc077d03	3002	61	2636380
62	Corynebacterium	simulans	hmsc06g04	3029	40	2627043
62	Corynebacterium	simulans	hmsc06d04	2955	43	2672576
62	Corynebacterium	simulans	hmsc08c04	2952	41	2657712
63	Corynebacterium	singulare	hmsc078h07	3039	89	2768062
63	Corynebacterium	singulare	ibs_b52218	2846	1	2830519
207	Corynebacterium	sp. HMT 207	nml_120412	3049	13	2597765
207	Corynebacterium	sp. HMT 207	hmsc071b10	3040	94	2625963
207	Corynebacterium	sp. HMT 207	hmsc074a01	2851	40	2549445
207	Corynebacterium	sp. HMT 207	nml_150383	3050	22	2527537
72	Corynebacterium	striatum	kc_na_01	2859	3	2797692
72	Corynebacterium	striatum	hmsc05d08	3044	85	2812770
72	Corynebacterium	striatum	hmsc06c06	2999	74	2652216
77	Corynebacterium	tuberculostearicum	kpl1857	2994	4	2489851
77	Corynebacterium	tuberculostearicum	sk141	2882	37	2372261
77	Corynebacterium	tuberculostearicum	og2	2987	472	2628783
77	Corynebacterium	tuberculostearicum	kpl1817	3030	10	2453143
77	Corynebacterium	tuberculostearicum	kpl1860	2993	8	2484887
77	Corynebacterium	tuberculostearicum	kpl1856	2977	6	2465753
77	Corynebacterium	tuberculostearicum	kpl1821	2943	7	2470873
184	Corynebacterium	tuscaniense	DNF00037	2784	82	2227780
853	Corynebacterium	urealyticum	hmsc22b11	2970	65	2305457
853	Corynebacterium	urealyticum	DSM 7111	2440	1	2316065
853	Corynebacterium	urealyticum	hmsc27b11	2912	58	2193273
853	Corynebacterium	urealyticum	DSM 7109	1976	1	2369219
753	Cronobacter	sakazakii	ES15	2691	1	4268675
753	Cronobacter	sakazakii	ATCC BAA-894	1185	3	4530777
753	Cronobacter	sakazakii	CMCC 45402	2690	3	4559945
753	Cronobacter	sakazakii	680	2669	201	4362758
753	Cronobacter	sakazakii	SP291	2692	4	4518784
579	Cryptobacterium	curtum	DSM 15641, ATCC 700683, 12-3T	1480	1	1617804
27	Cupriavidus	gilardii	cr3	2854	2	5578743
530	Cutibacterium	acnes	J139	1801	7	2481963
530	Cutibacterium	acnes	SK182	2190	14	2477348
530	Cutibacterium	acnes	TypeIA2 P.acn31	2165	1	2498766
530	Cutibacterium	acnes	6609	2162	1	2560282
530	Cutibacterium	acnes	KPA171202, DSM 16379	1286	1	2560265
530	Cutibacterium	acnes	SK137	1014	1	2495334
530	Cutibacterium	acnes	SK187	2192	37	2510934
530	Cutibacterium	acnes	J165	2189	62	2500083
530	Cutibacterium	acnes	TypeIA2 P.acn17	2164	1	2522885
530	Cutibacterium	acnes	266	2161	1	2494578
530	Cutibacterium	acnes	SK182B-JCVI	2191	50	2430672
530	Cutibacterium	acnes	TypeIA2 P.acn33	2166	1	2489623
530	Cutibacterium	acnes	ATCC 11828	2163	1	2488626
552	Cutibacterium	avidum	44067	2522	1	2526138
552	Cutibacterium	avidum	ATCC 25577	1990	24	2533496
114	Cutibacterium	granulosum	DSM_20700	2902	372	2128234
193	Cutibacterium	sp. HMT 193	F0672	2808	2	2649207
23	Delftia	acidovorans	CCUG 274B	2537	90	6942246
23	Delftia	acidovorans	CCUG 15835	2536	68	6807250
23	Delftia	acidovorans	SPH-1, ATCC15668	1413	1	6767514
23	Delftia	acidovorans	2167 DR66	2709	6	6777458
354	Dermabacter	hominis	1368	2887	26	2510630
41	Desulfobulbus	sp. HMT 041	Dsb3	2486	210	736505
41	Desulfobulbus	sp. HMT 041	Dsb2	2485	162	676885
703	Desulfomicrobium	orale	DSM 12838	2794	1	2783374
605	Desulfovibrio	fairfieldensis	CCUG 45958	2793	1	3699310
118	Dialister	invisus	DSM 15470	1103	2	1895860
843	Dialister	micraerophilus	DSM 19965	1959	32	1256198
736	Dialister	pneumosintes	f0677	2855	1	1274073
368	Dietzia	cinnamea	p4	2890	428	3555295
813	Dolosigranulum	pigrum	ATCC 51524	2059	16	1846028
