individual	study	env	host_genus	host_common	accession_id	total_raw_reads	total_post_clip_and_merge	mean_percent_merged_content_post_clip_and_merge	total_post_duplicate_removal_reads	mean_percent_endogenous_dna	mean_polygtrimmed_endogenous_dna_percent	mean_cluster_factor	mean_median_fragment_length	mean_polygtrimmed_median_fragment_length	mean_gc_content_percent	mean_polygtrimmed_gc_content_in_percent	total_non_human_reads	age
EXB020.A0101	This_study	ExtractionControl	Control	ExtractionControl	ERR3839743	220546	112204	34.693950304802	2287	27.111	1.373	13.3012680367293	71	69	73.45	48.09	81784	control
EXB021.A0101	This_study	ExtractionControl	Control	ExtractionControl	ERR3839744	217628	108735	19.8721662758082	2386	32.315	0.979	14.7267393126572	66	65	83.49	49.74	73597	control
EXB022.A0101	This_study	ExtractionControl	Control	ExtractionControl	ERR3839745	5298316	2445235	34.2897512917981	26241	27.711	1.771	25.8223009793834	61	60	55.79	46.34	1767632	control
EXB023.A0101	This_study	ExtractionControl	Control	ExtractionControl	ERR3839746	5283270	2409113	47.1935521496916	96355	28.126	9.39	7.03226609932022	63	61	48.16	45.52	1731519	control
EXB033.A0401	This_study	ExtractionControl	Control	ExtractionControl	ERR3839747	2184416	921045	55.4308421412635	18003	3.223	2.727	1.64866966616675	76	76	40.91	40.77	891364	control
EXB033.A0801	This_study	ExtractionControl	Control	ExtractionControl	ERR3839769	2308874	1009071	NaN	18776	6.816	6.822	3.66297400937367	51	50	47.45	47.46	940295	control
EXB033.A1401	This_study	ExtractionControl	Control	ExtractionControl	ERR3839748	486094	227137	88.8525427385234	3533	1.569	1.412	1.00877441268044	75	70	42.92	43.14	223573	control
FDM001	This_study	Gorilla_3	Gorilla	Gorilla	ERR3579744; ERR3579743	11859140	4977404	97.69979500224895	76310	1.7610000000000001	1.4235	1.148682978385375	46	45	45.9	43.730000000000004	4889751	ancient
FUM001	This_study	Neanderthal	Homo	Homo (Neanderthal)	ERR3579745	34037968	16663862	82.1799052344529	1749866	35.138	29.358	3.34617850738285	75	75	45.52	45.81	10808498	ancient
FUM002	This_study	Neanderthal	Homo	Homo (Neanderthal)	ERR3579746	39367586	17346934	97.8226988123665	128218	1.092	0.657	1.47717169196213	73	70	48.24	47.2	17157534	ancient
FUM003	This_study	Neanderthal	Homo	Homo (Neanderthal)	ERR3579748	34052390	17170133	83.3147069973191	1116109	8.512	7.647	1.30947335788888	71	68	47.57	47.78	15708618	ancient
GDC002	This_study	Gorilla_2	Gorilla	Gorilla	ERR3579749	28835174	11389360	94.6400851320882	43904	0.779	0.342	2.02045371720117	43	42	51.25	45.76	11300654	ancient
GDC004	This_study	Gorilla_2	Gorilla	Gorilla	ERR3579750	27391430	12455663	96.7968545712902	105858	1.228	0.831	1.44543633924692	42	41	44.81	42.62	12302652	ancient
GDC005	This_study	Gorilla_2	Gorilla	Gorilla	ERR3579751	29901178	12460462	97.7955713038569	1995511	20.299	19.349	1.26754199801454	44	44	47.64	47.45	9931068	ancient
GDN001	This_study	Neanderthal	Homo	Homo (Neanderthal)	ERR3579752; ERR3579753	70895520	31664752	93.26613222674621	57470	2.567	0.2415	15.81421853144625	62.5	65.5	55.150000000000006	47.260000000000005	30835470	ancient
GOY005	This_study	Neanderthal	Homo	Homo (Neanderthal)	ERR3579673	11004043	9332707	NaN	164894	1.817	1.808	1.02847283709535	70	70	45.88	45.82	9163118	ancient
GOY006	This_study	Neanderthal	Homo	Homo (Neanderthal)	ERR3579674	5539193	5048233	NaN	1224831	24.741	24.787	1.01973006888297	75	75	45.21	45.2	3799236	ancient
GUE001	This_study	Neanderthal	Homo	Homo (Neanderthal)	ERR3579754	22722004	12055695	74.4043209454121	256372	7.46	4.109	3.5080430000156	75	75	49.17	48.93	11156331	ancient
IBA001	This_study	Gorilla_3	Gorilla	Gorilla	ERR3579756; ERR3579755	27193840	13127864	90.91515744145765	112381	1.0645	0.793	1.2451148417195301	52.5	52	46.715	45.019999999999996	12987664	ancient
IBA002	This_study	Gorilla_3	Gorilla	Gorilla	ERR3579758; ERR3579757	39317054	19132114	94.66477104570095	71833	0.574	0.324	1.52558918751576	60	61	50.125	46.04	19022015	ancient
KNP001	This_study	Chimp_2	Pan	Pan	ERR3579761	30609376	16902026	79.1897847039166	581027	3.798	3.58	1.10494520908667	59	59	40.21	40.05	16260023	ancient
KNP003	This_study	Chimp_2	Pan	Pan	ERR3579762	19346626	10425696	81.2250424336179	13574	0.3	0.106	2.30226904376013	48	47	53.88	41.85	10394445	ancient
KNP004	This_study	Chimp_2	Pan	Pan	ERR3579765	346426	188197	80.1893760261853	3446	1.968	1.839	1.07457922228671	53	53	43.52	41.44	184494	ancient
KNP005	This_study	Chimp_2	Pan	Pan	ERR3579767	19273758	11286072	69.317925669799	155811	1.693	1.479	1.22609443492436	63	63	40.28	39.48	11095033	ancient
KNP006	This_study	Chimp_2	Pan	Pan	ERR3579768	21817058	11288291	87.5928606021939	104635	1.139	0.905	1.22916806040044	54	54	42.5	41.13	11159677	ancient
KNP007	This_study	Chimp_2	Pan	Pan	ERR3579769	16521186	9238663	76.6506473934594	56319	0.844	0.611	1.38503879685364	62	62	43.29	40.9	9160659	ancient
KNP009	This_study	Chimp_2	Pan	Pan	ERR3579772	20075636	11405090	74.4249190493017	27572	0.527	0.221	2.17800667343682	57	59	47.07	40.94	11345038	ancient
LIB007.A0117	This_study	LibraryControl	Control	LibraryControl	ERR3839751	239618	77128	5.97189088268852	1387	41.228	0.283	22.9257390050469	69	54	93.87	60.9	45330	control
LIB007.A0118	This_study	LibraryControl	Control	LibraryControl	ERR3839752	1760724	707817	7.93552570791603	5117	41.517	0.437	57.4287668555794	64	68	85.79	51.95	413954	control
LIB007.A0119	This_study	LibraryControl	Control	LibraryControl	ERR3839753	1101852	478362	6.5471337606248	4482	38.171	0.337	40.7400713966979	59	49	92.43	69.8	295765	control
LIB007.A0120	This_study	LibraryControl	Control	LibraryControl	ERR3839754	3663208	1299130	7.14239529531302	1601	0.214	0.226	1.74016239850094	61	75	31.15	43	1296344	control
LIB007.A0122	This_study	LibraryControl	Control	LibraryControl	ERR3839755	4548472	1963525	28.0993111877873	2736	0.32	0.359	2.29824561403509	56	55	36.32	45.03	1957237	control
LIB007.A0123	This_study	LibraryControl	Control	LibraryControl	ERR3839756	3860324	1451140	28.6229447193241	2106	0.323	0.365	2.22222222222222	53	49	35.69	45.23	1446460	control
LIB007.A0124	This_study	LibraryControl	Control	LibraryControl	ERR3839757	2692716	800723	19.0140660378183	6084	3.084	4.398	4.05933596318212	62	67	42.78	43.36	776026	control
LIB009.A0102	This_study	LibraryControl	Control	LibraryControl	ERR3839770	284572	207929	NaN	2567	1.69	1.693	1.3693026879626	70	70	43.77	43.73	204414	control
LIB012.A0101	This_study	LibraryControl	Control	LibraryControl	ERR3839759	264154	127410	15.3253276822855	2291	33.966	0.762	18.8895678742907	67	56	86.18	51.2	84134	control
LIB013.A0101	This_study	LibraryControl	Control	LibraryControl	ERR3839760	802	527	30.550284629981	134	36.622	33.684	1.44029850746269	73	65	63.3	50.17	334	control
LIB014.A0101	This_study	LibraryControl	Control	LibraryControl	ERR3839761	3015750	1449431	28.4968377245968	28087	31.567	3.916	16.2903834514188	59	59	55.96	47.35	991883	control
LIB015.A0101	This_study	LibraryControl	Control	LibraryControl	ERR3839762	3741824	1838479	58.0447750559022	60271	21.048	6.555	6.42038459624031	61	62	50.68	47.22	1451516	control
LIB017.A0101	This_study	LibraryControl	Control	LibraryControl	ERR3839763	3072620	1374861	29.2813600793098	15322	31.92	3.785	28.6423443414698	55	57	65.05	42.4	936003	control
LIB017.A0102	This_study	LibraryControl	Control	LibraryControl	ERR3839764	2230176	1103495	5.76504651131179	8097	39.28	0.233	53.532419414598	52	50	93.13	69.9	670043	control
LIB025.A0601	This_study	LibraryControl	Control	LibraryControl	ERR3839771	2328091	724955	NaN	2877	0.915	0.797	2.30517900590893	46	42	64.43	62.18	718323	control
LIB025.A0701	This_study	LibraryControl	Control	LibraryControl	ERR3839772	2762812	836784	NaN	2363	0.805	0.684	2.85230639018197	42	38	72.53	70.24	830044	control
LIS001	This_study	PreantibioticHuman_2	Homo	Homo (Modern Human)	ERR3579773	23166834	10650194	94.1007835162439	9832	0.322	0.054	3.48494711147274	44	42	67.35	47.89	10615930	ancient
LIS002	This_study	PreantibioticHuman_2	Homo	Homo (Modern Human)	ERR3579774	26977086	11617006	96.4120359411022	9905	0.476	0.041	5.58263503281171	39	32	78.87	54.26	11561710	ancient
LIS003	This_study	PreantibioticHuman_2	Homo	Homo (Modern Human)	ERR3579775	22024658	10478999	94.2337908420451	10538	0.59	0.048	5.86819130764851	43	42	70.26	47.79	10417160	ancient
LOB001	This_study	Gorilla_3	Gorilla	Gorilla	ERR3579676; ERR3678175	14302925	8831605	94.1197582230156	48495	0.669	0.5335	1.222365224133175	60.5	60	48.53	46.93000000000001	8770905	ancient
MOA001	This_study	PreagriculturalHuman_1	Homo	Homo (Modern Human)	ERR3579677; ERR3579678; ERR3678176; ERR3678177	26769194	15210947	86.41716296366545	11390	0.1575	0.04325	2.1858507863678325	48.75	45.25	62.315	46.495	15176910	ancient
MTK001	This_study	Gorilla_1	Gorilla	Gorilla	ERR3579679; ERR3678178	13177781	8345706	94.9734692086568	62456	0.9045000000000001	0.7230000000000001	1.2108945577523	73	73	45.82	44.489999999999995	8268804	ancient
MTM001	This_study	Gorilla_1	Gorilla	Gorilla	ERR3579776	8242730	3875027	95.6661205199344	360193	10.017	9.526	1.07767502422312	56	55	44.38	44.72	3486856	ancient
MTM002	This_study	Gorilla_1	Gorilla	Gorilla	ERR3579777	6050620	3170409	81.806416774618	92736	3.316	3.428	1.13375603864734	69	67	45.44	45.74	3065269	ancient
MTM003	This_study	Gorilla_1	Gorilla	Gorilla	ERR3579680; ERR3678179	57528276	36597397	88.2770976742836	1907757	5.5969999999999995	5.3125	1.081341979283335	75	74.5	44.05	44.19	34546048	ancient
MTM004	This_study	Gorilla_1	Gorilla	Gorilla	ERR3579778	9246092	4189539	97.3076751403913	76293	1.982	1.857	1.08855334041131	56	56	45.62	45.96	4106490	ancient
MTM005	This_study	Gorilla_1	Gorilla	Gorilla	ERR3579779	7120314	3459869	93.2162749514505	23862	0.745	0.71	1.08050456793228	64	64	46.47	46.89	3434086	ancient
MTM006	This_study	Gorilla_1	Gorilla	Gorilla	ERR3579780	14671648	7111633	91.4368753280716	38419	0.588	0.549	1.08753481350374	69	67	46.32	46.81	7069851	ancient
MTM008	This_study	Gorilla_1	Gorilla	Gorilla	ERR3579781	10692468	5259403	95.476330678596	87981	1.808	1.728	1.08097202805151	66	65	48.82	49.18	5164298	ancient
MTM009	This_study	Gorilla_1	Gorilla	Gorilla	ERR3579782	5193468	2400568	97.4141119934949	14012	0.628	0.598	1.07600628033114	49	48	47.37	47.65	2385491	ancient
MTM010	This_study	Gorilla_2	Gorilla	Gorilla	ERR3579681; ERR3678180	15726349	9581535	94.7935162270855	428080	4.7669999999999995	4.5465	1.07283624894071	59	59	46	45.975	9123626	ancient
MTM011	This_study	Gorilla_1	Gorilla	Gorilla	ERR3579682; ERR3678181	12867167	8467093	84.3602984224161	3444693	43.7045	42.533500000000004	1.0805898051929148	75	74.5	45.245000000000005	45.45	4775010	ancient
MTM012	This_study	Gorilla_1	Gorilla	Gorilla	ERR3579683; ERR3678182	18477394	11834945	88.2113846012636	1132365	10.2395	10.071	1.0775072557564	67.5	67	45.084999999999994	45.12	10623025	ancient
MTM013	This_study	Gorilla_1	Gorilla	Gorilla	ERR3579684; ERR3678183	12628543	7854954	96.5682008443966	696981	9.5465	9.1915	1.082008760771205	63	63	45.265	45.31	7105486	ancient
MTS001	This_study	Gorilla_1	Gorilla	Gorilla	ERR3579685; ERR3678184	11632883	7110585	91.5384304112871	533867	8.0075	7.7195	1.07179737335112	64	62.5	45.540000000000006	45.6	6540914	ancient
MTS002	This_study	Gorilla_1	Gorilla	Gorilla	ERR3579686; ERR3678185	16006973	10230398	92.8296137800822	3406213	35.914	35.189	1.084023394730795	63	62.5	48.510000000000005	48.655	6562562	ancient
MTS003	This_study	Gorilla_1	Gorilla	Gorilla	ERR3579687; ERR3678186	12619442	7713993	92.4324966383077	165266	2.3305	2.16	1.0967089783214399	61.5	61	45.33	44.955	7532301	ancient
OAK001	This_study	PreagriculturalHuman_1	Homo	Homo (Modern Human)	ERR3579784	36704098	11356072	92.3344357098123	36556	1.272	0.316	3.95013130539446	46	40	49.67	41.65	11211671	ancient
OAK002	This_study	PreagriculturalHuman_1	Homo	Homo (Modern Human)	ERR3579785	34800808	14080724	97.6015721918845	29705	0.531	0.167	2.51654603602087	37	35	51.01	40.23	14005970	ancient
OAK003	This_study	PreagriculturalHuman_1	Homo	Homo (Modern Human)	ERR3579787	37603366	17248930	95.8249700126327	12893	0.344	0.045	4.60877995811681	41	35	65.01	44.22	17189509	ancient
OAK004	This_study	PreagriculturalHuman_1	Homo	Homo (Modern Human)	ERR3579788	34034746	14644010	95.7838051189531	1070633	7.889	6.363	1.07902147608004	76	76	44.3	44.46	13488774	ancient
OAK005	This_study	PreagriculturalHuman_1	Homo	Homo (Modern Human)	ERR3579789	37371876	17004996	95.9307076579142	14594	0.38	0.054	4.43113608332191	43	38	64.43	45.85	16940328	ancient
OFN001	This_study	PreagriculturalHuman_2	Homo	Homo (Modern Human)	ERR3579791	27683114	12573910	93.1471992403318	134797	1.378	0.969	1.28504343568477	70	68	46.33	45.7	12400690	ancient
OME002	This_study	Howler_Monkey	Alouatta	Alouatta	ERR3579792	27514202	14159411	85.3309999971044	137588	1.165	0.987	1.19885455126901	47	47	42.95	41.72	13994463	ancient
OME003	This_study	Howler_Monkey	Alouatta	Alouatta	ERR3579794	26772056	14096803	83.1496332891933	98827	0.994	0.708	1.41729486881115	46	46	43.88	41.48	13956736	ancient
OME005	This_study	Howler_Monkey	Alouatta	Alouatta	ERR3579796	17388136	9532562	78.1906689932885	45611	0.648	0.495	1.35368661068602	48	49	45.65	42.37	9470819	ancient
OME007	This_study	Howler_Monkey	Alouatta	Alouatta	ERR3579798	21148044	11587294	77.4621149683438	78504	0.838	0.718	1.23704524610211	45.5	46	44.05	42.04	11490181	ancient
OME009	This_study	Howler_Monkey	Alouatta	Alouatta	ERR3579799	13515446	7487708	76.446704385374	53910	0.874	0.777	1.21428306436654	51	52	44.46	42.4	7422246	ancient
PES001	This_study	Neanderthal	Homo	Homo (Neanderthal)	ERR3579688	12350535	11916500	NaN	39855	0.371	0.371	1.10954710826747	75	75	47.32	47.32	11872279	ancient
PLV001	This_study	PreagriculturalHuman_2	Homo	Homo (Modern Human)	ERR3579800	25218370	11670577	89.7584412493059	187939	2.05	1.512	1.27273210988672	71	68	46.26	46	11431381	ancient
PYK001	This_study	PreantibioticHuman_1	Homo	Homo (Modern Human)	ERR3579801	32880996	15328223	93.7929138948461	41357	0.522	0.234	1.9338443310685	42	41	50.32	43.43	15248245	ancient
PYK002	This_study	PreantibioticHuman_1	Homo	Homo (Modern Human)	ERR3579802	37823082	17328324	97.4261330755358	64678	0.631	0.332	1.69062123133059	44	44	47.68	43.61	17218978	ancient
PYK003	This_study	PreantibioticHuman_1	Homo	Homo (Modern Human)	ERR3579803	30804596	14780665	94.8385678181597	11470	0.328	0.047	4.22336530078466	43	41	65.64	47.04	14732223	ancient
PYK004	This_study	PreantibioticHuman_1	Homo	Homo (Modern Human)	ERR3579804	34834172	16765146	95.9673837615253	11755	0.339	0.04	4.83547426626967	45	42	71.45	49.93	16708305	ancient
PYK005	This_study	PreantibioticHuman_1	Homo	Homo (Modern Human)	ERR3579805	43549912	21523136	93.7967125236768	8128	0.254	0.015	6.72034940944882	41	31	82.02	51.16	21468513	ancient
RIG001	This_study	PreagriculturalHuman_2	Homo	Homo (Modern Human)	ERR3579806	58161058	26219271	96.4151978138523	18168	0.541	0.053	7.8061977102598	39	35	62.28	43.45	26077448	ancient
SPM001	This_study	Neanderthal	Homo	Homo (Neanderthal)	ERR3579807	17859222	8654980	39.3083519545972	415988	47.121	26.566	9.80389818937085	72	68	47.82	47.06	4576676	ancient
SPM002	This_study	Neanderthal	Homo	Homo (Neanderthal)	ERR3579808	21382622	13589782	47.3034225273076	6685686	84.581	78.539	1.71924137627762	76	76	43.42	43.87	2095474	ancient
TAF008	This_study	PreagriculturalHuman_1	Homo	Homo (Modern Human)	ERR3579809	26880590	11620086	96.7704025598434	19165	0.819	0.133	4.96744064701278	49	47	55.09	44.32	11524885	ancient
TAF016	This_study	PreagriculturalHuman_1	Homo	Homo (Modern Human)	ERR3579811	12036150	5938606	31.141180270252	18676	19.685	0.896	62.5945598629257	61	64	61.27	46.68	4769590	ancient
TAF017	This_study	PreagriculturalHuman_1	Homo	Homo (Modern Human)	ERR3579812; ERR3579814; ERR3579816; ERR3579813; ERR3579815	31383970	13103693	72.0339994177144	26431	7.7074	1.7268000000000001	26.309582088512258	61.6	56	61.176	45.634	11119327	ancient
TAF018	This_study	PreagriculturalHuman_1	Homo	Homo (Modern Human)	ERR3579817; ERR3579818	30673274	15204802	80.80951301087835	45482	3.3680000000000003	0.338	15.820250708161065	62.5	64.5	55.989999999999995	46.34	14681780	ancient
VLC001	This_study	ModernDayHuman_2	Homo	Homo (Modern Human)	ERR3579819	82467326	41712519	96.5179014961911	6858262	17.409	16.04	1.05884216730128	112	111	44.24	44.1	34450702	modernday
VLC002	This_study	ModernDayHuman_2	Homo	Homo (Modern Human)	ERR3579820	31782890	15783566	98.6728727842618	15212	0.319	0.07	3.30916381803839	84	85	61.26	48.42	15733227	modernday
VLC003	This_study	ModernDayHuman_2	Homo	Homo (Modern Human)	ERR3579821	52539098	26198342	98.2506908261599	24464	0.396	0.073	4.24002616088947	87	87	58.73	48.44	26094614	modernday
VLC004	This_study	ModernDayHuman_2	Homo	Homo (Modern Human)	ERR3579822	87382752	43563848	97.7757474500416	114028	0.571	0.241	2.18134142491318	104	104	47.57	44.97	43315114	modernday
VLC005	This_study	ModernDayHuman_2	Homo	Homo (Modern Human)	ERR3579823	89173288	44369413	97.8105727925677	104063	0.537	0.215	2.28771993888318	96	96	46.91	43.94	44131346	modernday
VLC008	This_study	ModernDayHuman_2	Homo	Homo (Modern Human)	ERR3579824	70978956	35900972	96.1939888424191	12098	0.348	0.017	10.320052901306	83	83	75.95	52.62	35776120	modernday
VLC009	This_study	ModernDayHuman_2	Homo	Homo (Modern Human)	ERR3579825	66958370	33786897	96.5022239242627	16823	0.361	0.032	7.25869345538846	90	92	64.26	47.48	33664784	modernday
VLC010	This_study	ModernDayHuman_2	Homo	Homo (Modern Human)	ERR3579826	38772040	19368986	97.5946856484898	192213	1.321	0.952	1.33133554962464	120	120	46.1	45.09	19113086	modernday
VLD001	This_study	Neanderthal	Homo	Homo (Neanderthal)	ERR3579827	23582588	10434687	94.8009461136688	1063441	13.359	11.663	1.31081366996382	54	54	46.11	46.09	9040714	ancient
WAL001	This_study	Gorilla_3	Gorilla	Gorilla	ERR3579829; ERR3579828	31083042	14985035	92.18335327994694	74470	0.691	0.469	1.3817240928982248	48.5	48	51.05	47.545	14881423	ancient
