study_accession	secondary_sample_accession	experiment_accession	run_accession	instrument_model	library_name	library_layout	library_strategy	read_count	fastq_ftp	submitted_ftp	sra_ftp
PRJEB18629	ERS1600725	ERX1943919	ERR1883418	Illumina HiSeq 2500	L5603	PAIRED	WGS	15471284	ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/008/ERR1883418/ERR1883418.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/008/ERR1883418/ERR1883418_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/008/ERR1883418/ERR1883418_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA846/ERA846168/bam/L5603.bam;ftp.sra.ebi.ac.uk/vol1/ERA846/ERA846168/bam/L5603.bam.bai	ftp.sra.ebi.ac.uk/vol1/err/ERR188/008/ERR1883418
PRJEB18629	ERS1600726	ERX1943920	ERR1883419	Illumina HiSeq 2500	L5604	PAIRED	WGS	15258708	ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/009/ERR1883419/ERR1883419.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/009/ERR1883419/ERR1883419_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/009/ERR1883419/ERR1883419_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA846/ERA846168/bam/L5604.bam;ftp.sra.ebi.ac.uk/vol1/ERA846/ERA846168/bam/L5604.bam.bai	ftp.sra.ebi.ac.uk/vol1/err/ERR188/009/ERR1883419
PRJEB18629	ERS1600727	ERX1943921	ERR1883420	Illumina HiSeq 2500	L5605	PAIRED	WGS	17394550	ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/000/ERR1883420/ERR1883420.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/000/ERR1883420/ERR1883420_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/000/ERR1883420/ERR1883420_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA846/ERA846168/bam/L5605.bam;ftp.sra.ebi.ac.uk/vol1/ERA846/ERA846168/bam/L5605.bam.bai	ftp.sra.ebi.ac.uk/vol1/err/ERR188/000/ERR1883420
PRJEB18629	ERS1600728	ERX1943922	ERR1883421	Illumina HiSeq 2500	L5606	PAIRED	WGS	15870567	ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/001/ERR1883421/ERR1883421.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/001/ERR1883421/ERR1883421_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/001/ERR1883421/ERR1883421_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA846/ERA846168/bam/L5606.bam;ftp.sra.ebi.ac.uk/vol1/ERA846/ERA846168/bam/L5606.bam.bai	ftp.sra.ebi.ac.uk/vol1/err/ERR188/001/ERR1883421
PRJEB18629	ERS1600729	ERX1943923	ERR1883422	Illumina HiSeq 2500	L5607	PAIRED	WGS	19119923	ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/002/ERR1883422/ERR1883422.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/002/ERR1883422/ERR1883422_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/002/ERR1883422/ERR1883422_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA846/ERA846168/bam/L5607.bam;ftp.sra.ebi.ac.uk/vol1/ERA846/ERA846168/bam/L5607.bam.bai	ftp.sra.ebi.ac.uk/vol1/err/ERR188/002/ERR1883422
PRJEB18629	ERS1600730	ERX1943924	ERR1883423	Illumina HiSeq 2500	L5608	PAIRED	WGS	14891087	ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/003/ERR1883423/ERR1883423.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/003/ERR1883423/ERR1883423_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/003/ERR1883423/ERR1883423_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA846/ERA846168/bam/L5608.bam;ftp.sra.ebi.ac.uk/vol1/ERA846/ERA846168/bam/L5608.bam.bai	ftp.sra.ebi.ac.uk/vol1/err/ERR188/003/ERR1883423
PRJEB18629	ERS1600731	ERX1943925	ERR1883424	Illumina HiSeq 2500	L5609	PAIRED	WGS	17973712	ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/004/ERR1883424/ERR1883424.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/004/ERR1883424/ERR1883424_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/004/ERR1883424/ERR1883424_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA846/ERA846168/bam/L5609.bam;ftp.sra.ebi.ac.uk/vol1/ERA846/ERA846168/bam/L5609.bam.bai	ftp.sra.ebi.ac.uk/vol1/err/ERR188/004/ERR1883424
PRJEB18629	ERS1600732	ERX1943926	ERR1883425	Illumina MiSeq	R8556	PAIRED	WGS	1651507	ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/005/ERR1883425/ERR1883425.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/005/ERR1883425/ERR1883425_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/005/ERR1883425/ERR1883425_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA846/ERA846168/bam/R8556.bam;ftp.sra.ebi.ac.uk/vol1/ERA846/ERA846168/bam/R8556.bam.bai	ftp.sra.ebi.ac.uk/vol1/err/ERR188/005/ERR1883425
PRJEB18629	ERS1600733	ERX1943927	ERR1883426	Illumina MiSeq	R8550	PAIRED	WGS	1591140	ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/006/ERR1883426/ERR1883426.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/006/ERR1883426/ERR1883426_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/006/ERR1883426/ERR1883426_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA846/ERA846168/bam/R8550.bam;ftp.sra.ebi.ac.uk/vol1/ERA846/ERA846168/bam/R8550.bam.bai	ftp.sra.ebi.ac.uk/vol1/err/ERR188/006/ERR1883426
PRJEB18629	ERS1600734	ERX1943928	ERR1883427	Illumina MiSeq	R5598	PAIRED	WGS	1163262	ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/007/ERR1883427/ERR1883427.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/007/ERR1883427/ERR1883427_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/007/ERR1883427/ERR1883427_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA846/ERA846168/bam/R5598.bam;ftp.sra.ebi.ac.uk/vol1/ERA846/ERA846168/bam/R5598.bam.bai	ftp.sra.ebi.ac.uk/vol1/err/ERR188/007/ERR1883427
PRJEB18629	ERS1600735	ERX1943929	ERR1883428	Illumina MiSeq	R8549	PAIRED	WGS	1449186	ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/008/ERR1883428/ERR1883428.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/008/ERR1883428/ERR1883428_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/008/ERR1883428/ERR1883428_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA846/ERA846168/bam/R8549.bam;ftp.sra.ebi.ac.uk/vol1/ERA846/ERA846168/bam/R8549.bam.bai	ftp.sra.ebi.ac.uk/vol1/err/ERR188/008/ERR1883428
PRJEB18629	ERS1600736	ERX1943930	ERR1883429	Illumina MiSeq	R5599	PAIRED	WGS	1276039	ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/009/ERR1883429/ERR1883429.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/009/ERR1883429/ERR1883429_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/009/ERR1883429/ERR1883429_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA846/ERA846168/bam/R5599.bam;ftp.sra.ebi.ac.uk/vol1/ERA846/ERA846168/bam/R5599.bam.bai	ftp.sra.ebi.ac.uk/vol1/err/ERR188/009/ERR1883429
PRJEB18629	ERS1600737	ERX1943931	ERR1883430	Illumina HiSeq 2500	A2423	PAIRED	WGS	15228449	ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/000/ERR1883430/ERR1883430.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/000/ERR1883430/ERR1883430_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/000/ERR1883430/ERR1883430_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA846/ERA846168/bam/A2423.bam;ftp.sra.ebi.ac.uk/vol1/ERA846/ERA846168/bam/A2423.bam.bai	ftp.sra.ebi.ac.uk/vol1/err/ERR188/000/ERR1883430
PRJEB18629	ERS1600738	ERX1943932	ERR1883431	Illumina MiSeq	R8548	PAIRED	WGS	1561199	ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/001/ERR1883431/ERR1883431.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/001/ERR1883431/ERR1883431_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/001/ERR1883431/ERR1883431_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA846/ERA846168/bam/R8548.bam;ftp.sra.ebi.ac.uk/vol1/ERA846/ERA846168/bam/R8548.bam.bai	ftp.sra.ebi.ac.uk/vol1/err/ERR188/001/ERR1883431
PRJEB18629	ERS1600739	ERX1943933	ERR1883432	Illumina MiSeq	R5600	PAIRED	WGS	1242448	ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/002/ERR1883432/ERR1883432.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/002/ERR1883432/ERR1883432_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/002/ERR1883432/ERR1883432_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA846/ERA846168/bam/R5600.bam;ftp.sra.ebi.ac.uk/vol1/ERA846/ERA846168/bam/R5600.bam.bai	ftp.sra.ebi.ac.uk/vol1/err/ERR188/002/ERR1883432
PRJEB18629	ERS1600740	ERX1943934	ERR1883433	Illumina MiSeq	R8547	PAIRED	WGS	1762474	ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/003/ERR1883433/ERR1883433.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/003/ERR1883433/ERR1883433_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/003/ERR1883433/ERR1883433_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA846/ERA846168/bam/R8547.bam;ftp.sra.ebi.ac.uk/vol1/ERA846/ERA846168/bam/R8547.bam.bai	ftp.sra.ebi.ac.uk/vol1/err/ERR188/003/ERR1883433
PRJEB18629	ERS1600741	ERX1943935	ERR1883434	Illumina MiSeq	R5601	PAIRED	WGS	1318960	ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/004/ERR1883434/ERR1883434.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/004/ERR1883434/ERR1883434_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/004/ERR1883434/ERR1883434_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA846/ERA846168/bam/R5601.bam;ftp.sra.ebi.ac.uk/vol1/ERA846/ERA846168/bam/R5601.bam.bai	ftp.sra.ebi.ac.uk/vol1/err/ERR188/004/ERR1883434
PRJEB18629	ERS1600742	ERX1943936	ERR1883435	Illumina MiSeq	R5602	PAIRED	WGS	1335119	ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/005/ERR1883435/ERR1883435.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/005/ERR1883435/ERR1883435_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/005/ERR1883435/ERR1883435_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA846/ERA846168/bam/R5602.bam;ftp.sra.ebi.ac.uk/vol1/ERA846/ERA846168/bam/R5602.bam.bai	ftp.sra.ebi.ac.uk/vol1/err/ERR188/005/ERR1883435
PRJEB18629	ERS1600743	ERX1943937	ERR1883436	Illumina HiSeq 2500	A2424	PAIRED	WGS	20349721	ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/006/ERR1883436/ERR1883436.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/006/ERR1883436/ERR1883436_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/006/ERR1883436/ERR1883436_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA846/ERA846168/bam/A2424.bam;ftp.sra.ebi.ac.uk/vol1/ERA846/ERA846168/bam/A2424.bam.bai	ftp.sra.ebi.ac.uk/vol1/err/ERR188/006/ERR1883436
PRJEB18629	ERS1600744	ERX1943938	ERR1883437	Illumina MiSeq	R8546	PAIRED	WGS	1403677	ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/007/ERR1883437/ERR1883437.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/007/ERR1883437/ERR1883437_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/007/ERR1883437/ERR1883437_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA846/ERA846168/bam/R8546.bam;ftp.sra.ebi.ac.uk/vol1/ERA846/ERA846168/bam/R8546.bam.bai	ftp.sra.ebi.ac.uk/vol1/err/ERR188/007/ERR1883437
PRJEB18629	ERS1600745	ERX1943939	ERR1883438	Illumina HiSeq 2500	A2425	PAIRED	WGS	16330266	ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/008/ERR1883438/ERR1883438.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/008/ERR1883438/ERR1883438_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/008/ERR1883438/ERR1883438_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA846/ERA846168/bam/A2425.bam;ftp.sra.ebi.ac.uk/vol1/ERA846/ERA846168/bam/A2425.bam.bai	ftp.sra.ebi.ac.uk/vol1/err/ERR188/008/ERR1883438
PRJEB18629	ERS1600746	ERX1943940	ERR1883439	Illumina MiSeq	R8545	PAIRED	WGS	1630502	ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/009/ERR1883439/ERR1883439.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/009/ERR1883439/ERR1883439_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/009/ERR1883439/ERR1883439_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA846/ERA846168/bam/R8545.bam;ftp.sra.ebi.ac.uk/vol1/ERA846/ERA846168/bam/R8545.bam.bai	ftp.sra.ebi.ac.uk/vol1/err/ERR188/009/ERR1883439
PRJEB18629	ERS1600747	ERX1943941	ERR1883440	Illumina MiSeq	R8544	PAIRED	WGS	1464332	ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/000/ERR1883440/ERR1883440.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/000/ERR1883440/ERR1883440_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/000/ERR1883440/ERR1883440_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA846/ERA846168/bam/R8544.bam;ftp.sra.ebi.ac.uk/vol1/ERA846/ERA846168/bam/R8544.bam.bai	ftp.sra.ebi.ac.uk/vol1/err/ERR188/000/ERR1883440
PRJEB18629	ERS1600748	ERX1943942	ERR1883441	Illumina MiSeq	R5726	PAIRED	WGS	1307477	ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/001/ERR1883441/ERR1883441.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/001/ERR1883441/ERR1883441_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/001/ERR1883441/ERR1883441_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA846/ERA846168/bam/R5726.bam;ftp.sra.ebi.ac.uk/vol1/ERA846/ERA846168/bam/R5726.bam.bai	ftp.sra.ebi.ac.uk/vol1/err/ERR188/001/ERR1883441
PRJEB18629	ERS1600749	ERX1943943	ERR1883442	Illumina MiSeq	R8555	PAIRED	WGS	1605146	ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/002/ERR1883442/ERR1883442.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/002/ERR1883442/ERR1883442_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/002/ERR1883442/ERR1883442_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA846/ERA846168/bam/R8555.bam;ftp.sra.ebi.ac.uk/vol1/ERA846/ERA846168/bam/R8555.bam.bai	ftp.sra.ebi.ac.uk/vol1/err/ERR188/002/ERR1883442
