sample_number	sample_name	number_reads_after_clipmerge_prior_mapping	number_reads_mapped_prior_rmdup	number_reads_mapped_prior_rmdup_qf	number_duplicates_removed	number_reads_mapped_after_rmdup	percent_endogenous_dna	percent_endogenous_dna_qf	cluster_factor	mean_fold_coverage	std_dev_coverage	percent_coverage_morethan_1x	percent_coverage_morethan_2x	percent_coverage_morethan_3x	percent_coverage_morethan_4x	percent_coverage_morethan_5x	frequency_damage_1st_base_3prime	frequency_damage_2nd_base_3prime	frequency_damage_1st_base_5prime	frequency_damage_2nd_base_5prime	average_fragment_length	median_fragment_length	percent_gc_content	species	mapping_params
Sample 11/107	CDC009.A0101	14286106	877	5	0	5	0.006	0	1	1e-4	0.0107	0.01	0	0	0	0	0	0	0	0	35	33	53.14	Aggregatibacter_aphrophilus	strict
Sample 12/107	CDC010.A0101	15031925	1160	31	1	30	0.008	0	1.033	5e-4	0.0236	0.05	0	0	0	0	0.1429	0	0	0	39.33	35	44.49	Aggregatibacter_aphrophilus	strict
Sample 13/107	CDC011.A0101	9141614	571	5	0	5	0.006	0	1	1e-4	0.0114	0.01	0	0	0	0	0	0	0	0	49.6	46	51.61	Aggregatibacter_aphrophilus	strict
Sample 14/107	DJA002.A0101	11978137	1792	155	3	152	0.015	0.001	1.02	0.0024	0.0557	0.22	0.01	0.01	0	0	0.0556	0.0345	0.0938	0.037	37.93	35.5	46.63	Aggregatibacter_aphrophilus	strict
Sample 15/107	DJA006.A0101	13754707	1434	30	2	28	0.01	0	1.071	4e-4	0.0341	0.03	0.01	0	0	0	0	0	0	0	36.39	34	53.93	Aggregatibacter_aphrophilus	strict
Sample 16/107	DJA007.A0101	17395667	2044	47	2	45	0.012	0	1.044	7e-4	0.0512	0.04	0.01	0.01	0	0	0	0	0	0	35.8	34	54.62	Aggregatibacter_aphrophilus	strict
Sample 17/107	EBO001.A0101	15767290	59591	19016	1151	17865	0.378	0.121	1.064	0.285	1.3663	8.65	5.1	3.52	2.55	1.94	0.0379	0.0318	0.0322	0.032	38.52	35	43.7	Aggregatibacter_aphrophilus	strict
Sample 18/107	EBO003.A0101	20549945	2869	178	10	168	0.014	0.001	1.06	0.0033	0.0586	0.32	0.01	0	0	0	0.0789	0.0333	0.0882	0.0606	47.01	41.5	42.92	Aggregatibacter_aphrophilus	strict
Sample 19/107	EBO008.A0101	11592824	1065	13	0	13	0.009	0	1	2e-4	0.016	0.02	0	0	0	0	0	0	0.3333	0	40.08	38	52.99	Aggregatibacter_aphrophilus	strict
Sample 20/107	EBO009.A0101	3668406	420	13	1	12	0.011	0	1.083	2e-4	0.0171	0.02	0	0	0	0	0.3333	0	0	0	47.42	38.5	53.6	Aggregatibacter_aphrophilus	strict
Sample 21/107	ECO002.B0101	24662284	18543	9907	235	9672	0.075	0.04	1.024	0.1596	0.4381	13.52	2.06	0.31	0.05	0.01	0.3419	0.1425	0.3308	0.1532	39.83	37	40.9	Aggregatibacter_aphrophilus	strict
Sample 22/107	ECO004.B0101	20400171	5199	2046	110	1936	0.025	0.01	1.057	0.0309	0.1778	3.01	0.07	0.01	0	0	0.322	0.1628	0.3456	0.2064	38.52	36	39.24	Aggregatibacter_aphrophilus	strict
Sample 23/107	ECO006.B0101	10488914	376	14	1	13	0.004	0	1.077	2e-4	0.0173	0.01	0	0	0	0	0	0	0	0	32.62	32	51.89	Aggregatibacter_aphrophilus	strict
Sample 24/107	ECO010.B0101	12246134	1008	13	0	13	0.008	0	1	2e-4	0.0157	0.01	0	0	0	0	0	0	0	0	32.23	32	49.64	Aggregatibacter_aphrophilus	strict
Sample 25/107	EMN001.A0101	12579489	69938	46395	1364	45031	0.556	0.369	1.03	1.0005	1.296	51.96	26.74	12.45	5.36	2.15	0.2603	0.1101	0.2669	0.1255	53.64	47	42.65	Aggregatibacter_aphrophilus	strict
Sample 26/107	ESA003.A0101	10129501	18622	11970	283	11687	0.184	0.118	1.024	0.2829	0.5933	22.35	4.79	0.9	0.18	0.04	0.0535	0.0454	0.0458	0.0468	58.45	55	42.9	Aggregatibacter_aphrophilus	strict
Sample 27/107	ESA004.A0101	7824141	7847	4594	118	4476	0.1	0.059	1.026	0.1013	0.3541	9.17	0.72	0.1	0.04	0.03	0.0514	0.0447	0.0564	0.0439	54.61	49	42.71	Aggregatibacter_aphrophilus	strict
Sample 28/107	ESA006.A0101	11233426	6993	4381	100	4281	0.062	0.039	1.023	0.1068	0.3329	9.97	0.66	0.05	0	0	0.0862	0.0702	0.0929	0.0788	60.21	56	42.79	Aggregatibacter_aphrophilus	strict
Sample 29/107	ESA007.A0101	9903431	1107	158	4	154	0.011	0.002	1.026	0.0037	0.0608	0.37	0	0	0	0	0.027	0.0385	0.0938	0.0417	57.55	52	42.49	Aggregatibacter_aphrophilus	strict
Sample 30/107	ESA008.A0101	9119930	1913	638	16	622	0.021	0.007	1.026	0.0136	0.1183	1.33	0.03	0	0	0	0.0694	0.029	0.0929	0.0263	52.73	47	42.32	Aggregatibacter_aphrophilus	strict
Sample 31/107	FDM001.A0101	4889751	12323	3971	91	3880	0.252	0.081	1.023	0.0678	0.3786	4.42	1.39	0.56	0.24	0.1	0.0487	0.0273	0.0442	0.0243	42.19	38	42.48	Aggregatibacter_aphrophilus	strict
Sample 32/107	FUM001.A0101	10808498	1559	322	258	64	0.014	0.003	5.031	0.0012	0.0354	0.12	0	0	0	0	0.0769	0	0.3333	0.0909	44.86	37.5	44.48	Aggregatibacter_aphrophilus	strict
Sample 33/107	FUM002.A0101	17157534	5070	1871	113	1758	0.03	0.011	1.064	0.029	0.1767	2.78	0.1	0.02	0	0	0.3296	0.1719	0.3234	0.1084	39.84	37	41.24	Aggregatibacter_aphrophilus	strict
Sample 34/107	FUM003.A0101	15708618	23433	12309	2953	9356	0.149	0.078	1.316	0.161	0.4447	13.43	2.26	0.35	0.05	0.01	0.2784	0.1173	0.2779	0.1308	41.54	37	41.08	Aggregatibacter_aphrophilus	strict
Sample 35/107	GDC002.A0101	11300654	3224	49	2	47	0.029	0	1.043	7e-4	0.0374	0.05	0.01	0.01	0	0	0	0	0	0	37.3	35	53.71	Aggregatibacter_aphrophilus	strict
Sample 36/107	GDC004.A0101	12302652	8283	253	16	237	0.067	0.002	1.068	0.0037	0.1772	0.12	0.06	0.04	0.02	0.02	0.0156	0.04	0	0.0185	37.98	35	50.82	Aggregatibacter_aphrophilus	strict
Sample 37/107	GDC005.A0101	9931068	2619	32	2	30	0.026	0	1.067	4e-4	0.0294	0.03	0.01	0.01	0	0	0.1667	0	0	0	35.43	33.5	51.36	Aggregatibacter_aphrophilus	strict
Sample 38/107	GDN001.A0101	30835470	7878	3724	743	2981	0.026	0.012	1.249	0.0504	0.2333	4.74	0.28	0.02	0	0	0.3224	0.1441	0.3333	0.137	40.82	37	41.5	Aggregatibacter_aphrophilus	strict
Sample 39/107	GDN001.C0101	20505644	644	12	7	5	0.003	0	2.4	1e-4	0.009	0.01	0	0	0	0	1	0	0	0	32.8	34	50.61	Aggregatibacter_aphrophilus	strict
Sample 40/107	GOY005.A0101	9163118	116805	67085	1777	65308	1.275	0.732	1.027	1.1619	1.6169	50.13	29.95	17.16	9.26	4.84	0.1683	0.0946	0.1726	0.1081	42.95	39	42.51	Aggregatibacter_aphrophilus	strict
Sample 41/107	GOY006.A0101	3799236	4497	2176	32	2144	0.118	0.057	1.015	0.0386	0.2018	3.69	0.16	0.01	0	0	0.1566	0.105	0.1225	0.0833	43.46	40	42.4	Aggregatibacter_aphrophilus	strict
Sample 42/107	GUE001.A0101	11156331	155	2	1	1	0.001	0	2	0	0.0054	0	0	0	0	0	0	0	0	0	70	70	50	Aggregatibacter_aphrophilus	strict
Sample 43/107	IBA001.A0101	12987664	11924	2854	71	2783	0.092	0.022	1.026	0.0514	0.2888	4.02	0.74	0.24	0.08	0.03	0.0198	0.0208	0.0464	0.0378	44.58	38	45.58	Aggregatibacter_aphrophilus	strict
Sample 44/107	IBA002.A0101	19022015	19485	2002	55	1947	0.102	0.011	1.028	0.0353	0.2871	2.34	0.69	0.26	0.11	0.05	0.0187	0.0096	0.0267	0.0227	43.76	38	47.14	Aggregatibacter_aphrophilus	strict
Sample 45/107	JAE006.A0101	87883942	4711368	3673984	624386	3049598	5.361	4.18	1.205	103.0317	116.2213	77.95	69.48	65.15	62.87	61.51	0.0144	0.0145	0.0147	0.0148	81.57	76	43.83	Aggregatibacter_aphrophilus	strict
Sample 46/107	JAE007.A0101	66419551	5770074	4544423	793454	3750969	8.687	6.842	1.212	127.9306	137.1749	87.75	86.02	84.66	83.33	81.99	0.0129	0.0127	0.0129	0.0125	82.34	76	43.72	Aggregatibacter_aphrophilus	strict
Sample 47/107	JAE008.A0101	65296039	179231	129814	3409	126405	0.274	0.199	1.027	4.3047	5.3783	63.37	55.03	48.74	43.44	38.65	0.0217	0.0195	0.028	0.0221	82.22	76	43.65	Aggregatibacter_aphrophilus	strict
Sample 48/107	JAE009.A0101	66062410	92369	73830	1573	72257	0.14	0.112	1.022	2.4381	2.3938	80.03	60.93	41.25	25.09	14.34	0.0223	0.0178	0.0274	0.0234	81.46	76	43.88	Aggregatibacter_aphrophilus	strict
Sample 49/107	JAE010.A0101	60027336	59052	29261	730	28531	0.098	0.049	1.026	0.9284	3.1266	38.07	15.55	6.5	3.42	2.44	0.0281	0.0242	0.0337	0.028	78.56	76	43.5	Aggregatibacter_aphrophilus	strict
Sample 50/107	JAE012.A0101	62752277	20578	6795	231	6564	0.033	0.011	1.035	0.2121	1.5238	9.15	3.54	1.85	1.1	0.75	0.0207	0.0197	0.0197	0.0153	78.02	76	46.8	Aggregatibacter_aphrophilus	strict
Sample 51/107	JAE013.A0101	38954329	32034	12865	1136	11729	0.082	0.033	1.097	0.3775	5.3776	5.76	2.76	1.89	1.5	1.24	0.0177	0.0201	0.0238	0.0213	77.71	76	48.95	Aggregatibacter_aphrophilus	strict
Sample 52/107	JAE014.A0101	68620482	549443	412772	19296	393476	0.801	0.602	1.049	13.359	15.3935	65.79	60.45	56.95	54.32	52.22	0.0203	0.0193	0.025	0.0216	81.97	76	43.8	Aggregatibacter_aphrophilus	strict
Sample 53/107	JAE015.A0101	57512281	48527	30425	739	29686	0.084	0.053	1.025	0.9876	1.8325	39.5	23.11	13.08	7.64	4.77	0.0331	0.0281	0.0461	0.0302	80.32	76	44.43	Aggregatibacter_aphrophilus	strict
Sample 54/107	JAE016.A0101	94564553	9402	3909	90	3819	0.01	0.004	1.024	0.1263	0.5332	10.08	1.43	0.42	0.18	0.09	0.0199	0.0163	0.0313	0.0167	79.82	76	43.99	Aggregatibacter_aphrophilus	strict
Sample 55/107	KNP001.A0102	16260023	708	53	2	51	0.004	0	1.039	0.0011	0.0335	0.11	0	0	0	0	0.1176	0	0.0714	0	53.16	46	42.76	Aggregatibacter_aphrophilus	strict
Sample 56/107	KNP003.A0102	10394445	608	7	0	7	0.006	0	1	2e-4	0.0129	0.02	0	0	0	0	0	0	0	0	57.29	56	40.65	Aggregatibacter_aphrophilus	strict
Sample 57/107	KNP004.A0102	184494	5	0	0	0	0.003	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Aggregatibacter_aphrophilus	strict
Sample 58/107	KNP005.A0102	11095033	334	6	2	4	0.003	0	1.5	1e-4	0.0093	0.01	0	0	0	0	0	0	0	0	51.75	49.5	53.14	Aggregatibacter_aphrophilus	strict
Sample 59/107	KNP006.A0102	11159677	1059	338	2	336	0.009	0.003	1.006	0.0087	0.0938	0.86	0.01	0	0	0	0.0921	0	0.0769	0.0909	62.63	60	41.44	Aggregatibacter_aphrophilus	strict
Sample 60/107	KNP007.A0102	9160659	296	2	1	1	0.003	0	2	0	0.0046	0	0	0	0	0	0	0	0	0	51	51	50.98	Aggregatibacter_aphrophilus	strict
Sample 61/107	KNP009.A0102	11345038	424	19	0	19	0.004	0	1	4e-4	0.0209	0.04	0	0	0	0	0	0	0	0	55.16	51	46.7	Aggregatibacter_aphrophilus	strict
Sample 62/107	LIS001.A0101	10615930	2122	669	8	661	0.02	0.006	1.012	0.0173	0.1342	1.68	0.04	0.01	0	0	0.0566	0.0581	0.0959	0.0556	63.08	58	42.69	Aggregatibacter_aphrophilus	strict
Sample 63/107	LIS002.A0101	11561710	1237	30	0	30	0.011	0	1	5e-4	0.037	0.04	0	0	0	0	0	0	0	0.3333	40.5	36.5	52.06	Aggregatibacter_aphrophilus	strict
Sample 64/107	LIS003.A0101	10417160	10285	5344	94	5250	0.099	0.051	1.018	0.1154	0.3753	10.25	0.99	0.16	0.06	0.03	0.0798	0.0661	0.0872	0.066	53.07	48	42.8	Aggregatibacter_aphrophilus	strict
Sample 65/107	LOB001.A0101	8770905	8154	2323	122	2201	0.093	0.026	1.055	0.0396	0.2886	2.6	0.8	0.32	0.14	0.06	0.0125	0.0166	0.0122	0.0223	43.46	40	47.12	Aggregatibacter_aphrophilus	strict
Sample 66/107	MOA001.A0101	15176910	703	15	0	15	0.005	0	1	3e-4	0.0315	0.02	0	0	0	0	0	0	0	0	43.67	36	51.6	Aggregatibacter_aphrophilus	strict
Sample 67/107	MTK001.A0101	8268804	21314	6597	355	6242	0.258	0.08	1.057	0.1389	0.9578	4.61	2.39	1.61	1.17	0.88	0.0291	0.0253	0.0264	0.0226	53.74	51	44.83	Aggregatibacter_aphrophilus	strict
Sample 68/107	MTM001.A0101	3486856	15710	4691	358	4333	0.451	0.135	1.083	0.0872	0.5676	4.29	1.73	0.95	0.6	0.39	0.0216	0.0213	0.0191	0.0194	48.6	43	45.14	Aggregatibacter_aphrophilus	strict
Sample 69/107	MTM002.A0101	3065269	5548	1692	144	1548	0.181	0.055	1.093	0.029	0.2241	2.14	0.52	0.16	0.05	0.02	0.0142	0.0183	0.0227	0.017	45.18	39.5	46.24	Aggregatibacter_aphrophilus	strict
Sample 70/107	MTM003.A0101	34546048	73172	21340	1133	20207	0.212	0.062	1.056	0.4319	2.7167	8.37	4.84	3.52	2.8	2.33	0.0192	0.0202	0.0207	0.0232	51.6	47	46.08	Aggregatibacter_aphrophilus	strict
Sample 71/107	MTM004.A0101	4106490	10890	3616	340	3276	0.265	0.088	1.104	0.0636	0.4311	3.45	1.34	0.7	0.4	0.22	0.022	0.0139	0.0256	0.0199	46.9	41	45.55	Aggregatibacter_aphrophilus	strict
Sample 72/107	MTM005.A0101	3434086	8846	2127	202	1925	0.258	0.062	1.105	0.0423	0.3455	2.42	0.86	0.42	0.23	0.13	0.0132	0.0236	0.0174	0.0336	53.09	48	46.29	Aggregatibacter_aphrophilus	strict
Sample 73/107	MTM006.A0101	7069851	10681	2962	239	2723	0.151	0.042	1.088	0.053900000000000003	0.3808	3.19	1.09	0.5	0.26	0.15	0.0283	0.029	0.0321	0.0252	47.79	42	47.25	Aggregatibacter_aphrophilus	strict
Sample 74/107	MTM008.A0101	5164298	13068	3308	291	3017	0.253	0.064	1.096	0.0668	0.5062	3.18	1.32	0.78	0.48	0.31	0.0168	0.024	0.0258	0.0242	53.48	49	46.87	Aggregatibacter_aphrophilus	strict
Sample 75/107	MTM009.A0101	2385491	3550	972	64	908	0.149	0.041	1.07	0.0167	0.1611	1.32	0.26	0.06	0.02	0.01	0.0311	0.0159	0.0208	0.0141	44.4	39	47.69	Aggregatibacter_aphrophilus	strict
Sample 76/107	MTM010.A0101	9123626	3727	238	12	226	0.041	0.003	1.053	0.0042	0.0802	0.35	0.04	0.01	0.01	0	0	0.0435	0.0317	0	44.81	39	46.97	Aggregatibacter_aphrophilus	strict
Sample 77/107	MTM011.A0101	4775010	9858	2983	144	2839	0.206	0.062	1.051	0.0652	0.4872	3.21	1.29	0.72	0.45	0.3	0.0235	0.0103	0.0167	0.0147	55.44	53	46.03	Aggregatibacter_aphrophilus	strict
Sample 78/107	MTM012.A0101	10623025	18852	5627	239	5388	0.177	0.053	1.044	0.1129	0.7772	4.05	2.17	1.42	1	0.71	0.0159	0.0299	0.0172	0.017	50.58	46	45.97	Aggregatibacter_aphrophilus	strict
Sample 79/107	MTM013.A0101	7105486	9604	2030	105	1925	0.135	0.029	1.055	0.0404	0.3204	2.46	0.82	0.35	0.18	0.1	0.0168	0.0262	0.012	0.0251	50.67	45	46.15	Aggregatibacter_aphrophilus	strict
Sample 80/107	MTS001.A0101	6540914	36085	11444	609	10835	0.552	0.175	1.056	0.2126	1.3503	6.16	3.32	2.24	1.66	1.32	0.0244	0.0192	0.0189	0.016	47.36	42	46.51	Aggregatibacter_aphrophilus	strict
Sample 81/107	MTS002.A0101	6562562	18685	5497	330	5167	0.285	0.084	1.064	0.1244	0.9817	3.77	1.97	1.37	1.04	0.82	0.0224	0.0229	0.0148	0.0222	58.11	57	46.63	Aggregatibacter_aphrophilus	strict
Sample 82/107	MTS003.A0101	7532301	22132	6773	319	6454	0.294	0.09	1.049	0.1281	0.8333	4.71	2.37	1.55	1.09	0.79	0.0285	0.0213	0.017	0.0235	47.92	43	45.67	Aggregatibacter_aphrophilus	strict
Sample 83/107	OAK001.A0101	11211671	763	14	3	11	0.007	0	1.273	1e-4	0.0164	0.01	0	0	0	0	0.3333	0	0	0	32.73	33	51.67	Aggregatibacter_aphrophilus	strict
Sample 84/107	OAK002.A0101	14005970	113114	62275	2017	60258	0.808	0.445	1.033	1.0513	1.507	47.66	27.1	15.11	7.94	3.97	0.1938	0.122	0.1893	0.1299	42.12	38	41.85	Aggregatibacter_aphrophilus	strict
Sample 85/107	OAK003.A0101	17189509	3050	678	10	668	0.018	0.004	1.015	0.0111	0.109	1.08	0.03	0.01	0	0	0.197	0.1083	0.1894	0.0645	40.21	37	42.24	Aggregatibacter_aphrophilus	strict
Sample 86/107	OAK004.A0101	13488774	68029	40793	1854	38939	0.504	0.302	1.048	0.6974	0.9823	43.85	17.45	5.95	1.8	0.51	0.2073	0.1263	0.2067	0.134	43.24	39	41.15	Aggregatibacter_aphrophilus	strict
Sample 87/107	OAK005.A0101	16940328	7030	3349	69	3280	0.041	0.02	1.021	0.062	0.256	5.87	0.31	0.02	0	0	0.1956	0.1174	0.156	0.1322	45.63	41	41.93	Aggregatibacter_aphrophilus	strict
Sample 88/107	OME002.A0101	13994463	25479	12730	286	12444	0.182	0.091	1.023	0.3342	0.9205	22.23	5.68	1.81	0.94	0.67	0.0649	0.048	0.0667	0.0605	64.85	63	41.29	Aggregatibacter_aphrophilus	strict
Sample 89/107	OME003.A0101	13956736	14820	4202	90	4112	0.106	0.03	1.022	0.0928	0.6853	4.64	1.34	0.79	0.53	0.41	0.0409	0.0384	0.0562	0.037	54.5	48	41.42	Aggregatibacter_aphrophilus	strict
Sample 90/107	OME005.A0101	9470819	14460	4258	97	4161	0.153	0.045	1.023	0.108	0.8642	5.1	1.3	0.79	0.58	0.46	0.0323	0.0308	0.0492	0.0268	62.67	60	42.8	Aggregatibacter_aphrophilus	strict
Sample 91/107	OME007.A0101	11490181	26498	8807	243	8564	0.231	0.077	1.028	0.2066	1.5818	5.39	2.35	1.7	1.39	1.17	0.0256	0.0261	0.0291	0.0302	58.24	54	42.02	Aggregatibacter_aphrophilus	strict
Sample 92/107	OME009.A0101	7422246	8870	2707	69	2638	0.12	0.036	1.026	0.0689	0.5685	3.14	1.11	0.76	0.54	0.38	0.0288	0.0183	0.0365	0.0261	63.08	61	43.01	Aggregatibacter_aphrophilus	strict
Sample 93/107	PES001.B0101	11872279	4468	1842	193	1649	0.038	0.016	1.117	0.0323	0.1891	3.02	0.19	0.01	0	0	0.2568	0.1195	0.2251	0.1197	47.23	43	43.2	Aggregatibacter_aphrophilus	strict
Sample 94/107	PYK001.A0101	15248245	1314	132	4	128	0.009	0.001	1.031	0.0024	0.0498	0.23	0.01	0	0	0	0.037	0.0303	0.0278	0.0571	44.6	40	42.32	Aggregatibacter_aphrophilus	strict
Sample 95/107	PYK002.A0101	17218978	3635	1154	38	1116	0.021	0.007	1.034	0.0229	0.16	2.2	0.06	0.01	0	0	0.1278	0.066	0.0769	0.0856	49.51	45	42.73	Aggregatibacter_aphrophilus	strict
Sample 96/107	PYK003.A0101	14732223	1229	102	3	99	0.008	0.001	1.03	0.0022	0.0537	0.21	0.01	0	0	0	0.037	0.0417	0.2222	0.1053	54.57	49	43.19	Aggregatibacter_aphrophilus	strict
Sample 97/107	PYK004.A0101	16708305	13039	7651	147	7504	0.078	0.046	1.02	0.1675	0.4431	14.4	1.98	0.29	0.06	0.02	0.098	0.0703	0.0833	0.0815	53.9	49	44.15	Aggregatibacter_aphrophilus	strict
Sample 98/107	PYK005.A0101	21468513	1792	15	0	15	0.008	0	1	3e-4	0.0235	0.02	0	0	0	0	0	0	0	0	43.27	37	53.16	Aggregatibacter_aphrophilus	strict
Sample 99/107	SPM001.A0101	4576676	171	0	0	0	0.004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Aggregatibacter_aphrophilus	strict
Sample 100/107	SPM002.A0101	2095474	80	5	3	2	0.004	0	2.5	0	0.0052	0	0	0	0	0	0	0	0	0	32.5	32.5	55.38	Aggregatibacter_aphrophilus	strict
Sample 101/107	TAF008.B0101	11524885	1180	124	21	103	0.01	0.001	1.204	0.0017	0.0483	0.14	0.02	0.01	0	0	0.2692	0.2105	0.3125	0.2	39.11	36	45.34	Aggregatibacter_aphrophilus	strict
Sample 102/107	TAF016.B0101	4769590	35	0	0	0	0.001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Aggregatibacter_aphrophilus	strict
Sample 103/107	TAF017.A0101	19456044	16895	9979	198	9781	0.087	0.051	1.02	0.1559	0.5422	9.25	5.14	0.78	0.33	0.06	0.3584	0.1477	0.3279	0.1291	38.48	36	40.13	Aggregatibacter_aphrophilus	strict
Sample 104/107	TAF018.A0101	14681780	7617	3621	1001	2620	0.052	0.025	1.382	0.0534	0.2605	4.82	0.39	0.06	0.03	0.02	0.2508	0.138	0.2607	0.1103	49.23	44	43.58	Aggregatibacter_aphrophilus	strict
Sample 105/107	VLD001.A0101	9040714	1343	44	11	33	0.015	0	1.333	6e-4	0.0358	0.04	0.01	0	0	0	0	0	0	0	40.73	37	49.59	Aggregatibacter_aphrophilus	strict
Sample 106/107	WAL001.A0101	14881423	8048	3694	89	3605	0.054	0.025	1.025	0.0744	0.2863	6.92	0.45	0.04	0.01	0	0.0492	0.0433	0.0504	0.0568	49.8	44	43.13	Aggregatibacter_aphrophilus	strict
Sample 107/107	ZAF001.A0101	8749845	831	155	68	87	0.009	0.002	1.782	0.002	0.0462	0.2	0.01	0	0	0	0	0.0455	0.0455	0	56.09	51	44.57	Aggregatibacter_aphrophilus	strict
Sample 1/107	ABM006.A0101	8057367	11804	8260	253	8007	0.146	0.103	1.032	0.1978	0.8286	16.28	2.23	0.28	0.07	0.05	0.0578	0.0438	0.0623	0.0353	46.34	41	60.4	Desulfobulbus_sp_oral_taxon_041	strict
Sample 2/107	ABM007.A0101	12981357	65375	40880	1088	39792	0.504	0.315	1.027	0.9972	1.8405	48.08	26.05	12.41	5.36	2.26	0.0594	0.0445	0.0607	0.0476	47.02	42	60.79	Desulfobulbus_sp_oral_taxon_041	strict
Sample 3/107	ABM008.A0101	5032357	53015	32585	897	31688	1.053	0.648	1.028	0.7249	1.2779	40.09	18.75	7.62	2.78	1.01	0.0605	0.0469	0.0602	0.047	42.92	39	61	Desulfobulbus_sp_oral_taxon_041	strict
Sample 4/107	BAN001.A0101	10106625	73	35	6	29	0.001	0	1.207	7e-4	0.0442	0.03	0.02	0.01	0.01	0	0.2	0	0.1	0	44.72	39	55.29	Desulfobulbus_sp_oral_taxon_041	strict
Sample 5/107	BIT001.A0101	23239961	1985	1030	76	954	0.009	0.004	1.08	0.0243	1.1349	0.67	0.08	0.06	0.05	0.05	0.0317	0.0575	0.03	0.0157	47.69	43	56.79	Desulfobulbus_sp_oral_taxon_041	strict
Sample 6/107	BSQ001.A0101	10866912	22743	15791	375	15416	0.209	0.145	1.024	0.3573	0.7069	27.13	6.59	1.35	0.32	0.11	0.1989	0.0867	0.1937	0.0864	43.49	40	59.73	Desulfobulbus_sp_oral_taxon_041	strict
Sample 7/107	CDC005.A0101	4526782	22299	13489	713	12776	0.493	0.298	1.056	0.3403	0.9815	23.99	6.06	1.44	0.51	0.29	0.06	0.0426	0.0655	0.0495	49.96	46	59.75	Desulfobulbus_sp_oral_taxon_041	strict
Sample 8/107	CDC006.A0101	15120313	245454	159465	4041	155424	1.623	1.055	1.026	4.1271	6.3088	73.82	64.09	55.31	46.8	38.39	0.068	0.0506	0.0697	0.0513	49.82	45	59.43	Desulfobulbus_sp_oral_taxon_041	strict
Sample 9/107	CDC007.A0101	15878673	32837	17976	596	17380	0.207	0.113	1.034	0.3795	1.1538	26.31	7.04	1.75	0.57	0.31	0.0861	0.0605	0.085	0.0616	40.97	37	58.93	Desulfobulbus_sp_oral_taxon_041	strict
Sample 10/107	CDC008.A0101	15094966	108689	67871	2446	65425	0.72	0.45	1.037	1.5151	3.1598	55.83	37.57	22.73	12.47	6.34	0.0627	0.048	0.0624	0.0481	43.45	40	58.45	Desulfobulbus_sp_oral_taxon_041	strict
