767029#Pseudopropionibacterium propionicum F0230a#strain|host|old_name|isolation_source#F0230a|Homo sapiens|Propionibacterium propionicum F0230a|biological product [ENVO:02000043]
767029#Pseudopropionibacterium propionicum F0230a#strain|old_name#F0230a|Propionibacterium propionicum F0230a
119981#Propionibacterium australiense#isolate|note#Propionibacterium_australiense1|contig: opera_scaffold_34
119981#Propionibacterium australiense#isolate|note#Propionibacterium_australiense1|contig: opera_scaffold_33
119981#Propionibacterium australiense#isolate|note#Propionibacterium_australiense1|contig: opera_scaffold_32
119981#Propionibacterium australiense#isolate|note#Propionibacterium_australiense1|contig: opera_scaffold_31
119981#Propionibacterium australiense#isolate|note#Propionibacterium_australiense1|contig: opera_scaffold_30
119981#Propionibacterium australiense#isolate|note#Propionibacterium_australiense1|contig: opera_scaffold_29
119981#Propionibacterium australiense#isolate|note#Propionibacterium_australiense1|contig: opera_scaffold_28
119981#Propionibacterium australiense#isolate|note#Propionibacterium_australiense1|contig: opera_scaffold_27
119981#Propionibacterium australiense#isolate|note#Propionibacterium_australiense1|contig: opera_scaffold_26
119981#Propionibacterium australiense#isolate|note#Propionibacterium_australiense1|contig: opera_scaffold_25
119981#Propionibacterium australiense#isolate|note#Propionibacterium_australiense1|contig: opera_scaffold_24
119981#Propionibacterium australiense#isolate|note#Propionibacterium_australiense1|contig: opera_scaffold_23
119981#Propionibacterium australiense#isolate|note#Propionibacterium_australiense1|contig: opera_scaffold_22
119981#Propionibacterium australiense#isolate|note#Propionibacterium_australiense1|contig: opera_scaffold_21
119981#Propionibacterium australiense#isolate|note#Propionibacterium_australiense1|contig: opera_scaffold_20
119981#Propionibacterium australiense#isolate|note#Propionibacterium_australiense1|contig: opera_scaffold_19
119981#Propionibacterium australiense#isolate|note#Propionibacterium_australiense1|contig: opera_scaffold_18
119981#Propionibacterium australiense#isolate|note#Propionibacterium_australiense1|contig: opera_scaffold_17
119981#Propionibacterium australiense#isolate|note#Propionibacterium_australiense1|contig: opera_scaffold_16
119981#Propionibacterium australiense#isolate|note#Propionibacterium_australiense1|contig: opera_scaffold_15
119981#Propionibacterium australiense#isolate|note#Propionibacterium_australiense1|contig: opera_scaffold_13
119981#Propionibacterium australiense#isolate|note#Propionibacterium_australiense1|contig: opera_scaffold_10
119981#Propionibacterium australiense#isolate|note#Propionibacterium_australiense1|contig: opera_scaffold_12
119981#Propionibacterium australiense#isolate|note#Propionibacterium_australiense1|contig: opera_scaffold_11
119981#Propionibacterium australiense#isolate|note#Propionibacterium_australiense1|contig: opera_scaffold_9
119981#Propionibacterium australiense#isolate|note#Propionibacterium_australiense1|contig: opera_scaffold_8
119981#Propionibacterium australiense#isolate|note#Propionibacterium_australiense1|contig: opera_scaffold_7
119981#Propionibacterium australiense#isolate|note#Propionibacterium_australiense1|contig: opera_scaffold_6
119981#Propionibacterium australiense#isolate|note#Propionibacterium_australiense1|contig: opera_scaffold_5
119981#Propionibacterium australiense#isolate|note#Propionibacterium_australiense1|contig: opera_scaffold_4
119981#Propionibacterium australiense#isolate|note#Propionibacterium_australiense1|contig: opera_scaffold_3
119981#Propionibacterium australiense#isolate|note#Propionibacterium_australiense1|contig: opera_scaffold_2
119981#Propionibacterium australiense#isolate|note#Propionibacterium_australiense1|contig: opera_scaffold_1
119981#Propionibacterium australiense#isolate#Propionibacterium_australiense1
119981#Propionibacterium australiense#isolate|note#Propionibacterium_australiense1|contig: opera_scaffold_1
119981#Propionibacterium australiense#isolate|note#Propionibacterium_australiense1|contig: opera_scaffold_2
119981#Propionibacterium australiense#isolate|note#Propionibacterium_australiense1|contig: opera_scaffold_3
119981#Propionibacterium australiense#isolate|note#Propionibacterium_australiense1|contig: opera_scaffold_4
119981#Propionibacterium australiense#isolate|note#Propionibacterium_australiense1|contig: opera_scaffold_5
119981#Propionibacterium australiense#isolate|note#Propionibacterium_australiense1|contig: opera_scaffold_6
119981#Propionibacterium australiense#isolate|note#Propionibacterium_australiense1|contig: opera_scaffold_7
119981#Propionibacterium australiense#isolate|note#Propionibacterium_australiense1|contig: opera_scaffold_8
119981#Propionibacterium australiense#isolate|note#Propionibacterium_australiense1|contig: opera_scaffold_9
119981#Propionibacterium australiense#isolate|note#Propionibacterium_australiense1|contig: opera_scaffold_11
119981#Propionibacterium australiense#isolate|note#Propionibacterium_australiense1|contig: opera_scaffold_12
119981#Propionibacterium australiense#isolate|note#Propionibacterium_australiense1|contig: opera_scaffold_10
119981#Propionibacterium australiense#isolate|note#Propionibacterium_australiense1|contig: opera_scaffold_13
119981#Propionibacterium australiense#isolate|note#Propionibacterium_australiense1|contig: opera_scaffold_15
119981#Propionibacterium australiense#isolate|note#Propionibacterium_australiense1|contig: opera_scaffold_16
119981#Propionibacterium australiense#isolate|note#Propionibacterium_australiense1|contig: opera_scaffold_17
119981#Propionibacterium australiense#isolate|note#Propionibacterium_australiense1|contig: opera_scaffold_18
119981#Propionibacterium australiense#isolate|note#Propionibacterium_australiense1|contig: opera_scaffold_19
119981#Propionibacterium australiense#isolate|note#Propionibacterium_australiense1|contig: opera_scaffold_20
119981#Propionibacterium australiense#isolate|note#Propionibacterium_australiense1|contig: opera_scaffold_21
119981#Propionibacterium australiense#isolate|note#Propionibacterium_australiense1|contig: opera_scaffold_22
119981#Propionibacterium australiense#isolate|note#Propionibacterium_australiense1|contig: opera_scaffold_23
119981#Propionibacterium australiense#isolate|note#Propionibacterium_australiense1|contig: opera_scaffold_24
119981#Propionibacterium australiense#isolate|note#Propionibacterium_australiense1|contig: opera_scaffold_25
119981#Propionibacterium australiense#isolate|note#Propionibacterium_australiense1|contig: opera_scaffold_26
119981#Propionibacterium australiense#isolate|note#Propionibacterium_australiense1|contig: opera_scaffold_27
119981#Propionibacterium australiense#isolate|note#Propionibacterium_australiense1|contig: opera_scaffold_28
119981#Propionibacterium australiense#isolate|note#Propionibacterium_australiense1|contig: opera_scaffold_29
119981#Propionibacterium australiense#isolate|note#Propionibacterium_australiense1|contig: opera_scaffold_30
119981#Propionibacterium australiense#isolate|note#Propionibacterium_australiense1|contig: opera_scaffold_31
119981#Propionibacterium australiense#isolate|note#Propionibacterium_australiense1|contig: opera_scaffold_32
119981#Propionibacterium australiense#isolate|note#Propionibacterium_australiense1|contig: opera_scaffold_33
119981#Propionibacterium australiense#isolate|note#Propionibacterium_australiense1|contig: opera_scaffold_34
119981#Propionibacterium australiense#isolate|note#Propionibacterium_australiense1|contig: opera_scaffold_35
119981#Propionibacterium australiense#isolate|note#Propionibacterium_australiense1|contig: opera_scaffold_36
119981#Propionibacterium australiense#isolate|note#Propionibacterium_australiense1|contig: opera_scaffold_37
119981#Propionibacterium australiense#isolate|note#Propionibacterium_australiense1|contig: opera_scaffold_38
119981#Propionibacterium australiense#isolate|note#Propionibacterium_australiense1|contig: opera_scaffold_39
119981#Propionibacterium australiense#isolate|note#Propionibacterium_australiense1|contig: opera_scaffold_40
119981#Propionibacterium australiense#isolate|note#Propionibacterium_australiense1|contig: opera_scaffold_41
119981#Propionibacterium australiense#isolate|note#Propionibacterium_australiense1|contig: opera_scaffold_42
119981#Propionibacterium australiense#isolate|note#Propionibacterium_australiense1|contig: opera_scaffold_43
119981#Propionibacterium australiense#isolate|note#Propionibacterium_australiense1|contig: opera_scaffold_44
119981#Propionibacterium australiense#isolate|note#Propionibacterium_australiense1|contig: opera_scaffold_45
119981#Propionibacterium australiense#isolate|note#Propionibacterium_australiense1|contig: opera_scaffold_46
119981#Propionibacterium australiense#isolate|note#Propionibacterium_australiense1|contig: opera_scaffold_47
119981#Propionibacterium australiense#isolate|note#Propionibacterium_australiense1|contig: opera_scaffold_48
119981#Propionibacterium australiense#isolate|note#Propionibacterium_australiense1|contig: opera_scaffold_49
119981#Propionibacterium australiense#isolate|note#Propionibacterium_australiense1|contig: opera_scaffold_50
119981#Propionibacterium australiense#isolate|note#Propionibacterium_australiense1|contig: opera_scaffold_51
119981#Propionibacterium australiense#isolate|note#Propionibacterium_australiense1|contig: opera_scaffold_52
119981#Propionibacterium australiense#isolate|note#Propionibacterium_australiense1|contig: opera_scaffold_53
119981#Propionibacterium australiense#isolate|note#Propionibacterium_australiense1|contig: opera_scaffold_54
119981#Propionibacterium australiense#isolate|note#Propionibacterium_australiense1|contig: opera_scaffold_56
119981#Propionibacterium australiense#isolate|note#Propionibacterium_australiense1|contig: opera_scaffold_74
119981#Propionibacterium australiense#isolate|note#Propionibacterium_australiense1|contig: opera_scaffold_78
64702#Propionibacterium cyclohexanicum#strain|note#DSM 16859|contig: Ga0111593_158
64702#Propionibacterium cyclohexanicum#strain|note#DSM 16859|contig: Ga0111593_156
64702#Propionibacterium cyclohexanicum#strain|note#DSM 16859|contig: Ga0111593_155
64702#Propionibacterium cyclohexanicum#strain|note#DSM 16859|contig: Ga0111593_154
64702#Propionibacterium cyclohexanicum#strain|note#DSM 16859|contig: Ga0111593_153
64702#Propionibacterium cyclohexanicum#strain|note#DSM 16859|contig: Ga0111593_152
64702#Propionibacterium cyclohexanicum#strain|note#DSM 16859|contig: Ga0111593_151
64702#Propionibacterium cyclohexanicum#strain|note#DSM 16859|contig: Ga0111593_150
64702#Propionibacterium cyclohexanicum#strain|note#DSM 16859|contig: Ga0111593_149
64702#Propionibacterium cyclohexanicum#strain|note#DSM 16859|contig: Ga0111593_148
64702#Propionibacterium cyclohexanicum#strain|note#DSM 16859|contig: Ga0111593_147
64702#Propionibacterium cyclohexanicum#strain|note#DSM 16859|contig: Ga0111593_146
64702#Propionibacterium cyclohexanicum#strain|note#DSM 16859|contig: Ga0111593_145
64702#Propionibacterium cyclohexanicum#strain|note#DSM 16859|contig: Ga0111593_143
64702#Propionibacterium cyclohexanicum#strain|note#DSM 16859|contig: Ga0111593_142
64702#Propionibacterium cyclohexanicum#strain|note#DSM 16859|contig: Ga0111593_141
64702#Propionibacterium cyclohexanicum#strain|note#DSM 16859|contig: Ga0111593_140
64702#Propionibacterium cyclohexanicum#strain|note#DSM 16859|contig: Ga0111593_139
64702#Propionibacterium cyclohexanicum#strain|note#DSM 16859|contig: Ga0111593_138
64702#Propionibacterium cyclohexanicum#strain|note#DSM 16859|contig: Ga0111593_137
64702#Propionibacterium cyclohexanicum#strain|note#DSM 16859|contig: Ga0111593_136
64702#Propionibacterium cyclohexanicum#strain|note#DSM 16859|contig: Ga0111593_135
64702#Propionibacterium cyclohexanicum#strain|note#DSM 16859|contig: Ga0111593_134
64702#Propionibacterium cyclohexanicum#strain|note#DSM 16859|contig: Ga0111593_133
64702#Propionibacterium cyclohexanicum#strain|note#DSM 16859|contig: Ga0111593_132
64702#Propionibacterium cyclohexanicum#strain|note#DSM 16859|contig: Ga0111593_131
64702#Propionibacterium cyclohexanicum#strain|note#DSM 16859|contig: Ga0111593_130
64702#Propionibacterium cyclohexanicum#strain|note#DSM 16859|contig: Ga0111593_129
64702#Propionibacterium cyclohexanicum#strain|note#DSM 16859|contig: Ga0111593_128
64702#Propionibacterium cyclohexanicum#strain|note#DSM 16859|contig: Ga0111593_127
64702#Propionibacterium cyclohexanicum#strain|note#DSM 16859|contig: Ga0111593_126
64702#Propionibacterium cyclohexanicum#strain|note#DSM 16859|contig: Ga0111593_125
64702#Propionibacterium cyclohexanicum#strain|note#DSM 16859|contig: Ga0111593_124
64702#Propionibacterium cyclohexanicum#strain|note#DSM 16859|contig: Ga0111593_123
64702#Propionibacterium cyclohexanicum#strain|note#DSM 16859|contig: Ga0111593_122
64702#Propionibacterium cyclohexanicum#strain|note#DSM 16859|contig: Ga0111593_121
64702#Propionibacterium cyclohexanicum#strain|note#DSM 16859|contig: Ga0111593_120
64702#Propionibacterium cyclohexanicum#strain|note#DSM 16859|contig: Ga0111593_119
64702#Propionibacterium cyclohexanicum#strain|note#DSM 16859|contig: Ga0111593_118
64702#Propionibacterium cyclohexanicum#strain|note#DSM 16859|contig: Ga0111593_117
64702#Propionibacterium cyclohexanicum#strain|note#DSM 16859|contig: Ga0111593_116
64702#Propionibacterium cyclohexanicum#strain|note#DSM 16859|contig: Ga0111593_115
64702#Propionibacterium cyclohexanicum#strain|note#DSM 16859|contig: Ga0111593_114
64702#Propionibacterium cyclohexanicum#strain|note#DSM 16859|contig: Ga0111593_113
64702#Propionibacterium cyclohexanicum#strain|note#DSM 16859|contig: Ga0111593_112
64702#Propionibacterium cyclohexanicum#strain|note#DSM 16859|contig: Ga0111593_111
64702#Propionibacterium cyclohexanicum#strain|note#DSM 16859|contig: Ga0111593_110
64702#Propionibacterium cyclohexanicum#strain|note#DSM 16859|contig: Ga0111593_109
64702#Propionibacterium cyclohexanicum#strain|note#DSM 16859|contig: Ga0111593_108
64702#Propionibacterium cyclohexanicum#strain|note#DSM 16859|contig: Ga0111593_107
64702#Propionibacterium cyclohexanicum#strain|note#DSM 16859|contig: Ga0111593_106
64702#Propionibacterium cyclohexanicum#strain|note#DSM 16859|contig: Ga0111593_105
64702#Propionibacterium cyclohexanicum#strain|note#DSM 16859|contig: Ga0111593_104
64702#Propionibacterium cyclohexanicum#strain|note#DSM 16859|contig: Ga0111593_103
64702#Propionibacterium cyclohexanicum#strain|note#DSM 16859|contig: Ga0111593_102
64702#Propionibacterium cyclohexanicum#strain|note#DSM 16859|contig: Ga0111593_101
64702#Propionibacterium cyclohexanicum#strain|note#DSM 16859|contig: Ga0111593_157
64702#Propionibacterium cyclohexanicum#strain|note#DSM 16859|contig: Ga0111593_144
64702#Propionibacterium cyclohexanicum#strain#DSM 16859
64702#Propionibacterium cyclohexanicum#strain|note#DSM 16859|contig: Ga0111593_101
64702#Propionibacterium cyclohexanicum#strain|note#DSM 16859|contig: Ga0111593_102
64702#Propionibacterium cyclohexanicum#strain|note#DSM 16859|contig: Ga0111593_103
64702#Propionibacterium cyclohexanicum#strain|note#DSM 16859|contig: Ga0111593_104
64702#Propionibacterium cyclohexanicum#strain|note#DSM 16859|contig: Ga0111593_105
64702#Propionibacterium cyclohexanicum#strain|note#DSM 16859|contig: Ga0111593_106
64702#Propionibacterium cyclohexanicum#strain|note#DSM 16859|contig: Ga0111593_107
64702#Propionibacterium cyclohexanicum#strain|note#DSM 16859|contig: Ga0111593_108
64702#Propionibacterium cyclohexanicum#strain|note#DSM 16859|contig: Ga0111593_109
64702#Propionibacterium cyclohexanicum#strain|note#DSM 16859|contig: Ga0111593_110
64702#Propionibacterium cyclohexanicum#strain|note#DSM 16859|contig: Ga0111593_111
64702#Propionibacterium cyclohexanicum#strain|note#DSM 16859|contig: Ga0111593_112
64702#Propionibacterium cyclohexanicum#strain|note#DSM 16859|contig: Ga0111593_113
64702#Propionibacterium cyclohexanicum#strain|note#DSM 16859|contig: Ga0111593_114
64702#Propionibacterium cyclohexanicum#strain|note#DSM 16859|contig: Ga0111593_115
64702#Propionibacterium cyclohexanicum#strain|note#DSM 16859|contig: Ga0111593_116
64702#Propionibacterium cyclohexanicum#strain|note#DSM 16859|contig: Ga0111593_117
64702#Propionibacterium cyclohexanicum#strain|note#DSM 16859|contig: Ga0111593_118
64702#Propionibacterium cyclohexanicum#strain|note#DSM 16859|contig: Ga0111593_119
64702#Propionibacterium cyclohexanicum#strain|note#DSM 16859|contig: Ga0111593_120
64702#Propionibacterium cyclohexanicum#strain|note#DSM 16859|contig: Ga0111593_121
64702#Propionibacterium cyclohexanicum#strain|note#DSM 16859|contig: Ga0111593_122
64702#Propionibacterium cyclohexanicum#strain|note#DSM 16859|contig: Ga0111593_123
64702#Propionibacterium cyclohexanicum#strain|note#DSM 16859|contig: Ga0111593_124
64702#Propionibacterium cyclohexanicum#strain|note#DSM 16859|contig: Ga0111593_125
64702#Propionibacterium cyclohexanicum#strain|note#DSM 16859|contig: Ga0111593_126
64702#Propionibacterium cyclohexanicum#strain|note#DSM 16859|contig: Ga0111593_127
64702#Propionibacterium cyclohexanicum#strain|note#DSM 16859|contig: Ga0111593_128
64702#Propionibacterium cyclohexanicum#strain|note#DSM 16859|contig: Ga0111593_129
64702#Propionibacterium cyclohexanicum#strain|note#DSM 16859|contig: Ga0111593_130
64702#Propionibacterium cyclohexanicum#strain|note#DSM 16859|contig: Ga0111593_131
64702#Propionibacterium cyclohexanicum#strain|note#DSM 16859|contig: Ga0111593_132
64702#Propionibacterium cyclohexanicum#strain|note#DSM 16859|contig: Ga0111593_133
64702#Propionibacterium cyclohexanicum#strain|note#DSM 16859|contig: Ga0111593_134
64702#Propionibacterium cyclohexanicum#strain|note#DSM 16859|contig: Ga0111593_135
64702#Propionibacterium cyclohexanicum#strain|note#DSM 16859|contig: Ga0111593_136
64702#Propionibacterium cyclohexanicum#strain|note#DSM 16859|contig: Ga0111593_137
64702#Propionibacterium cyclohexanicum#strain|note#DSM 16859|contig: Ga0111593_138
64702#Propionibacterium cyclohexanicum#strain|note#DSM 16859|contig: Ga0111593_139
64702#Propionibacterium cyclohexanicum#strain|note#DSM 16859|contig: Ga0111593_140
64702#Propionibacterium cyclohexanicum#strain|note#DSM 16859|contig: Ga0111593_141
64702#Propionibacterium cyclohexanicum#strain|note#DSM 16859|contig: Ga0111593_142
64702#Propionibacterium cyclohexanicum#strain|note#DSM 16859|contig: Ga0111593_143
64702#Propionibacterium cyclohexanicum#strain|note#DSM 16859|contig: Ga0111593_144
64702#Propionibacterium cyclohexanicum#strain|note#DSM 16859|contig: Ga0111593_145
64702#Propionibacterium cyclohexanicum#strain|note#DSM 16859|contig: Ga0111593_146
64702#Propionibacterium cyclohexanicum#strain|note#DSM 16859|contig: Ga0111593_147
64702#Propionibacterium cyclohexanicum#strain|note#DSM 16859|contig: Ga0111593_148
64702#Propionibacterium cyclohexanicum#strain|note#DSM 16859|contig: Ga0111593_149
64702#Propionibacterium cyclohexanicum#strain|note#DSM 16859|contig: Ga0111593_150
64702#Propionibacterium cyclohexanicum#strain|note#DSM 16859|contig: Ga0111593_151
64702#Propionibacterium cyclohexanicum#strain|note#DSM 16859|contig: Ga0111593_152
64702#Propionibacterium cyclohexanicum#strain|note#DSM 16859|contig: Ga0111593_153
64702#Propionibacterium cyclohexanicum#strain|note#DSM 16859|contig: Ga0111593_154
64702#Propionibacterium cyclohexanicum#strain|note#DSM 16859|contig: Ga0111593_155
64702#Propionibacterium cyclohexanicum#strain|note#DSM 16859|contig: Ga0111593_156
64702#Propionibacterium cyclohexanicum#strain|note#DSM 16859|contig: Ga0111593_157
64702#Propionibacterium cyclohexanicum#strain|note#DSM 16859|contig: Ga0111593_158
66712#Propionibacterium freudenreichii subsp. freudenreichii#strain|sub_species|culture_collection|country|isolation_source|collection_date|identified_by#DSM 20271|freudenreichii|DSM:20271|Switzerland: Bern|Emmental cheese|1906|von Freudenreich/ Orla-Jensen
1977903#Propionibacterium sp.#isolate|host|metagenome_source|country|isolation_source|lat_lon#CIM:MAG 1675|Homo sapiens|human gut metagenome|USA:Minnesota, Rochester|feces|44.0234 N 92.46295 W
936047#Propionibacterium sp. 409-HC1#strain|host|old_lineage|isolation_source#409-HC1|Homo sapiens|Bacteria; Firmicutes; Negativicutes; Selenomonadales; Veillonellaceae; Megasphaera|biological product [ENVO:02000043]
936047#Propionibacterium sp. 409-HC1#strain|old_lineage#409-HC1|Bacteria; Firmicutes; Negativicutes; Selenomonadales; Veillonellaceae; Megasphaera
936048#Propionibacterium sp. 434-HC2#strain|host|old_lineage|isolation_source#434-HC2|Homo sapiens|Bacteria; Actinobacteria; Actinobacteridae; Actinomycetales; Propionibacterineae; Propionibacteriaceae; Propionibacterium|biological product [ENVO:02000043]
936048#Propionibacterium sp. 434-HC2#strain|old_lineage#434-HC2|Bacteria; Actinobacteria; Actinobacteridae; Actinomycetales; Propionibacterineae; Propionibacteriaceae; Propionibacterium
1971622#Propionibacterium sp. 4572_24#isolate|metagenome_source|country|isolation_source|lat_lon|collection_date#4572_24|marine sediment metagenome|USA: Guaymas Basin, Gulf of California|deep-sea hydrothermal vent sediments|27.0423 N 111.246 W|Dec-2009
450748#Propionibacterium sp. 5_U_42AFAA#strain|host|isolation_source#5_U_42AFAA|Homo sapiens|biological product [ENVO:02000043]
450748#Propionibacterium sp. 5_U_42AFAA#strain#5_U_42AFAA
1005703#Propionibacterium sp. CC003-HC2#strain|host|isolation_source#CC003-HC2|Homo sapiens|biological product [ENVO:02000043]
1005703#Propionibacterium sp. CC003-HC2#strain#CC003-HC2
1805326#Propionibacterium sp. CG1_02_60_36#isolate|metagenome_source|country|isolation_source|lat_lon|collection_date#CG1_02_60_36|groundwater metagenome|USA: Crystal Geyser near Green River, Utah|groundwater filtered through a a 3.0 um filter and then through a 0.2 um filter|38.56 N 110.8 W|08-Nov-2009
1403938#Propionibacterium sp. DORA_15#host|metagenome_source|country|isolation_source|lat_lon|collection_date|note#Homo sapiens|human gut metagenome|USA: Chicago, IL|premature infant gut|41.8819 N 87.6278 W|Feb-2012|DORA_PS_1
1403938#Propionibacterium sp. DORA_15#host|metagenome_source|country|isolation_source|lat_lon|collection_date|note#Homo sapiens|human gut metagenome|USA: Chicago, IL|premature infant gut|41.8819 N 87.6278 W|Feb-2012|DORA_PS_5
1403938#Propionibacterium sp. DORA_15#host|metagenome_source|country|isolation_source|lat_lon|collection_date|note#Homo sapiens|human gut metagenome|USA: Chicago, IL|premature infant gut|41.8819 N 87.6278 W|Feb-2012|DORA_PS_6
1403938#Propionibacterium sp. DORA_15#host|metagenome_source|country|isolation_source|lat_lon|collection_date|note#Homo sapiens|human gut metagenome|USA: Chicago, IL|premature infant gut|41.8819 N 87.6278 W|Feb-2012|DORA_PS_7
1403938#Propionibacterium sp. DORA_15#host|metagenome_source|country|isolation_source|lat_lon|collection_date|note#Homo sapiens|human gut metagenome|USA: Chicago, IL|premature infant gut|41.8819 N 87.6278 W|Feb-2012|DORA_PS_9
1403938#Propionibacterium sp. DORA_15#host|metagenome_source|country|isolation_source|lat_lon|collection_date|note#Homo sapiens|human gut metagenome|USA: Chicago, IL|premature infant gut|41.8819 N 87.6278 W|Feb-2012|DORA_PS_11
1403938#Propionibacterium sp. DORA_15#host|metagenome_source|country|isolation_source|lat_lon|collection_date|note#Homo sapiens|human gut metagenome|USA: Chicago, IL|premature infant gut|41.8819 N 87.6278 W|Feb-2012|DORA_PS_12
1403938#Propionibacterium sp. DORA_15#host|metagenome_source|country|isolation_source|lat_lon|collection_date|note#Homo sapiens|human gut metagenome|USA: Chicago, IL|premature infant gut|41.8819 N 87.6278 W|Feb-2012|DORA_PS_13
1403938#Propionibacterium sp. DORA_15#host|metagenome_source|country|isolation_source|lat_lon|collection_date|note#Homo sapiens|human gut metagenome|USA: Chicago, IL|premature infant gut|41.8819 N 87.6278 W|Feb-2012|DORA_PS_15
1403938#Propionibacterium sp. DORA_15#host|metagenome_source|country|isolation_source|lat_lon|collection_date|note#Homo sapiens|human gut metagenome|USA: Chicago, IL|premature infant gut|41.8819 N 87.6278 W|Feb-2012|DORA_PS_19
1403938#Propionibacterium sp. DORA_15#host|metagenome_source|country|isolation_source|lat_lon|collection_date|note#Homo sapiens|human gut metagenome|USA: Chicago, IL|premature infant gut|41.8819 N 87.6278 W|Feb-2012|DORA_PS_23
