Group	Taxon	Stat	P-value	Significance	Core_or_Shared	Genus
B-Gorilla	Macrococcus_caseolyticus	0.635	0.001	***	core	Macrococcus
B-Gorilla	Streptococcus_pyogenes	0.628	0.003	**	core	Streptococcus
B-Gorilla	Staphylococcus_xylosus	0.618	0.008	**	core	Staphylococcus
B-Gorilla	Pseudomonas_fragi	0.607	0.007	**	core	Pseudomonas
B-Gorilla	Morganella_morganii	0.602	0.002	**	core	Morganella
B-Gorilla	Acinetobacter_guillouiae	0.563	0.009	**	core	Acinetobacter
B-Gorilla	Citrobacter_freundii	0.557	0.007	**	core	Citrobacter
B-Gorilla	Stenotrophomonas_unclassified	0.555	0.009	**	core	Stenotrophomonas
B-Gorilla	Janthinobacterium_unclassified	0.53	0.008	**	core	Janthinobacterium
B-Gorilla	Wohlfahrtiimonas_chitiniclastica	0.525	0.007	**	core	Wohlfahrtiimonas
B-Gorilla	Enterococcus_faecalis	0.513	0.009	**	core	Enterococcus
B-Gorilla	Staphylococcus_equorum	0.503	0.015	*	core	Staphylococcus
B-Gorilla	Kurthia_unclassified	0.491	0.009	**	core	Kurthia
B-Gorilla	Shuttleworthia_satelles	0.491	0.019	*	core	Shuttleworthia
B-Gorilla	Citrobacter_unclassified	0.478	0.017	*	core	Citrobacter
B-Gorilla	Acinetobacter_pittii_calcoaceticus_nosocomialis	0.468	0.019	*	core	Acinetobacter
B-Gorilla	Acinetobacter_baumannii	0.455	0.015	*	core	Acinetobacter
B-Gorilla	Arcanobacterium_haemolyticum	0.455	0.009	**	core	Arcanobacterium
B-Gorilla	Arthrobacter_arilaitensis	0.455	0.006	**	core	Arthrobacter
B-Gorilla	Corynebacterium_glutamicum	0.455	0.006	**	core	Corynebacterium
B-Gorilla	Clostridium_bifermentans	0.451	0.009	**	core	Clostridium
B-Gorilla	Escherichia_coli	0.442	0.02	*	core	Escherichia
B-Gorilla	Delftia_unclassified	0.419	0.027	*	core	Delftia
B-Gorilla	Achromobacter_piechaudii	0.415	0.035	*	core	Achromobacter
B-Gorilla	Acinetobacter_rudis	0.415	0.025	*	core	Acinetobacter
B-Gorilla	Aeromonas_hydrophila	0.415	0.047	*	core	Aeromonas
B-Gorilla	Alcaligenes_unclassified	0.415	0.036	*	core	Alcaligenes
B-Gorilla	Chryseobacterium_unclassified	0.415	0.025	*	core	Chryseobacterium
B-Gorilla	Delftia_acidovorans	0.415	0.034	*	core	Delftia
B-Gorilla	Janthinobacterium_lividum	0.415	0.044	*	core	Janthinobacterium
B-Gorilla	Proteus_mirabilis	0.415	0.011	*	core	Proteus
B-Gorilla	Proteus_unclassified	0.415	0.019	*	core	Proteus
B-Gorilla	Providencia_alcalifaciens	0.415	0.038	*	core	Providencia
B-Gorilla	Rhodococcus_erythropolis	0.415	0.019	*	core	Rhodococcus
B-Gorilla	Klebsiella_pneumoniae	0.414	0.032	*	core	Klebsiella
B-Gorilla	Lactobacillus_fermentum	0.371	0.04	*	core	Lactobacillus
B-Gorilla	Providencia_rettgeri	0.371	0.036	*	core	Providencia
B-Gorilla	Providencia_unclassified	0.371	0.04	*	core	Providencia
C-Chimp	Pyramidobacter_piscolens	0.949	0.001	***	core	Pyramidobacter
C-Chimp	Dialister_invisus	0.883	0.001	***	core	Dialister
C-Chimp	Pseudoramibacter_alactolyticus	0.831	0.001	***	core	Pseudoramibacter
C-Chimp	Atopobium_rimae	0.793	0.001	***	core	Atopobium
C-Chimp	Gemella_bergeri	0.79	0.001	***	core	Gemella
C-Chimp	Collinsella_unclassified	0.718	0.001	***	core	Collinsella
C-Chimp	Oribacterium_sp_oral_taxon_078	0.713	0.002	**	core	Oribacterium
C-Chimp	Alloprevotella_unclassified	0.652	0.003	**	core	Alloprevotella
C-Chimp	Subdoligranulum_unclassified	0.63	0.005	**	core	Subdoligranulum
C-Chimp	Saccharomonospora_unclassified	0.526	0.01	**	core	Saccharomonospora
C-Chimp	Streptomyces_sulphureus	0.443	0.014	*	core	Streptomyces
C-Chimp	Paracoccus_denitrificans	0.379	0.047	*	core	Paracoccus
D-Neanderthal	Propionibacterium_acnes	0.818	0.001	***	core	Propionibacterium
D-Neanderthal	Propionibacterium_granulosum	0.745	0.001	***	core	Propionibacterium
D-Neanderthal	Limnohabitans_unclassified	0.589	0.01	**	core	Limnohabitans
D-Neanderthal	Granulicatella_unclassified	0.57	0.003	**	core	Granulicatella
D-Neanderthal	Malassezia_globosa	0.527	0.008	**	core	Malassezia
D-Neanderthal	Staphylococcus_epidermidis	0.525	0.008	**	core	Staphylococcus
D-Neanderthal	Corynebacterium_tuberculostearicum	0.471	0.007	**	core	Corynebacterium
D-Neanderthal	Cellulophaga_unclassified	0.408	0.032	*	core	Cellulophaga
D-Neanderthal	Corynebacterium_pseudogenitalium	0.408	0.034	*	core	Corynebacterium
D-Neanderthal	Corynebacterium_accolens	0.396	0.015	*	core	Corynebacterium
D-Neanderthal	Rahnella_aquatilis	0.333	0.045	*	core	Rahnella
E-Human	Campylobacter_rectus	0.852	0.001	***	core	Campylobacter
E-Human	Leptotrichia_unclassified	0.841	0.001	***	core	Leptotrichia
E-Human	Treponema_medium	0.829	0.001	***	core	Treponema
E-Human	Prevotella_saccharolytica	0.827	0.001	***	core	Prevotella
E-Human	candidate_division_TM7_single_cell_isolate_TM7b	0.818	0.001	***	core	candidate_division_TM7
E-Human	Capnocytophaga_granulosa	0.812	0.001	***	core	Capnocytophaga
E-Human	Neisseria_sicca	0.777	0.001	***	core	Neisseria
E-Human	Selenomonas_sputigena	0.775	0.001	***	core	Selenomonas
E-Human	Streptococcus_anginosus	0.772	0.001	***	core	Streptococcus
E-Human	Selenomonas_infelix	0.77	0.001	***	core	Selenomonas
E-Human	Haemophilus_parainfluenzae	0.765	0.001	***	core	Haemophilus
E-Human	Leptotrichia_buccalis	0.746	0.001	***	core	Leptotrichia
E-Human	Porphyromonas_catoniae	0.743	0.002	**	core	Porphyromonas
E-Human	Neisseria_macacae	0.738	0.001	***	core	Neisseria
E-Human	Streptococcus_tigurinus	0.712	0.001	***	core	Streptococcus
E-Human	Actinomyces_odontolyticus	0.701	0.002	**	core	Actinomyces
E-Human	Prevotella_micans	0.697	0.001	***	core	Prevotella
E-Human	Treponema_vincentii	0.695	0.001	***	core	Treponema
E-Human	Leptotrichia_hofstadii	0.652	0.002	**	core	Leptotrichia
E-Human	Kingella_denitrificans	0.649	0.001	***	core	Kingella
E-Human	Mogibacterium_sp_CM50	0.649	0.001	***	core	Mogibacterium
E-Human	Eubacteriaceae_bacterium_OBRC8	0.648	0.004	**	core	Eubacteriaceae
E-Human	Capnocytophaga_sp_oral_taxon_329	0.619	0.002	**	core	Capnocytophaga
E-Human	Streptococcus_infantis	0.583	0.009	**	core	Streptococcus
E-Human	Leptotrichia_wadei	0.58	0.005	**	core	Leptotrichia
E-Human	Actinomyces_timonensis	0.564	0.014	*	core	Actinomyces
E-Human	Neisseria_flavescens	0.526	0.01	**	core	Neisseria
E-Human	Alloprevotella_tannerae	0.506	0.028	*	core	Alloprevotella
E-Human	Lachnoanaerobaculum_saburreum	0.505	0.011	*	core	Lachnoanaerobaculum
E-Human	Neisseria_subflava	0.505	0.019	*	core	Neisseria
E-Human	Gemella_haemolysans	0.484	0.014	*	core	Gemella
E-Human	Prevotella_oris	0.484	0.014	*	core	Prevotella
E-Human	Leptotrichia_shahii	0.461	0.018	*	core	Leptotrichia
E-Human	Selenomonas_flueggei	0.461	0.015	*	core	Selenomonas
E-Human	Eubacteriaceae_bacterium_ACC19a	0.449	0.025	*	core	Eubacteriaceae
E-Human	Capnocytophaga_sp_oral_taxon_332	0.438	0.024	*	core	Capnocytophaga
E-Human	Campylobacter_concisus	0.413	0.03	*	core	Campylobacter
E-Human	Porphyromonas_sp_oral_taxon_279	0.413	0.023	*	core	Porphyromonas
A-Howler_Monkey+B-Gorilla	Rothia_unclassified	0.915	0.001	***	shared	Rothia
A-Howler_Monkey+B-Gorilla	Kingella_unclassified	0.72	0.001	***	shared	Kingella
A-Howler_Monkey+B-Gorilla	Stenotrophomonas_maltophilia	0.648	0.001	***	shared	Stenotrophomonas
A-Howler_Monkey+B-Gorilla	Leucobacter_unclassified	0.628	0.005	**	shared	Leucobacter
A-Howler_Monkey+B-Gorilla	Aeromonas_unclassified	0.618	0.003	**	shared	Aeromonas
A-Howler_Monkey+B-Gorilla	Bordetella_unclassified	0.481	0.037	*	shared	Bordetella
A-Howler_Monkey+B-Gorilla	Brevundimonas_unclassified	0.463	0.014	*	shared	Brevundimonas
A-Howler_Monkey+B-Gorilla	Corynebacterium_variabile	0.454	0.004	**	shared	Corynebacterium
A-Howler_Monkey+B-Gorilla	Shewanella_unclassified	0.452	0.021	*	shared	Shewanella
A-Howler_Monkey+B-Gorilla	Pseudoxanthomonas_unclassified	0.444	0.026	*	shared	Pseudoxanthomonas
A-Howler_Monkey+B-Gorilla	Streptococcus_gallolyticus	0.419	0.019	*	shared	Streptococcus
A-Howler_Monkey+B-Gorilla	Achromobacter_unclassified	0.415	0.019	*	shared	Achromobacter
A-Howler_Monkey+C-Chimp	Megasphaera_unclassified	0.767	0.001	***	shared	Megasphaera
A-Howler_Monkey+C-Chimp	Saccharopolyspora_unclassified	0.613	0.003	**	shared	Saccharopolyspora
A-Howler_Monkey+E-Human	Catonella_morbi	0.851	0.001	***	shared	Catonella
A-Howler_Monkey+E-Human	Capnocytophaga_gingivalis	0.841	0.001	***	shared	Capnocytophaga
A-Howler_Monkey+E-Human	Granulicatella_adiacens	0.799	0.001	***	shared	Granulicatella
A-Howler_Monkey+E-Human	Neisseria_elongata	0.78	0.002	**	shared	Neisseria
A-Howler_Monkey+E-Human	Prevotella_maculosa	0.707	0.001	***	shared	Prevotella
A-Howler_Monkey+E-Human	Centipeda_periodontii	0.663	0.003	**	shared	Centipeda
A-Howler_Monkey+E-Human	Selenomonas_artemidis	0.635	0.002	**	shared	Selenomonas
A-Howler_Monkey+E-Human	Solobacterium_moorei	0.602	0.007	**	shared	Solobacterium
A-Howler_Monkey+E-Human	Prevotella_oralis	0.549	0.013	*	shared	Prevotella
A-Howler_Monkey+E-Human	Neisseria_sp_oral_taxon_014	0.431	0.028	*	shared	Neisseria
B-Gorilla+C-Chimp	Anaeroglobus_geminatus	0.885	0.001	***	shared	Anaeroglobus
B-Gorilla+C-Chimp	Cryptobacterium_curtum	0.7	0.002	**	shared	Cryptobacterium
B-Gorilla+C-Chimp	Enterobacter_cloacae	0.557	0.016	*	shared	Enterobacter
B-Gorilla+C-Chimp	Eggerthia_catenaformis	0.521	0.02	*	shared	Eggerthia
B-Gorilla+C-Chimp	Bacillus_cereus_thuringiensis	0.474	0.012	*	shared	Bacillus
B-Gorilla+C-Chimp	Oxalobacter_formigenes	0.474	0.02	*	shared	Oxalobacter
B-Gorilla+C-Chimp	Pseudonocardia_unclassified	0.468	0.037	*	shared	Pseudonocardia
B-Gorilla+C-Chimp	Lysinibacillus_sphaericus	0.452	0.019	*	shared	Lysinibacillus
B-Gorilla+C-Chimp	Sphingobium_unclassified	0.427	0.041	*	shared	Sphingobium
B-Gorilla+C-Chimp	Staphylococcus_aureus	0.378	0.032	*	shared	Staphylococcus
B-Gorilla+D-Neanderthal	Acinetobacter_johnsonii	0.634	0.008	**	shared	Acinetobacter
B-Gorilla+D-Neanderthal	Micrococcus_luteus	0.461	0.016	*	shared	Micrococcus
B-Gorilla+D-Neanderthal	Enhydrobacter_aerosaccus	0.438	0.017	*	shared	Enhydrobacter
B-Gorilla+D-Neanderthal	Aerococcus_viridans	0.413	0.047	*	shared	Aerococcus
B-Gorilla+E-Human	Selenomonas_noxia	0.801	0.001	***	shared	Selenomonas
B-Gorilla+E-Human	Rothia_dentocariosa	0.752	0.001	***	shared	Rothia
B-Gorilla+E-Human	Rothia_aeria	0.709	0.002	**	shared	Rothia
B-Gorilla+E-Human	Capnocytophaga_ochracea	0.708	0.008	**	shared	Capnocytophaga
B-Gorilla+E-Human	Prevotella_buccae	0.538	0.007	**	shared	Prevotella
B-Gorilla+E-Human	Prevotella_baroniae	0.488	0.018	*	shared	Prevotella
B-Gorilla+X-ExtractionBlank	Brevundimonas_diminuta	0.382	0.05	*	shared	Brevundimonas
B-Gorilla+Y-LibraryBlank	Escherichia_unclassified	0.657	0.013	*	shared	Escherichia
C-Chimp+E-Human	Treponema_maltophilum	0.944	0.001	***	shared	Treponema
C-Chimp+E-Human	Fretibacterium_fastidiosum	0.938	0.001	***	shared	Fretibacterium
C-Chimp+E-Human	Bacteroidetes_bacterium_oral_taxon_272	0.861	0.001	***	shared	Bacteroidetes
C-Chimp+E-Human	Treponema_denticola	0.856	0.001	***	shared	Treponema
C-Chimp+E-Human	Filifactor_alocis	0.823	0.001	***	shared	Filifactor
C-Chimp+E-Human	Eubacterium_saphenum	0.8	0.001	***	shared	Eubacterium
C-Chimp+E-Human	Streptococcus_constellatus	0.732	0.002	**	shared	Streptococcus
C-Chimp+E-Human	Treponema_lecithinolyticum	0.714	0.002	**	shared	Treponema
C-Chimp+E-Human	Candidatus_Prevotella_conceptionensis	0.623	0.004	**	shared	Candidatus_Prevotella
C-Chimp+E-Human	Prevotella_dentalis	0.474	0.037	*	shared	Prevotella
C-Chimp+E-Human	Prevotella_marshii	0.386	0.047	*	shared	Prevotella
D-Neanderthal+E-Human	Actinomyces_oris	0.904	0.001	***	shared	Actinomyces
D-Neanderthal+E-Human	Streptococcus_sanguinis	0.899	0.001	***	shared	Streptococcus
D-Neanderthal+E-Human	Campylobacter_showae	0.862	0.001	***	shared	Campylobacter
D-Neanderthal+E-Human	Actinomyces_cardiffensis	0.857	0.002	**	shared	Actinomyces
D-Neanderthal+E-Human	Abiotrophia_defectiva	0.855	0.001	***	shared	Abiotrophia
D-Neanderthal+E-Human	Eubacterium_yurii	0.85	0.001	***	shared	Eubacterium
D-Neanderthal+E-Human	Streptococcus_cristatus	0.832	0.001	***	shared	Streptococcus
D-Neanderthal+E-Human	Capnocytophaga_unclassified	0.829	0.001	***	shared	Capnocytophaga
D-Neanderthal+E-Human	Gemella_morbillorum	0.823	0.001	***	shared	Gemella
D-Neanderthal+E-Human	Streptococcus_oligofermentans	0.813	0.002	**	shared	Streptococcus
D-Neanderthal+E-Human	Peptostreptococcus_stomatis	0.777	0.001	***	shared	Peptostreptococcus
D-Neanderthal+E-Human	Prevotella_loescheii	0.754	0.001	***	shared	Prevotella
D-Neanderthal+E-Human	Streptococcus_gordonii	0.718	0.001	***	shared	Streptococcus
D-Neanderthal+E-Human	Veillonella_parvula	0.659	0.002	**	shared	Veillonella
D-Neanderthal+E-Human	Lachnospiraceae_oral_taxon_107	0.656	0.002	**	shared	Lachnospiraceae
D-Neanderthal+E-Human	Rothia_mucilaginosa	0.632	0.008	**	shared	Rothia
D-Neanderthal+E-Human	Streptococcus_mitis_oralis_pneumoniae	0.608	0.02	*	shared	Streptococcus
D-Neanderthal+E-Human	Fusobacterium_periodonticum	0.568	0.012	*	shared	Fusobacterium
D-Neanderthal+E-Human	Methanobrevibacter_smithii	0.564	0.014	*	shared	Methanobrevibacter
D-Neanderthal+E-Human	Propionibacterium_sp_oral_taxon_192	0.55	0.01	**	shared	Propionibacterium
D-Neanderthal+E-Human	Neisseria_gonorrhoeae	0.45	0.046	*	shared	Neisseria
D-Neanderthal+X-ExtractionBlank	Ralstonia_unclassified	0.515	0.029	*	shared	Ralstonia
E-Human+X-ExtractionBlank	Corynebacterium_matruchotii	0.769	0.001	***	shared	Corynebacterium
A-Howler_Monkey+B-Gorilla+D-Neanderthal	Myroides_unclassified	0.416	0.028	*	shared	Myroides
A-Howler_Monkey+B-Gorilla+E-Human	Prevotella_intermedia	0.541	0.022	*	shared	Prevotella
A-Howler_Monkey+B-Gorilla+Y-LibraryBlank	Peptostreptococcaceae_noname_unclassified	0.522	0.025	*	shared	Peptostreptococcaceae
A-Howler_Monkey+C-Chimp+E-Human	Treponema_socranskii	0.907	0.001	***	shared	Treponema
A-Howler_Monkey+C-Chimp+E-Human	Eubacterium_brachy	0.876	0.004	**	shared	Eubacterium
A-Howler_Monkey+C-Chimp+E-Human	Parvimonas_micra	0.819	0.002	**	shared	Parvimonas
A-Howler_Monkey+D-Neanderthal+E-Human	Eikenella_corrodens	0.819	0.001	***	shared	Eikenella
A-Howler_Monkey+D-Neanderthal+E-Human	Polaromonas_unclassified	0.663	0.005	**	shared	Polaromonas
B-Gorilla+C-Chimp+D-Neanderthal	Brachybacterium_unclassified	0.619	0.012	*	shared	Brachybacterium
B-Gorilla+C-Chimp+D-Neanderthal	Acinetobacter_lwoffii	0.56	0.004	**	shared	Acinetobacter
B-Gorilla+C-Chimp+E-Human	Olsenella_uli	0.887	0.001	***	shared	Olsenella
B-Gorilla+C-Chimp+E-Human	Tannerella_forsythia	0.859	0.001	***	shared	Tannerella
B-Gorilla+C-Chimp+E-Human	Slackia_exigua	0.843	0.001	***	shared	Slackia
B-Gorilla+C-Chimp+E-Human	Eubacterium_infirmum	0.745	0.001	***	shared	Eubacterium
B-Gorilla+C-Chimp+E-Human	Olsenella_profusa	0.645	0.012	*	shared	Olsenella
B-Gorilla+C-Chimp+E-Human	Porphyromonas_endodontalis	0.595	0.013	*	shared	Porphyromonas
B-Gorilla+C-Chimp+E-Human	Prevotella_pleuritidis	0.568	0.016	*	shared	Prevotella
B-Gorilla+C-Chimp+E-Human	Bulleidia_extructa	0.479	0.038	*	shared	Bulleidia
B-Gorilla+D-Neanderthal+E-Human	Actinomyces_viscosus	0.924	0.001	***	shared	Actinomyces
B-Gorilla+D-Neanderthal+E-Human	Actinomyces_naeslundii	0.883	0.001	***	shared	Actinomyces
B-Gorilla+D-Neanderthal+E-Human	Actinomyces_johnsonii	0.88	0.001	***	shared	Actinomyces
B-Gorilla+D-Neanderthal+E-Human	Veillonella_unclassified	0.763	0.01	**	shared	Veillonella
B-Gorilla+D-Neanderthal+E-Human	Aggregatibacter_segnis	0.728	0.003	**	shared	Aggregatibacter
B-Gorilla+D-Neanderthal+E-Human	Actinomyces_georgiae	0.655	0.019	*	shared	Actinomyces
B-Gorilla+D-Neanderthal+X-ExtractionBlank	Comamonas_unclassified	0.669	0.011	*	shared	Comamonas
B-Gorilla+X-ExtractionBlank+Y-LibraryBlank	Pseudomonas_putida	0.508	0.039	*	shared	Pseudomonas
C-Chimp+D-Neanderthal+E-Human	Desulfobulbus_sp_oral_taxon_041	0.931	0.001	***	shared	Desulfobulbus
C-Chimp+D-Neanderthal+E-Human	Methanobrevibacter_unclassified	0.73	0.002	**	shared	Methanobrevibacter
C-Chimp+E-Human+Y-LibraryBlank	Porphyromonas_gingivalis	0.837	0.016	*	shared	Porphyromonas
A-Howler_Monkey+B-Gorilla+C-Chimp+E-Human	Fusobacterium_nucleatum	0.92	0.001	***	shared	Fusobacterium
A-Howler_Monkey+B-Gorilla+D-Neanderthal+E-Human	Aggregatibacter_aphrophilus	0.816	0.001	***	shared	Aggregatibacter
A-Howler_Monkey+B-Gorilla+D-Neanderthal+E-Human	Lautropia_mirabilis	0.807	0.001	***	shared	Lautropia
A-Howler_Monkey+B-Gorilla+D-Neanderthal+E-Human	Neisseria_unclassified	0.801	0.002	**	shared	Neisseria
A-Howler_Monkey+B-Gorilla+D-Neanderthal+E-Human	Cardiobacterium_valvarum	0.724	0.004	**	shared	Cardiobacterium
A-Howler_Monkey+B-Gorilla+D-Neanderthal+E-Human	Corynebacterium_durum	0.687	0.006	**	shared	Corynebacterium
A-Howler_Monkey+B-Gorilla+D-Neanderthal+E-Human	Neisseria_meningitidis	0.628	0.009	**	shared	Neisseria
A-Howler_Monkey+C-Chimp+D-Neanderthal+E-Human	Parvimonas_unclassified	0.872	0.001	***	shared	Parvimonas
B-Gorilla+C-Chimp+D-Neanderthal+E-Human	Bacteroidetes_oral_taxon_274	0.903	0.001	***	shared	Bacteroidetes
B-Gorilla+C-Chimp+D-Neanderthal+E-Human	Slackia_unclassified	0.874	0.001	***	shared	Slackia
B-Gorilla+C-Chimp+D-Neanderthal+E-Human	Campylobacter_gracilis	0.836	0.002	**	shared	Campylobacter
B-Gorilla+C-Chimp+D-Neanderthal+E-Human	Johnsonella_ignava	0.806	0.001	***	shared	Johnsonella
B-Gorilla+C-Chimp+D-Neanderthal+E-Human	Actinobaculum_unclassified	0.778	0.001	***	shared	Actinobaculum
A-Howler_Monkey+B-Gorilla+C-Chimp+D-Neanderthal+E-Human	Olsenella_unclassified	0.645	0.017	*	shared	Olsenella
A-Howler_Monkey+B-Gorilla+C-Chimp+E-Human+Y-LibraryBlank	Brevibacterium_unclassified	0.709	0.007	**	shared	Brevibacterium
A-Howler_Monkey+B-Gorilla+D-Neanderthal+X-ExtractionBlank+Y-LibraryBlank	Pseudomonas_unclassified	0.702	0.002	**	shared	Pseudomonas
A-Howler_Monkey+B-Gorilla+C-Chimp+D-Neanderthal+E-Human+X-ExtractionBlank	Propionibacterium_propionicum	0.885	0.001	***	shared	Propionibacterium
A-Howler_Monkey+B-Gorilla+C-Chimp+D-Neanderthal+E-Human+Y-LibraryBlank	Mitsuokella_unclassified	0.728	0.001	***	shared	Mitsuokella
