Host_Genus	Protein	Species	Count	PC1code	PC2code	PC1nomodcode	PC2nomodcode
Alouatta	3-oxoacyl-[acyl-carrier-protein] synthase, KASI (EC 2.3.1.41)	Beijerinckia indica	1.0	none	pc2p5	none	pc2p8nomod
Alouatta	3-oxoacyl-[acyl-carrier-protein] synthase, KASI (EC 2.3.1.41)	Bibersteinia trehalosi	1.0	none	pc2p5	none	pc2p8nomod
Alouatta	3-oxoacyl-[acyl-carrier-protein] synthase, KASI (EC 2.3.1.41)	Blastochloris viridis	1.0	none	pc2p5	none	pc2p8nomod
Alouatta	3-oxoacyl-[acyl-carrier-protein] synthase, KASI (EC 2.3.1.41)	Bosea sp. AS-1	2.0	none	pc2p5	none	pc2p8nomod
Alouatta	3-oxoacyl-[acyl-carrier-protein] synthase, KASI (EC 2.3.1.41)	Bosea sp. RAC05	1.0	none	pc2p5	none	pc2p8nomod
Alouatta	3-oxoacyl-[acyl-carrier-protein] synthase, KASI (EC 2.3.1.41)	Bosea vaviloviae	1.0	none	pc2p5	none	pc2p8nomod
Alouatta	3-oxoacyl-[acyl-carrier-protein] synthase, KASI (EC 2.3.1.41)	Bradyrhizobium elkanii	2.0	none	pc2p5	none	pc2p8nomod
Alouatta	3-oxoacyl-[acyl-carrier-protein] synthase, KASI (EC 2.3.1.41)	Bradyrhizobium japonicum	1.0	none	pc2p5	none	pc2p8nomod
Alouatta	3-oxoacyl-[acyl-carrier-protein] synthase, KASI (EC 2.3.1.41)	Bradyrhizobium lablabi	1.0	none	pc2p5	none	pc2p8nomod
Alouatta	3-oxoacyl-[acyl-carrier-protein] synthase, KASI (EC 2.3.1.41)	Bradyrhizobium ottawaense	1.0	none	pc2p5	none	pc2p8nomod
Alouatta	3-oxoacyl-[acyl-carrier-protein] synthase, KASI (EC 2.3.1.41)	Bradyrhizobium sp. BTAi1	1.0	none	pc2p5	none	pc2p8nomod
Alouatta	3-oxoacyl-[acyl-carrier-protein] synthase, KASI (EC 2.3.1.41)	Bradyrhizobium sp. DOA9	1.0	none	pc2p5	none	pc2p8nomod
Alouatta	3-oxoacyl-[acyl-carrier-protein] synthase, KASI (EC 2.3.1.41)	Bradyrhizobium sp. SK17	2.0	none	pc2p5	none	pc2p8nomod
Alouatta	3-oxoacyl-[acyl-carrier-protein] synthase, KASI (EC 2.3.1.41)	Brevundimonas diminuta	2.0	none	pc2p5	none	pc2p8nomod
Alouatta	3-oxoacyl-[acyl-carrier-protein] synthase, KASI (EC 2.3.1.41)	Brevundimonas naejangsanensis	1.0	none	pc2p5	none	pc2p8nomod
Alouatta	3-oxoacyl-[acyl-carrier-protein] synthase, KASI (EC 2.3.1.41)	Brevundimonas vesicularis	1.0	none	pc2p5	none	pc2p8nomod
Alouatta	3-oxoacyl-[acyl-carrier-protein] synthase, KASI (EC 2.3.1.41)	Capnocytophaga sp. ChDC OS43	1.0	none	pc2p5	none	pc2p8nomod
Alouatta	3-oxoacyl-[acyl-carrier-protein] synthase, KASI (EC 2.3.1.41)	Capnocytophaga sp. oral taxon 324	1.0	none	pc2p5	none	pc2p8nomod
Alouatta	3-oxoacyl-[acyl-carrier-protein] synthase, KASI (EC 2.3.1.41)	Capnocytophaga sp. oral taxon 329	1.0	none	pc2p5	none	pc2p8nomod
Alouatta	3-oxoacyl-[acyl-carrier-protein] synthase, KASI (EC 2.3.1.41)	Capnocytophaga sp. oral taxon 332	2.0	none	pc2p5	none	pc2p8nomod
Alouatta	3-oxoacyl-[acyl-carrier-protein] synthase, KASI (EC 2.3.1.41)	Capnocytophaga sp. oral taxon 380	1.0	none	pc2p5	none	pc2p8nomod
Alouatta	3-oxoacyl-[acyl-carrier-protein] synthase, KASI (EC 2.3.1.41)	Capnocytophaga sputigena	2.0	none	pc2p5	none	pc2p8nomod
Alouatta	3-oxoacyl-[acyl-carrier-protein] synthase, KASI (EC 2.3.1.41)	Cardiobacterium hominis	220.0	none	pc2p5	none	pc2p8nomod
Alouatta	3-oxoacyl-[acyl-carrier-protein] synthase, KASI (EC 2.3.1.41)	Cardiobacterium valvarum	29.0	none	pc2p5	none	pc2p8nomod
Alouatta	3-oxoacyl-[acyl-carrier-protein] synthase, KASI (EC 2.3.1.41)	Castellaniella defragrans	1.0	none	pc2p5	none	pc2p8nomod
Alouatta	3-oxoacyl-[acyl-carrier-protein] synthase, KASI (EC 2.3.1.41)	Celeribacter baekdonensis	1.0	none	pc2p5	none	pc2p8nomod
Alouatta	3-oxoacyl-[acyl-carrier-protein] synthase, KASI (EC 2.3.1.41)	Celeribacter ethanolicus	2.0	none	pc2p5	none	pc2p8nomod
Alouatta	3-oxoacyl-[acyl-carrier-protein] synthase, KASI (EC 2.3.1.41)	Cellvibrio japonicus	2.0	none	pc2p5	none	pc2p8nomod
Alouatta	3-oxoacyl-[acyl-carrier-protein] synthase, KASI (EC 2.3.1.41)	Chelatococcus sp. CO-6	1.0	none	pc2p5	none	pc2p8nomod
Alouatta	3-oxoacyl-[acyl-carrier-protein] synthase, KASI (EC 2.3.1.41)	Citrobacter koseri	1.0	none	pc2p5	none	pc2p8nomod
Alouatta	3-oxoacyl-[acyl-carrier-protein] synthase, KASI (EC 2.3.1.41)	Comamonas aquatica	1.0	none	pc2p5	none	pc2p8nomod
Alouatta	3-oxoacyl-[acyl-carrier-protein] synthase, KASI (EC 2.3.1.41)	Comamonas kerstersii	1.0	none	pc2p5	none	pc2p8nomod
Alouatta	3-oxoacyl-[acyl-carrier-protein] synthase, KASI (EC 2.3.1.41)	Comamonas testosteroni	2.0	none	pc2p5	none	pc2p8nomod
Alouatta	3-oxoacyl-[acyl-carrier-protein] synthase, KASI (EC 2.3.1.41)	Delftia acidovorans	2.0	none	pc2p5	none	pc2p8nomod
Alouatta	3-oxoacyl-[acyl-carrier-protein] synthase, KASI (EC 2.3.1.41)	Devosia sp. H5989	1.0	none	pc2p5	none	pc2p8nomod
Alouatta	3-oxoacyl-[acyl-carrier-protein] synthase, KASI (EC 2.3.1.41)	Devosia sp. I507	2.0	none	pc2p5	none	pc2p8nomod
Alouatta	3-oxoacyl-[acyl-carrier-protein] synthase, KASI (EC 2.3.1.41)	Dokdonella koreensis	1.0	none	pc2p5	none	pc2p8nomod
Alouatta	3-oxoacyl-[acyl-carrier-protein] synthase, KASI (EC 2.3.1.41)	Dyadobacter beijingensis	1.0	none	pc2p5	none	pc2p8nomod
Alouatta	3-oxoacyl-[acyl-carrier-protein] synthase, KASI (EC 2.3.1.41)	Dyella thiooxydans	2.0	none	pc2p5	none	pc2p8nomod
Alouatta	3-oxoacyl-[acyl-carrier-protein] synthase, KASI (EC 2.3.1.41)	Eikenella corrodens	7.0	none	pc2p5	none	pc2p8nomod
Alouatta	3-oxoacyl-[acyl-carrier-protein] synthase, KASI (EC 2.3.1.41)	Eikenella sp. HMSC061C02	16.0	none	pc2p5	none	pc2p8nomod
Alouatta	3-oxoacyl-[acyl-carrier-protein] synthase, KASI (EC 2.3.1.41)	Eikenella sp. HMSC071B05	1.0	none	pc2p5	none	pc2p8nomod
Alouatta	3-oxoacyl-[acyl-carrier-protein] synthase, KASI (EC 2.3.1.41)	Ensifer adhaerens	2.0	none	pc2p5	none	pc2p8nomod
Alouatta	3-oxoacyl-[acyl-carrier-protein] synthase, KASI (EC 2.3.1.41)	Enterobacter mori	1.0	none	pc2p5	none	pc2p8nomod
Alouatta	3-oxoacyl-[acyl-carrier-protein] synthase, KASI (EC 2.3.1.41)	Enterobacter sp. BIDMC 29	1.0	none	pc2p5	none	pc2p8nomod
Alouatta	3-oxoacyl-[acyl-carrier-protein] synthase, KASI (EC 2.3.1.41)	Glaesserella parasuis	1.0	none	pc2p5	none	pc2p8nomod
Alouatta	3-oxoacyl-[acyl-carrier-protein] synthase, KASI (EC 2.3.1.41)	Haemophilus haemolyticus	1.0	none	pc2p5	none	pc2p8nomod
Alouatta	3-oxoacyl-[acyl-carrier-protein] synthase, KASI (EC 2.3.1.41)	Haemophilus influenzae	7.0	none	pc2p5	none	pc2p8nomod
Alouatta	3-oxoacyl-[acyl-carrier-protein] synthase, KASI (EC 2.3.1.41)	Haemophilus massiliensis	4.0	none	pc2p5	none	pc2p8nomod
Alouatta	3-oxoacyl-[acyl-carrier-protein] synthase, KASI (EC 2.3.1.41)	Haemophilus parainfluenzae	1.0	none	pc2p5	none	pc2p8nomod
Alouatta	3-oxoacyl-[acyl-carrier-protein] synthase, KASI (EC 2.3.1.41)	Haemophilus pittmaniae	1.0	none	pc2p5	none	pc2p8nomod
Alouatta	3-oxoacyl-[acyl-carrier-protein] synthase, KASI (EC 2.3.1.41)	Haemophilus sp. HMSC061E01	1.0	none	pc2p5	none	pc2p8nomod
Alouatta	3-oxoacyl-[acyl-carrier-protein] synthase, KASI (EC 2.3.1.41)	Haemophilus sp. HMSC068C11	1.0	none	pc2p5	none	pc2p8nomod
Alouatta	3-oxoacyl-[acyl-carrier-protein] synthase, KASI (EC 2.3.1.41)	Haemophilus sp. oral taxon 036	4.0	none	pc2p5	none	pc2p8nomod
Alouatta	3-oxoacyl-[acyl-carrier-protein] synthase, KASI (EC 2.3.1.41)	Hartmannibacter diazotrophicus	1.0	none	pc2p5	none	pc2p8nomod
Alouatta	3-oxoacyl-[acyl-carrier-protein] synthase, KASI (EC 2.3.1.41)	Histophilus somni	1.0	none	pc2p5	none	pc2p8nomod
Alouatta	3-oxoacyl-[acyl-carrier-protein] synthase, KASI (EC 2.3.1.41)	Hoeflea sp. IMCC20628	1.0	none	pc2p5	none	pc2p8nomod
Alouatta	3-oxoacyl-[acyl-carrier-protein] synthase, KASI (EC 2.3.1.41)	Hyphomicrobium denitrificans	1.0	none	pc2p5	none	pc2p8nomod
Alouatta	3-oxoacyl-[acyl-carrier-protein] synthase, KASI (EC 2.3.1.41)	Kaistia adipata	2.0	none	pc2p5	none	pc2p8nomod
Alouatta	3-oxoacyl-[acyl-carrier-protein] synthase, KASI (EC 2.3.1.41)	Kingella oralis	231.0	none	pc2p5	none	pc2p8nomod
Alouatta	3-oxoacyl-[acyl-carrier-protein] synthase, KASI (EC 2.3.1.41)	Klebsiella quasipneumoniae	1.0	none	pc2p5	none	pc2p8nomod
Alouatta	3-oxoacyl-[acyl-carrier-protein] synthase, KASI (EC 2.3.1.41)	Labrenzia aggregata	1.0	none	pc2p5	none	pc2p8nomod
Alouatta	3-oxoacyl-[acyl-carrier-protein] synthase, KASI (EC 2.3.1.41)	Lautropia mirabilis	71.0	none	pc2p5	none	pc2p8nomod
Alouatta	3-oxoacyl-[acyl-carrier-protein] synthase, KASI (EC 2.3.1.41)	Luteimonas sp. 83-4	3.0	none	pc2p5	none	pc2p8nomod
Alouatta	3-oxoacyl-[acyl-carrier-protein] synthase, KASI (EC 2.3.1.41)	Mannheimia granulomatis	3.0	none	pc2p5	none	pc2p8nomod
Alouatta	3-oxoacyl-[acyl-carrier-protein] synthase, KASI (EC 2.3.1.41)	Mannheimia haemolytica	1.0	none	pc2p5	none	pc2p8nomod
Alouatta	3-oxoacyl-[acyl-carrier-protein] synthase, KASI (EC 2.3.1.41)	Mannheimia sp. USDA-ARS-USMARC-1261	1.0	none	pc2p5	none	pc2p8nomod
Alouatta	3-oxoacyl-[acyl-carrier-protein] synthase, KASI (EC 2.3.1.41)	Marinobacter hydrocarbonoclasticus	1.0	none	pc2p5	none	pc2p8nomod
Alouatta	3-oxoacyl-[acyl-carrier-protein] synthase, KASI (EC 2.3.1.41)	Marinobacter sp. PWS21	1.0	none	pc2p5	none	pc2p8nomod
Alouatta	3-oxoacyl-[acyl-carrier-protein] synthase, KASI (EC 2.3.1.41)	Marinobacterium rhizophilum	1.0	none	pc2p5	none	pc2p8nomod
Alouatta	3-oxoacyl-[acyl-carrier-protein] synthase, KASI (EC 2.3.1.41)	Martelella endophytica	1.0	none	pc2p5	none	pc2p8nomod
Alouatta	3-oxoacyl-[acyl-carrier-protein] synthase, KASI (EC 2.3.1.41)	Mesorhizobium ciceri	4.0	none	pc2p5	none	pc2p8nomod
Alouatta	3-oxoacyl-[acyl-carrier-protein] synthase, KASI (EC 2.3.1.41)	Mesorhizobium loti	1.0	none	pc2p5	none	pc2p8nomod
Alouatta	3-oxoacyl-[acyl-carrier-protein] synthase, KASI (EC 2.3.1.41)	Mesorhizobium sp. DCY119	1.0	none	pc2p5	none	pc2p8nomod
Alouatta	3-oxoacyl-[acyl-carrier-protein] synthase, KASI (EC 2.3.1.41)	Mesorhizobium sp. ORS 3324	1.0	none	pc2p5	none	pc2p8nomod
Alouatta	3-oxoacyl-[acyl-carrier-protein] synthase, KASI (EC 2.3.1.41)	Methylobacterium aquaticum	1.0	none	pc2p5	none	pc2p8nomod
Alouatta	3-oxoacyl-[acyl-carrier-protein] synthase, KASI (EC 2.3.1.41)	Methylobacterium oryzae	1.0	none	pc2p5	none	pc2p8nomod
Alouatta	3-oxoacyl-[acyl-carrier-protein] synthase, KASI (EC 2.3.1.41)	Methylobacterium sp. 10	1.0	none	pc2p5	none	pc2p8nomod
Alouatta	3-oxoacyl-[acyl-carrier-protein] synthase, KASI (EC 2.3.1.41)	Methylobacterium sp. 17Sr1-1	2.0	none	pc2p5	none	pc2p8nomod
Alouatta	3-oxoacyl-[acyl-carrier-protein] synthase, KASI (EC 2.3.1.41)	Methylobacterium sp. 285MFTsu5.1	1.0	none	pc2p5	none	pc2p8nomod
Alouatta	3-oxoacyl-[acyl-carrier-protein] synthase, KASI (EC 2.3.1.41)	Methyloceanibacter sp. wino2	1.0	none	pc2p5	none	pc2p8nomod
Alouatta	3-oxoacyl-[acyl-carrier-protein] synthase, KASI (EC 2.3.1.41)	Methylocystis sp. ATCC 49242	1.0	none	pc2p5	none	pc2p8nomod
Alouatta	3-oxoacyl-[acyl-carrier-protein] synthase, KASI (EC 2.3.1.41)	Methylomonas koyamae	1.0	none	pc2p5	none	pc2p8nomod
Alouatta	3-oxoacyl-[acyl-carrier-protein] synthase, KASI (EC 2.3.1.41)	Methylomonas sp. DH-1	4.0	none	pc2p5	none	pc2p8nomod
Alouatta	3-oxoacyl-[acyl-carrier-protein] synthase, KASI (EC 2.3.1.41)	Methylophaga frappieri	1.0	none	pc2p5	none	pc2p8nomod
Alouatta	3-oxoacyl-[acyl-carrier-protein] synthase, KASI (EC 2.3.1.41)	Methylorubrum extorquens	2.0	none	pc2p5	none	pc2p8nomod
Alouatta	3-oxoacyl-[acyl-carrier-protein] synthase, KASI (EC 2.3.1.41)	Methylorubrum populi	1.0	none	pc2p5	none	pc2p8nomod
Alouatta	3-oxoacyl-[acyl-carrier-protein] synthase, KASI (EC 2.3.1.41)	Methylosarcina fibrata	1.0	none	pc2p5	none	pc2p8nomod
Alouatta	3-oxoacyl-[acyl-carrier-protein] synthase, KASI (EC 2.3.1.41)	Methylosinus trichosporium	3.0	none	pc2p5	none	pc2p8nomod
Alouatta	3-oxoacyl-[acyl-carrier-protein] synthase, KASI (EC 2.3.1.41)	Microbulbifer aggregans	1.0	none	pc2p5	none	pc2p8nomod
Alouatta	3-oxoacyl-[acyl-carrier-protein] synthase, KASI (EC 2.3.1.41)	Microvirga massiliensis	1.0	none	pc2p5	none	pc2p8nomod
Alouatta	3-oxoacyl-[acyl-carrier-protein] synthase, KASI (EC 2.3.1.41)	Mixta gaviniae	1.0	none	pc2p5	none	pc2p8nomod
Alouatta	3-oxoacyl-[acyl-carrier-protein] synthase, KASI (EC 2.3.1.41)	Necropsobacter massiliensis	11.0	none	pc2p5	none	pc2p8nomod
Alouatta	3-oxoacyl-[acyl-carrier-protein] synthase, KASI (EC 2.3.1.41)	Neisseria bacilliformis	64.0	none	pc2p5	none	pc2p8nomod
Alouatta	3-oxoacyl-[acyl-carrier-protein] synthase, KASI (EC 2.3.1.41)	Neisseria elongata	35.0	none	pc2p5	none	pc2p8nomod
Alouatta	3-oxoacyl-[acyl-carrier-protein] synthase, KASI (EC 2.3.1.41)	Neisseria sp. HMSC31F04	36.0	none	pc2p5	none	pc2p8nomod
Alouatta	3-oxoacyl-[acyl-carrier-protein] synthase, KASI (EC 2.3.1.41)	Neisseria sp. KEM232	9.0	none	pc2p5	none	pc2p8nomod
Alouatta	3-oxoacyl-[acyl-carrier-protein] synthase, KASI (EC 2.3.1.41)	Neisseria sp. oral taxon 014	25.0	none	pc2p5	none	pc2p8nomod
Alouatta	3-oxoacyl-[acyl-carrier-protein] synthase, KASI (EC 2.3.1.41)	Neisseria sp. oral taxon 020	10.0	none	pc2p5	none	pc2p8nomod
Alouatta	3-oxoacyl-[acyl-carrier-protein] synthase, KASI (EC 2.3.1.41)	Neomegalonema perideroedes	2.0	none	pc2p5	none	pc2p8nomod
Alouatta	3-oxoacyl-[acyl-carrier-protein] synthase, KASI (EC 2.3.1.41)	Neorhizobium sp. SOG26	1.0	none	pc2p5	none	pc2p8nomod
Alouatta	3-oxoacyl-[acyl-carrier-protein] synthase, KASI (EC 2.3.1.41)	Nitrobacter hamburgensis	1.0	none	pc2p5	none	pc2p8nomod
Alouatta	3-oxoacyl-[acyl-carrier-protein] synthase, KASI (EC 2.3.1.41)	Nitrobacter winogradskyi	2.0	none	pc2p5	none	pc2p8nomod
Alouatta	3-oxoacyl-[acyl-carrier-protein] synthase, KASI (EC 2.3.1.41)	Ochrobactrum anthropi	1.0	none	pc2p5	none	pc2p8nomod
Alouatta	3-oxoacyl-[acyl-carrier-protein] synthase, KASI (EC 2.3.1.41)	Ottowia sp. Marseille-P4747	10.0	none	pc2p5	none	pc2p8nomod
Alouatta	3-oxoacyl-[acyl-carrier-protein] synthase, KASI (EC 2.3.1.41)	Ottowia sp. oral taxon 894	9.0	none	pc2p5	none	pc2p8nomod
Alouatta	3-oxoacyl-[acyl-carrier-protein] synthase, KASI (EC 2.3.1.41)	Owenweeksia hongkongensis	1.0	none	pc2p5	none	pc2p8nomod
Alouatta	3-oxoacyl-[acyl-carrier-protein] synthase, KASI (EC 2.3.1.41)	Pantoea alhagi	1.0	none	pc2p5	none	pc2p8nomod
Alouatta	3-oxoacyl-[acyl-carrier-protein] synthase, KASI (EC 2.3.1.41)	Paracoccus aminovorans	1.0	none	pc2p5	none	pc2p8nomod
Alouatta	3-oxoacyl-[acyl-carrier-protein] synthase, KASI (EC 2.3.1.41)	Paracoccus sp. SC2-6	1.0	none	pc2p5	none	pc2p8nomod
Alouatta	3-oxoacyl-[acyl-carrier-protein] synthase, KASI (EC 2.3.1.41)	Paracoccus zhejiangensis	3.0	none	pc2p5	none	pc2p8nomod
Alouatta	3-oxoacyl-[acyl-carrier-protein] synthase, KASI (EC 2.3.1.41)	Pasteurella dagmatis	2.0	none	pc2p5	none	pc2p8nomod
Alouatta	3-oxoacyl-[acyl-carrier-protein] synthase, KASI (EC 2.3.1.41)	Pasteurella multocida	7.0	none	pc2p5	none	pc2p8nomod
Alouatta	3-oxoacyl-[acyl-carrier-protein] synthase, KASI (EC 2.3.1.41)	Pasteurellaceae bacterium NI1060	1.0	none	pc2p5	none	pc2p8nomod
Alouatta	3-oxoacyl-[acyl-carrier-protein] synthase, KASI (EC 2.3.1.41)	Pectobacterium carotovorum	1.0	none	pc2p5	none	pc2p8nomod
Alouatta	3-oxoacyl-[acyl-carrier-protein] synthase, KASI (EC 2.3.1.41)	Phenylobacterium sp. HYN0004	1.0	none	pc2p5	none	pc2p8nomod
Alouatta	3-oxoacyl-[acyl-carrier-protein] synthase, KASI (EC 2.3.1.41)	Phenylobacterium zucineum	2.0	none	pc2p5	none	pc2p8nomod
Alouatta	3-oxoacyl-[acyl-carrier-protein] synthase, KASI (EC 2.3.1.41)	Plautia stali symbiont	1.0	none	pc2p5	none	pc2p8nomod
Alouatta	3-oxoacyl-[acyl-carrier-protein] synthase, KASI (EC 2.3.1.41)	Polymorphum gilvum	1.0	none	pc2p5	none	pc2p8nomod
Alouatta	3-oxoacyl-[acyl-carrier-protein] synthase, KASI (EC 2.3.1.41)	Prevotella enoeca	1.0	none	pc2p5	none	pc2p8nomod
Alouatta	3-oxoacyl-[acyl-carrier-protein] synthase, KASI (EC 2.3.1.41)	Pseudomonas alcaligenes	2.0	none	pc2p5	none	pc2p8nomod
Alouatta	3-oxoacyl-[acyl-carrier-protein] synthase, KASI (EC 2.3.1.41)	Pseudomonas brassicacearum	1.0	none	pc2p5	none	pc2p8nomod
Alouatta	3-oxoacyl-[acyl-carrier-protein] synthase, KASI (EC 2.3.1.41)	Pseudomonas fluorescens	9.0	none	pc2p5	none	pc2p8nomod
Alouatta	3-oxoacyl-[acyl-carrier-protein] synthase, KASI (EC 2.3.1.41)	Pseudomonas knackmussii	3.0	none	pc2p5	none	pc2p8nomod
Alouatta	3-oxoacyl-[acyl-carrier-protein] synthase, KASI (EC 2.3.1.41)	Pseudomonas koreensis	1.0	none	pc2p5	none	pc2p8nomod
Alouatta	3-oxoacyl-[acyl-carrier-protein] synthase, KASI (EC 2.3.1.41)	Pseudomonas mendocina	1.0	none	pc2p5	none	pc2p8nomod
Alouatta	3-oxoacyl-[acyl-carrier-protein] synthase, KASI (EC 2.3.1.41)	Pseudomonas prosekii	3.0	none	pc2p5	none	pc2p8nomod
Alouatta	3-oxoacyl-[acyl-carrier-protein] synthase, KASI (EC 2.3.1.41)	Pseudomonas putida	1.0	none	pc2p5	none	pc2p8nomod
Alouatta	3-oxoacyl-[acyl-carrier-protein] synthase, KASI (EC 2.3.1.41)	Pseudomonas sp. ATCC 13867	1.0	none	pc2p5	none	pc2p8nomod
Alouatta	3-oxoacyl-[acyl-carrier-protein] synthase, KASI (EC 2.3.1.41)	Pseudomonas sp. CC6-YY-74	1.0	none	pc2p5	none	pc2p8nomod
Alouatta	3-oxoacyl-[acyl-carrier-protein] synthase, KASI (EC 2.3.1.41)	Pseudomonas sp. K2W31S-8	1.0	none	pc2p5	none	pc2p8nomod
Alouatta	3-oxoacyl-[acyl-carrier-protein] synthase, KASI (EC 2.3.1.41)	Pseudomonas sp. SWI44	2.0	none	pc2p5	none	pc2p8nomod
Alouatta	3-oxoacyl-[acyl-carrier-protein] synthase, KASI (EC 2.3.1.41)	Pseudomonas sp. URMO17WK12:I4	1.0	none	pc2p5	none	pc2p8nomod
Alouatta	3-oxoacyl-[acyl-carrier-protein] synthase, KASI (EC 2.3.1.41)	Pseudomonas stutzeri	3.0	none	pc2p5	none	pc2p8nomod
Alouatta	3-oxoacyl-[acyl-carrier-protein] synthase, KASI (EC 2.3.1.41)	Pseudomonas syringae	1.0	none	pc2p5	none	pc2p8nomod
Alouatta	3-oxoacyl-[acyl-carrier-protein] synthase, KASI (EC 2.3.1.41)	Pseudomonas umsongensis	1.0	none	pc2p5	none	pc2p8nomod
Alouatta	3-oxoacyl-[acyl-carrier-protein] synthase, KASI (EC 2.3.1.41)	Reyranella massiliensis	1.0	none	pc2p5	none	pc2p8nomod
Alouatta	3-oxoacyl-[acyl-carrier-protein] synthase, KASI (EC 2.3.1.41)	Rhizobium phaseoli	1.0	none	pc2p5	none	pc2p8nomod
Alouatta	3-oxoacyl-[acyl-carrier-protein] synthase, KASI (EC 2.3.1.41)	Rhizobium sp. 42MFCr.1	1.0	none	pc2p5	none	pc2p8nomod
Alouatta	3-oxoacyl-[acyl-carrier-protein] synthase, KASI (EC 2.3.1.41)	Rhodobacter sphaeroides	1.0	none	pc2p5	none	pc2p8nomod
Alouatta	3-oxoacyl-[acyl-carrier-protein] synthase, KASI (EC 2.3.1.41)	Rhodoplanes sp. Z2-YC6860	1.0	none	pc2p5	none	pc2p8nomod
Alouatta	3-oxoacyl-[acyl-carrier-protein] synthase, KASI (EC 2.3.1.41)	Rodentibacter pneumotropicus	1.0	none	pc2p5	none	pc2p8nomod
Alouatta	3-oxoacyl-[acyl-carrier-protein] synthase, KASI (EC 2.3.1.41)	Ruegeria lacuscaerulensis	1.0	none	pc2p5	none	pc2p8nomod
Alouatta	3-oxoacyl-[acyl-carrier-protein] synthase, KASI (EC 2.3.1.41)	Saccharospirillum mangrovi	2.0	none	pc2p5	none	pc2p8nomod
Alouatta	3-oxoacyl-[acyl-carrier-protein] synthase, KASI (EC 2.3.1.41)	Salmonella enterica	1.0	none	pc2p5	none	pc2p8nomod
Alouatta	3-oxoacyl-[acyl-carrier-protein] synthase, KASI (EC 2.3.1.41)	Serratia marcescens	3.0	none	pc2p5	none	pc2p8nomod
Alouatta	3-oxoacyl-[acyl-carrier-protein] synthase, KASI (EC 2.3.1.41)	Serratia sp. YD25	2.0	none	pc2p5	none	pc2p8nomod
Alouatta	3-oxoacyl-[acyl-carrier-protein] synthase, KASI (EC 2.3.1.41)	Shinella sp. HZN7	1.0	none	pc2p5	none	pc2p8nomod
Alouatta	3-oxoacyl-[acyl-carrier-protein] synthase, KASI (EC 2.3.1.41)	Simplicispira suum	1.0	none	pc2p5	none	pc2p8nomod
Alouatta	3-oxoacyl-[acyl-carrier-protein] synthase, KASI (EC 2.3.1.41)	Sinorhizobium americanum	1.0	none	pc2p5	none	pc2p8nomod
Alouatta	3-oxoacyl-[acyl-carrier-protein] synthase, KASI (EC 2.3.1.41)	Sinorhizobium fredii	2.0	none	pc2p5	none	pc2p8nomod
