"Datasets"	"Sum"
"Acidithiobacillus caldus SM-1"	1273
"Acidithiobacillus ferridurans"	18
"Acidithiobacillus ferrivorans SS3"	16316
"Acidithiobacillus ferrooxidans ATCC 23270"	40
"Acidithiobacillus ferrooxidans ATCC 53993"	132
"Acidithiobacillus thiooxidans"	636
"Acidobacteria bacterium 01QDH_23S"	77
"Acidobacterium capsulatum ATCC 51196"	10325
"Acidobacterium sp. pan6"	35
"Acidocella sp. GS19h"	74
"Acidomonas methanolica"	898
"Acidovorax anthurii"	226
"Acidovorax avenae subsp. avenae ATCC 19860"	20472
"Acidovorax caeni"	31
"Acidovorax cattleyae"	5
"Acidovorax citrulli AAC00-1"	21648
"Acidovorax defluvii"	48
"Acidovorax delafieldii"	326
"Acidovorax ebreus TPSY"	51274
"Acidovorax facilis"	290
"Acidovorax konjaci"	298
"Acidovorax oryzae"	98
"Acidovorax radicis"	10
"Acidovorax sp. B0054"	5
"Acidovorax sp. J5-66"	14
"Acidovorax sp. JS42"	34250
"Acidovorax sp. KKS102"	116733
"Acidovorax sp. R-27044"	10
"Acidovorax sp. SA1"	10
"Acidovorax sp. TP4"	11
"Acidovorax temperans"	73
"Acidovorax valerianellae"	186
"Acinetobacter albensis"	7
"Acinetobacter baumannii 1656-2"	149
"Acinetobacter baumannii AC30"	49
"Acinetobacter baumannii ACICU"	46
"Acinetobacter baumannii ATCC 17978"	234
"Acinetobacter baumannii AYE"	288
"Acinetobacter baumannii BJAB0715"	77
"Acinetobacter baumannii D1279779"	203
"Acinetobacter baumannii LAC-4"	328
"Acinetobacter baumannii MDR-TJ"	54
"Acinetobacter baumannii MDR-ZJ06"	57
"Acinetobacter baumannii SDF"	398
"Acinetobacter baumannii TCDC-AB0715"	6
"Acinetobacter baumannii ZW85-1"	100
"Acinetobacter baylyi DSM 14961 = CIP 107474"	6
"Acinetobacter bereziniae"	33
"Acinetobacter boissieri"	5
"Acinetobacter bouvetii"	76
"Acinetobacter brisouii CIP 110357"	50
"Acinetobacter calcoaceticus"	187
"Acinetobacter equi"	1271
"Acinetobacter genomosp. 13BJ"	65
"Acinetobacter gerneri"	10
"Acinetobacter guillouiae"	1918
"Acinetobacter gyllenbergii"	11
"Acinetobacter haemolyticus"	180
"Acinetobacter indicus CIP 110367"	431
"Acinetobacter johnsonii XBB1"	31737
"Acinetobacter junii"	161
"Acinetobacter kyonggiensis"	5
"Acinetobacter lwoffii"	153
"Acinetobacter nectaris CIP 110549"	21
"Acinetobacter nosocomialis"	945
"Acinetobacter oleivorans DR1"	2065
"Acinetobacter parvus"	20
"Acinetobacter pittii PHEA-2"	3579
"Acinetobacter radioresistens"	66
"Acinetobacter rudis CIP 110305"	52
"Acinetobacter schindleri"	18
"Acinetobacter soli"	101
"Acinetobacter sp."	63
"Acinetobacter sp. 157"	7
"Acinetobacter sp. 18AAV"	11
"Acinetobacter sp. ADP1"	1331
"Acinetobacter sp. AgosA2.1"	51
"Acinetobacter sp. BW3"	11
"Acinetobacter sp. C061"	497
"Acinetobacter sp. dcm5A"	7
"Acinetobacter sp. ED45-25"	5
"Acinetobacter sp. F(2010)"	7
"Acinetobacter sp. GXA7"	377
"Acinetobacter sp. GXAN8"	10
"Acinetobacter sp. HMW59_163"	20
"Acinetobacter sp. M-1"	57
"Acinetobacter sp. M131"	130
"Acinetobacter sp. M673"	10
"Acinetobacter sp. ND5"	473
"Acinetobacter sp. NFM2"	36
"Acinetobacter sp. Ooi24"	69
"Acinetobacter sp. OP5"	19
"Acinetobacter sp. PALXIL10"	5
"Acinetobacter sp. S2(2010)"	10
"Acinetobacter sp. SFC 500-1 A"	5
"Acinetobacter sp. STE"	28
"Acinetobacter sp. TGL-Y2"	1066
"Acinetobacter sp. TTH0-4"	2071
"Acinetobacter sp. U(2010)"	5
"Acinetobacter sp. UAPS0169"	5
"Acinetobacter sp. UAPS0180"	5
"Acinetobacter sp. WX-19"	5
"Acinetobacter sp. YAA"	856
"Acinetobacter sp. YS0810"	10
"Acinetobacter sp. YZS-X1-1"	26
"Acinetobacter tandoii"	126
"Acinetobacter tjernbergiae"	9
"Acinetobacter towneri"	65
"Acinetobacter ursingii"	201
"Acinetobacter venetianus RAG-1 = CIP 110063"	244
"Actinobacillus anseriformium"	23
"Actinobacillus arthritidis"	10
"Actinobacillus equuli subsp. equuli"	3386
"Actinobacillus equuli subsp. haemolyticus"	6
"Actinobacillus hominis"	12
"Actinobacillus indolicus"	12
"Actinobacillus lignieresii"	8
"Actinobacillus minor"	31
"Actinobacillus pleuropneumoniae serovar 2 str. S1536"	26
"Actinobacillus pleuropneumoniae serovar 3 str. JL03"	645
"Actinobacillus pleuropneumoniae serovar 5b str. L20"	743
"Actinobacillus pleuropneumoniae serovar 7 str. AP76"	469
"Actinobacillus pleuropneumoniae serovar 8"	869
"Actinobacillus porcinus"	171
"Actinobacillus seminis"	20
"Actinobacillus succinogenes 130Z"	10232
"Actinobacillus suis ATCC 33415"	126
"Actinobacillus suis H91-0380"	383
"Advenella kashmirensis WT001"	6056
"Advenella mimigardefordensis DPN7"	3404
"Aequorivita sp. HC6-5"	7
"Aequorivita sublithincola DSM 14238"	5194
"Aeromonas allosaccharophila"	12
"Aeromonas bestiarum"	68
"Aeromonas bivalvium"	129
"Aeromonas cavernicola"	7
"Aeromonas caviae"	557
"Aeromonas dhakensis"	186
"Aeromonas diversa CDC 2478-85"	29
"Aeromonas encheleia"	108
"Aeromonas enteropelogenes"	45
"Aeromonas eucrenophila"	85
"Aeromonas finlandiensis"	15
"Aeromonas fluvialis"	44
"Aeromonas hydrophila 4AK4"	10628
"Aeromonas hydrophila J-1"	5
"Aeromonas hydrophila NJ-35"	78
"Aeromonas hydrophila subsp. hydrophila ATCC 7966"	4654
"Aeromonas hydrophila YL17"	4298
"Aeromonas jandaei"	84
"Aeromonas lacus"	12
"Aeromonas media WS"	7197
"Aeromonas molluscorum"	148
"Aeromonas piscicola"	61
"Aeromonas popoffii"	9
"Aeromonas rivuli"	12
"Aeromonas salmonicida subsp. salmonicida A449"	6578
"Aeromonas sanarellii"	116
"Aeromonas schubertii"	5008
"Aeromonas simiae"	308
"Aeromonas sobria"	177
"Aeromonas sp. A1(2011)"	6
"Aeromonas sp. AC9804"	5
"Aeromonas sp. Apul"	9
"Aeromonas sp. CECT 4245"	11
"Aeromonas sp. GLY-2107"	5
"Aeromonas sp. Hum 5.2"	5
"Aeromonas sp. LVo-amp_184"	5
"Aeromonas sp. MJ-22"	69
"Aeromonas sp. Ne-1"	162
"Aeromonas sp. PDCDC-12"	275
"Aeromonas sp. PDCDC-22"	10
"Aeromonas sp. PDCDC-51"	7
"Aeromonas sp. REm-amp_1"	27
"Aeromonas sp. REm-amp_192"	11
"Aeromonas sp. REm-amp_248"	7
"Aeromonas sp. REm-amp_54"	5
"Aeromonas sp. REm-amp_64"	8
"Aeromonas sp. REm-amp_76"	20
"Aeromonas sp. SHGW-55"	13
"Aeromonas sp. SHGW-7"	5
"Aeromonas sp. YS3"	5
"Aeromonas taiwanensis"	214
"Aeromonas tecta"	122
"Aeromonas veronii B565"	3032
"Aeromonas veronii bv. sobria"	149
"Aeromonas veronii bv. veronii"	12
"Aestuariibacter halophilus"	8
"Aetherobacter"	45
"Afifella pfennigii DSM 17143"	50
"Afipia birgiae 34632"	6
"Afipia broomeae ATCC 49717"	50
"Afipia clevelandensis ATCC 49720"	26
"Afipia felis ATCC 53690"	33
"Afipia felis genospecies A"	57
"Afipia genosp. 2"	178
"Afipia genosp. 3"	110
"Afipia lausannensis"	5
"Afipia massiliensis 34633"	49
"Afipia sp. B-91-007287"	89
"Afipia sp. NBIMC_P1"	76
"Afipia sp. SP3302452"	11
"Agarivorans gilvus"	937
"Aggregatibacter actinomycetemcomitans ANH9381"	1978
"Aggregatibacter actinomycetemcomitans D11S-1"	16478
"Aggregatibacter actinomycetemcomitans D7S-1"	8065
"Aggregatibacter actinomycetemcomitans HK1651"	6912
"Aggregatibacter actinomycetemcomitans NUM4039"	6282
"Aggregatibacter actinomycetemcomitans Y4"	1172
"Aggregatibacter aphrophilus ATCC 33389"	1055
"Aggregatibacter aphrophilus NJ8700"	2838384
"Aggregatibacter segnis ATCC 33393"	1676
"Aggregatibacter sp. CCUG 36139"	12
"Agrobacterium arsenijevicii"	19
"Agrobacterium fabrum str. C58"	2817
"Agrobacterium genomosp. 13"	18
"Agrobacterium genomosp. 3"	5
"Agrobacterium genomosp. 6"	6
"Agrobacterium larrymoorei"	33
"Agrobacterium radiobacter K84"	5533
"Agrobacterium rhizogenes"	213
"Agrobacterium rubi"	93
"Agrobacterium sp. 1-2"	6
"Agrobacterium sp. ATCC 31749"	41
"Agrobacterium sp. H13-3"	1510
"Agrobacterium sp. J3-34"	35
"Agrobacterium sp. LMG29"	5
"Agrobacterium sp. LMG63"	5
"Agrobacterium sp. RTH4"	21
"Agrobacterium sp. RTP8"	11
"Agrobacterium sp. ST15.13/064"	30
"Agrobacterium sp. Z(2010)"	5
"Agrobacterium tumefaciens LBA4213 (Ach5)"	1432
"Agrobacterium vitis S4"	2709
"Albimonas pacifica"	14
"Alcaligenes faecalis subsp. faecalis NCIB 8687"	110
"Alcaligenes pakistanensis"	8
"Alcaligenes sp. E-6"	6
"Alcaligenes sp. MMD94"	8
"Alcaligenes sp. Nj-85"	15
"Alcaligenes sp. NyZ215"	13
"Alcaligenes sp. O-1"	426
"Alcaligenes sp. PAMU-1.6"	59
"Alcaligenes sp. SH-69"	36
"Alcanivorax balearicus MACL04"	7
"Alcanivorax borkumensis SK2"	13757
"Alcanivorax dieselolei B5"	28338
"Alcanivorax hongdengensis A-11-3"	16
"Alcanivorax indicus"	6
"Alcanivorax jadensis T9"	54
"Alcanivorax marinus"	224
"Alcanivorax pacificus W11-5"	39220
"Alcanivorax sp. 12W-23"	8
"Alcanivorax sp. Abu-1"	88
"Alcanivorax sp. E46"	13
"Alcanivorax sp. EPR 6"	119
"Alcanivorax sp. EPR 7"	738
"Alcanivorax sp. Haw-2"	20
"Alcanivorax sp. I4"	7
"Alcanivorax sp. NBRC 101098"	1106
"Alcanivorax sp. Oha-1"	29
"Alcanivorax sp. S9-11"	20
"Alcanivorax sp. ST-TA"	6
"Alcanivorax sp. Tak-1"	6
"Alcanivorax venustensis ISO4"	321
"Algibacter alginicilyticus"	4852
"Algoriphagus machipongonensis"	219
"Algoriphagus sp. M8-2"	1553
"Alicycliphilus denitrificans BC"	5473
"Alicycliphilus denitrificans K601"	141851
"Alicycliphilus sp. NP428a"	5
"Alicycliphilus sp. R-24604"	22
"Aliifodinibius sp. YIM 95756"	6
"Alishewanella sp. HW16"	7
"Alistipes finegoldii DSM 17242"	229525
"Alistipes putredinis"	238
"Alistipes shahii WAL 8301"	179101
"Alkaliflexus imshenetskii DSM 15055"	25
"Alkalilimnicola ehrlichii MLHE-1"	16328
"Allochromatium humboldtianum"	28
"Allochromatium minutissimum"	47
"Allochromatium renukae"	61
"Allochromatium vinosum DSM 180"	10154
"Alloprevotella rava"	416
"Alloprevotella sp. feline oral taxon 114"	210
"Alloprevotella tannerae ATCC 51259"	608
"alpha proteobacterium D323"	202
"alpha proteobacterium FH6"	10
"alpha proteobacterium HIMB5"	326660
"alpha proteobacterium HIMB59"	61606
"alpha proteobacterium HW13"	5
"alpha proteobacterium HWK12"	15
"alpha proteobacterium ISHR1"	21
"alpha proteobacterium JNVU TP1"	13
"alpha proteobacterium L63"	50
"alpha proteobacterium L9"	149
"alpha proteobacterium R2A57"	172
"alpha proteobacterium SCGC AAA001-F06"	5
"alpha proteobacterium SCGC AAA003-A19"	7
"alpha proteobacterium SCGC AAA008-D03"	11
"alpha proteobacterium SCGC AAA008-N20"	14
"alpha proteobacterium SCGC AAA008-O15"	6
"alpha proteobacterium SCGC AAA163-J08"	14
"alpha proteobacterium SCGC AAA298-O13"	7
"Alphaproteobacteria bacterium canine oral taxon 081"	14
"Altererythrobacter atlanticus"	12932
"Altererythrobacter epoxidivorans"	15731
"Altererythrobacter marensis"	12617
"Alteromonadaceae bacterium Bs02"	204
"Alteromonadaceae bacterium Bs08"	96
"Alteromonadaceae bacterium Bsc2"	82
"Alteromonas addita"	658
"Alteromonas australica"	2551982
"Alteromonas hispanica"	45
"Alteromonas macleodii ATCC 27126"	513891
"Alteromonas macleodii str. 'Balearic Sea AD45'"	360187
"Alteromonas macleodii str. 'Black Sea 11'"	155574
"Alteromonas macleodii str. 'English Channel 673'"	582265
"Alteromonas macleodii subsp. fijiensis"	19
"Alteromonas mediterranea 615"	88600
"Alteromonas mediterranea DE"	50259
"Alteromonas mediterranea DE1"	338
"Alteromonas mediterranea MED64"	90224
"Alteromonas mediterranea U4"	16696
"Alteromonas mediterranea U7"	7489
"Alteromonas mediterranea U8"	1462
"Alteromonas mediterranea UM4b"	3380
"Alteromonas mediterranea UM7"	409
"Alteromonas naphthalenivorans"	65767
"Alteromonas simiduii"	47
"Alteromonas sp."	434
"Alteromonas sp. H86"	26
"Alteromonas sp. M1"	7
"Alteromonas sp. Mac1"	214
"Alteromonas sp. Mac2"	28
"Alteromonas sp. P127"	114
"Alteromonas sp. SDDC5"	5
"Alteromonas sp. UST040801-002"	36
"Alteromonas sp. UST950701-001"	7
"Alteromonas stellipolaris LMG 21856"	2023
"Alteromonas tagae"	6
"Alvinella pompejana epibiont 6C6"	29
"Alvinella pompejana epibiont 7G3"	5
"Alvinella pompejana symbiont 7.66"	64
"Alvinella pompejana symbiont 7.69"	94
"Alysiella filiformis"	14
"Aminobacter aminovorans"	11301
"Aminobacter anthyllidis"	26
"Aminobacter sp. AJ110403"	6
"Aminobacter sp. Gsoil204"	16
"Aminobacter sp. MSH1"	5
"Anaerobiospirillum succiniciproducens"	588
"Anaeromyxobacter dehalogenans 2CP-1"	3000
"Anaeromyxobacter dehalogenans 2CP-C"	7120
"Anaeromyxobacter sp. Fw109-5"	13730
"Anaeromyxobacter sp. K"	3538
"Anaplasma centrale str. Israel"	64
"Anaplasma marginale str. Florida"	5
"Anaplasma phagocytophilum str. Dog2"	5
"Anaplasma phagocytophilum str. HZ"	1636
"Anaplasma sp. NS108"	9
"Ancylobacter aquaticus"	68
"Apibacter adventoris"	210
"Apibacter sp. wkB309"	244
"Aplysina aerophoba bacterial symbiont clone AANRPS"	19
"Aquabacterium citratiphilum"	5
"Aquabacterium parvum"	21
"Aquabacterium sp. A7-Y"	177
"Aquabacterium sp. PL1F5"	69
"Aquaspirillum sp. A1-46"	41
"Aquifex aeolicus VF5"	331
"Aquifex pyrophilus"	29
"Aquificales str. CIR30126"	15
"Aquincola tertiaricarbonis"	125
"Aquitalea sp. PGP-1"	31
"Archangium disciforme"	106
"Archangium gephyra"	16644
"Archangium minus"	14
"Archangium violaceum"	49
"Arcobacter aquimarinus"	5
"Arcobacter bivalviorum"	27
"Arcobacter butzleri 7h1h"	385
"Arcobacter butzleri ED-1"	242
"Arcobacter butzleri RM4018"	2968
"Arcobacter cf. butzleri LCDC13207"	8
"Arcobacter cibarius"	71
"Arcobacter cloacae"	46
"Arcobacter cryaerophilus ATCC 43158"	17
"Arcobacter defluvii"	168
"Arcobacter ellisii"	80
"Arcobacter faecis"	37
"Arcobacter halophilus"	79
"Arcobacter lanthierii"	316
"Arcobacter marinus"	38
"Arcobacter molluscorum CECT 7696"	10
"Arcobacter mytili LMG 24559"	7
"Arcobacter nitrofigilis DSM 7299"	1378
"Arcobacter pacificus"	102
"Arcobacter skirrowii CCUG 10374"	18
"Arcobacter sp. FE2"	24
"Arcobacter sp. L"	1293
"Arcobacter sp. MA5"	53
"Arcobacter sp. MDC1641"	113
"Arcobacter sp. MDC1745"	5
"Arcobacter sp. MDC1747"	6
"Arcobacter sp. MDC1767"	98
"Arcobacter thereius"	37
"Arhodomonas aquaeolei"	11
"Arhodomonas sp. Seminole"	28
"Aromatoleum aromaticum EbN1"	18564
"Arsenophonus endosymbiont of Aleurodicus dispersus"	64
"Arsenophonus endosymbiont of Apis dorsata"	7
"Arsenophonus endosymbiont of Apis florea"	6
"Arsenophonus endosymbiont of Bemisia tabaci"	29
"Arsenophonus endosymbiont of Dialeurodes sp."	37
"Arsenophonus endosymbiont of Tetraleurodes acaciae"	12
"Arsenophonus endosymbiont of Tetraleurodes mori"	62
"Arsenophonus endosymbiont of Trialeurodes hutchingsi"	7
"Arsenophonus endosymbiont of Trialeurodes vaporariorum"	63
"Arsenophonus nasoniae"	532
"Arsenophonus symbiont of Lipoptena fortisetosa"	327
"Asaia bogorensis NBRC 16594"	1577
"Asaia sp. LMG 1453"	18
"Asticcacaulis excentricus CB 48"	2371
"Atlantibacter hermannii"	15
"Aurantimonas coralicida"	1858
"Aurantimonas manganoxydans SI85-9A1"	1128
"Aurantimonas sp. CFCC 11185"	5
"Aureimonas altamirensis"	1706
"Aureimonas ferruginea"	151
"Aureimonas frigidaquae"	2495
"Aureimonas jatrophae"	34
"Aureimonas rubiginis"	13
"Aureimonas sp. AU12"	621
"Aureimonas sp. AU20"	7351
"Aureimonas sp. AU22"	1113
"Aureimonas sp. AU4"	725
"Aureimonas ureilytica DSM 18598 = NBRC 106430"	128
"Avibacterium avium"	6
"Avibacterium gallinarum"	328
"Avibacterium paragallinarum"	570
"Avibacterium sp. 1248"	12
"Avibacterium volantium"	10
"Azoarcus communis"	29
"Azoarcus evansii"	112
"Azoarcus sp. BH72"	24766
"Azoarcus sp. CIB"	16820
"Azoarcus sp. KH32C"	15397
"Azohydromonas lata"	68
"Azomonas macrocytogenes"	7
"Azorhizobium caulinodans ORS 571"	10556
"Azorhizobium doebereinerae"	32
"Azorhizobium sp. MM5717"	9
"Azorhizobium sp. STM 3350"	15
"Azorhizophilus paspali"	8
"Azospirillum brasilense Sp245"	11718
"Azospirillum lipoferum 4B"	6441
"Azospirillum sp. B510"	6448
"Azospirillum sp. TH16"	25
"Azospirillum thiophilum"	7483
"Azotobacter beijerinckii"	6
"Azotobacter chroococcum NCIMB 8003"	12428
"Azotobacter sp. AR"	5
"Azotobacter sp. FA8"	7
"Azotobacter vinelandii CA6"	114
"Bacterioplanes sanyensis"	92
"Bacteriovorax sp. GSL37"	6
"Bacteriovorax sp. IH11"	10
"Bacteriovorax sp. JS1"	79
"Bacteriovorax sp. JS10"	38
"Bacteriovorax sp. JS7"	37
"Bacteriovorax sp. JS9"	7
"Bacteriovorax sp. MIA3"	8
"Bacteriovorax sp. MNZ5"	5
"Bacteriovorax sp. NZAH13"	7
"Bacteriovorax sp. ORF"	16
"Bacteriovorax sp. PS23S"	11
"Bacteriovorax sp. SJ"	6
"Bacteriovorax stolpii"	6
"bacterium endosymbiont of Penicillidia jenynsii"	38
"bacterium endosymbiont of Penicillidia monoceros"	16
"bacterium endosymbiont of Phthiridium cf. tonkinensis"	18
"bacterium enrichment culture"	639
"bacterium enrichment culture clone 1E207"	14
"bacterium enrichment culture clone 2a(2010)"	6
"bacterium enrichment culture clone auto142_4W"	5
"bacterium enrichment culture clone B-MY_norB1"	10
"bacterium enrichment culture clone C23O1"	13
"bacterium enrichment culture clone C23O2"	10
"bacterium enrichment culture clone cep-03"	39
"bacterium enrichment culture clone Cont131_3130"	62
"bacterium enrichment culture clone enrKonanEr"	23
"bacterium enrichment culture clone K1"	5
"bacterium enrichment culture clone Lph"	6
"bacterium enrichment culture clone NMACR3_1"	31
"bacterium enrichment culture clone SBIb7"	5
"bacterium enrichment culture clone TMOA"	5
"bacterium enrichment culture clone Xyl8B8"	11
"bacterium VSDW"	6
"Bacteroidales bacterium CF"	8294
"Bacteroidales genomosp. P3 oral clone MB1_G34"	5
"Bacteroidales genomosp. P4 oral clone MB2_G17"	9
"Bacteroidales genomosp. P6 oral clone MB3_C19"	27
"Bacteroides acidifaciens"	17
"Bacteroides barnesiae"	70
"Bacteroides caccae"	1777
"Bacteroides cellulosilyticus"	336040
"Bacteroides clarus YIT 12056"	113
"Bacteroides coprocola"	18
"Bacteroides coprophilus DSM 18228 = JCM 13818"	80
"Bacteroides coprosuis DSM 18011"	18
"Bacteroides denticanum"	298
"Bacteroides dorei DSM 17855"	378
"Bacteroides eggerthii DSM 20697"	147
"Bacteroides faecis MAJ27"	35
"Bacteroides finegoldii DSM 17565"	69
"Bacteroides fluxus YIT 12057"	132
"Bacteroides fragilis 638R"	67009
"Bacteroides fragilis NCTC 9343"	48686
"Bacteroides fragilis YCH46"	60440
"Bacteroides gallinarum"	216
"Bacteroides graminisolvens"	20
"Bacteroides helcogenes P 36-108"	57651
"Bacteroides heparinolyticus ATCC 35895"	5
"Bacteroides intestinalis DSM 17393"	69
"Bacteroides massiliensis B84634 = Timone 84634 = DSM 17679 = JCM 13223"	260
"Bacteroides nordii"	66
"Bacteroides oleiciplenus YIT 12058"	71
"Bacteroides ovatus"	558320
"Bacteroides plebeius"	504
"Bacteroides pyogenes"	99
"Bacteroides rodentium JCM 16496"	47
"Bacteroides salanitronis DSM 18170"	68389
"Bacteroides salyersiae"	132
"Bacteroides sartorii JCM 17136 = DSM 21941"	93
"Bacteroides sp. 111"	75
"Bacteroides sp. J1511"	13
"Bacteroides sp. oral clone BU045"	7
"Bacteroides sp. Smarlab 3301643"	7
"Bacteroides sp. Smarlab 3302996"	14
"Bacteroides sp. WA1"	5
"Bacteroides stercorirosoris JCM 17103"	10
"Bacteroides stercoris ATCC 43183"	2418
"Bacteroides thetaiotaomicron VPI-5482"	330157
"Bacteroides uniformis"	10719
"Bacteroides vulgatus ATCC 8482"	1080302
"Bacteroides xylanisolvens XB1A"	592435
"Bacteroides zoogleoformans"	13
"Bacteroides-like sp. oral clone AU126"	21
"Bacteroidetes bacterium oral taxon 272"	44
"Bacteroidetes bacterium oral taxon 274"	387
"Bacteroidetes bacterium oral taxon 365"	24
"Bacteroidetes bacterium oral taxon 505"	5
"Bacteroidetes bacterium oral taxon E48"	459
"Bacteroidetes bacterium P073B"	6
"Bacteroidetes bacterium P3(2010)"	7
"Bacteroidetes bacterium SCGC AAA166-I10"	10
"Bacteroidetes bacterium SCGC AAA288-M09"	14
"Bacteroidetes bacterium SP18_29"	5
"Bacteroidetes bacterium UBF5"	6
"Bacteroidetes bacterium UKL13-3"	2359
"Bacteroidetes endosymbiont of Metaseiulus occidentalis"	8
"Bacteroidia bacterium canine oral taxon 041"	113
"Bacteroidia bacterium canine oral taxon 387"	999
"Bacteroidia bacterium feline oral taxon 115"	1295
"Bacteroidia bacterium feline oral taxon 312"	32
"Barnesiella viscericola DSM 18177"	55652
"Bartonella ancashensis"	252
"Bartonella apis"	44
"Bartonella australis Aust/NH1"	187
"Bartonella bacilliformis KC583"	750
"Bartonella bovis"	105
"Bartonella clarridgeiae 73"	604
"Bartonella grahamii as4aup"	234
"Bartonella henselae str. Houston-1"	752
"Bartonella quintana RM-11"	145
"Bartonella quintana str. Toulouse"	1907
"Bartonella rattimassiliensis"	41
"Bartonella rochalimae ATCC BAA-1498"	30
"Bartonella schoenbuchensis R1"	144
"Bartonella sp. 1-1C"	117
"Bartonella sp. 1157/3"	161
"Bartonella sp. 2574/1"	71
"Bartonella sp. AES#1-14"	16
"Bartonella sp. AR 15-3"	336
"Bartonella sp. J1-KG"	14
"Bartonella sp. JB-15"	68
"Bartonella sp. K286"	5
"Bartonella sp. RN26-BBJ"	5
"Bartonella sp. SE-Bart-B"	22
"Bartonella sp. TR-39"	16
"Bartonella sp. Y-KG"	345
"Bartonella sp. ZPUW2"	26
"Bartonella tamiae"	6
"Bartonella tribocorum CIP 105476"	574
"Bartonella vinsonii subsp. berkhoffii str. Winnie"	186
"Bartonella vinsonii subsp. vinsonii"	20
"Bartonella volans"	105
"Bartonella washoensis"	6
"Basilea psittacipulmonis DSM 24701"	1127
"Bdellovibrio bacteriovorus HD100"	512
"Bdellovibrio bacteriovorus str. Tiberius"	600
"Bdellovibrio bacteriovorus W"	1101
"Bdellovibrio exovorus JSS"	1255
"Beijerinckia indica subsp. indica ATCC 9039"	5473
"Belliella baltica DSM 15883"	4420
"Bergeriella denitrificans"	1589
"Bergeyella sp. AF14"	4349
"Bergeyella zoohelcum ATCC 43767"	81
"Bernardetia litoralis DSM 6794"	1928
"beta proteobacterium A30-1"	35
"beta proteobacterium CB"	3902
"beta proteobacterium CDB21"	73
"beta proteobacterium P25"	6
"beta proteobacterium SCGC AAA027-A14"	5
"Betaproteobacteria bacterium UKL13-2"	3223
"Bibersteinia trehalosi USDA-ARS-USMARC-188"	128
"Bibersteinia trehalosi USDA-ARS-USMARC-189"	45
"Bibersteinia trehalosi USDA-ARS-USMARC-190"	821
"Bibersteinia trehalosi USDA-ARS-USMARC-192"	43
"Bilophila wadsworthia"	754
"Biostraticola tofi"	12
"Bisgaard Taxon 10"	38
"Bisgaard Taxon 14"	8
"Bisgaard Taxon 17"	39
"Bisgaard Taxon 45"	5
"Bisgaard Taxon 5"	63
"Bisgaard Taxon 7"	33
"Bisgaardia genomosp. 1"	78
"Bisgaardia hudsonensis"	184
"Bisgaardia miroungae"	74
"Blastochloris gulmargensis"	39
"Blastochloris viridis"	10005
"Blastomonas natatoria"	38
