Sample number,Sample Name,# reads after C&M prior mapping,# mapped reads prior RMDup,# of Duplicates removed,Mapped Reads after RMDup,Endogenous DNA (%),Cluster Factor,Mean Coverage,std. dev. Coverage,Coverage >= 1X in %,Coverage >= 2X in %,Coverage >= 3X in %,Coverage >= 4X in %,Coverage >= 5X in %,DMG 1st Base 3',DMG 2nd Base 3',DMG 1st Base 5',DMG 2nd Base 5',average fragment length,median fragment length,GC content in %
Sample 13/29,KNP009,43831,43831,5577,38254,100.000,1.146,0.5941,7.0295,19.63,10.39,6.4,4.14,2.73,0.024,0.0256,0.0186,0.0249,54.49,49.0,48.5
Sample 14/29,LIB007.A0115,1,1,0,1,100.000,1.000,0,0.0032,0,0,0,0,0,0.0,0.0,0.0,0.0,36.0,36.0,52.78
Sample 15/29,LIB007.A0116,0,0,0,NF,NaN,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF
Sample 16/29,LIB007.A0135.SG1.1,1,1,0,1,100.000,1.000,0,0.0033,0,0,0,0,0,0.0,0.0,0.0,0.0,39.0,39.0,61.54
Sample 17/29,LIB025.A0301,42,42,12,30,100.000,1.400,0.0004,0.0273,0.03,0,0,0,0,0.0,0.0,0.0,0.0,45.2,41.0,52.65
Sample 18/29,LIB025.A1001,14,14,8,6,100.000,2.333,0.0001,0.0119,0.01,0,0,0,0,0.0,0.0,0.0,0.0,48.0,36.5,51.39
Sample 19/29,LIB025.A1301,2,2,1,1,100.000,2.000,0,0.0029,0,0,0,0,0,0.0,0.0,0.0,0.0,30.0,30.0,23.33
Sample 20/29,MTM009,29085,29085,11529,17556,100.000,1.657,0.2151,7.4018,6.33,1.41,0.7,0.5,0.41,0.0307,0.0333,0.0334,0.0318,43.0,38.0,51.65
Sample 21/29,OAK002,27539,27539,8321,19218,100.000,1.433,0.2122,4.9566,13.23,1.72,0.3,0.12,0.09,0.0427,0.0297,0.0385,0.0295,38.74,36.0,50.28
Sample 22/29,OAK005,28384,28384,2776,25608,100.000,1.108,0.3058,1.9085,22.05,4.96,1.04,0.3,0.14,0.0351,0.0333,0.0319,0.0302,41.9,38.0,48.96
Sample 23/29,OME002,8787,8787,2698,6089,100.000,1.443,0.0844,5.7881,0.84,0.34,0.22,0.17,0.14,0.0258,0.0202,0.0275,0.0229,48.66,43.0,53.93
Sample 24/29,OME003,9926,9926,3248,6678,100.000,1.486,0.0967,5.7809,1.48,0.59,0.31,0.22,0.17,0.0219,0.03,0.018,0.0178,50.8,44.0,52.41
Sample 25/29,OME005,13766,13766,7198,6568,100.000,2.096,0.0966,8.2126,0.53,0.2,0.12,0.09,0.07,0.0228,0.0207,0.0253,0.0119,51.63,47.0,55.41
Sample 26/29,PES001,11202,11202,2174,9028,100.000,1.241,0.1129,2.607,8.04,0.58,0.08,0.04,0.03,0.0406,0.0179,0.0366,0.0253,43.89,39.0,50.33
Sample 27/29,TAF008,11857,11857,2946,8911,100.000,1.331,0.0982,2.0545,6.49,0.76,0.23,0.13,0.08,0.0379,0.0275,0.0555,0.0335,38.65,36.0,49.27
Sample 28/29,VLC004,129453,129453,3341,126112,100.000,1.026,3.5481,5.6396,74.61,63.84,53.55,43.51,33.68,0.075,0.0587,0.0658,0.0538,98.71,90.0,47.59
Sample 29/29,VLC009,198090,198090,6358,191732,100.000,1.033,6.2561,5.4227,85.15,77.97,71.34,64.94,58.55,0.0459,0.0421,0.0428,0.0386,114.48,106.0,47.84
