genus	individual	species	metric	initial_single_genome	superreference	difference
Campylobacter	LIB025.A1001	Campylobacter_gracilis	mean_fold_coverage	1.00E-04	0	1.00E-04
Campylobacter	LIB025.A1001	Campylobacter_gracilis	number_reads_mapped_after_rmdup	6	0	6
Campylobacter	LIB025.A1001	Campylobacter_gracilis	percent_coverage_morethan_1x	0.01	0	0.01
Campylobacter	LIB025.A1301	Campylobacter_gracilis	mean_fold_coverage	1.00E-04	0	1.00E-04
Campylobacter	LIB025.A1301	Campylobacter_gracilis	number_reads_mapped_after_rmdup	6	0	6
Campylobacter	LIB025.A1301	Campylobacter_gracilis	percent_coverage_morethan_1x	0.01	0	0.01
Campylobacter	MTM009	Campylobacter_gracilis	mean_fold_coverage	4.403	3.9552181	0.4477819
Campylobacter	MTM009	Campylobacter_gracilis	number_reads_mapped_after_rmdup	225501	200433	25068
Campylobacter	MTM009	Campylobacter_gracilis	percent_coverage_morethan_1x	51.35	50.79530095	0.5546990514
Campylobacter	OAK002	Campylobacter_gracilis	mean_fold_coverage	0.3734	0.1525066	0.2208934
Campylobacter	OAK002	Campylobacter_gracilis	number_reads_mapped_after_rmdup	22579	9242	13337
Campylobacter	OAK002	Campylobacter_gracilis	percent_coverage_morethan_1x	13.11	11.72185767	1.388142328
Campylobacter	OAK005	Campylobacter_gracilis	mean_fold_coverage	1.5055	1.3990705	0.1064295
Campylobacter	OAK005	Campylobacter_gracilis	number_reads_mapped_after_rmdup	79039	73008	6031
Campylobacter	OAK005	Campylobacter_gracilis	percent_coverage_morethan_1x	52.18	51.27127187	0.9087281321
Campylobacter	OME002	Campylobacter_gracilis	mean_fold_coverage	0.3078	0.1279871	0.1798129
Campylobacter	OME002	Campylobacter_gracilis	number_reads_mapped_after_rmdup	14528	5552	8976
Campylobacter	OME002	Campylobacter_gracilis	percent_coverage_morethan_1x	10.12	9.602384588	0.517615412
Campylobacter	OME003	Campylobacter_gracilis	mean_fold_coverage	0.4772	0.2442397	0.2329603
Campylobacter	OME003	Campylobacter_gracilis	number_reads_mapped_after_rmdup	20616	9796	10820
Campylobacter	OME003	Campylobacter_gracilis	percent_coverage_morethan_1x	15.31	14.78853918	0.5214608187
Campylobacter	OME005	Campylobacter_gracilis	mean_fold_coverage	0.451	0.1202418	0.3307582
Campylobacter	OME005	Campylobacter_gracilis	number_reads_mapped_after_rmdup	19847	4267	15580
Campylobacter	OME005	Campylobacter_gracilis	percent_coverage_morethan_1x	9.2	8.709829545	0.4901704554
Campylobacter	PES001	Campylobacter_gracilis	mean_fold_coverage	0.1749	0.0975977	0.0773023
Campylobacter	PES001	Campylobacter_gracilis	number_reads_mapped_after_rmdup	9054	5083	3971
Campylobacter	PES001	Campylobacter_gracilis	percent_coverage_morethan_1x	9.12	8.51396269	0.6060373098
Campylobacter	TAF008	Campylobacter_gracilis	mean_fold_coverage	0.6723	0.5678439	0.1044561
Campylobacter	TAF008	Campylobacter_gracilis	number_reads_mapped_after_rmdup	36975	30765	6210
Campylobacter	TAF008	Campylobacter_gracilis	percent_coverage_morethan_1x	33.88	32.77844299	1.101557012
Campylobacter	VLC004	Campylobacter_gracilis	mean_fold_coverage	5.9817	5.8644032	0.1172968
Campylobacter	VLC004	Campylobacter_gracilis	number_reads_mapped_after_rmdup	147821	143959	3862
Campylobacter	VLC004	Campylobacter_gracilis	percent_coverage_morethan_1x	73.15	72.89775128	0.2522487215
Campylobacter	VLC009	Campylobacter_gracilis	mean_fold_coverage	1.4074	1.3413132	0.0660868
Campylobacter	VLC009	Campylobacter_gracilis	number_reads_mapped_after_rmdup	34439	32356	2083
Campylobacter	VLC009	Campylobacter_gracilis	percent_coverage_morethan_1x	41.16	40.79802704	0.3619729564
Capnocytophaga	DJA002	Capnocytophaga_gingivalis_ATCC_33624	mean_fold_coverage	0.1528	0.2022917351	-0.04949173514
Capnocytophaga	DJA002	Capnocytophaga_gingivalis_ATCC_33624	number_reads_mapped_after_rmdup	10301	1086	9215
Capnocytophaga	DJA002	Capnocytophaga_gingivalis_ATCC_33624	percent_coverage_morethan_1x	0.93	0.344939032	0.585060968
Capnocytophaga	EBO003	Capnocytophaga_gingivalis_ATCC_33624	mean_fold_coverage	0.0911	0.1874759351	-0.09637593514
Capnocytophaga	EBO003	Capnocytophaga_gingivalis_ATCC_33624	number_reads_mapped_after_rmdup	6214	576	5638
Capnocytophaga	EBO003	Capnocytophaga_gingivalis_ATCC_33624	percent_coverage_morethan_1x	0.49	0.2049012837	0.2850987163
Capnocytophaga	ECO002	Capnocytophaga_gingivalis_ATCC_33624	mean_fold_coverage	0.0593	0.1225715838	-0.06327158378
Capnocytophaga	ECO002	Capnocytophaga_gingivalis_ATCC_33624	number_reads_mapped_after_rmdup	4286	492	3794
Capnocytophaga	ECO002	Capnocytophaga_gingivalis_ATCC_33624	percent_coverage_morethan_1x	0.65	0.2693148986	0.3806851014
Capnocytophaga	ECO004	Capnocytophaga_gingivalis_ATCC_33624	mean_fold_coverage	0.2245	0.3034235324	-0.07892353243
Capnocytophaga	ECO004	Capnocytophaga_gingivalis_ATCC_33624	number_reads_mapped_after_rmdup	16107	6578	9529
Capnocytophaga	ECO004	Capnocytophaga_gingivalis_ATCC_33624	percent_coverage_morethan_1x	14.82	7.901578396	6.918421604
Capnocytophaga	EMN001	Capnocytophaga_gingivalis_ATCC_33624	mean_fold_coverage	0.7217	1.818987043	-1.097287043
Capnocytophaga	EMN001	Capnocytophaga_gingivalis_ATCC_33624	number_reads_mapped_after_rmdup	37553	17157	20396
Capnocytophaga	EMN001	Capnocytophaga_gingivalis_ATCC_33624	percent_coverage_morethan_1x	21.91	16.2138592	5.6961408
Capnocytophaga	FUM002	Capnocytophaga_gingivalis_ATCC_33624	mean_fold_coverage	0.0459	0.09366315405	-0.04776315405
Capnocytophaga	FUM002	Capnocytophaga_gingivalis_ATCC_33624	number_reads_mapped_after_rmdup	3146	575	2571
Capnocytophaga	FUM002	Capnocytophaga_gingivalis_ATCC_33624	percent_coverage_morethan_1x	1.15	0.6056304548	0.5443695452
Capnocytophaga	GOY005	Capnocytophaga_gingivalis_ATCC_33624	mean_fold_coverage	2.5498	8.654552416	-6.104752416
Capnocytophaga	GOY005	Capnocytophaga_gingivalis_ATCC_33624	number_reads_mapped_after_rmdup	170411	82970	87441
Capnocytophaga	GOY005	Capnocytophaga_gingivalis_ATCC_33624	percent_coverage_morethan_1x	39.24	30.91047407	8.329525926
Capnocytophaga	JAE008	Capnocytophaga_gingivalis_ATCC_33624	mean_fold_coverage	15.2187	8.255686646	6.963013354
Capnocytophaga	JAE008	Capnocytophaga_gingivalis_ATCC_33624	number_reads_mapped_after_rmdup	492790	291486	201304
Capnocytophaga	JAE008	Capnocytophaga_gingivalis_ATCC_33624	percent_coverage_morethan_1x	90.78	82.89237377	7.887626227
Capnocytophaga	JAE014	Capnocytophaga_gingivalis_ATCC_33624	mean_fold_coverage	7.4296	4.001337038	3.428262962
Capnocytophaga	JAE014	Capnocytophaga_gingivalis_ATCC_33624	number_reads_mapped_after_rmdup	242004	128635	113369
Capnocytophaga	JAE014	Capnocytophaga_gingivalis_ATCC_33624	percent_coverage_morethan_1x	88.06	78.82981683	9.23018317
Capnocytophaga	KNP001	Capnocytophaga_gingivalis_ATCC_33624	mean_fold_coverage	0.249	0.2059114189	0.04308858108
Capnocytophaga	KNP001	Capnocytophaga_gingivalis_ATCC_33624	number_reads_mapped_after_rmdup	13811	1834	11977
Capnocytophaga	KNP001	Capnocytophaga_gingivalis_ATCC_33624	percent_coverage_morethan_1x	3.97	1.984861676	1.985138324
Capnocytophaga	KNP004	Capnocytophaga_gingivalis_ATCC_33624	mean_fold_coverage	0.2553	0.1536143595	0.1016856405
Capnocytophaga	KNP004	Capnocytophaga_gingivalis_ATCC_33624	number_reads_mapped_after_rmdup	13943	1470	12473
Capnocytophaga	KNP004	Capnocytophaga_gingivalis_ATCC_33624	percent_coverage_morethan_1x	1.99	1.011646192	0.9783538085
Capnocytophaga	KNP005	Capnocytophaga_gingivalis_ATCC_33624	mean_fold_coverage	0.1179	0.1009749703	0.01692502973
Capnocytophaga	KNP005	Capnocytophaga_gingivalis_ATCC_33624	number_reads_mapped_after_rmdup	6789	519	6270
Capnocytophaga	KNP005	Capnocytophaga_gingivalis_ATCC_33624	percent_coverage_morethan_1x	0.65	0.2936106043	0.3563893957
Capnocytophaga	KNP009	Capnocytophaga_gingivalis_ATCC_33624	mean_fold_coverage	0.1897	0.1116548892	0.07804511081
Capnocytophaga	KNP009	Capnocytophaga_gingivalis_ATCC_33624	number_reads_mapped_after_rmdup	10260	958	9302
Capnocytophaga	KNP009	Capnocytophaga_gingivalis_ATCC_33624	percent_coverage_morethan_1x	1.71	0.762540221	0.947459779
Capnocytophaga	LIB007.A0115	Capnocytophaga_gingivalis_ATCC_33624	mean_fold_coverage	2.00E-04	0.002824008108	-0.002624008108
Capnocytophaga	LIB007.A0115	Capnocytophaga_gingivalis_ATCC_33624	number_reads_mapped_after_rmdup	8	7	1
Capnocytophaga	LIB007.A0115	Capnocytophaga_gingivalis_ATCC_33624	percent_coverage_morethan_1x	0.01	0.007948595086	0.002051404914
Capnocytophaga	LIB007.A0116	Capnocytophaga_gingivalis_ATCC_33624	mean_fold_coverage	2.00E-04	0.002459386486	-0.002259386486
Capnocytophaga	LIB007.A0116	Capnocytophaga_gingivalis_ATCC_33624	number_reads_mapped_after_rmdup	9	9	0
Capnocytophaga	LIB007.A0116	Capnocytophaga_gingivalis_ATCC_33624	percent_coverage_morethan_1x	0.01	0.01109803842	-0.001098038422
Capnocytophaga	LIB007.A0135.SG1.1	Capnocytophaga_gingivalis_ATCC_33624	mean_fold_coverage	2.00E-04	0.003655683784	-0.003455683784
Capnocytophaga	LIB007.A0135.SG1.1	Capnocytophaga_gingivalis_ATCC_33624	number_reads_mapped_after_rmdup	8	7	1
Capnocytophaga	LIB007.A0135.SG1.1	Capnocytophaga_gingivalis_ATCC_33624	percent_coverage_morethan_1x	0.02	0.01428497513	0.005715024869
Capnocytophaga	LIB025.A0301	Capnocytophaga_gingivalis_ATCC_33624	mean_fold_coverage	8.00E-04	0.003762062162	-0.002962062162
Capnocytophaga	LIB025.A0301	Capnocytophaga_gingivalis_ATCC_33624	number_reads_mapped_after_rmdup	50	9	41
Capnocytophaga	LIB025.A0301	Capnocytophaga_gingivalis_ATCC_33624	percent_coverage_morethan_1x	0.06	0.0162721239	0.0437278761
Capnocytophaga	LIB025.A1001	Capnocytophaga_gingivalis_ATCC_33624	mean_fold_coverage	3.00E-04	0.003740267568	-0.003440267568
Capnocytophaga	LIB025.A1001	Capnocytophaga_gingivalis_ATCC_33624	number_reads_mapped_after_rmdup	19	10	9
Capnocytophaga	LIB025.A1001	Capnocytophaga_gingivalis_ATCC_33624	percent_coverage_morethan_1x	0.03	0.01394753477	0.01605246523
Capnocytophaga	LIB025.A1301	Capnocytophaga_gingivalis_ATCC_33624	mean_fold_coverage	8.00E-04	0.01542740811	-0.01462740811
Capnocytophaga	LIB025.A1301	Capnocytophaga_gingivalis_ATCC_33624	number_reads_mapped_after_rmdup	32	24	8
Capnocytophaga	LIB025.A1301	Capnocytophaga_gingivalis_ATCC_33624	percent_coverage_morethan_1x	0.05	0.03588115801	0.01411884199
Capnocytophaga	MTM009	Capnocytophaga_gingivalis_ATCC_33624	mean_fold_coverage	0.3092	5.030152916	-4.720952916
Capnocytophaga	MTM009	Capnocytophaga_gingivalis_ATCC_33624	number_reads_mapped_after_rmdup	18920	5600	13320
Capnocytophaga	MTM009	Capnocytophaga_gingivalis_ATCC_33624	percent_coverage_morethan_1x	1.08	0.4456087387	0.6343912613
Capnocytophaga	OAK002	Capnocytophaga_gingivalis_ATCC_33624	mean_fold_coverage	3.1535	3.454022432	-0.3005224324
Capnocytophaga	OAK002	Capnocytophaga_gingivalis_ATCC_33624	number_reads_mapped_after_rmdup	213917	101866	112051
Capnocytophaga	OAK002	Capnocytophaga_gingivalis_ATCC_33624	percent_coverage_morethan_1x	78.63	58.7988698	19.8311302
Capnocytophaga	OAK005	Capnocytophaga_gingivalis_ATCC_33624	mean_fold_coverage	0.0656	0.1147493676	-0.04914936757
