Sample number,Sample Name,# reads after C&M prior mapping,# mapped reads prior RMDup,# of Duplicates removed,Mapped Reads after RMDup,Endogenous DNA (%),Cluster Factor,Mean Coverage,std. dev. Coverage,Coverage >= 1X in %,Coverage >= 2X in %,Coverage >= 3X in %,Coverage >= 4X in %,Coverage >= 5X in %,DMG 1st Base 3',DMG 2nd Base 3',DMG 1st Base 5',DMG 2nd Base 5',average fragment length,median fragment length,GC content in %
Sample 13/29,KNP009,21375,21375,3183,18192,100.000,1.175,0.4154,8.613,3.08,1.44,1.08,0.9,0.78,0.0304,0.0268,0.0268,0.0286,50.16,45.0,53.57
Sample 14/29,LIB007.A0115,1,1,0,1,100.000,1.000,0,0.0039,0,0,0,0,0,0.0,0.0,0.0,0.0,34.0,34.0,51.52
Sample 15/29,LIB007.A0116,0,0,0,NF,NaN,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF
Sample 16/29,LIB007.A0135.SG1.1,5,5,0,5,100.000,1.000,0.0001,0.0103,0.01,0,0,0,0,0.0,0.0,0.0,0.0,46.4,49.0,58.19
Sample 17/29,LIB025.A0301,86,86,10,76,100.000,1.132,0.0017,0.046,0.16,0.01,0,0,0,0.0,0.0,0.0625,0.0,50.14,48.0,50.33
Sample 18/29,LIB025.A1001,43,43,23,20,100.000,2.150,0.0005,0.0242,0.05,0,0,0,0,0.0,0.0,0.0,0.0,55.9,58.0,45.89
Sample 19/29,LIB025.A1301,51,51,18,33,100.000,1.545,0.0007,0.0277,0.07,0,0,0,0,0.0,0.0,0.0,0.0,47.15,36.0,50.51
Sample 20/29,MTM009,107049,107049,29057,77992,100.000,1.373,1.5986,20.4423,7.1,4.41,3.4,2.85,2.51,0.0199,0.0194,0.0205,0.0209,45.03,40.0,53.28
Sample 21/29,OAK002,1410453,1410453,285489,1124964,100.000,1.254,22.5804,36.0604,88.74,84.3,80.57,77.02,73.55,0.0414,0.0346,0.041,0.0342,44.09,38.0,44.34
Sample 22/29,OAK005,21536,21536,2029,19507,100.000,1.104,0.4425,2.6269,18.76,7.95,4.12,2.28,1.36,0.0278,0.0312,0.0287,0.0302,49.84,42.0,47.85
Sample 23/29,OME002,151118,151118,24272,126846,100.000,1.191,3.2988,29.4361,6.56,4.98,4.24,3.77,3.45,0.0188,0.0179,0.0186,0.0163,57.12,50.0,49.2
Sample 24/29,OME003,183437,183437,39592,143845,100.000,1.275,3.8279,34.1046,6.28,5.01,4.39,3.97,3.65,0.0176,0.0212,0.0152,0.0214,58.45,53.0,48.8
Sample 25/29,OME005,551262,551262,195571,355691,100.000,1.550,10.1589,92.7952,7.09,5.8,5.21,4.77,4.46,0.017,0.0166,0.0149,0.0146,62.73,58.0,49.3
Sample 26/29,PES001,379115,379115,67569,311546,100.000,1.217,8.6925,28.7637,31.21,24.38,21.82,20.15,18.84,0.0385,0.0304,0.0377,0.0283,61.29,58.0,47.24
Sample 27/29,TAF008,43586,43586,8573,35013,100.000,1.245,0.6647,4.0841,14.1,9.23,7.02,5.49,4.29,0.0543,0.0364,0.0615,0.0386,41.71,38.0,47.96
Sample 28/29,VLC004,111578,111578,2896,108682,100.000,1.027,4.1256,11.7609,54.55,33.99,24.47,20.03,17.54,0.0615,0.0538,0.0545,0.0458,83.39,74.0,45.56
Sample 29/29,VLC009,115954,115954,3636,112318,100.000,1.032,5.1273,14.0306,66.05,45.94,32.27,24.03,19.07,0.0365,0.0366,0.0323,0.0314,100.28,91.0,44.93
